language,title,text,token_count,category,source,mixing_strategy
ru_uk_mix,Mixed_ru_uk_1,"Камари́лья (исп. Наукова бібліотека Інституту політичних і етнонаціональних досліджень ім. camarilla «комнатка; тайный кабинет») - группа интриганов в палате перед опочивальней испанского короля Фердинанда VII; в переносном смысле - ближний круг правителя из земляков, приятелей, сослуживцев. І. В Испании 1814 года к камарилье принадлежали каноник Остолоса, известный доносчик, каноник Эскоикис, носильщик, ставший доном Антонио Угарте, прежний водовоз, шут, известный под именем Педро Кальядо или под кличкой Чаморро («бритая голова»), и русский дипломат - Дмитрий Павлович Татищев. Ф. == Имя нарицательное == Постепенно название «камарилья» стало нарицательным. Кураса НАН України - науково-дослідна та інформаційна установа. Оно означает группу приближённых к первым лицам власти (ранее - придворных), старающихся влиять на ход событий скрытыми интригами, наушничеством, доносами и тому подобным. == Історія == Заснована у 1928 як бібліотека Комісії з Жовтневої революції і громадянської війни в Україні, після того зазнавала зміни назв, як бібліотека: Українського філіалу Інституту Маркса-Енгельса-Леніна при ЦК ВКП(б) - З 1939, Інституту історії партії при ЦК Компартії України та Українському філіалі Інституту марксизму-ленінізму при ЦК КПРС - з 1956 Інституту політичних досліджень при ЦК КПУ - з 1990 Інституту національних відносин і політології АН України - з 11 грудня 1991",190,Mixed_Language,cross_language_augmentation,alternating
ru_uk_mix,Mixed_ru_uk_2,"Воспитывался при французском дворе вместе с будущим королём Карлом VI. В 1376/1377 году получил графство Мортен, уже в 1378 году конфискованное из-за конфликта Карла Злого с французской короной. Только в 1401 году Пьер снова стал графом Мортен и пэром Франции. Мартинівка, Гадяцький район, Полтавська область, Україна - 28 грудня 2024, Решетилівка, Полтавська область, Україна) - український нотаріус, перший і єдиний державний нотаріус у Решетилівській громаді із дня заснування Решетилівської державної нотаріальної контори у 1993 році до своєї смерті у 2024 році. === Освіта та кар'єра === Після закінчення школи вступила до Чернігівського юридичного технікуму. У 1986 році почала працювати в управлінні соціального захисту в Решетилівці, одночасно здобуваючи вищу освіту в юридичній академії ім",113,Mixed_Language,cross_language_augmentation,blocks
ru_uk_mix,Mixed_ru_uk_3,"Джон де Рос (англ. Слабинська сотня - адміністративно-територіальна і військова одиниця Чернігівського полку Гетьманщини. John de Ros; приблизительно 1397 - 22 марта 1421, при Боже, Франция) - английский аристократ, 7-й барон де Рос (с 1414 года). Одна з 367-ми сотень України. Участник Столетней войны. Створена 1651. == Биография == Джон де Рос был старшим сыном Уильяма де Роса, 6-го барона де Роса, и Маргарет Фицалан. Центр - село Слабин (нині - село Чернігівського району Чернігівської області). Он унаследовал родовые владения и баронский титул в 1414 году после смерти отца. == Історія == Вперше згадується у присяжних списках 1654 у складі Чернігівського полку, проте є дані, що сотня оформилася відразу після Білоцерківської мирової угоди 1651",114,Mixed_Language,cross_language_augmentation,alternating
ru_uk_mix,Mixed_ru_uk_4,"С 1974 г. село во вновь образованном Белоноговском сельсовете Куртамышского района Курганской области. До 24 мая 2021 года, согласно Закону Курганской области от 12 мая 2021 года No 48, административный центр Белоноговского сельсовета, упразднённый в связи с преобразованием муниципального района в муниципальный округ. На диско-форумі Billboard Disco Forum 1978 року Серроне отримав шість нагород, включно з титулом «Диско артист року ». Крім Love in C Minor, Cerrone's Paradise і Supernature, Марк Серроне мав успіх у Європі з такими альбомами, як Cerrone IV: The Golden Touch (1978), Where Are You Now (1983), The Collector (1985), Human Nature (1994) і нещодавно з танцювальними альбомами Hysteria (2002) і Celebrate (2007). Cerrone також відомий живими виступами. Продолжительность периода с устойчивым снежным покровом равна 161 дню. == История == Основано старообрядцами в середине 18 века, землепашцами Шадринского и Окунёвского дистриктов",135,Mixed_Language,cross_language_augmentation,blocks
ru_uk_mix,Mixed_ru_uk_5,"Отборочный турнир к чемпионату Европы по футболу среди молодёжных команд 2021 начался 18 марта 2019 и закончится 17 ноября 2020 года. Воєнна наречена (англ. В нём участвуют 53 сборные, соревнующиеся за 14 мест в финальном раунде. War bride) - термін щодо жінок, які вступають у шлюб з чужоземними військовиками у час війни або під час окупації території держави. == Жеребьёвка == Жеребьёвка квалификационного раунда состоялась 11 декабря 2018 года в штаб-квартире УЕФА в Ньоне. Термін широко використовувався під час Першої та Другої світових воєн. Команды были разбиты на шесть корзин, согласно рейтингу, заработанному в ходе выступлений на последних трёх чемпионатах Европы (в том числе и в отборочных турнирах). Великого розголосу набув феномен одруження американських військовослужбовців з німецькими «панночками» опісля Другої світової війни. == Групповой этап == Девять победителей групп и пять лучших команд, занявших вторые места, выходят напрямую в финальную стадию. До 1949 року понад 20000 німецьких воєнних наречених емігрували до США",152,Mixed_Language,cross_language_augmentation,alternating
ru_be_mix,Mixed_ru_be_1,"Пьер д’Эврё или Пьер Наваррский (31 марта 1366, Эврё, Королевство Франция - 29 июля 1412, Сансерр, Королевство Франция) - французский аристократ, граф Мортен, сын Карла Злого, короля Наварры из младшей ветви Капетингов. Старапрылуцкі палац - знаходзіцца ў вёсцы Старая Прылука Ліпавецкага раёну ва Ўкраіне. Воспитывался при французском дворе вместе с будущим королём Карлом VI. Аляксандар Барэцкі ў XVII стагодзьдзі пабудаваў у вёсцы палац, капліцу ды заклаў парк. В 1376/1377 году получил графство Мортен, уже в 1378 году конфискованное из-за конфликта Карла Злого с французской короной. У другой палове 19 стагодзьдзя палац быў перабудаваны Чэславам Здэхоўскім. Только в 1401 году Пьер снова стал графом Мортен и пэром Франции. Апошні ўладар Сяргей Мэрынг таксама перабудоўваў і аднаўляў палац. В 1411 году граф женился на Екатерине Алансонской, дочери Пьера II, графа Алансона, и Марии де Шамайяр. Цяпер ўжо невядома якім быў першапачатковы выгляд палацу, як і не вядома што зьмянялі Здэхоўскі ды Мэрынг",150,Mixed_Language,cross_language_augmentation,alternating
ru_be_mix,Mixed_ru_be_2,"Экономисты отдают предпочтение работе с экономическими и социальными сведениями, собранными на городских территориях. Для них наиболее точным статистическим параметром будет повышенная плотность населения и уменьшение её удельной площади на душу населения. == Определение == Определение городской территории различается у разных народов. Пасля 30-ці гадоў удзелу Бельгія нарэшце выйграла конкурс у 1986. Перамогу ёй прынесла 13-гадовая Сандра Кім з песняй «J'aime la vie». У цяперашні час мінімальны ўзрост для ўдзелу ў конкурсе - 16 гадоў, такім чынам, Сандра Кім застанецца самым маладым пераможцам за ўсю гісторыю конкурсу, калі узроставая мяжа не будзе паніжана. Обычно эта связь выражается в трудоустройстве в центральном городе, который является первичным рынком труда. Известно, что городские территории увеличиваются в зависимости от увеличения численности населения и экономической активности главного города",122,Mixed_Language,cross_language_augmentation,blocks
ru_be_mix,Mixed_ru_be_3,"Верхнекольцов - хутор в Тацинском районе Ростовской области. Грыгорыс Макас (грэч. Входит в состав Ермаковского сельского поселения. Γρηγόρης Μάκος; нар. Население 561 человек. 18 студзеня 1987, Афіны, Грэцыя) - колішні грэчаскі футбаліст, паўабаронца. === Известные люди === Нетребский Владимир Петрович, (1924-1999) - участник Великой Отечественной войны, полный кавалер орденов Славы, заслуженный агроном РСФСР. Таксама былы ігрок нацыянальнай зборнай Грэцыі. == Ссылки == Путешествия по России: Верхнекольцов Погода в Верхнекольцове Спутниковая карта Дневник любителя старины: 1 мая родились. === «Паніёніс» === Грыгорыс з'яўляецца выхаванцам футбольнай школы клуба «Паніёніяс»",87,Mixed_Language,cross_language_augmentation,alternating
ru_be_mix,Mixed_ru_be_4,"Varangfly. Брэсцкая вуліца - вуліца ў Кастрычніцкім раёне Мінска. SAS и Finnair совместно начали обслуживать маршруты а/к Varangfly, которая не использовала аэропорт для регулярных рейсов. Названа ў гонар горада Брэста. Varangfly была вынуждена продать свой единственный наземный самолёт и сосредоточиться на гидросамолётах. У раёне вуліцы - пераважна прыватная забудова. В 1969 году, SAS начала полёты из Киркенеса на 122-х местном пассажирском реактивном Douglas DC-9. Грамадскі транспарт па вуліцы не ходзіць. В этом же году свои полёты из Киркенеса на гражданских вертолётах начала компания CHC Helikopter Service. == Размяшчэнне == Вуліца пачынаецца на скрыжаванні з вуліцамі Лейтэнанта Кіжаватава і Леаніда Левіна, перасякае 1-ы Рыжскі завулак, Рыжскую вуліцу, 1-ы Брэсцкі завулак, 2-і Брэсцкі завулак, 3-і Брэсцкі завулак, 4-ы Брэсцкі завулак, 5-ы Брэсцкі завулак, Паўднёвы завулак, 1-ы Паўднёвы завулак, 3-і завулак Зубачова, вуліцу Зубачова, 1-ы завулак Фаміна, 2-і завулак Фаміна, перасякае раку Лошыца і завяршаецца сляпым завулкам",144,Mixed_Language,cross_language_augmentation,alternating
ru_be_mix,Mixed_ru_be_5,"Со ступенчатой крыши музея, на которую можно выйти через четвёртый этаж музея, открывается вид на старый город. Это единственное высоко расположенное место в Амстердаме, с которого открывается такой обзор. Само здание не всегда было зелёным; медная обшивка покрывалась патиной постепенно, с 1997 года. У 1895 року на сваё 18-годзьдзе атрымала ў падарунак ад бацькі маёнтак у Пружане Гарадзенскай губэрні. Новая гаспадыня ў сядзібе не пражывала, перадаўшы кіраваньне ёй аканому і наведваючыся час ад часу (у прыватнасьці, мешкала тут улетку 1904-1907 рокаў). Валодала таксама фальваркам Шыдлоўшчына непадалёк ад Пружаны. == Здания == Благодаря замыслу Ренцо Пьяно, внутри музея можно увидеть вентиляционные трубы, стальные перекрытия и прочие функциональные детали здания. Со ступенчатой крыши музея, на которую можно выйти через четвёртый этаж музея, открывается вид на старый город",125,Mixed_Language,cross_language_augmentation,blocks
