language,title,text,token_count,category,source,original_id
kv,Perturbed_Коми йӧзкостса сьыланкыв,"Коми йӧзкостса сьыланкы - коми йоз остн устнӧя артмӧм-чужӧм да бергалӧм сьыланкыв. Коми сьылан жанръяс чукӧрӧ пырӧны сьылакывъяс, частушкаяс, бӧрддчанкывъяс. Сьланкыв жанр чужисбӧрдӧдчанкыв подулын.  Коми сьыланкыв велӧдан истори == Зэв тӧдчана коми сьыланкыв чкӧртан да велӧдан истоияыс. А.К. Микушев «Песенноетворчество народа кми» монографиялӧн (1956 во) I главаын вылӧ донъялӧ И. Лепёхин, Н.И. Озеецковский, Н.И. Надеждин, А.И. Шренк, П.И. Мельников, П.И. Савваитв, И.А. уратов, Ю. Вихман, К.. Жаков, П.А. Сорокин, А.А Цембер, П.Анисимов, Нёбдінса Витто, А.С. Сидоров, Е.В. Гиппиус да З.Б. Эвальд, Н. Грюнфельд, П.Г. Доронин, И.А. Осипов да мкӧдлысь коми сьылан традиция туялӧмӧ пай пуктӧмсӧ. Иван Лепёхин да Николй Озерцковский «Дневные запски путешествия по разным провинциям Россйского госудаства» небӧгын пасйисны кык финн-йӧгра войтырлыс ӧкодьлунсӧ - коми д мордвалысь обрядъяс да обычйя серти ӧткодьлунсӧ; тӧдчӧдісны кми да яран косты йитӧдъяс; петкӧдлісны фольклорлысь, кыдзи историческӧй ӧшмослысь тӧдчанлунсӧ. иколай Надеждин Народная поэзия комизырян» статьяын пасйӧ коми йӧзкост поэзия йылыь да пыртӧ кык бӧрдодчаныв, пасйӧ, мый коми йӧз косын эмӧсь роч сьыланкывъяс«Во саду ли в огороде»). Александр Шренк Изьва сьылан традицияӧн тӧдмасьӧм бӧрын пасйӧ нывбаба да мжичӧй сьылан репертуар торъяӧм. Нывбаба бурджыка видзӧ национальнӧй традиция. Коми сьылан традицияын, Шренк серти, эм сӧмын импровизацияяс, а зумыд текста ьыланкывъяс абуӧсь. А татшӧмнас лӧны рч сьыланкывъяс, кодъясӧс сьылӧны коми ногӧн. СідзкӧШренк гӧгӧрвоис коми да роч поэзия котын йитӧдсӧ,роч сьыланкывсӧ аслыснога вежлалӧмсӧ. == Ӧмӧсъс == История коми литратуры: В 3-х т Фольклор. - ыктвкар: Коми кн. зд-во, 1979. - Т. 1. Коми фольклор: Хрестоматия / Лӧсьӧдісны да водзкывъссӧ дасьтісны В.В. Филиппова, Н.С. Кровина. - Сыктывкар: Коми кн из-во, 2002.",251,Perturbed,data_perturbation,
kv,Perturbed_Коржа (Луздор район),"Коржа (рочӧн Коржинский) - Коми Республикаын Луздор районысь Лойма сикт омӧдчӧмин уло прысь посёлок. == География == Посёлок укалӧ Луз юлӧн шуйга берегас. Коржаянь Лойма шорсиктӧдз 23 км, Абъячой юрсиктӧдз 119 м. == История == 1930-ӧд вося списокын нимыс з паныдаьл. 1940-ӧд оясся инним мусерпасъяс выын ӧнія посёлок инын некутшӧм керкаяс абу пасйӧма, но Луз ю кузя нуна вылынджык (Кировобласьтын) индӧма Кондово баракъяс. Нӧшта неуна вылынджык, Коржа ю вомын, эм Усь-Коржа баракъяс (Коми АССР му влын). 1956 вын пасйӧма вӧр кылӧдысьяслӧн Усть-Коржа посёлок (пырӧ Лойма улӧ). 1959 вон тані оліс 121 морт, рочьяс. 1960 воын посёлоксӧ сетӧмаКиров обласьтса Лальск районӧ. 1961 вося тӧвшӧр тӧлысь 17-ӧд лунӧ Усть-Коржа бӧр стӧма Лойма сиктсӧветӧ. 1968 вося списокын - Коржинский посёлок. 1998 воын 108 овмӧс, 299 морт == Олысьлыд == Посёлокын олӧны рочьяс. == Ӧшмӧсъяс == Атлас Республики Коми. - Москва, 2000. Жеребцов И.Л. Где ты живешь: Населенные пункты Республики Коми. сторико-демографический справочник. - Сыктывкар, 200.ИсторияКоми с древнейших времен до конца X века:В 2-х т. / Под общей редакцией А.Ф. Сметанина. - Сыктывкар, 2004. Республика Коми: Административно-территориальное деление н 1 августа 1992 г. Изданиепяое. - Сыкывкар, 1992. Республика Коми: Энцклопедия. - Сыктывкар, 1997-2000. - Т. 1-3.",192,Perturbed,data_perturbation,
kv,Perturbed_Нопъя черань,"Нопъя черань (сідзжӧ креста черань, латинн Araneus) - аранеид ордыс аранеоморф класс юкӧнысь черань чукӧр. == Оласног да паськалӧм == Аслыспӧлослуныс кынӧмас крест кодь еджыд чутъяса серпасыс да ыдыд гӧгрӧс мыгӧрыс, быттьӧ опъясьӧма. Олӧ шоч пуяса вӧръсын да вӧр дорӧсъясын, эрдаинъясын да паркъясын. Кык метр пасьта тывсӧ зэвтӧ пуяс да быдмӧъяс косто. Везйыс ён да, кӧть мый кузьта звчылас, бурӧн оз ор. Сэтчӧ и пыасьӧны-сибдӧны бордъя лэбалысь овъяс - гутъяс да бобувъяс. Шедӧм кыйдӧссӧ паӧдӧм бӧрын чераньыс ншта на сійӧс резыштӧ кизьорториӧн,меым тадзи небзьӧдны да водз кокнас чурскыны-нёнявны (вомыс абу). == Ӧшмӧсъяс == Ракин А. Вӧр-васа олысьяс. - Сыктывкар: нбур. - 2017. - 208-209 лб.",105,Perturbed,data_perturbation,
kv,Perturbed_Белых Николай Фёдорович,"Шаблон:Серпасыс абу Белых Николай Фёдорович (1941-1992) - кми гижысь, драматуг. == Олан туй == Николай Белых чужӧма 1941-ӧд восятӧвшӧр тӧлысь 9-ӧд унӧ Сыктывкарбердса Улыс Човйын.Помалӧма Сыктывкарын шӧр школа, 1971-ӧд вон - Москваын А.М. Горький нима Литературнӧй институт. Некымын во вӧлӧма Коми АССР-са ультур министрӧс вежысьӧн. 1986-ӧд воын котыртӧма «Би кинь» журнал да лоӧма сэні редакторӧн. Кулӧма 199-ӧд вося вольгым тӧлысь 24-ӧд лунӧ.== Гижан удж == Никоай Белых тдса кыдзи драматург,коді гижис уна юкӧна квайт пьеса да некымын ӧти юӧна пьеса. Наын петкӧдлӧма сылӧн кадсяолыьяс йылысь, кыпӧдӧма нравственно-этическй проблемаяс. В.. Саин нима оми республикаса драма театр путіс «Анисья»да «Таысь колӧ судитны» сылӧн пьесаяс сертикык сектакль. Критик Раиса Куклина пасйис: «Николай Белых писал в основном во время так называемого застя Трудно тда было публичновыражать свои мысли. От пителей требовалось выбирать и определятьто, о чем можно говорит, а о чем следуе умолчат. Драмы и кмедии Н. Белых значительны тем, что он сказал своё слово о расстройсве-разруении коми жизни (природы, языка, характера, бытовых традиий)». СССР-са гижысь отыр пырысь (91). = Небӧгяс == Кдлӧнкутшӧм шуд: нёль пьеса. - Сыктвкар: оми книжнӧй издательство, 1981. - 144 л.б.== шосъяс == Мартынов В. И. Литераторы земли Коми: Биобиблиографический словарь-справочник. - Сыктывкар: издательство «ском», 2000. - С 19. Коми Республикаса Вужвойтырлӧн небӧгаин «Коми гижӧд» онлайн-тӧданінын Н.Ф. Белыхлӧн гиждлыддьӧг",209,Perturbed,data_perturbation,
kv,Perturbed_Таи кыв,"Таи кыв (ภาไทย /pʰa:sa:tʰɑj/, пхса-тхай) - тайӧ тай-кадай кыв, Таиландын каналан кыв. == Таи анбур == гора пасъяс: диакритик пасъяс: == Лыдакывъяс == 0 - ๐ - ศูนย์- sun - sǔːn 1 - ๑ - หนึ่ง - nueng - nɯ̀ŋ 2 - ๒ - สอง - song - sɔ̌ː 3 - ๓ - สาม - sam - sǎːm 4 - ๔ - สี่ - si -sìː 5 - ๕ -ห้า - ha - hâː 6 - ๖ - หก - hok - hòk 7 - ๗ - เจ็ด - chet - t͡ɕèt 8 - ๘ - แปด - paet - pɛ̀ːt 9 - ๙ - เก้า - kao - âːw 10 - ๑๐ - สิบ - sip - sìp 11 - ๑๑ - สิบเอ็ด - sip et - sìp èt 12 - ๑๒ - สิบสอง - si song - sìp sɔ̌ːŋ 20 - ๒๐ - ยี่ิบ - yi sip - jîː sìp 21 - ๒๑ - ยี่สิบเอ็ด - yisip et - jîː sìp èt 22 - ๒๒ - ยี่สิบสอง - yi sip song  jîː sìp sɔ̌ːŋ 100 - ๑๐๐ - ร้อย - roi - rɔ́ːj 1 000 - ๑๐๐๐ - พัน -phan- pʰan 10 000 - ๐๐๐๐  หมื่น - muen - mɯ̀ːn 10000 -๑๐๐๐๐๐ - แสน - saen - sɛ̌ːn 1 000 000 - ๑๐๐๐๐๐๐ - ล้าน - lan  láːn == Ыстӧгъяс == Тайские исьмен Learning Thai the EasWay Статьи, уроки. Тайские словар вэлектронном фрмате. Статья на Omiglot, посвящённая письменности Английско-Тайский словарь",242,Perturbed,data_perturbation,
kv,Perturbed_Загаръя (Луздор район),"Загаря (рочӧн Загрская) - Коми Республикаы Луздор айонса Абъячой сикт овмӧдчӧмин улӧ ырысь грезд. == География == Гред пукалӧ Луз лӧн веськыдберегын. Белявчисянь Абъячой шӧрсикӧдз 5 км, Сыктывкарюркарӧдз км. == История == Меводдзаыськазьтыштӧма 1620 вося дозорнӧ нбӧгын: «деревня Загарье на Лузе», 2 овмӧс, «н той же земле в выставк» нӧшта ӧти овмӧс; овъяссӧ ау индома. 1926 - «Загорска» гредын 63 овмӧс, 359 морт; 1939 - «Загарская», 461 морт. 1940-ӧд да 1962-1963-ӧд воясся инним мусерпасясвылын - «Нижнее Загарье» да «Верхнее Загарье». 1989 - Грездын олӧ 255 морт (11 мужичӧй 142 нывбаба, комияс); 1995 - 88 овмӧс, 278мот. == Олысь лыд == Грездын олӧны комияс. == Ӧшмӧсъяс == Атлас Республики оми. - Москва, 2000. Жеребцов И.Л. Где ты живеш: Населенные пункты Республики Коми. Историко-демографический справочник. - Сыктывкар, 2000. Истори Коми древнейши времен до конца XX века: В -х т. / Под общей редакцией А.Ф. Сметанина. - Сыктывкар, 2004. Республика Коми: Административно-териториальное деление на 1 авуста 1992 г. Издание пятое. - Сктывкар, 1992. Република Коми: Эциклопедия. - Сыктывкар, 1997-2000. - Т. 1-3.",169,Perturbed,data_perturbation,
kv,Perturbed_Сора тӧлысь 24-ӧд лун,"Сора тӧлысь 24-ӧд лун - Гигорий клендарын 205-ӧд лун (кассяна воясӧ - 206-ӧд лун). Во помӧдз 160 лун. == Кулісны== 1895 - история, археология, археография, этнорафи, кыв да литераура туялысь роч профессор Павел Савваитов (чужис 1815) 1923 - коми гижысь, вудӧдчысь, велӧдысь Иона Чисталёв (Жан Морӧс) (чужис 1893)",48,Perturbed,data_perturbation,
kv,Perturbed_Мырйӧрӧм (Емдін район),"Мырйӧрӧм (рочӧн Мыръерем) - Коми Республикаын Еді районсь Айкатыла сикт овмӧдчӧмин ул пырысь грезд. == Ӧшмӧсъяс == Жеребцов И.Л. Где ты живешь: Населнные пункты Республики Коми. Историко-демографческий справочник. - Сыктывкар, 200. Республика Коми: Администратвно-террториальное деление на 1 августа 1992 г. Издние пятое. - Сыктывкар, 1992. Республка Коми: Энцикопедия. - Сыктывкар, 1997-2000. - Т. 1-3.",54,Perturbed,data_perturbation,
kv,Perturbed_1937-ӧд во,"1937-ӧд во (Сюрс ӧкмыссёкомын сизимӧд)во - Григорий календар серти абу кассяна во, пансьӧ пекничасянь. == Лоӧмторъяс == косму тӧлысь 30-ӧд лун - Сыктывкарын республикаын медводдзаысь воссис Коммунистическӧйулича вылын «Чайка» универмаг (ӧні тайӧ керкаас Коми Респубикаса Национальнӧй музей). Лавкаа вӧлі 7 юкӧд а 22 вузасьысь. моз тӧлысь 16-ӧд ун - лӧсьӧдӧма Емдінса ИТЛ (Устьвымлаг; шӧринс - Вожаёль осёлок)да Лӧкчим ИТЛ (шӧриныс - Пезмӧг посёлок, ӧні - Адзорӧм)  Комиын вӧр пӧрӧдан медшӧр лагеръс. == Чужисны == урасьӧм тӧлысь 11-ӧд лун - перым ком гижысь Тимофей Фадеев (куліс 192) рака тӧлысь 15ӧд лун - роч гижысь Валентин Распутин (куліс 2015) косму тӧлысь 15-ӧд лун - коми ӧтмунӧмын дакультураын водзмӧстчысь, Коми Республикаса нимдана уджалыс Эмилия Налимова (куліс 201)ода-кора тӧлысь 7-ӧд лун - кои гижысь Егор Рочев (куліс 2012) сора тӧлысь -ӧд лун - нималана коми гижысь, поэт,оми Республикаса нимйӧза гижысь Владимир Тимин (Игӧ Вась Володь) (куліс 2015) моз тӧлысь 20-ӧд лун - коми оэт, серпасалысь Егор Потапов (куліс 1982) йирым тӧлысь 19-ӧд лун- Комиысь шылад тэчыс Александр Рочев (куліс 19) йирым тӧлысь 20-ӧд лун - перым коми гижысь, перым коми литература туялысь Вера Пахорукова (кулс 020) йирым тӧлысь 26-ӧд лун - нимална коми диктор, Коми АССР-са нимйӧза артист,Коми АССР-са наука да культураын нимӧдана джалысь Маргрита Грязнова (куліс 2016) вӧльгым тӧлысь 15-д лун - оми войтырлысь история да ареология туялысь, история наукаясса доктор, Коми АССР-са наукаын нимӧдана уджалысь, Россияса наукаын нимӧдаа уджалысь Элеонора Савельева вӧльгым тӧлысь 27-ӧд лун - коми гижысь, кор видзысь да спортсмен Пик Артеев (куліс 1987) ӧшым тӧлысь 22-ӧд лун - челядьлы роч гижысь Эдуад Успенский == Кулісны == сра тӧлысь 7-ӧд лун - бурӧвӧй мастер, Уджвывса Герой Гавриил Семяшкин (чужис 1888) кӧч тӧлысь 8-ӧд лун- перым коми поэт, перм коми литературалы подув пуктыс Зубов Андрей Никифорович (Питю Ӧньӧ) (ужис 1899) кӧч тӧлысь 19-д лу - Рочмуын выл священномученик Всеволод Потёминский (чужис 1870) кч тӧлысь 2-25-ӧд лунъяс костын - вежа ай, вичкоынслужитысь, иерейПалладий Попов (чужис 1879) йрым тӧлысь 19-ӧд лун - коми гижыс Ёгор Коегов (чужис 1895) вӧльгым тӧлысь 1-ӧд ун - иалана удурт гижысь, поэт, вуджӧдчысь, велӧдысь, фольклор да кы туялысь КузебаГерд (Кузьма ПавловичЧайников) (чужис 1898) вӧльгымтӧлысь 4-ӧд лун - перым кои гижысь, перым коми лтератураы подув пуктысь Михаил Лихачёв (чужис 191)",361,Perturbed,data_perturbation,
kv,Perturbed_1918-ӧд во,"1918 (Сюрс ӧкмыссё дас кӧкъямсӧд) во - Григорий календар срти абу кассяна во, пансьӧ воторниксянь. == Лоӧморъяс == косму тӧлысь 26-ӧд лун - Кӧрткерӧсса культурно-просветительскӧй кружок пуктӧма А. Островскийлысь «Бедность не порок» пьеса, (комиӧдӧмаӧсь Суханов гозъя). Тайӧ лоӧма Коми муын медводдза коми спектакль. ода-кора тӧлысь - Усть-Сысольскӧ локтӧма челядьыскӧд .Л. Керенск - Временнӧй революционӧйправительствоса премьер-министр Алексндр Фёдорович Керескийлӧн гӧтыр. йирым тӧлысь 16-ӧд лун - Усть-Сысольскын Вадор улича вылын воссьӧма медводдза челядь видзнін (ӧні - «Яблонька» 2-ӧд No-а челядь видзанин), ытчӧ ветлӧдлісны 18 кага. 1925 воын вӧлӧма нин 108 кага. Тані уджалӧма кык юкӧн: роч (80 морт) да «зыряна» 38 морт). Садикын абу тырӧма велӧдан да мукӧдоборудование, каульничаяс. Челядьсо видзсны 6 час, вердісны ӧтчыдыс луннас. Пажун вылӧ сетісны нянь да тшй,гежӧда - сакар либӧ кампет. Сёян-юан да пе тырмтӧм вӧсна тшӧкыда каникуласисны. == Чужисны == тӧвшр тӧлысь 3-ӧд лн - коми войтырлысь история туялысь Яов Беносиков (куліс 1989) рака тӧлысь 2-ӧд лун - коми гижысь Зоя Рогова (куліс 2004) рака тӧлысь 13-ӧд лун - коми гижысь, драматург, актёр, режиссёр Василий Леканов (куліс 1989) рака тӧлысь 28-од лун - нималана кои вӧралысь, Ленин орден новлӧдлысь Агафья Артеева (куліс 199) космутӧлысь 21-ӧд лун - челядьлы коми гижысь, вуджӧдчысь Степан Равский (куліс1996) ода-кора тӧлысь 13-ӧд лун - ССР кдӧ военнӧй разведкаын уджалысь, генерал-полковник Алсандр Одинцов (куліс 1995) вӧльгым тӧлысь 10-ӧд лун- Коми мулысь истрия туялысь, история наукясса кандит Лидия Сурина (куліс 2015)",228,Perturbed,data_perturbation,
