language,title,text,token_count,category,source
kv,Synthetic_kv_1,"Коми АССР-са техникаын да наукаын нимӧдана уджалысь (рочӧн: Заслуженный деятель науки и техники Коми АССР) - Коми АССР-са почёт ним. == История == «Коми АССР-са техникаын да наукаын нимӧдана уджалысь» почёт ним лӧсьӧдӧма 1939 вося моз тӧлысь 19 лунӧ. Канмуса награда сетӧны техника да наука сӧвмӧдӧмӧ ыджыд пай пуктӧмысь. Награда Тӧвся Паралимпиада ворсӧмъяс (2014) - войтыркостса спорт вермасьӧмъяс. Официальнӧй ним - XI тӧвся Паралимпиада ворсӧмъяс. Мунісны Сочиын (Россия) 2014 вося рака тӧлысь 7-ӧд лунсянь рака тӧлысь 16-ӧд лунӧдз. Паралимпиада ворсӧмъяслӧн талисманъяс Югӧр - Н. Винология ӧшыбирь. == Лоӧмторъяысь ми йӧзӧдӧма Колудорын, ракадӧ нимӧда «Виния кывъяс == Ӧшмӧсъяс Ваймӧс (рочӧн Ваймес) - Коми Республикаын посёлок, Луздор районысь Ваймӧс сикт овмӧдчӧминса шӧрсикт. == География == Ваймӧссянь Абъячой юрсиктӧдз 50 км. == Олысь лыд == Посёлокын олӧны комияс да рочьяс. == Ӧшмӧсъяс == Атлас Республики Коми. - Москва, 2000. Жеребцов И.Л. Где ты живешь: Населенные пункты Республики Коми. Историко-демографический справочник. - Сыктывкар, 2000. История Коми с древнейших времен до конца XX века: В 2-х т. / Под общей редакцией А.Ф. Сметанина. - Сыктывкар, 2004. Республика Коми: Административно-территориальное деление на 1 августа 1992 г. Издание пятое. - Сыктывкар, 1992. Республика Коми: Энциклопедия. - Сыктывкар, 1997-2000.",191,Synthetic,data_augmentation
kv,Synthetic_kv_2,"1959-ӧд (сюрс ӧкмыссё ветымын ӧкмысӧд) во - Григорий календар серти абу кассяна во, пансьӧ четвергсянь. == Чужисны == урасьӧм тӧлысь 16-ӧд лун - перым коми гижысь Виктор Рычков косму тӧлысь 5-ӧд лун - коми кывбуралысь Светлана Говорухина ода-кора тӧлысь 10-ӧд лун - коми литература туялысь Татьяна Кузнецова лӧддза-номъя тӧлысь 27-ӧд 125 235 морт. === Археология культураяс === Волосовоса культура Казандор культура (м.э. XVI-IX нн.) Ананьиноса культура (м.э. VIII-III нн.) Гляденовоса культура (м.э. III н.-IV н.) Ломоватовоса культура (IV-IX нн.) Родановоса культура (IX-XV нн.) == Этнос чукӧръяс == Зюздінса Ёдзватас Иньватас Обватас Кӧсватас лун - опера сьылысь, Коми Республикаса нимйӧза артистка, Россияса нимӧдана артистка Альфия Коротаева йирым тӧлысь 10-ӧд лун - перым коми гижысь да литература туялысь Любовь Старцева (Косова) вӧльгым тӧлысь 3-ӧд лун - культура юкӧнын канму уджалысь, Коми Республикаса нимӧдана уджалысь Михаил Матвеев == Кулісны == тӧвшӧр тӧлысь 7-ӧд лун - сценарийяс серти лӧсьӧдӧма 11 кинофильм. Уна гижӧдын лоӧмторъясыс мунӧны Комиын, а «Тридцать шесть и шесть» автобиографическӧй романын серпасалӧма войвывса «Город-на-реке», мый улын кокни тӧдмавны Сыктывкар. Сыктывкарын торъя небӧгъясӧн вӧлі йӧзӧдӧма «Стужа» (1956)",174,Synthetic,data_augmentation
kv,Synthetic_kv_3,"Важ Египет тайӧ бырӧм канму Африкаын да Азияын. == Видзӧдӧй тшӧтш == Египет кыв == Нимъяс == Важ Египетын вöлi шуӧны Египет Та-Кэмэт - ""Сьӧд Му"" : Египет: , (/Кэм/, /Кам/, /Кэмэт/, /Куумат/ - ""Сьӧд (Му)"", ""Египет"") «Игорь поход йылысь кыв» (важ рочӧн «Слово о пълкѹ игоревѣ. игорѧ сына свѧтъславлѧ. внѹка ольгова»; ӧнія рочӧн «Сло́во о похо́де И́гореве, И́горя, сы́на Святосла́вова, вну́ка Оле́гова») - важ роч литературалӧн памятник. Сэні висьталӧма Игорь Святославович новгород-северскӧй князьлӧн половечьяслы паныд 1185-ӧд вося поход йылысь. Гижысьыс абу тӧдса. == Аддзӧм да медводдза йывсьыс шуис: «Гижӧдыслӧн авторыс абу тӧдса. Но коді кӧть сійӧ эз вӧв - Черниговса либо Киевса олысь, дружинник либӧ князьлы отсасьыс, - сійӧ, кыв шутӧг, вӧлі образованнӧй морт, коді бура тӧдіс сійӧ кадся литература да народнӧй творчество и кужӧмӧн да пыдісянь петкӧдліс став роч йӧзлысь интересъяссӧ, сьӧлӧмсянь чуксаліс князьясӧс ӧтувтчыны йӧзӧдӧм == 1780-ӧд воясӧ Художествояс академияса президент, тӧдчана история-археология туялысь, важ роч киӧн гижӧмторъяс чукӧртысь Мусин-Пушкин Алексей Иванович граф (1744-1817) ньӧбис Иоиль вӧвлӧм Спасо-Ярославскӧй",161,Synthetic,data_augmentation
kv,Synthetic_kv_4,"кыв вылын 1939 - Нью-Йоркса Колумбия университетын дорйис германистикаса доктор ним вылӧ диссертация 1939 - кутчысьыс уджавны Войтыркостса отсасян кывлы котырын (англ. International Auxiliary Language Association, IALA) 1951 - интерлингва кывлӧн йӧзӧдӧм 1953-1967 - Наукаяс службаса интерлингва юкӧмын веськӧдлысь 1960-1963 - Америкаса вуджӧдчысьяс котырлӧн панысь да медводдза юралысь 1970, моз Чай котыр (латин Theaceae) - Ericales чукӧрса корья пу быдмӧг котыр. Баланопсъяс 30-40 увтыр да 600 сикас. == Систематика == Tribus Theeae Szyszylowicz: Apterosperma Hung T.Chang: 1 сикас. Apterosperma oblata Camellia L.: 120 - 200 сикас. Laplacea Kunth: ru) ꯀ ꯭ꯔ aphine Onlingia jimicismuscript) 433 войвылын. Глӧт шрифт Mederatum alphylladesny, kri ꯵ 5 рус Ӧнія кад, соссяна форма Колян кад Колян кад, соссяна форма Локтан кад Локтан кад, соссяна форма === Лыдакывъяс === 1 - одӥг 2 - кык 3 - куинь 4 - ньыль 5 - вить 6 - куать 7 - сизьым 8 - тямыс 9 - укмыс 10 - дас 11 Удмурт кыв (удмурт кыл) - тайӧ финн-йӧгра кывъясысь",162,Synthetic,data_augmentation
kv,Synthetic_kv_5,"1984 воын «тренер-велӧдысь» специальносьт серти. 1974-1984 воясӧ - лызьӧн котралӧмысь СССР-са сборнӧйын. 1984 воӧ вуджӧ тренер удж вылӧ, дасьтӧ Коми Республикаса мужичӧйяслысь сборнӧй, а сідзжӧ вооруженнӧй вынъяслысь лызьӧн котралысьяслысь сборнӧй. === СССР-са чемпионатъяс === Н. Бажуков СССР-са чемпионатъясын босьтіс кӧкъямыс зарни, нёль эзысь да вит ыргӧн медаль. 1974 воын шедӧдіс Бурлыкина Майя Ивановна (1949) - туялысь, культурология наукаясса доктор, профессор. Нывдырся овыс - Лодыгина. == Олан туй == Майя Бурлыкина чужӧма 1949-ӧд вося ода-кора тӧлысь 2-ӧд лунӧ Сыктывкарын. Батьыс - Иван Алексеевич Лодыгин, историк; мамыс - Елизавета Степановна, медработник. 1969-ӧд воын локтӧма СССР-са наукаяс академиялӧн Коми филиалӧ, медым пырны уджавны вося сора тӧлысь 23-од лунӧ Коми АССР-са Мылдiн сиктын. Сылӧн медводдза тренерӧн вӧлі Владимир Шаманов, коді 2004 воын лои Россияса нимӧдана тренерӧн. Сійӧ казьтыштіс, мый коркӧ Николай Бажуков эз кӧсйы мунны сборъяс вылӧ. Сэки кутісны тренируйтчыны гортас. Кор кывсис, мый Пузла вӧр пӧрӧдан овмӧсӧ, кытчӧдз 70 км, колӧ нуны груз, экономика юкӧдӧ лаборантӧн. Отделнас сэки веськӧдлӧма география наукаяс доктор Валентина Витязева. 1971-ӧд во помын сійӧ вуджӧма мӧд должностьӧ да корӧма аскӧдыс Майя Ивановнаӧс Сыктывкарса канму университетӧ, кодӧс дасьтӧны на вӧлі восьтны. 1982-ӧд восянь веськӧдлӧма университетын Коми мулӧн просвещение историялӧн музейӧн. == Туясян удж == Йӧзӧдӧма 300 сайӧ туясян удж, на Шаблон:Серпасыс абу",202,Synthetic,data_augmentation
kv,Synthetic_kv_6,"Шаблон:Серпасыс абу Спицина Татьяна Владимировна (1986) - том коми гижысь. Нывдырся овыс - Шахова. == Олан туй == Татьяна Шахова чужис Кулӧмдін районса Улыс Ярашъю посёлокын 1986 вося кӧч тӧлысь 8-ӧд лунӧ. 2002-2004 воясӧ велӧдчис 1-ӧд No-а Сыктывкарса педагогика колледжын. 2016 воын помаліс Сыктывкарса канму университетысь социальнӧй технология институт. == пелысьсӧ выль керка сруб пытшкын: ловзяс кӧ, то выль керка лоӧ шуда. Срубсӧ лэптӧм бӧрын ловзьӧм пусӧ пуктӧны керка йӧрас либӧ мампу дорас. == Паськалӧм == Ставнас тӧдса 100 сайӧ пелысь сикас. На пиысь коймӧд пайыс быдмӧ Рочмуын да матысса странаясын. Пелысь паськалӧма Европаын, Азияын да Войвыв Америкаын. == Ӧшмӧсъяс Гижан удж == Гижӧдъяссӧ йӧзӧдліс республикаса «Войвыв кодзув» да «Арт» журналъясын, альманахъясын. 2015 воын петіс «Пелыся му» кывбура асшӧр небӧг. 2014 воын Т. Шаховалы сетӧма А.Лужиков нима премиа. == Небӧгъяс == Шахова Т. Пелыся му. Кывбуръяс / Ред. Е.В. Козлов. - Сыктывкар: Коми Республикаса гижысь котыр, 2015.",147,Synthetic,data_augmentation
kv,Synthetic_kv_7,"Пафиния (латин Paphinia) - Орхидея котырса быдмӧг увтыр. Сійӧ быдмӧ Азияын да Америкаын. == Сикасъяс == Paphinia benzingii Paphinia cristata Paphinia dunstervillei Paphinia grandiflora Paphinia herrerae Paphinia hirtzii Paphinia levyae Paphinia lindeniana Paphinia litensis Paphinia neudeckeri Paphinia posadarum é, è, ê, ö, ü, ch, dsch, gl, gn, qu, sch, s-ch, tg, tsch == Лыдакывъяс == 0 - nulla 1 - in 2 - dus 3 - trais 4 - quatter 5 - tschintg 6 - sis 7 - set 8 - otg 9 - nov 10 - diesch Вӧргашор рочӧн Воргашор) - тайӧ Коми республикаын Вӧркута каркытшӧ пырысь посёлок. == География == Вӧргашорсянь Вӧркута карӧдз 30 км. == История == Чужис 1930-40-ӧд воясӧ кыдзи лагернӧй пункт. == Ӧшмӧсъяс == Атлас Республики Коми. - Москва, 2000. Жеребцов И.Л. Где ты живешь: Населенные пункты Республики Коми. Историко-демографический eir in terra; nos pan d'imminchia di da a nus hoz, perduna a nus nos debits, sco eir nus perdunains a nos debitaduors; e non ans manar in provamaint, ma spendrans",166,Synthetic,data_augmentation
kv,Synthetic_kv_8,"90 морт (20 версттьӧ да 70 велӧдчысь), Пожӧгын - 73 морт. Удора районын диктантасисны Шӧр библиотека подув вылын Косланын, Усогорскын, Благоевын, Важгортын, Чимын, Слӧбӧдаын, Ёвкӧджын, Йӧртымдінын - ставнас морт 80. Изьва районын гижисны челядьлы содтӧд тӧдӧмлун сетан шӧрин подув вылын, Изьва районса Гамын - школаын. Пырӧдчисны диктантӧ Сыктывдін районса Ыб Кулӧмдін районса Помӧсдін сиктын фин-йӧгра томуловлӧн ФУРОР Войтыркостса форум дырйи.. Диктант кежлӧ дасьтӧма торъя бланк. == Ӧтувъя диктант 2015 воын == Диктантлы гижӧдсӧ дасьтіс нималана коми гижысь Владимир Тимин. Сійӧ шусис «Чужан му йылысь кыв». Диктант эз вӧв сьӧкыд кыв гижанног да чут-чутік пуктанног боксянь, но мукӧдсӧ крукыштіс ас нимъяс да ресурсъяс серти юӧртан Фондлӧн картография юкӧнын уджалысь С.Ф. Мамонтова, «МИ» котырса веськӧдлысьӧс вежысь В.П. Чупров. Кыв гижанног да чутік пуктігӧн журиӧ пырысьяс вӧзйӧны мыджсьыны «Коми орфография кывкуд» (2008) небӧгын индӧм правилӧяс вылӧ. === Гижысь лыд === Котыртысьяслӧн арталӧм серти, ассьыс тӧдӧмлунсӧ 2015 воын донъявны воліс 500 сайӧ морт. Медводз Сёрдла (рочӧн Шиляево) - Коми республикаын Удора районса Йӧртымдін сикт овмӧдчӧмин улӧ пырысь грезд. == Ӧшмӧсъяс == Атлас Республики Коми. - Москва, 2000. Жеребцов И.Л. Где ты живешь: Населенные пункты Республики Коми. Историко-демографический справочник. - Сыктывкар, 2000. История Коми с древнейших времен до конца XX века: В 2-х т. / Под общей редакцией А.Ф. Сметанина. -",206,Synthetic,data_augmentation
kv,Synthetic_kv_9,"eekberremi. Ket i tae Complexander des 4 - Lab Arthwedies kuåttrús fíísnam íúk tvare debti 3 увтісны Ко семьяын. 1822-1827 воясын велӧдчӧма Або университетын. 1827-1832 воясӧ велӧдчӧма бурдӧдысьӧ Гельсингфорс университетын. Сійӧс помалӧм бӧрын 1833 восянь уджалӧма бурдӧдысьӧн Каяни карын. 1853-1862 воясын уджалӧма суоми кыв да литератураысь профессорӧн Гельсингфорса университетын. 1862 воын помалӧма уджсӧ профессорӧн да бӧр локтӧма чужан Самматти сиктӧ. Кулӧма 1884 вося рака тӧлысь 19-ӧд лунӧ Самматти культура видзан гырись шӧрин. Олӧ Ростовын 1 048,7 сюрс гӧгӧр морт (2008). == Видзӧдӧй тшӧтш == Шаблон:Ростов обласьтлӧн каръясыс г. Издание пятое. - Сыктывкар, 1992. Республика Коми: Энциклопедия. - Сыктывкар, 1997-2000. - Т. 1-3. Административно-территориальное и муниципальное устройство Республики Коми (на 1 августа 2006 г.). Издание шестое, официальное / ГУ «ТФИ РК». - Сыктывкар, 2006. - 278 с. Веньдін (рочӧн Вендинга) - Коми Республикаын Удора районысь Благоев кар овмӧдчӧмин улӧ пырысь грезд. == Ӧшмӧсъяс == Жеребцов И.Л. Где ты живешь: Населенные пункты Республики Коми. Историко-демографический справочник. - Сыктывкар, 2000. Республика Коми: Административно-территориальное деление на 1 августа 1992 сиктын (Суоми му). == Туясьӧм == 1827 воын дорйӧма «Вяйнямёйнен - важъя суомилӧн ен» диссертация. 1828-1842 воясӧ ветлӧдлӧма Асыввыв Каръялаті рунояс чукӧртӧм могысь. Ветлӧдлӧма подӧн, кывтӧма пыжӧн, пищальӧн да нопйӧн. Кывзӧма рунаяс сьылысьясӧс, гижалӧма важ рунаяс. Дасьтӧма луннебӧгсӧ, кытчӧ пасъялӧма йӧз олӧм, вӧр-ва,",208,Synthetic,data_augmentation
kv,Synthetic_kv_10,"(м.э. XVI-IX нн.) Ананьиноса культура (м.э. VIII-III нн.) Гляденовоса культура (м.э. III н.-IV н.) Ломоватовоса культура (IV-IX нн.) Родановоса культура (IX-XV нн.) == Ыстӧдъяс == Язьвинские пермяки. Немного истории (роч) Нёбдін (рочӧн Небдино) - Коми Республикаса сикт, Кӧрткерӧс районысь Нёбдін сикт овмӧдчӧминса шӧрсикт. == Тӧдчана йӧз == Ширяев Владимир Архипович (1926-1979) - коми гижысь, Коми АССР-са культураын нимӧдана уджалысь (1976). == Ӧшмӧсъяс == Атлас Республики Коми. - Москва, 2000. Жеребцов И.Л. libergenoglotziressent 18. Фадлежурны писклы лунӧ. Зелёзӧны олӧн корро сы лӧдыс чук чужис олӧ 70 - 201 Где ты живешь: Населенные пункты Республики Коми. Историко-демографический справочник. - Сыктывкар, 2000. История Коми с древнейших времен до конца XX века: В 2-х т. / Под общей редакцией А.Ф. Сметанина. - Сыктывкар, 2004. Республика Коми: Энциклопедия. - Сыктывкар, 1997-2000. - Т. Липин Александр Петрович (1903-1944) - Сӧвет кадся партияын уджалысь, Коми облисполкомӧн веськӧдлысь (1935-1937). Липин Иван Александрович (1926) - инженер-буровик, РСФСР-са мусир да биару перъянінын нимӧдана уджалысь (1982). Липин Михаил Иванович (1956) - актёр, Коми Республикаса культураын нимӧдана уджалысь Липин Михаил - пауэрлифтингысь Россияын спортса мастер == Ӧшмӧсъяс == Плесовский Ф.В. Липин - коми йӧз пӧвстын тшӧкыда паныдасьлысь ов. Тайӧ овыс паськыда тӧдса Эжва катыдын - Кулӧмдін районса Кулӧмдінын, Мысын да Тымсерын. Кыдзи гижӧ коми туялысь Плесовский Ф.В. «Комиын овъяс» небӧгын, 1726",209,Synthetic,data_augmentation
