pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
4321.0,Хуррой,"Хуррой - Мезопотамехь I.В. кхоалгӀачу эзар шеран шолгӀачу декъехь гучадаьлла къам ду. Хуррой мотт Хьалха Азехь, Хуррой бахкли бицаз хиалла. I.В. кхолгӀачу эзар шарахь Тигр (Хуррой меттахь Aranzah) хин гонахь бехна бу. Хуррой Кавказера мезопотами кибл ахур чу бехкан хила мег, ама из хьинцар тешал дина дац шира йознашцани Хуррой хенар. Вайн бовза уггар шира Хурройн дай мохк Тигр хина уллехь болу Субарту мохк бу. Субартер дхьа бержан Хуррош йерриг Анатолир, ПирӀони Махк кхачалц мохкнаш кхоллан. Уггар ондий бокхи Хуррой Мохк хилла Митанни Мохк.",ce,Истори,aléatoire,https://ce.wikipedia.org/?curid=4321,94,,['ru'],False,Истори,Catégorie principale
123228.0,Ӏапказ,"Океан йа Ӏапказ (шира желт. Ὠκεανός / Ôkeanós) - географехь, инзаре йоккху меттиг дӀалаьцна лаьтташ массо а континенташна гобаьккхина долу дуьра хи ду. Латтан 71,1 % тӀехуле дӀалаьцна латтош йу «планетан Ӏапказо» йа «Ӏапказ» (доккха О дуьллуш хьалха) Ткъа и-ша бу 5 Ӏапказе бекъалуш. Берриге хӀордаш цаьрна йуккъе боьлхуш бу. == Хьажоргаш == Викилармехь йу Ӏапказ теман медиафайлаш Ӏапказы и моряАрхивйина 2016-02-01 - Wayback Machine. П. Ю. Плечов Происхождение Ӏапказа.",ce,Географи,aléatoire,https://ce.wikipedia.org/?curid=123228,76,,['ru'],False,Географи,Catégorie principale
535056.0,Политика,"Поли́тика (шир.-желт. πολιτική «пачхьалкхан гӀуллакх») - пачхьалкхан Ӏедалан меженан а, церан даржерчу нехан а гӀуллакх; ткъа иштта пачхьалкхан функцешца доьзна йукъараллин дахаран гӀуллакхаш а, хиламаш а. Политика Ӏилманца Ӏамор дӀахьо политологин гуран чохь. == Термин схьаялар == Антикан заманахь полисаш (желт. πόλις) историн агӀора кхоллалора ша-шенан урхаллин гӀалан йукъараллаш санна, цара конституици йира шеш политикин формаци санна, йукъараллаш - и йукъараллин ша кхоллаелла кеп Шира Грецин йогӀура. Кхиина яьржира Италехула, нисса Руман империн чухула. Пачхьалкхаш а, импереш а кхиарца шуьйра юкъаметтигийн политикин оьшура хийцамаш а, урхаллин система а кхиор. Политика урхаллин методологи санна кхоллалора полисашкахь, цигахь гуллора урхаллин элита а, шайха хин йолу элита кхоллалуш йолу тайп-тайпана чкъоьрнаш а (пхьоланаш, говзаллаш, ишколаш). Ша политика термин юкъаяьккхина вайн эрал IV бӀешо хьалха. Аристотела кховдийра цунна иштта билгало: политика - пачхьалкхан (полисан) урхаллин говзалла. Политика къаьстира ша йолу социалан дахаран область санна оцу хиламал дуккха а хьалха - экономикин юкъаметтигел я эхь-бехкал тӀаьхьа делахь а. Масех тайп-тайпана гар ду политика схьаяларан Ӏаламах: Теологин. Оцу гарца политика, дерриг дахар санна, делера схьаяьлла ю. Антропологин. Оцу гаро язайо политика адаман Ӏаламах. Биологин. Иштта тидаран маьӀна ду, политикин Ӏалам кхето деза адаман а, дийнатийн а йукъара базица - масала, [[дера хилар], ша лардаран инстинкт, ца эша гӀертаран къовсам, кхин дӀа а. Этолога К. Лоренца, масала, доьхкура дера хиларан феномен йукъараллин дахарехь долу тӀемашца, революцешца, кхин девнашца. Психологин. Оцу гарца адамийн политикин юкъаметтигийн дуьххьарлера хьост ду хьашташ, иэшамаш, эмоцеш, кхин а адамо психика гайтар. Шен ламаст хиллачу кепара политикин маьӀна дора, масала, З. Фрейда, цуо политикин Ӏаламан ассоциаци йора кхетам чохь ца хиларца.",ce,Политика,ordonné,https://ce.wikipedia.org/?curid=535056,260,,"['ru', 'bg']",True,Политика,Catégorie principale
87651.0,Бацойн мотт,"Бацойн мотт, иштта цо́ва-тушинийн мотт, цова́тойн мотт (бац. Бацбур мотlтl) - Бацойн мотт. Гуьржеха Кахетин мехкан Ахметан кӀоштера Земо-Алвани цӀе йолу эвлахь баьржина мотт. XIX бӀешо долалуч хенахь лаьмнийн Тушетера хьа баьхкина бацой. Ша шина тиллина цӀе - бацав (ед. ч.), бацби (мн. ч.). Мотт буьйцучера дуккхалла 3 эзар адам (леррина, 1990-гӀа шш.). Дукху болу бацой шайн мотт бицбина гуьржийн метта тӀе боьрзуш бу. Бацойн мотт бу - нехан меттанийн йукъара цхьаъ; царна юкъахь вайнехан меттанашна дуьхьалхӀоттийна бу.",ce,Нах,ordonné,https://ce.wikipedia.org/?curid=87651,81,,"['ru', 'bg']",True,Нах,Catégorie principale
17653.0,Баскетбол,"Баскетбо́л (инг. basket - тускар, ball - буьрка) - буьркаца спортан ловзар. Баскетболехь ловзуш ши команда хуьлу. ХӀора командан Ӏалашо йу буьрка дуьхьалболчера тускаран чукхоссар а, шайн тускар Ӏалашдар а. Тускар ду 3,05 метр лекха хӀоттина (10 фут). ХӀора командера майданан тӀехь хуьлу пхип стаг. Командехь 12 стаг хуьлу. Ловзуш берш ма-луу хийца йиш йу. Генара (3 очко луш долу сизал дехьара) буьрка чукхоьссича 3 очко ло. Оцу сизал сехьара чукхоьссича 2 очко ло. ГӀудан кхоссар чукхоьссича 1 очко ло. Баскетболан майда йу 28 метр йеха а, 15 метр шуьйра а. Баскетбол йу дуьненахь гӀаръялла спортан тайп. Баскетбол йу Олимпан ловзарийн программе йукъайогӀуш 1936 шо дуьйна. И ловзар кхоьллинарг, Джеймс Нейсмит оцу Олимпиадехь хьаша вара. Божарийн йуккъехь баскетболан дуьненан чемпионаташ йолайелира 1950 шарахь, зударашна йуккъера чемпионаташ - 1953 шарахь, Европин чемпионаташ - 1935 шарахь. == Хьажоргаш == www.fiba.com Архивйина 1996-11-04 - Wayback Machine - сайт ФИБА www.fibaeurope.com - сайт ФИБА Европа www.uleb.net Архивйина 2008-05-10 - Wayback Machine - сайт УЛЕБ www.basket.ru Архивйина 2017-06-12 - Wayback Machine - сайт РФБ www.nba.com - сайт NBA www.basketball.ru(ТӀе цакхочу хьажорг) - новостной и обзорный портал",ce,Спорт,ordonné,https://ce.wikipedia.org/?curid=17653,184,,['ru'],False,Спорт,Catégorie principale
17657.0,Бейсбол,"Бейсбо́л (инг. baseball, base - «бух», ball - «буьрка») - командан спортан ловзар бейсболан буьркаца а, битаца а. Яхьаллонашкахь дакъа лоцу шина командас. ХӀора командехь 9 (наггахь 10) стаг хуьлу. Бейсбол чӀогӀа яржина Кубехь а, АЦШ а, Венесуэлехь а, Японехь а, Китаехь а, Къилбера Кореехь а. АЦШ а, Японехь а, Чехехь а, кхоьчу пачхьалкхашахь а яржина ю софтбол - атта йина бейсболан тайп. Цунах ловзало чохь а, жима байнаш тӀехь а. Тахана бейсболах ловза 120 пачхьалкхахь. Цунах тера ловзараш ду крикет а, песаполо а Финляндехь, ойна Румынехь а, лапта Россиехь а. == Хьажоргаш == Международная Федерация Бейсбола(ингалс.) Конфедерация Европейского Бейсбола Архивйина 2004-08-31 - Wayback Machine(ингалс.) История игры в Венесуэле",ce,Спорт,ordonné,https://ce.wikipedia.org/?curid=17657,112,,['ru'],False,Спорт,Catégorie principale
17660.0,Гольф,"Гольф (инг. golf) - спортан ловзар. Къовсалучера Ӏалашо ю жима буьрка клюшкашца леррина деккхина жима ор чутохар. Тоьлларг лору клюшка къезга тоьхнарг. == Истори == Ловзар кхолладелла Шотландехь. Иза кхоьллинарш бу жан Ӏуй. Уьш къиссалора гӀожмишца тӀулгаш пхьагалийн Ӏуьргаш чу тоха гӀерташ. Схьахетарехь, гольф кхоллаелла XIV бӀешарахь. XV бӀешарахь Шотландехь юкъадели масийтта закон «гоуфах» ловзар ца могуьйтуш. XVII бӀешарахь гольфах ловза болабелира Нидерландашкахь. Гольф таханлера кепе еара XIX бӀешарахь. == Литература == Кевин Макгимпси, Дэвид Нич. Гольф: раритеты и реликвии. История гольфа в восемнадцати лунках. - Перевод с английского Михаила Гребнева под общей редакцией Алексея Николова. ИД «Анатолия», 176 с. Москва 2006 Кевин Макгимпси. Гольф: история мяча. - Перевод с английского Михаила Гребнева под общей редакцией Алексея Николова, ИД «Анатолия». 526 с. Москва 2006 Б. Галлахер, М. Уилсон. Гольф для начинающих. - Перевод Т. Новиковой. Фаир-Пресс, М. 2005, 192 с. == Хьажоргаш == Международная Федерация гольфа PGA Тур Всё о гольфе в России и в мире",ce,Спорт,ordonné,https://ce.wikipedia.org/?curid=17660,159,,['ru'],False,Спорт,Catégorie principale
158840.0,Колизей (Соьлжа-ГӀала),"Спортхолл «Колизей» - Соьлжа-ГӀалахь йолу спортан комплекс. == Хьажоргаш == О нас (бил-боцу.). colosseum-gr.ru. ТӀекхочу дата: 2016 шеран 4 июнь. Архивйина 2016-07-01 - Wayback Machine Муслим Ибрагимов, Александр Иванов. В Грозном ко дню города приурочено открытие спорткомплекса «Колизей» на 5 тыс. человек (бил-боцу.). Кавказский узел (2014 шеран 29 сентябрь). ТӀекхочу дата: 2016 шеран 4 июнь. Пятитысячная спортивная арена «Колизей» открылась в Грозном (бил-боцу.). РИА Новости (2014 шеран 5 октябрь). ТӀекхочу дата: 2016 шеран 4 июнь.",ce,Спорт,aléatoire,https://ce.wikipedia.org/?curid=158840,75,,['ru'],False,Спорт,Catégorie principale
17661.0,Регби-футбол,"Регби (инг. rugby) - масийтта вовшаххьакъалуш командан ловзарийн тайп. Уьш кхоллаелла XIX бӀешарахь. Царех шиъ гуттара йаржинарг йу регби-15 а, регбилиг а (регби-13). Ингалсан мотт буьцу пачхьалкхашахь царех олу регби-футбол (инг. rugby football). Регби-15 а, регбилиган а куьйгалхо до Халкъашна йуккъера регбин советас а, Халкъашна йуккъера регбилиган федерацис а. Шортта кхийолу регбин тайпанаш иштта оцу шина федерацин керахь йу. == Хьосташ == Godwin T., Rhys C. The Guinness Book of Rugby Facts & Feats. - Enfield: Guinness Superlatives Ltd, 1981. - ISBN 0-85112-214-0. Richards H. A Game for Hooligans: The History of Rugby Union. - Edinburgh: Mainstream Publishing, 2007. - ISBN 978-1-84596-255-5.",ce,Спорт,aléatoire,https://ce.wikipedia.org/?curid=17661,108,,['bg'],False,Спорт,Catégorie principale
16738.0,Спорт,"Спорт (инг. sport, дацдар старофранц. desport- «ловзар», «самукъадаккхар») - неха гӀоралла йа хьекъал дуьхь-дуьхьал хӀотторан ша-тайпа бакъонашца нисдина гӀуллакх а, оцу гӀуллакхе кечам бар а. == Литература == Гайл В. В. Краткая история физической культуры и спорта: Учебно-методическое пособие. - Екатеринбург: Уральский государственный технический университет - УПИ, 2006. В. В. Григоревич. Всеобщая история физической культуры и спорта. - М.: Советский спорт, 2008. - ISBN 978-5-9718-0254-9. == Хьажоргаш == Спорт каталог чохь йу хьажоргаш Open Directory Project (dmoz). Спорт Open Encyclopedia Project чохь",ce,Спорт,aléatoire,https://ce.wikipedia.org/?curid=16738,85,,['ru'],False,Спорт,Catégorie principale
