pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
6267.0,Австралия (континент),"Австралия - Му планета вылын квать континентісь ӧтік. Сія куйлö Асыввыв джыншарын да Лунвыв джыншарын. Австралия кыдз континент лыддисьö Океания муторын. Этія континентас токö öтік канму, кöда сідзжö шусьö Австралия.",koi,География,ordonné,https://koi.wikipedia.org/?curid=6267,68,,['ru'],False,География,Catégorie principale
,Эскимос-алеут кыввез,"Эскимос-алеут кыввез нето Эскалеут кыввез - этӧ кыв вуж. Алеут кыввез Алеут кыв - 150 морт Меднӧй-алеут кыв (алеут-роч пиджин) - 5 морт Эскимос кыввез Юпик кыввез Сиреник кыв нето Сиреник юпик кыв (Uqeghllistun) - Рочмуись Чукотка кытшись Сиреник (Сиӷы́ныӽ) посёлокын, †1997, Валентина Выйе Сибирись юпик кыв Уназикский говор : Рочмуись Чукотка кытшись Унгазик (нето Чаплино) посёлокын Аванский говор : Рочмуись Чукотка кытшись Аван посёлокын Имтукский говор : Рочмуись Чукотка кытшись Имтук посёлокын диалект острова Св. Лаврентия : Америкаись Ӧтлаасьӧм Штаттэзын Аляскаись Св. Лаврентия діын Науканісь юпик кыв - Рочмуись Чукотка кытшись Наукан да Дежнёв посёлоккезын Аляскаись юпик кыв нето Медшӧр Аляскаись юпик кыв (Yugtun, Yugcetun, Cugtun) Алютик кыв нето Сухпиак кыв (Sugcestun, Sugtestun, Alutiitstun) Инуит кыввез Инюпиак кыв нето Инюпиатун (Iñupiatun) Ууммармиутун (Uummarmiutun) Рытвыв Канадаись инуит кыв, Инувиалуит кыв, нето Инувиалуктун (Inuvialuktun) Сиглит диалект нето Сиглитун (Siglitun) Инуиннактун диалект (Inuinnaqtun, ᐃᓄᐃᓐᓇᖅᑐᓐ) Натсилик диалект нето Натсилингмиутут (Siglitun) Асыввыв Канадаись инуит кыв нето Инуктитут (Inuktitut) Гренландия инуит кыв нето Калааллисут (Kalaallisut) : Калаалит Нунаатын",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=6321,163,6321.0,['ru'],False,Культура,Sous-catégorie
,Тӧдса пилот,"Тӧдса пилот этӧ коми зыряналӧн сьыланкыв. Кыввезыс В.Власовлӧн. Музыкаыс В.Мастеницалӧн. Ме ю шӧрӧ пета Да бакенъяс ӧзта, Мед прӧйдитас сэт теплоход; Выль тӧлыськӧд ӧттшӧтш Горт пристаньӧ чеччас Лӧз синъяса тӧдса пилот. Рыт колльӧдны волӧ, Мед тӧдны, кыдз ола Ме, бакенъяс видзысьлӧн ныв. Кӧть сёрнитны сыкӧд И абу зэв сьӧкыд, Но мыйлакӧ вошлывлӧ кыв. Мед частӧджык волӧ Да кузьджыка олӧ; Сэк тӧдмала: радейтӧ оз. Ме ӧзтася ачым, Мед бурджыка аддзӧ, Да бӧр теплоходыс оз кос",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=978,74,978.0,['ru'],False,Культура,Sous-catégorie
,Зиль-Зёль,"Зиль-Зёль - этӧ коми сьыланкыв. Шыладыс В.Гущинлӧн Кыввезыс А.Шебыревлӧн Мусук локтіс рытъядорӧ, Ӧшинь улын кыйкъялӧ, Ывла вылӧ бара корӧ, Менам бандзиб ыпъялӧ. Пельӧй чошӧ, мый нӧ тайӧ, Мелі шыысь пӧсьӧдӧ. Кодкӧ ворсӧ-ворсӧ рытӧ-войӧ, Кодкӧ сьӧлӧм вӧрзьӧдӧ. Припев: Зиль-зёль кӧнкӧ кылӧ, Зиль-зёль вошӧ дой, Зиль-зёль, зиль-зёль олӧм-вылӧм, Талун сатин, аски ной. Кильчӧ вылын зонмыс вӧзйӧ Аслас киӧн вӧчӧмтор. Аддза: синмыс шудӧн ӧзйӧ, Варовитӧ серамсор. Менам киын югыд шонді, Менам киын вӧрса ёль, Гулыд сӧстӧм ягыс, чизыр тӧлыс - Ӧти кывйӧн зиль да зёль. Мусук локтіс рытъядорӧ, Менӧ мамӧ велӧдӧ. Еджыд кудри, вылын морӧс, Тэнӧ зонмыс ылӧдӧ. Мамӧй, мамӧй, зӧлӧтанӧй, Сыысь муса зон эз коль. Олӧм-олӧм гугӧй, олӧм банӧй, Артмам сыкӧд зиль да зёль.",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=592,112,592.0,['ru'],False,Культура,Sous-catégorie
,Иньва (лыддьӧтан ӧктӧт),"Иньва - коми лыддьӧтан ӧктӧт (литературно-художественнӧй сборник), кӧдӧ кадісь кадӧ лэдзӧны Кудымкарын перем коми кыв вылын да рочӧн. Ассис нимсӧ ӧктӧтыс босьтӧма Иньва ю сьӧрті, кӧда Коми кытш лунвылын лоӧ медыджыт юӧн. Ыджыт косясян бӧрын медодзза лыддьӧтан ӧктӧт перем комиӧн петіс 1949 годӧ. Сылӧн ним вӧлі «Миян крайын», сэсся сэтшӧм ӧктӧттэсӧ лэдзлісӧ быдкодь ниммезӧн: «Мича асыв» (1951 во), «Миян луннэзӧ» (1954 во), а 1955 годӧ первуись петіс «Иньва» нима лыддьӧтан ӧктӧт. Сьӧрас лэдзӧм ӧктӧтыс бӧра петіс «Иньва» нимӧн (1958 во). Сыбӧрын лыддьӧтан ӧктӧттэз пондісӧ петны быд год: 1959 - «Тулысся ваэз» 1960 - «Веж ыб» 1961 - бӧра «Иньва» 1962 - «Парма» 1963 - «Гора му» 1964 восянь «Иньва» лои лыддьӧтан ӧктӧтыслӧ пырся ним. 1964-1968 - «Иньваэс» петлісӧ быд во, но сы бӧрын лыддьӧтан ӧктӧт пондісӧ лэдзны шочжыка. Сідз, «Иньва» локтіс лыддьӧтісь дынӧ 1971, 1976, 1983, 1987, 1992, 1995, 2002 воэзӧ. 1950 годдэзӧ лыддьӧтан ӧктӧттэзын вӧлісӧ тектсттэз кыдз комиӧн, сідз и рочӧн, 1960-1980 воэзӧ - токӧ комиӧн. Ӧні комиӧн гижӧны и лыддьӧтӧны етша да, бӧрья петаннэс бӧра лоисӧ кык кывьяӧсь. == Ӧшмӧссэз == Коми-пермяккез. Кудымкар, 2008. ISBN 978-963-9876-09-05. Коми-Пермяцкий автономный округ на рубеже веков. Кудымкар, 2000. ISBN 5-87901-051-1 Пахорукова В.В. Иньва йылісь сьыланкыв. Коми-пермяцкӧй литература 20-80 годдэзӧ. Кудымкар, 1989",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=606,199,606.0,['ru'],False,Культура,Sous-catégorie
,Важ перем гижӧт,"Важ перем гижöт (сідзжö шуöны важ перем гижöт, важ коми гижöт, важ коми анбур, Степанлöн анбур) - коми отирлӧн медваж гижöт, кöдö коми кыв понда лöсьöтöма вежа Перем Степан. == Ним йылісь == Перем гижöтнас этійö алфавитсö шуöны то мыля. XII-XV веккезö роччез нимтöмась Коми мунымöс Пе́ремь. Этійö кывсö локтісь славяна кывлöмась вепссэзлісь, кöдна ны сайись муэсö шуöмась Пе́рямя, мый лоö ""Бöрму"". Вежа Степаныс и локтас этія Перем муö, медбы пыртны татісь коми отирсö Кристос нимöн да лöсьöтны татчö епархия. Эта понда сылö коліс вуджöтны Ен небöггез коми кыв вылö. Мед текстыс вöлі виль кристосаэзлö вежöртана, мортыс босьтöма важ коми пассэз да лöсьöтöма нійö роч да эллин шыпассэз сьöрті. Перем муын оліссезлöн, коми отирлöн, лоис ассяма алфавит, кöдö и шуöны важ перем гижöтöн нето важ перем анбурöн. Анбур (мукöдыс гижöны абур) лоö алфавит комиöн. Роч азбука моз жö, коми анбурыслöн нимыс аркмöма кык медодзза шыпаслісь ниммесö тэчöмöн: ан да бур. Медваж коми анбурсö вежа Степан и лöсьöтöма. Сійöн, кöр рочöн баитöны анбур йылісь, вежöртöны этія ним увтын токö стефаница. Но коми отирлöн анбуррес и сёрöнжык уна эшö вöлісö. Сысянь стефаница йылісь мийö комиöн висьталам: важ коми анбур нето Степанлöн анбур, и эта лоö сія жö, мый важ перем гижöт. == Лыддьöтан == Бараксанов Г. Г. Важ коми гижöдъяс. Сыктывкар, 1992. Лыткин В. И. Древнепермский язык. М., 1952. Лыткин В. И. Историческая грамматика коми языка. ч. 1. Сыктывкар, 1957. Сперанский М. Н. «Тайнопись в юго-славянских и русских памятниках письма». Л., 1929. Христианизация Коми края и ее роль в развитии государственности и культуры. Т. 2. Филология. Этнология. Сыктывкар, 1996. Шабаш А. В. «История криптографии», Ч. 1. М., 2002. ISBN 5-85438-043-9 Черепнин Л. В. «Русская палеография». М., 1956. == Ыстӧттэз == Языки народов России в интернете - Абур Old Permic alphabet Omniglot.com сайтын Заявка на включение древнепермской письменности в Юникод Гижись: Майкл Эверсон Коми кыв",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=4884,328,4884.0,['ru'],False,Культура,Sous-catégorie
,Молодцов анбур,"Молодцов анбур (рочӧнжык молодцовскöй алфавит) - коми зыряналöн 1918'-1932' и 1936'-1938' годдэзö да перем комиэзлöн 1921'-1932' годдэзö гижан шыпаскуд. == Анбур == Сьöрсьöн-бöрсьöн шыпассэз молодцов анбурын мунöмась сідз: == История == Анбур лöсьöтöма 1918' годö Молодцов Сандрö Васьö. Сы ним сьöрті алфавитсö и шуöны. Молодцов лöсьöтöма анбурсö роч азбука под вылын. Коми алфавит аркмöтікö сія босьтіс принцип туйö серб кириллича, кöда сьöрті быд шылö колö адззыны тодильнöй шыпас. == Шыпассэз == Анбурас перво вöлі сымда шыпас, мымда шыэз коми кылын - 33. Сэсся содтöмась роч шыпассэз ф, х, ц, кöдна пантасьöны токö рочовöй кыввезын. Роч анбурись д, ё, и, й, ъ, ь, э, ю, я шыпассэз молодцов анбурын эзö вöлö. Тыргора /э/ шы пыр мыччалöмась е шыпасöн. Латина анбурись босьтöмöсь шыпассэз Ԁ = öння д і = öння и, і ј = öння й ӧ = öння ö Небыт шыэз мыччалöмöсь вывлань бöжока шыпассэзöн: ԃ = öння дь ԅ = öння зь ԉ = öння ль ԋ = öння нь ԍ = öння сь ԏ = öння ть Аскодя аффрикатаэз мыччалöмöсь увлань бöжока шыпассэзöн: җ = öння дж ԇ = öння дз щ = öння тш == Лыддьöтан == Коми язык. Энциклопедия / Отв. ред. Г.В. Федюнёва. М., 1998. 608 c. ISBN 5-7903-0045-6 Молодцов В. Некоторые принципы зырянского правописания. Усть-Сысольск, 1927. == Ыстöттэз == Кыдз молодцов шыпассэз Mac OS-ын öктыны Молодцов анбур йылісь рочöн == Ыстісяннэз == Шаблон:Коми алфавиттез",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=7173,239,7173.0,['ru'],False,Культура,Sous-catégorie
,Балуев Анатолий Данилович,"Балуев Анатолий Данилович (1946) - Коми кытшись кинорежиссёр. Сы творчествоын унажыксо тӧдчӧны коми мотиввез. == Олан туй == А. Д. Балуев чужис март 5 лунӧ 1946 годӧ Кӧч посадын. 1963 годӧ помаліс Кӧчись жӧ шӧрӧт школа, сэсся кынымкӧ во уджаліс посадас да районас. Велӧтчис Кинематография сьӧрті всесоюзнӧй государственнӧй институтын кинотӧдӧм факультет вылын. 1973 восянь уджалӧ Свердловскись киностудияын редакторӧн, бӧрынжык и режиссёрӧн. 1999 годсянь - веськӧтлӧ Свердловскись государственнӧй телерадиокомпаниялӧн «Уралтелефильм» творческӧй йитӧтӧн. Кинематография кужӧт сьӧрті роч академияись «Ника» нима чукӧрлӧн академик (1997), Рочмуись кинематографисттэз йитӧтлӧн Урал юкӧтын веськӧтланісь член (1996). == Фильммез == О, велосипедист! (1976) По собственному желанию (1979) Холм (1990) Прощание славянки (1983) Фуга (1988) Ми вӧлім тшынӧн (Мы были дымом, 1992) Гыэз (Волны, 1994) Тупи-тап (1996) Хор (1998). == Ошканпассэз == Уна приз да награда Международнӧй фестиваллез вылын босьтісӧ сылӧн фильммез: «Фуга», «Мы были дымом», «Волны», «Хор» да мӧдіккез.",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=469,141,469.0,['ru'],False,Культура,Sous-catégorie
,Важ Египет,"Важ Еги́пет (ас шуан ним Та-кемет, Та-мери, Та-уи, Ке́ми да сідз одзлань) - сідз шусис Африкаись ойвыв-асыв ладорись, улісь Нил ю вадоррезись, Важ Му периодся кӧркӧся цивилизация. Важ Египетлӧн история нюжалӧм 40 нэм кузяӧн и янсӧтчӧ исследователями на додинастическӧй кадколас вылӧ (кӧр эшӧ эзӧ вӧлӧ канмуэз да фараоннэз), династическӧй кадколас вылӧ (Египетлӧн медкузь да медыджыт период кӧда нюжалӧма 27 нэм кузя), Эллада кадся Египет кадколас вылӧ (Элладалӧн да Египетлӧн сорвасьӧм культура, Птолемей династия юралӧм), Рим кадся Египет кадколас вылӧ (няньӧн медозыр провинция Рим империя пытшкын).",koi,История (Sous-catégorie),,https://koi.wikipedia.org/?curid=8843,85,8843.0,['ru'],False,История,Sous-catégorie
,Суоми,"Суоми нето Финму (су. Suomi, шв. Finland, роч. Финляндия) - ыджыт канму Асыввыв Европа ойвылын, суоми отирлӧн горт му. Пырӧ Ӧтласа Европаӧ да Шенген зонаӧ. Ӧтласа мувывторнас Суоми лоис 1809' годсянь, кӧр финнэз муыслӧ дӧнзис автономия Роч империя пытшкын. Октябся революция бӧрын, 1917' восянь Финму лоис мезмыт канмуӧн. Талун Суоми видзӧ визир куим канмукӧт: асыввылас куйлӧ Рочму, ойвыв-рытвылас - Шведму, ойвылас - Норвег. Лунвылас да рытвылас Суоми петӧ Балты саридз дорӧ, татӧн шыль видзӧны Фин курья да Похья курья. == География == Европааись мӧдік канмуэз сьӧрті, Суомиыс ыджыткодь. Но, ойвылын куйлӧ да, олісьыс татӧн абу уна. Мувывторыслӧн ыждаыс - 338 145 километра квадрат, а олӧны дзир 5 милион мымда морт. Ордчаӧт: Немечмуын, кӧда пӧшти сы ыжда жӧ, олысьыс лоӧ 80 миллион. Суомиыс видзӧ мувывся визиррез куим канмукӧт: асыввылын - Рочмукӧт, ойвылын - Норвегкӧт, да ой-рытвылын - Шведмукӧт. Эм сылӧн и саридзвывся визиррез. Лунвылын, Фин курья пырйӧт - Эстмукӧт. Рытвылын да лун-рытвылын Суоми да Шведму коласын водӧма Похья курья, кӧда Балты саридз шӧрсянь торйӧтӧма Олан ді чукӧрӧн. Олан діэз Суоми кан увтынӧсь жӧ, но лыддисьӧны тодиль асвеськӧтлана торӧн. Мукӧдкоста Суоми, Шведму да Норвег ӧтлаын шуӧны Скандинав канмуэз, кӧть география ладорсянь дзир Шведму да Норвег олӧны Скандинав кӧджын. Суоми, Шведму, Норвег, Данмарк да Исланд ӧтлаӧтӧны и мӧдік нимӧн: Ойвывся канмуэз. Этадз аркмис сы понда, мыля эна канмуэс лӧсьӧтӧмась Ойвывся совет, и сы пыр видзӧны ӧта-мӧдныскӧт бур йитӧттэз.",koi,География (Sous-catégorie),,https://koi.wikipedia.org/?curid=952,253,952.0,['ru'],False,География,Sous-catégorie
