pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
21571.0,Agent blå,ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям Agent blå - шведэнь инди-поп сёдямо-морамо кужо. == «Agent blå»-с совицянзо == Эмели Алатало - морыца Феликс Скёрвальд - гитарасо Лукас Густавссон - гитарасо Жозефина Так - бас-гитарасо ды морыца Арвид Кристенсен - налкси перкуссияссо Тобиас Бауэр - синт === Синглат === 2015 - «Strand » 2017 - «Don't Talk to Strangers» 2017 - «Rote Learning» 2018 - «Another Reason To Cut Off An Ear» 2019 - «Child's Play» === EP === 2018 - «Medium Rare» === Альбомт === 2017 - «Agent blå» 2019 - «Morning Thoughts» == Невтевкст == Кулятне Discogs-со Agent blå эсьлемпелень вальмась Facebook потсо,myv,Культура,ordonné,https://myv.wikipedia.org/?curid=21571,108,,['ru'],False,Культура,Catégorie principale
,Кристаньчи,"Кристаньчи (грек. Χριστός - «Пома́занник», «Месси́я») - масторонь пазнэнь кемемась, кона лисемсь малав 33-це иестэ Палестинасо, эрямо ды тонавтнема Иисус Кристосдо. Сынь ёвтнезь Од Вейсэньлувсо (Библиянь пелькс). Кристантне кадот Иисус Кристос Назаретсто ули Мессия, Пазнэнь цёра, ломанень идиця. Сынь кодат эсь историкань ойменев. Кристаньчи - сехте покш авраамиянь ды масторонь пазнэнь кемемась, улицятнень ламочи коряс (малав 2,4 млрд. ломанть) ды географиянь кастома коряс: кристиантне улить весе кирдимастортнесэ. Седе покш кристианонь тарадт - католицизма (малав 1,2 млрд ломанть), православия (малав 280 млн.), протестантизма (малав 800 млн.), кезэрень чилисемань православной церьковат (монофизитства) ды кезэрень чилисемань Ассириянь церькова Чилисемасо (несторианства) (70-80 млн.). 1054-це иень ульнесь церьковань явома православной ды католикань церьковатнень (кезэрень чилисемань явомсь икеле). Протестантизмонь явомс ульнесь реформациянь виень результатось католикань церьковасо XVI пингезэ. == Литературась == Наукань литературась Болотов В. В. Лекции по истории древней Церкви. - СПб., 1907 1918. Т. 1-4; М., 1994 (репринт). Донини А. У истоков христианства (от зарождения до Юстиниана): Пер. с итал. / Под общ. редакцией проф. И. С. Свенцицкой. - М., 1979. - 341 с. Зелинский Ф. Ф., Мелиоранский Б. М. Христианство // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.). - СПб., 1890-1907. Карташёв А. В. Вселенские Соборы. - М., 1994. Христианство / Кузенков П. В., Аверинцев С. С. // Хвойка - Шервинский. - М. : Большая российская энциклопедия, 2017. - С. 194-197. - (Большая российская энциклопедия : [в 35 т.] / гл. ред. Ю. С. Осипов ; 2004-2017, т. 34). - ISBN 978-5-85270-372-9. Поснов М. Э. История христианской церкви (до разделения Церквей - 1054 г.) Пучков П. И. Христианство // Народы и религии мира: Энциклопедия / Гл. ред. В. А. Тишков. - М.: Большая Российская энциклопедия, 1999. - С. 855-861. - 928 с. - 100 000 экз. - ISBN 5-85270-155-6. Свенцицкая И. С. Раннее христианство: страницы истории. - М.: Политиздат, 1987; М., 1988; М., 1989 Свенцицкая И. С. Первые христиане и Римская империя. - М., 2003. Свенцицкая И. С. Судьбы апостолов: мифы и реальность. - М.: Вече, 2006. Фрэзер Дж. Дж. Фольклор в ветхом завете. - М.: АСТ, 2003. - 650 с. Христианство: Словарь / Под общ. ред. Л. Н. Митрохина. - М.: Республика, 1994. - 559 с. - 50 000 экз. - ISBN 5-250-02302-9. Христианство: Энциклопедический словарь / Гл. ред. С. С. Аверинцев. - М.: Большая Российская энциклопедия, 1993/1995. - Т. 1-3. - 2317 с. - ISBN 5852700231. (Т. 3. С. 489-526 обширная библиография). == Невтевкст == Схематическая история христианства",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=24309,407,24309.0,['ru'],False,Культура,Sous-catégorie
,Оскасо - тея стенас,"Оскасо -тея стенас - эрзянь пакшатнень телень ды кизэнь чыйнема-чарамо налксемась. Налксить 10 - 14 иесэ цёрынеть ды тей􏰀 тернеть. Ламочист - зяро пурнавить. == Налксемань кедьёнкстнэ == 1. Резинань оска 4 - 10 см диаметрасо. 2. Лазонь чавомка, 12 см келезэ, 60 см кувалмозо. 3. Стена􏰀лаз 200х30 см эли щит 100х30 см покшолмасо, чавозь палка лангс ды тон􏰀 гозь модас. == Налксемань кой􏰀кирдатне == Налксема паксянть лангс теевить кавто буйть, сынст тешкстасызь кикс􏰀 сэ. Буйтнень ютксо 15 - 20 метрат. Стенась стявтови васенце буенть кун􏰀 шкас. Жеребейсэ кочкави ванстыця. Сон ары стенанть малас. Весе лия налксицят􏰀 не, кинь кодамо мелезэ, срадыть пакся􏰀 ванть омбоце буенть удалов. Сынсь эсест ютксто кочкить очкань ловныця. Ванстыцясь, чавомкасонть виевстэ эшкезь, кучсы осканть паксяс. Весе налксицятне терявтыть кундамс ос􏰀 канть ливтямсто. Осканть кундыцязо ары омбоце буень киксэнть лангс ды ёртсы стенантень. Бути оскась понги стенас, сестэ ёртыцясь ары ванстыцякс ды сонсь ушоды пачтнеме осканть ча􏰀 вомкасонть паксянтень. Сон карми истя тейнеме знярс, зярс паксясо налк􏰀 сицятне а токасызь оскасонть стенанть. Эшксематне ютавтовить сестэяк, зярдо киненьгак налксицятнестэ оскась а кундави. Изницякс лиси се, кие налксемань перть пурнась седе ламо очкат. Стенас понгоманть ды чавомкасонть осканть паксяв эрьва кучнеманть кисэ путови вейке очка. Бути налксить кавто командат, сестэ изницякс ули се, косо налксицятне пурнасть седе ламо вейс путозь очкат. == Сёрм.: == Брыжинский Василий Сергеевич 2002: Сиянь рисьминеть. Мордовской книжной издательствась. Лл.96-97.",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=10100,226,10100.0,['ru'],False,Культура,Sous-catégorie
,Гуль-гуль гулинеть,"Гуль-гуль гулинеть - эрзянь пакшатнень телень ды кизэнь чыйнема-чарамо налксемась. == Налксемань кой􏰀кирдатне == Вете налксицят пурнавить срубс. Нолдазь пряст токавтсызь вейс, кундыть вейкень􏰀вейкень карксамос ды, чаравтозь ладсо лыказь, вейсэ ёвтыть ловомка: Тинге лангсо гулькине,: Якстере кемть пильгсэнзэ,: Сэнь одежат лангсонзо. :Пиже шапка прясонзо - Кулдыр􏰀гук!:: «Кулдыр􏰀гук!» валтнэнь ёвтазь весе капшить совамс ужос. Кадовозесь ары одицякс.: Весе налксицятне кепедьсызь коняст икелев мендязь кедьлапушкаст. Те ули гулькань нерекс. Одицясь ары конаяк налксицянть икелев ды токавтсы эсь «гулянь нерензэ» те налксицянть «гулянь нерьс», сонсь мери: «Гуль􏰀гуль!». Налк􏰀 сицясь велявтсы «нерензэ» ве ёнов. Оди􏰀 цясь моли омбоценть, мейле колмоценть, нилеценть икелев ды эрьвантень мери: «Гуль􏰀гуль!». Бути кияк эйстэст каи кар􏰀 шо вал: «Сон гуль» ды колмоксть «клю􏰀 кадьсы» одицянть «нерьс», сестэ весе полавтнесызь эсь таркаст. Одицясь, кода весе, капши арамс киньгак таркас. Кие кадови таркавтомо, ули одицякс..: Налксемась моли знярс, зярс а налк􏰀 стави..: Мелень коряс эрьва од одицясь эсь те􏰀 вензэ ушодсы «озксонь» гулянь киште􏰀 масо. Сон киштезь теи кирькс, теке мар􏰀 то моры:.: Гуль􏰀гуль, гуль􏰀гуль􏰀г.:уль, Гуль􏰀гуль, гуль􏰀гуль􏰀гуль... == Сёрм.: == Брыжинский Василий Сергеевич 2002: Сиянь рисьминеть. Мордовской книжной издательствась. Лл.59-60.",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=9552,179,9552.0,['ru'],False,Культура,Sous-catégorie
,Юр-юрнэсэ,"Юр-юрнэсэ - эрзянь пакшатнень налксема. Налксицятне 8 - 12 иесэ тейтернеть ды цёрынеть. Налксить кизна нарлангсо, тельня - кудосо. == Налксемань кой􏰀кирдатне == Налксема паксянть лангс сювозь палкасо черькстави кирькс. Покшолмазо ашти налксицятнень ламочист эйстэ. Бути налксицятнеде аламо, кирьксэсь ули седе вишкине. Ютавтозь киксэнть ланга рядсек􏰀 рядсек путневить картононь, фанерань, эчке конёвонь а покш панкст. Эйстэст зняро, штобу аволь сато вейке налкси􏰀 цянтень. Весе налксицятне стить кирьксэнть куншкас путнезь панкстнэнень удало ёндо. Весе сынь оцинят. Верев кедень кепедезь, сынь, прок ружиясто, арсить токамс уронть, кона чийни прява. Вейке налксицясь рангсты: «Юр!». Весе, мельга􏰀мельцек молезь ды истя жо ружиянь кепедезь, туить кирьксэнть потмова якамо ды морамо (эли ловномо): Молемстэ эрьва валонть лангс тееви вейке эскелькс. Маряви секе вайгелесь: «Юр􏰀юр!». Весе капшить озамс конаяк паксян􏰀 тень. Вейкенень таркась а саты. Сон карми улеме одицякс. Весе озазтне кума􏰀 жаст мендясызь - тееви пильге лапатне􏰀 стэ оштё вейке кирькс, конань куншкас сти одицясь. Апак учо одицянть кие􏰀бути лоштясы кутьмерьс кушаксо эли кодазь сурень кар􏰀 кссо. Те кушакось улияк юр􏰀юрокс, урокс. Одицясь эрязасто велявты, ды арси кун􏰀дамс уронть. Ансяк сон ней кода чийни налксицятнень кумажаст алга. Зярдо урось максневи вейке вейкень кедьс, налксицятне ютавтыть эрьва кодамо манчемань тейневкст: буто урось кадовсь кинь􏰀бути кедьс ды се налксицясь кек􏰀 шизе сонзэ эли буто урось чийни ве ло􏰀 маньстэ омбоцес, алкукс жо сон кирдеви кинь􏰀бути кедьсэ ве таркасо. Тейневить лия манчемкаткак - весемесь моли нал􏰀 ксицятнень эрязачидест. Зярдо лоштясызь одицянть кушаксо, весе налксицятне пижнить: «Юр􏰀юрнэ! Юр􏰀юрнэ!». Одицясь окойники кундасы урнэнть. Се налксицясь, кинь кедьстэ урнэнть саизе, сти кирьксэнть куншкас, а сонсь одицясь ары тарказонзо. Налксеманть одов ушодомадонзо икеле весе стить. Икелень одицясь ран􏰀гсты: «Юр􏰀юрнэ! Юр􏰀юрнэ!» ды ёртсы кушаконть верев. Кие􏰀бути кундасы кушаконть ды кекшсы эсензэ удалов. Весе эрязасто ойсить эсь таркаваст. Лисни истяяк: кушаконть таго кунда􏰀 сы се, кинь кедьстэ ансяк саизе одицясь. Сестэ сон рангсты: «Юр􏰀юрнэ! Юр􏰀 юрнэ!», а весе налксицятне полавтнесызь таркаст. Те шканть од одицясь кенери саемс киньгак тарканзо, а таркавтомось тееви одицякс. Налксемась моли пек эрязасто, кеняр􏰀дозь. == Сёрм.: == Брыжинский Василий Сергеевич 2002: Сиянь рисьминеть. Мордовской книжной издательствась. Лл. 12-13.",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=9249,338,9249.0,['ru'],False,Культура,Sous-catégorie
,Ур мельга пансема,"Ур мельга пансема - эрзянь пакшатнень налксемаст. Налксемась моли тунда ды кизна. Налксицятнеде седе ламо цёрынеть. Эйстэст зняро, зяро пуромить. == Налксемань кой-кирдатне == Оциняс, урт, ур мельга панси кискат. Налксемантень туртов муеви келей пакся. Икелевгак кочкави охотник - седе покш цёрыне. Теде мейле содавить уртнэ ды лайкатне. Тень теемс паксянть ланга ютавтови кикс. Весе налксицятне арыть те киксэнть эйстэ 1,5 - 2 м туро, пурныть кургозост почконь пачка ведь ды, икелев кедень венстязь, ледить ведьсэнть поч конть пачка кирькскенть куншкава, кона тееви покш ды невтема сурбрятнень вей сэндязь. Ледемс эряви киксэнть тона ёнов. Видестэ кирькскенть куншкава ледицятне улить урокс, кие ледизе эсь кедензэ - ур мельга панси кискакс (лайкакс). Эрьва урось теи эстензэ «кудо» - вети паксянть лангс киксстэ чувто ёнов молиця фигура. Тесэ сон карми идеме пря охотни кень кискатнеде. Чувттнэ улезт зняршкат, штобу лайкатненень уртнэ авольть токаво кирьгасто каязь кирьгакстнэсэ. == Сёрм.: == Брыжинский Василий Сергеевич 2002: Сиянь рисьминеть. Мордовской книжной издательствась. Лл. 43-44.",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=9225,157,9225.0,['ru'],False,Культура,Sous-catégorie
,"«Э, каштомава, авине» (моро)","«Э, каштомава, авине» (моро) - те Торамань морось. Валтнэ(*): Э, каштомава-авине... э э каштомава-андыця А иля тандат лаштедем, иля да тандат вайгельдем Минек покш-покш тиринек, ээ савтык минек превенек Макст миненек кедень вий, и... макст миненек валдо сельмть Саик лувонь прянок, ээ ванстык лувонь пряканок Ох паро мельнес арсинек, ээ паро тевнесь кундынек Э... Гарай церась пек паро..о Гарай алясь пек мазы Видев килей рунгозо, о... мазы умарь чамазо О... валдо валске сельмензе... ээ... туи янга-вирьнева А-а-а-пак яксев ки ланга... ааа... макска тензе кедев вий, Э... макска тензе валдо превть... Э.. аютавинть-ютасы, э аизнявинть-изнясы И...каштомава-авине, ды каштомавам-тирине Э паро тевнес путанок, ох вадря тевнесь путанок Ох парсте кирдик каштом сим... парсте пидик лувонькшинть Э макстанок теть виезь пря, амакстанок теть ливезь ведь. (*) - невтезь истя, кода морави. ауль литературань кельсэ.",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=3081,131,3081.0,['ru'],False,Культура,Sous-catégorie
,«Кодамо моро минь моратано» (моро),"«Кодамо моро минь моратано» (моро) - те Торамань морось. Валтнэ(*): Кодамо моро минь моратано? Да кодамо, кодамо моро уставатано? Кизэ чинь моро минь моратано, Маней шкань моро уставатано. Кизэ чинь морось: вай,луга,луга, Маней шкань морось: вай, луга, луга. Луганть кункшкава сравтовсь ки, Луганть куншкава тапазь виде ки Кияванть молить колмо покшт ушмот, Те кияванть молить колмо покшт ушмот. Весе ушмантнэ сынь киштить, морыть Весе ушмантнэ, сынь пейдить, ракить. (*) - невтезь истя, кода морави. ауль литературань кельсэ.",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=3080,77,3080.0,['ru'],False,Культура,Sous-catégorie
,Трагедия,"Трагедия (нем. Tragödie ← лат. tragoedia ← кез.-грек. τραγωδία - сеянь моро: τραγως «сея» ды ἀοιδή / ᾠδή, ᾠδά «моро; ода» эйстэ) - драмань прявт жанратнестэ вейкесь. Эйсэнзэ невтевить пек пштить, сеедьстэ эрямосо а топавтовиця тевть-валт. Трагедиясь сюжетэнть юросо героенть, виев личностенть ды уцясканть, кирдимасторонть, пертьпельксэнть ды лиятнень ютксо эли эсензэ марто а витевиця конфликт. Те тюремасонть героесь сеедьстэ чавови, ансяк нравственностень ёндо лиси изницякс. Трагедиясь целезэ - сыргавтомс ваныцясонть седейсэ вельмевтиця ризнэма, пичедема ды ёжомарямо. Истямо потмоёжось вети катарсисэнтень (ваньксчинтень).",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=25074,81,25074.0,['ru'],False,Культура,Sous-catégorie
,Театрась,"Театрась (грек. θέατρον - «ваннома тарка») - те искусствань вид, конасонть пурназь вейс: литературась, седямось, киштемась, морамось, артомась ды с. т. Од эрадонть икелень пингестэнть уш Афинтнэсэ появасть театрань невтемат, сынь ульнесть покш читнестэ эрьва кодамо морамотнестэ, киштематнестэ ды декламациятнестэ. Васенце шкатнестэ театрась ды театрань невтемась малав целанек човорявильть раськень покшчитнень ды кемематнень марто. Васня театральной невтематьнень ютавтневсть Дионисэнь - винань ды весёлачинь пазонь покшинть шкастонть. Сынь ютавтневсть ульцясо эли куншка, сэрей таркасо. Покшчись ютавтневсь рана тунда, зярдо кенериль од винась, появильть виноградонь васенце касовкстнэ ды паксятнесэ цецятне.",myv,Культура (Sous-catégorie),,https://myv.wikipedia.org/?curid=5542,88,5542.0,['ru'],False,Культура,Sous-catégorie
