pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
141.0,Культурæ,"Культурæ у дзыллæйы æгъдæуттæ (фыст чи не ’рцыд, ахæмтæ дæр), стереотиптæ, хи дарыны фæтк æмæ сфæлдыстадон куысты дыргътæ. Адæймаг цы материалон æмæ монон хæзнатæ скодта, уыдон иумæ. == Æддаг æрмæг == Cultural Anthropology Tutorials Архивгонд æрцыдис 4 декабры 2004 азы., Behavioral Sciences Department, Palomar College, San Marco, California, United States, as of December 12, 2004. UNESCO, ""UNESCO Universal Declaration on Cultural Diversity"", issued on International Mother Language Day, February 21, 2002.",os,Культурæ,ordonné,https://os.wikipedia.org/?curid=141,71,,"['et', 'en']",True,Культурæ,Catégorie principale
51761.0,Æппæтдунеон истори,"Æппæтдунеон истори у æхсæнад æмткæй райсгæ куыд парахат кæны æмæ цавæр иумæйаг зæкъонбæрцæдтæ кусынц дунейы алы къумы дæр, уый иртасæг зонад. Историон процесс фæзындис, адæмы æхсæнад куы фæзындис, гъе уæд. Дихгонд цæуы хронологион периодтыл. Дзыллæтæ парахат кæнынц дыууæ хуызы: цадæггай æмбырд кæнынц ногдзинæдтæ кæнæ та скæнынц революцион раивд иу дугæй иннæмæ. Неолиты хъæууон хæдзарады революци рапарахат кодта фыццаг биноныг цæрæг цивилизацитæ, кæцытæ рахызтой цæугæцардгæнæг фос дарынæй хуым кæнынмæ. Ацы цивилизацитæ фæстæдæр сарæзтой фыссынад æмæ байдыдтой зонд фæлтæрæй фæлтæрмæ дæттын материалон фыстыты хуызы. Уымæй фæзындысты алыхуызон дысныйæдтæ, куысты дихкæнынад æмæ социалон кълæстæ. Хицæн цæрæнрæтты ’хсæн бастдзинæдтæ куы фидар кодтой, уæд фæзындысты фыццаг сахартæ, паддзахæдтæ æмæ империтæ. Се ’хсæн стынг и ерыс. Рагон Ромы импери фехæлды фæстæ Европæй райдыдта Астæузаман. XV æнусы Иоганн Гутенберг мыхуыркæнынад æрымысыдис, æмæ уымæй егъау раивд скодта, кæцыйæ байдыдта Астæузаманæй рахызт Ног дугмæ, Сæндидзæнмæ, зонадон-техникон революцимæ. Мыхуыркæнынадимæ баст ис ног нацийы концепци дæр, фæзындысты национ паддзахæдтæ æмæ национализм. == Литературæ == Всемирная история : в 24 т. / А. Н. Бадак [и др.]; ред. И. А. Алябьева. - Мн. : Литература, 1996-1997. Всемирная история : в 10 т. / Гл. ред. Е. М. Жуков ; АН СССР. - М. : Госполитиздат, 1956-1965. Егер, О. Всемирная история: в 4-х томах. - Издание исправленное и дополненное. - СПб. : Специальная литература, 1997-2002.",os,Истори,ordonné,https://os.wikipedia.org/?curid=51761,212,,['ru'],False,Истори,Catégorie principale
9752.0,Ирæд,"Ирæд (дыгур. æруæд) у къайады ныхмæ исбон дæттыны æгъдау. Ирæд Ирыстоны уыдис Цæгат Кавказы æппæты стырдæртæй, XIX æнусы ирæд фыстой стыр æмæ лыстæг сыкъаджын фосæй. Сæ нымæц-иу хæццæ кодта дæсгæйттæм æмæ суанг фондзыссæдзгæйттæм дæр, ноджы лæвæрдтой зынаргъ дзаумæттæ, хъуамæ се ’хсæн æнæмæнг уыдаид зынаргъ хæцæнгæрзтæ, егъау æрхуы æгтæ. Ирæды æхца æрæмбырд кæнынæн бирæ азтæ хъуыдис, уый аххосæй нæлгоймæгтæ ус æрæгмæ куырдтой, лæг-иу йæ усæй бирæ хистæр уыдис, стæй чызджыты скъæфгæ дæр уый тыххæй кодтой. Скъæфын та-иу арæх туг расайдта. == Ирæды ныхмæ тох Ирыстон æмæ Кавказы == 1866-æм азы Дзæуджыхъæуы æрæмбырд сты ирон æхсæнады минæвæрттæ æмæ сфидар кодтой ирæды нормæ: ирæд 200 сомæй фылдæр хъуама ма уа, зæгъгæ. 1879-æм азы мæхъхъæлон адæмы æвзæрст лæгтæ сфидар кодтой ирæды максимум: 105 сомы, стæй бауынаффæ кодтой чындзы мыггагæй ивар исын, кæд уыцы мыггаг æгæр зынаргъ лæвæрттæ усгурæй исы, уæд. Нырыккон иртасæг Дзуццаты Хасан хъуыдымæ гæсгæ, уыцы æрæнæвæрдтæ уавæр нæ хуыздæр кодтой. === Ирæд исыны ныхмæ газет «Ног цард»-ы тох === Ирон адæмæн стыр трагеди уыди ирæд исыны æгъдау. Газет «Ног цард» карз тох расидт йæ ныхмæ. Ирæд исыны фæдыл газеты цы уацтæ æрцыди мыхуыр, уыдонæй ахадгæдæр уыди Кочысаты Розæйы публицистикон æрмæг «Ирон чызджытæм», кæцы мыхуыргонд æрцыд «Ног цард»-ы 13-æм номыры. Чызгмæ йæ ныййарджытæ кæсынц, исты пайда сæм кæмæй æрбацæуа, ахæм дзаума цыма у, уый цæстæй. Чызджы нæ бафæрсгæйае, равзарынц, фылдæр мулк кæмæй æрбассивой, ахæм усгур. Афтæмæй чындзы ацæугæйæ, сылгоймаг бахауы ахаем уавæры æмæ йæм бинонтæй алчидæр йæ ныфс бахæссы зæгъынмæ: ""Стыр ирæд дыл бафыстам æмæ æнæрынцойæ кус“ æмæ дарддæр: Адæм сæрибардзинады тыххæй сæ туг куы калынц æмæ мæлынц талынг ахæстæтты, уæд нæ алчидæр йæ фыдмæ афтæ бадзурын нæ уæнды: ""Уæ, мæ фыд, æз дæ хъæбул дæн, æмæ мæ цагъæйраджы уæй ма кæн“. Хъуамæ нæ алчидæр йе ’гады тыххæй йæ ныййарджытæм бауæнда уыцы ныхæстæ, æмæ ныууадзын кæнæм ирæды æгъдау. Розæйы фæстæ газеты мыхуыргонд æрцыди Тменаты Елбыздыхъойы уац «Ирæды тыххæй». Автор лæмбынæгæй æргом кæны ирæды экономикон æфсæнттæ æмæ къласон характер, ацы темæйы фæдыл. == Нырыккон чындзæхсæвы æгъдау == Ныр Ирыстоны ирæд нал исынц. Лæппуйы бинонтæ сцæттæ кæнынц фидауæггаг æхца - фидауæггаг цы æхца сæвæрынц, уый у мысайнаг, дыууæ мыггаджы кæй бафидыдтой, кæй бахæстæг кодтой, уый тыххæй.",os,Истори,ordonné,https://os.wikipedia.org/?curid=9752,354,,['ru'],False,Истори,Catégorie principale
46971.0,Мыхуыркæнынад,"Мыхуыркæнынад (цыбырæй фæзæгъынц мыхуыр дæр) у механикон æгъдауæй дзырдтæ æмæ нывтæ гæххæттыл равæрыны процесс. Мыхуырæй цæуынц чингуытæ æмæ газеттæ. Дуне бынтондæр чи аивта, ахæм æрымыстытæй иу у мыхуыркæнынад. Уый ссис, идейæтæ æмæ зонындзинæдтæ парахат чи кодтаид, ахæм хъомысджындæр фæрæз. Мыхуыркæнынад зындгонд у VIII æнусæй, фыццаг мыхуыр кæнын райдыдтой Китай æмæ Корейы цæрджытæ. Мыхуыркæнынад фæзындис Европæйы æрмæстдæр XV æнусы. Ссис асламдæр æмæ тагъддæр, Иоганн Гутенберг уыцы процесс куы фæхуыздæр кодта, уæдæй фæстæмæ. Мыхуыры фæрцы канд зонындзинæдтæ нæ парахат кодтой, фæлæ ма идеологитæ дæр. Мыхуыры капитализмы фæрцы фæзындысты нырыккон нацитæ æмæ национализм. Адæм фылдæр пайда кæнын байдыдтой сæ бынæттон æвзæгтæй - уый размæ та фыстой фылдæр латинагау (Европæ куы райсæм), кæнæ æндæр стыр классикон æвзæгтыл: араббагау, китайагау. Ирон æвзагыл фыццаг мыхуыргонд чиныг рухс федта 1798-æм азы Мæскуыйы. Уый уыдис дыууæ æвзагыл фыст «Цыбырæй катехизис» славяйнаг дамгъæтæй. == Литературæ == Баренбаум И. Е., Шомракова И. А. Всеобщая история книги. - СПб., 2005. Владимиров Л. И. Всеобщая история книги: Древний мир, Средневековье, Возрождение. - М., 1988. История книги / Под ред. А. А. Говорова, Т. Г. Куприяновой. - М., 2001 (первое издание: М., 1999). == Æддаг æрмæг == American Printing History Association Архивгонд æрцыдис 9 февралы 2006 азы. - numerous links to online resources and other organizations The development of book and printing. English website of the Gutenberg-Museum Mainz (Germany) Planet Typography - history of printing - selection of international sites dedicated to the history of printing Learn about printing Архивгонд æрцыдис 4 июлы 2007 азы.-International Paper BPSnet - The website of the British Printing Society Children of the Code - Online Video: The DNA of Science, The Alphabet and Printing",os,Истори,ordonné,https://os.wikipedia.org/?curid=46971,270,,['ru'],False,Истори,Catégorie principale
338.0,Географи,"Географи (бердз. γεωγραφία «зæххы сфыст») у, литосферæ, атмосферæ, гидросферæ æмæ биосферæ чи иртасы, уыцы зонæдты системæ. Фыццаг географион иртасæнтæ фæзынди рагон бердзенаг ахуыргæндтæ (Геродот, Страбон, Птолемей æмæ æндæрты куыстыты). == Политикон географи == Бæстæ Паддзахад Бæстæты номхыгъд алфавитмæ гæсгæ Бæстæты номхыгъд цæрджыты нымæцмæ гæсгæ Бæстæты телефонон префиксты номхыгъд Историон бæстæтæ (чи нал ис, ахæмтæ) Паддзахæдты цæдистæ == Физикон географи == Быдыр Вулкан Денджыз Донкъубал Континент Сакъадах Ног Зæхх Фурд Хох Цад Цæугæдон",os,Географи,ordonné,https://os.wikipedia.org/?curid=338,72,,['ru'],False,Географи,Catégorie principale
19600.0,Æмвæзад денджызы бæрзæндæй,"Æмвæзад денджызы бæрзæндæй - координатæ æртæбæрцон (уырыс. трехмерный) тыгъдады, (иннæ дыууæ уæрхад æмæ дæргъад) æвдисы цавæр æмвæзыл ис тæпп нолыл нымад денджызы æмвæзмæ гæсгæ. Цæмæй тæппы ран æххæстæй бæрæггонд æрцæуа æртæбæрцон тыгъдады, уый тыххæй хъæуы æртыккаг координатæ - Бæрзæнд. Панетæйы центрмæ дæрддзæгæй географи нæ пайда кæны: бæззы афтиддæр планетæйы тынг арф бæстæты афыстæн, кæнæ космосы орбитæтæ нымайынмæ. Географион цъары гæрæнты пайда кæнынц арæхдæр æмвæзад денджызы бæрзæндæй, нымад цæуы «лæгъзгонд» геоиды уæлцъары æмвæзæй. Ахæм æртæ координатæйæ систæмæ уайы ортогоналон, уый æнцондæр кæны нымаинæгтæ. Æмвæзад дæнджызы бæрзæндæй ма æнцойуат у атмосферон æлхъывдимæ басты тыххæй. Зæххы уæлцъарæй дæрддзæг (уæлæмæ кæнæ дæлæмæ) арæх пайдагонд цæуы бынаты афысты рæстæг, фæлæ нæу координатæ цъары æнæлæгъзы тыххæй. == Кæс ноджы == Альтитудæ Географион координатæтæ Уæрхад Дæргъад Навигаци",os,Географи,ordonné,https://os.wikipedia.org/?curid=19600,120,,['ru'],False,Географи,Catégorie principale
572.0,Хъæу,"Хъæу, дыгуронау гъæу, у ахæм цæрæнран, кæцыйы цæрджытæй фылдæр хай кусынц хъæууон хæдзарады. === Æрæфы район (РЦИ-А) === Æхсæрисæр Лескен Толдзгун === Алагиры район (РЦИ-А) === Зынцъар Инджынтæ Дагом Цъамад Уынал Мызур Нузал Бурон Цъæй Нар Дзывгъис Хидыхъус Хæрисджын === Кировы район (РЦИ-А) === Елхот === Рахизфарсы район (РЦИ-А) === Ног Бæтæхъойыхъæу Зæронд Бæтæхъойыхъæу Зилгæ Заманхъул Хуымæллæг Фарн === Дзауы район (РХИ) === Дзау Чъимас Тъонтъобет Стырфæз Чеселт === Знауыры район (РХИ) === Знауыр Алхасен Арчънет Аунеу Балта Бехъмар Гобозтыхъæу Гъаристау Дзагъина Дæллаг Окона Дидмуха Зиулет Ионча Исахъыхъæу Хъорнис Лопъан Малда Мугут Нагутни Недлат Нул Принеу Терегуан Тигъуа Уахтъана Уæллаг Окона Уæллаг Дуан Хслит Хъорнис‎ Цънелис Цъорбис === Ленингоры район (РХИ) === Абреу Алеу Ахалдаба Ахмадз Баджин (Дæллаг Баджин æмæ Уæллаг Баджин) Балаан Бежантыхъæу Бол (Дæллаг Бол æмæ Уæллаг Бол) Велура Гду Гдулет Горга Гру Дзукъатыхъæу Дорет Елойтæ Ереда Захъхъор Икъот Кедигора Къитъриули (Туатыхъæу) Курта Къора Къоринта Ларгуис Ломис Мудзух Науихъеу Нагомеу Орчъосан Салбиар Тогойтæ Тъбет Уехер Харбал Хетъетæ Хъанчавет Хъуелдаба Цгъойтæ Цхилон Цъинагар Цъиркол Цъолд Цъорцъох Цъурта === Цхинвалы район (РХИ) === Дменис Уанат Джер Хелцуа Ортъеу Элтура Ксуис Еред Зонкар Белот Арцеу Тъбет",os,Географи,aléatoire,https://os.wikipedia.org/?curid=572,190,,"['ru', 'bg']",True,Географи,Catégorie principale
19594.0,Уæрхад,"Уæрхад φ {\displaystyle \varphi ~} - къуым бынæттон зениты здæхты æмæ экваторы фæзойы астæу, нымад цæуы 0-æй 90 °мæ экваторы дыууæрдыгæй дæр. Цæгаты æрдæгтымбылæджы географион тæппыты уæрхад (цæгаты уæрхад) нымад цæуы куыд æвæрццæг, хуссар æрдæгтымбылæджы та - æппæрццæг. Ноджы ма абсолютон асмæ гæсгæ стырдæр уæрхæдты тыххæй фæзæгъынц бæрзæндтæ, нолмæ хæстæджыты (ома экватормæ) тыххæй та - ныллæджытæ. Зæххы формæ (геоид) къорийæ кæй хъауджыдзинад кæны, уымæ гæсгæ географион уæрхад дæр цасдæр хицæн кæны геоцентрон уæрхадæй, т. е. къуымæй ацы тæппы здæхтмæ Зæххы цæнтрæй æмæ экваторы фæзойæ. Бынаты уæрхад рабæрæг кæнæн ис ахæм астрономион кусæнгарзты æххуысæй - секстант кæнæ гномон, ис ма спайдагæнæн системæтæй GPS æмæ ГЛОНАСС. Уæрхадимæ æмæ азы афонимæ йæ дæргъ баст у бонæн. == Кæс ноджы == Параллель Географион координатæтæ Дæргъад Навигаци",os,Географи,aléatoire,https://os.wikipedia.org/?curid=19594,122,,['ru'],False,Географи,Catégorie principale
11734.0,Дунейы стырдæр административон иуæгты номхыгъд,"Дунейы стырдæр административон иуæг йæ фæзуатмæ гæсгæ у Уæрæсейы Федерацийы субъект Республикæ Саха (Якути). Йæ фæзуат у 3,1 млн км² фылдæр, ома паддзахады фæзуатæй 17 %, дунейы сурзæххы 2,3 %. Йæ фæзуатæй Якути æмиас у Индиимæ (уый та у дунейы æвдæм стырдæр паддзахад). Æндæр егъау административон иуæгтæ сты: Республикæ Саха (Якути) Уæрæсейы (3 103 200 км²) Штат Ныгуылæн Австрали (2 645 615) Красноярсчы край Уæрæсейы (2 339 700) Гренланди, Данийы дæлбар (2 166 086) Нунавуты Территори Канадæйы цæгаты (2 093 190) Штат Квинсленд Австралийы (1 852 642) Штат Аляскæ АИШ-ы (1 717 854) Синьцзян-Уйгуры автономон район Китайы ныгуылæны (1 660 001) Штат Амазонас Бразилийы (1 570 947) Квебек, Канадæйы провинци (1 542 056) Цæгат территори Австралийы (1 420 968) Цæгат-Ныгуылæн территоритæ Канадæйы (1 346 106) Штат Пара Бразилийы (1 247 689) Тибеты автономон район Китайы (1 228 400) Мидæггаг Мангол Китайы (1 183 000) Онтарио Канадæйы (1 076 395) Штат Хуссар Австрали (1 043 514) Провинци Британийы Колумби Канадæйы (944 735) Штат Мату-Гросу Бразилийы (903 358) Штат Ног Хуссар Уэльс Австралийы (809 444) Хабаровсчы край Уæрæсейы (788 600) Иркутсчы облæст Уæрæсейы (767 900) Ямало-Ненны автономон зылд Уæрæсейы (750 300) Чукоткæйы автономон зылд Уæрæсейы (737 700) Провинци Цинхай Китайы (721 000) Эш-Шаркия Сауды Араббы (710 000) Штат Техас АИШ-ы (695 622) Провинци Альбертæ Канадæйы (661 848) Провинци Саскачеван Канадæйы (651 036) Провинци Манитобæ Канадæйы (647 797) Департамент Агадез Нигеры (634 209) Вилайят Таманрассет Алжиры (619 360) Регион Боркоу-Эннеди-Тибести Чады (600 350) Штат Минас-Жерайс Бразилийы (586 528) Штат Баия Бразилийы (564 693) Ханты-Мансийы автономон зылд Уæрæсейы (523 100) Провинци Сычуань Китайы (485 000) Эль-Куфрæ Ливийы (483 510) Юконы территори Канадæйы (482 443) Камчаткæйы край Уæрæсейы (472 300) Магаданы облæст Уæрæсейы (461 400) Провинци Хэйлунцзян Китайы (460 000) Провинци Ганьсу Китайы (454 000) Вилайят Адрар Алжиры (443 782) Фæсбайкалы край Уæрæсейы (431 500) Карагандайы облæст Хъазахстаны (428 000) Штат Калифорни АИШ-ы (423 971) Провинци Папуа Индонезийы (421 981) Республикæ Коми Уæрæсейы (415 900) Провинци Эр-Рияд Сауды Араббы (412 000) == Æддаг æрмæг == World-gazetteer.com(англ.)",os,Географи,aléatoire,https://os.wikipedia.org/?curid=11734,334,,['ru'],False,Географи,Catégorie principale
19596.0,Дæргъад,"Дæргъад λ {\displaystyle \lambda ~} - лæвæрд тæппы уылты цы мередианы фæзой цæуы, æмæ райдайæн нулон мередианы (уымæй райдайы дæргъады нымад) астæу къул. Ныр Зæххыл нулоныл нымад у Гринвичы зæронд обсерваторийы уылты, Лондоны хуссар-цæгаты цы меридиан цæуы, уый. Уымæ гæсгæ хуыйны Гринвичы меридиан. Дæргъæдтæ 0 -æй 180° скæсæны ’рдæм нулон меридианæй, хонынц скæсæйнæгтæ, ныгуылæны ’рдæм та ныгуылæйнæгтæ. Бахахх кæнын хъæуы æмæ уæрхæдтæй хъауджыдæр, дæргъæдты системæйы райдайæны меридиан хибар у, æмæ баст вæййы исты меридианыл фидыдмæ гæсгæ. Афтæ, Гринвич йæдтæмæ, раздæр нулонтæй æвзæрст цыдысты меридиантæ обсерваториты Парижы, Кадисы, Пулковойы (Уæрæсейы паддзахады территорийыл) æмæ а.д. Дæргъады дæлбар у бынæттон рæстæг == Кæс ноджы == Параллель Бæрзæнд Географион координатæтæ Уæрхад Навигаци",os,Географи,aléatoire,https://os.wikipedia.org/?curid=19596,108,,['ru'],False,Географи,Catégorie principale
