pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
1777.0,Колядкы,"Колядкы - ріствяны співы, котры ся співають на русиньскы мелодії. Суть росшырены тыж міджі іншыма славяньскыма і неславяньскыма народами. Їх тексты прославляють народжіня Ісуса. Подля традіції колядкы співали в русиньскых селах як неодємну часть каждорічного ціклу ріствяных обрядїв віфлеємцї (яслічкарї), котры были облечены так, жебы корешпондовали з ріствянима повіданями, ходили з хыжы до хыжы і грали віфлеємскы гры споєны з народжінём Божого сына. Першы друкованы тексты русиньскых колядок объявили ся в зборниках русиньскых реліґїйных і духовных співів, котры зачали выходити на кінци 19. ст. Міджі першы зборникы присвячены шпеціално тому жанру і надрукованы про потребы Мукачевской ґрекокатолицькой єпархії, належали ""Коляды, або пісні на рождество Христове“ (1936, передрук 1997); першу книгу русиньскых колядок із текстами і музиков зоставив Філарет Колесса (1938). В часі комуністічной влады (1945 - 1989) верейна презентація колядок на землях, де жыли Русины, была векшинов заказана, хоць ґрекокатолицькому священикови Чеськословеньска - Штефанови Папови ся подарило выдати зборник реліґійных співів (""Grekokatolicki duchovňi pisňi“, 1969), в котрім было і пару колядок. В посткомуністічнім періодї співаня колядок зась было можне, зачали ся і выдавать зборникы і музичны записы колядок. == Поужыта література == Філарет Колесса, ""Старинні мелодії українських обрядових пісень (весільних і колядок) на Закарпатті“, ""Науковий зборник Товариства ""Просвћта“, - Ужгород 1934, - с. 121-152, Петръ Линтуръ, Угро-русскія коляды - Ужгород 1942, Юрій Туряниця, ""Новорічно-різдвяні обряди і пісні Закарпаття“, ""Колядки Закарпаття“ - Ужгород 1993, - с. 5-23.",rue,Култура,ordonné,https://rue.wikipedia.org/?curid=1777,226,,['uk'],False,Култура,Catégorie principale
755.0,Кухарьство,"Кухарство або ґастрономія є в шыршым розуміню наука о одношіню културы а потравы, в ужшім розуміню іде о кухарьске або кулінарьске уменя (фр. l'art culinaire) або ґастрономію (наука о жалудку). В шыршім змыслї - ніч навеце - не йде лем о приправу їдел (варіня), але і о їх конзумацію. Є то властнї (в ужшім розуміню) часть сектора служеб. Ґастрономовым цїлём є зробити з приправы і конзумації їдла акт култівованый і повышыти тым їдячого чоловіка на културне бытя, підняти го з рівнї анімалной машыны котра лем жере. Цілём кухарьского ремесла є приправити їдло так, жебы засытив на першім місцї духа конзументів. Прото основны части кухарьского ремесла суть: култівація смаку їдла култівація взгляду їдла култівація паху їдла култівація середовища, в котрім ся їдло сервірує култівація ідеового підтексту їдла",rue,Култура,ordonné,https://rue.wikipedia.org/?curid=755,126,,['uk'],False,Култура,Catégorie principale
790.0,Література,"Література (з лат. littera = буква) або тыж писаня; в шыршім змыслї слова є то сукупность вшыткых писаных текстів, (з лат. textum = тканина) т.є. вшыткых екзістуючіх писемно зазначеных языковых проявів людства. То єсть література умелецька, наукова, технічна, часописецька, мемоарова і пріватна корешпонденція. В узшім змыслї слова ся літературов звычайно думать література умелецька, т.є. красна література, белетрія. Література тыж дїйствує як іншпірація про другых умелцїв - на мотівы літературных дїл выникають образы, скулптуры, піснї і в модерній добі тыж філмы. === Одборна === Обсягує знаня і факты. Выужывать ся про освіту. Шпеціалным видом є популарно-наукова література про шыроку публіку, як сприступнює одборны інформації легко зрозумілов формов. === Умелецька === Тыж красна література або белетрія; ""красна література"" є але шыршый термін як белетрія, бо на розлуку од нёй обсягує і поезію. Красна (умелецька) література може мати писемну і устну форму (народна словесность є з векшой части частёв умелецькой літературы). Основным одрїзняючім ознаком умелецькой літературы є їй функція: повнить естетічну функцію, т.є. выторгує свого внимателя з реалного жывота і звыразнює самотный ознак, т.є. себе саму, на укор свого переданя. === Адміністратівна === Комунікачны протоколы, урядны жадости ітд. === Писана === Література захоплена писомнов формов, === Устна === Передавать ся з ґенерації на ґенерацію. == Дїлїня літературы подля добы вынику == Напр. антічна, барокова... модерна література. === Ліріка === Епіка === Росповідать оповіданя. Основов є дїёва лінія, може їх мати і бівше. == Наукы о літературї == Літературов ся занимають многы науковых областей, напр. літературна історія, літературна теорія, літературна крітіка (оцїнёваня літературы) іі. == Референції == Тоты даны суть часточно або цалком основаны на перекладї статї Literatura на чеській Вікіпедії.",rue,Култура,ordonné,https://rue.wikipedia.org/?curid=790,398,,['uk'],False,Култура,Catégorie principale
20069.0,Украинофил,"Украинофил (од Украина и грец. φιλέω люблю) в узшом вызнамѣ - особа русинского етнолингвистичного окружѣня, котра поважуе, же Русины суть конарьом украинского народа. Украинофилы ай Украинцѣ аргументують, же етноним Русин - то просто старша назва днешнього термина Украинець, а русинскый язык - тото розличны диалекты украинского языка. Антоним - русофил. Ту иде о етничну самоидентификацию. В Российской империи од 1860-х до 1880-х так себе называли участникы украинского народницкого руху (иншак: народолюбцѣ). В ширшом вызнамѣ - то особа (переважно нерусинского походжѣня) котра любить вшитко украинске, або окремы аспекты украинской културы, истории итп. Антоним - русофоб. Ту иде о политичны ци културны симпатии. Напримѣр, в XIX. сторочу украинофилами называли польскых и русинскых писательох, котры собѣ выберали украинску тематику. Украинофилы одмѣтовали русофилскый постулат единого «общерусского народа», котрый якобы загортав Украинцьох (Малорусох, подля словника их опонентох). Они одмѣтовали ай русинофилскый погляд, же Русины можуть або мають творити окрему народность, а таку думку означовали як «сепаратизм». По револучных перемѣнах року 1989 украинофилы, усилуючи ся мати хосен од ростучой популарности етнонима Русин, ци то в Подкарпатской Руси, ци на Лемковинѣ, ци в Пряшовском краю, зачали про «карпатскый конарь» украинского народа хосновати назву Русины-Украинцѣ и твердити, же Русины-Украинцѣ не потребують ниякый «майстровый язык», бо украинскый язык мать повнити функцию их языка културы и «высшой» комуникации. В Российской империи в роках 1890-х и 1900-х термин украинофил достав негативну коннотацию од такых националистичных интелектуалох як Борис Гринченко и Микола Михновскый, котры так зачали называти тых Украинцьох, чия народностна самосвѣдомость не пошла дале од етнографичного оцѣнѣня. Тото уточнѣня термина з части указовало на генерачны роздѣлы меджи некомпромиснов револучнов молодежов и их май мѣрныма старшыма колегами, котры прияли были самоназву украинофил. Молода генерация себе поважовала за свѣдомых Украинцьох, а украинофилох - за такых, што мають двоиту свѣдомость, русску и украинску, бо украинофилство означать симпатию з украинскым яко з иншым, а не своим властным. == Жерела и одказы == John-Paul Himka (1993). Ukrainophilism // Internet Encyclopedia of Ukraine. Canadian Institute of Ukrainian Studies. [перевірено 2023-06-16]. англ. Paul Robert Magocsi. Ukrainophiles. in Paul Robert Magocsi, Ivan Pop. //Encyclopedia of Rusyn History and Culture (Revised and expanded ed.). Toronto Buffalo London: University of Toronto Press, 2005. p. 514. doi:10.3138/9781442674431. ISBN 0-8020-3566-3. англ.",rue,Култура,aléatoire,https://rue.wikipedia.org/?curid=20069,361,,['ru'],False,Култура,Catégorie principale
20055.0,Русофил,"Русофил (од Рус и грец. φιλέω люблю) в узшом вызнамѣ - особа русинского етнолингвистичного окружѣня, котра поважуе, же Русины суть конарьом руського народа. Русофилскы теоретикы, як русинского походжѣня, так ай тоты, што походили з бывшой Российской империи, часто ся одкликують на екзистенцию «общерусского» (давноруського) народа, котрый ся вывинув на три головны етнолингвистичны групы: Великорусы, Бѣлорусы и Малорусы, але вшиткы три хоснують сполочный русскый литературный язык («общерусский язык»). Еднов подгрупов або конарьом Малорусох суть Русины, циже, подля дакотрых авторох, вшиткы выходны славяне, котры жили в бывшой Австро-Мадярщинѣ. Антоним - украинофил. Ту иде о етничну самоидентификацию. В ширшом вызнамѣ - то особа (переважно нерусинского походжѣня) котра любить вшитко русске, або окремы аспекты русской културы, истории итп. Антоним - русофоб. Ту иде о политичны ци културны симпатии. Зачаточно русинске русофилство ишло од идеи славянской взаимности и своефайтовости, ай надѣй на Россию як едину натогды независиму славянску державу; ку тому приспѣла ай успѣшна карьера подкарпатскых Русинох, котры там одышли, ай научны и културны контакты з российскыма славистами, што ся зачали од року 1820 и наросли в роках 1830-1850. Русофилы ся найпервше указали в Угорской Руси. Они были захвачены высоков руссков културов, хосновали и ширили русскый язык, ишли за науков и роботов до России: Михаил Балудянскый (1769-1847), Петро Лодий (1787-1829), Юрий Венелин (1802-1839). В далшых роках, коли политичны перемѣны в Австро-Мадярщинѣ по року 1867 зменшили их можности, вельоме позирали на Россию, як на свого спасителя. Русофилы не лем вѣрили, же Русины суть конарьом Малорусох вдну общоруського народа, навецей они тыж одмѣтовали, же Малорусох бы требало означовати сучасным понятьом Украинцѣ, як ай вызнавати окрему русинску народность. Зато они были противниками того, жебы ся розвивав окремый русинскый язык на основѣ русинскых диалектох, поважуючи, же такый язык мать быти поуживаный лем меджи прощавов, а иншак про «высоку комуникацию» требало бы хосновати литературный русскый язык. Их аргументом было, же Русин и Руснак суть лем тутешны, локалны варианты националной назвы Рус. == Жерела и одказы == Paul Robert Magocsi. Russophiles. in Paul Robert Magocsi, Ivan Pop. //Encyclopedia of Rusyn History and Culture (Revised and expanded ed.). Toronto Buffalo London: University of Toronto Press, 2005. p. 433. doi:10.3138/9781442674431. ISBN 0-8020-3566-3. англ. Stepan Ripetsky, Ostap Sereda (1993). Russophiles // Internet Encyclopedia of Ukraine. Canadian Institute of Ukrainian Studies. [перевірено 2023-06-10]. англ. Середа О. В. (2010). Москвофільство. in Редкол.: В. А. Смолій (голова) та ін.. // Енциклопедія історії України. Т. 7: Мі-О. Київ: НАН України. Інститут історії України. В-во ""Наукова думка"", 2010. Cc. 83-87. [перевірено 2023-06-10]. укр.",rue,Култура,aléatoire,https://rue.wikipedia.org/?curid=20055,407,,['ru'],False,Култура,Catégorie principale
4705.0,Ренесанція,"Терміном ренесанція - од лат. renascent = зновуродженый - є означованый умелецькый слог і історічна епоха тырваюча од 14. до 17. стороча. Вызначовав ся міджііншым і зосвітщінём, індівідуалізмом і навернутём ку антіцї. Термін зновузроджіня (rinascenza) быв першыраз ужытый в часї росквіту уменя і наукы, котре започало на кінцї 13. стороча в Італії, таліяньскым історіком Джорджо Васарім в роцї 1550. Термін ренесанція є французькый переклада хоснованый французькым історіком Жіл Мішелетом і дале росшырёваный швайчарьскым кунсісторіком Жакобом Буркгардтом в 19. сторочу. Бігом послїднёй четвертины 20. стороча ся дакотры історіци зачали выражати у тїм змыслї, же ренесанцій могло быти і веце. Уважує ся о ренесанції 12. стороча і уж заведженым і обще приїманым терміном є кароліньска ренесанція. Дале є выраз хоснованый ужываный у споїню з народныма процесами у тїм часї, напр. анґліцька ренесанція, таліяньска ренесанція ітд. == Выник == Початкы ренесанції суть звычайно кладжены до северной Італії на переломі 13. стороча і 14. стороча. Єй колысков было єднозначно місто Флоренція. Од 12. стороча росла в многых містах у середнїй і северній Італії просперіта жытелїв, запрічінена передовшыткы розвоём мореплавецького обходу (Піса, Янов), пізнїше тыж банковницьтво (пожычаваня пінязь - Флоренція) і ремеселной выробы (Флоренція, Лукка). Міста ся поступно выманили з під панованя шляхты і єпіскопів і формовали ся як самосправны єдиніцї - комуны. В містах мала резіденції велика часть шляхты. Часточно гев пришла уж в добі варварськых атаків у пізно-антічній епосї. Нынї змушовали містьскы комуны, котры поступно опановали польногосподарьскый тыл міста, ку переселїню далшой части шляхты, жыючой іщі на селї. Шляхтічны роды суперили в містї з ввызначныма міщаньскыма родинами і сами міджі собов. Поступно ся але тыж запоїли до містьского ґаздованя. Пінязї здобыты з ґрунтовой ренты вложыли до фінанчных операцій або до выробы і пропоїли ся женитбов з найбогатшым міщаньством. Так ся сформовала у векшынї міст владнуча верства, котра хосновала повных прав містьской самосправы. Головныма прічінами вынику того умелецького напряму, респ. той добы, є господарьскый розвой і богатство таліяньскых міст, котре здобывала дякувші мореплавецькому обходу. Дале мали вплив новы обявы (теріторії, наукы,...). Середня і северна Італія з вынятком Бенатьска была правда частёв Святой рішы рімской, але малохто з цісарїв там доказав просадити свою міц, і кідь гей, так лем дочасно. Цісарї наперед суперили з папами рімскыма о перевагу в хрістіаньскім світї (салска дінастія), пізнїше, за влады Штауфів, пробовали ся опановати Італію, але выкликали міджі тутешнїма містами силный одпор. На сторону противників цісарьской надвлады ґуелфів ся поставили проти папови рімскому. Приверженцї цісарїв ся писали ґгібеліні. Почас тых боїв таліяньскы міста, котры стале боёвали о росшырїня свого впливу тыж міджі собов, знавовала. Вызначнїшы з них ся зміцнили нелем своёй околіцї але тыж меншых міст і зачали ся міняти в містьскы штаты. == Жрідла == Возрождение, эпоха // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.). - СПб., 1890-1907 )русс. Ottův slovník naučný/Renaissance чеш. Эпоха Возрождения. М.Л.Андреев. Инновация или реставрация: казус Возрождения )русс. == Одказы == Society for Renaissance Studies англ.",rue,Култура,aléatoire,https://rue.wikipedia.org/?curid=4705,482,,"['uk', 'ru']",True,Култура,Catégorie principale
1127.0,Традіції,"Традіції (латиньскы traditio < tradere передавати) значіть передаваня, найчастїше міджіґенерачне передаваня познаня, способностей, обычаїв ці етікы в рамках културы або ґрупы. Слово ся не хоснує лем в єдиным значіню. Розуміть ся під ним: тото, што ся передавать (traditum); процес передаваня (tradendum); звыклости, конвенції, обычаї. == Понятя == Понятя традіція походить з латиньского понятя traditio, котрый выник споїнём trans (через) і dare (давати). Тому понятю одповідать ґрецьке слово παράδοσις (парадосіс).",rue,Култура,aléatoire,https://rue.wikipedia.org/?curid=1127,69,,['uk'],False,Култура,Catégorie principale
1152.0,Фестівал,"Словом фестівал означуєме звычайно різны сполоченьскы акції: Слово фестівал походить з латиньского слова festive, і значіть подїю, згодного значіня є і слово feast. Друга верзія є же слово походить з середовікой анґлічтїны і французштїны з основов в старім латиньскім слові festivus, котре значіть славити або ославу. Слово фестівал є знаме од року 1589, передтым ся хосновала в біжнїй бісїдї од 14. стороча на означіня реліґійных свят. Першы фестівалы орґанізовали кменёвы шаманы як свячіня сонцестояня.",rue,Култура,aléatoire,https://rue.wikipedia.org/?curid=1152,74,,['uk'],False,Култура,Catégorie principale
20090.0,Русинофил,"Русинофил (од Русин и грец. φιλέω люблю) - особа русинского ци карпаторусинского етнолингвистичного походжѣня, котра поважуе, же Русины суть окремым народом. Концьом 1890-х група подкарпатскых интелектуалох, видячи политичну и културну непродуктивность русофилства, отворила народовскый напрям - русинофилство. Социална база русинофилства была барз узка. Векшина руской интелигенции была промадярска, политично ай културно лоялна мадярскому штату. Русинофилы свѣдомо ся зрекли русского литературного языка и обернули ся ку людовой бесѣдѣ, видячи в том путь оброды и злукы интелигенции и простого люду. Сполчовав их тыжденник Наука, што выходив од року 1897. Познатыма дѣятелями русинофилского напряму были грекокатолицкый священик, публицист Августин Волошин, историк, етнограф Юрий Жаткович, литературознатель Гиадор Стрипскый, редактор Михаил Врабель тай иншы. Русинофилы были звычайно описованы як «третя» ориентация попри русофилох ай украинофилох, котры аргументовали, же Русины суть лем конарьом русского або украинского народа. В пересвѣдчѣню своей окремѣшности векшина (но не вшиткы) русинофилох поважовала, же они повинны мати окремый властный литературный язык. В медживойню, в чехословацкой добѣ, русинофилы зоставали найменше вывинутым прудом, авшак мали силну позицию меджи грекокатолицкым духовенством, котрое ся помалы очищало од мадяронства, глубоко закорѣненого за довгы рокы мадярской добы. В наступном куртом часѣ мадярской окупации (1939-1944) влада в Будапештѣ подтримовала вывой русинского языка и културы, Подкарпатское Общество Наук и его русофилскы публикации, але политичны организации были заказаны. В том истом часѣ русофилска чинность была толерована, а украинофилска гонена. == Жерела и одказы == Volodymyr Kubijovyč, Vasyl Markus, Ivan Lysiak Rudnytsky, Ihor Stebelsky (1993). Transcarpathia // Internet Encyclopedia of Ukraine. Canadian Institute of Ukrainian Studies. [перевірено 2023-06-17]. англ. Paul Robert Magocsi. Rusynophiles. in Paul Robert Magocsi, Ivan Pop. //Encyclopedia of Rusyn History and Culture (Revised and expanded ed.). Toronto Buffalo London: University of Toronto Press, 2005. p. 440. doi:10.3138/9781442674431. ISBN 0-8020-3566-3. англ. Галушко К. Ю. (упорядник). ПОЛІТИЗАЦІЯ УКРАЇНСЬКОГО НАЦІОНАЛЬНОГО РУХУ / Закарпаття. // Енциклопедія історії України: Україна-Українці. Кн. 2 / Редкол.: В. А. Смолій (голова) та ін. НАН України. Інститут історії України. Київ: В-во «Наукова думка», 2019. С. 212. ISBN 978-966-00-1740-5. [перевірено 17.06.2023]. укр. Йоанн Дулишкович. - Исторические черты угро-русских т. 1, Унгвар, 1874. Йоанн Дулишкович. - Исторические черты угро-русских т. 2, Унгвар, 1875. Йоанн Дулишкович. - Исторические черты угро-русских т. 3, Унгвар, 1877. Сильвай Иоанн (Уриил Метеор) - Автобиография Петров А. - Древнейшая церковнославянская грамота 1404 г. о карпаторусской территории. Петров А. - Карпаторусские межевые названия Петров А. - Статьи об Угорской Руси Петров А. - Древнейшая на Карпатской Руси Шолтысская грамота 1329 г. Каминский И. - Национальное самосознание нашего народа, Ужгород, 1925. Недзельский Е. - Очерк карпаторусской литературы, Ужгород, 1932. Недзельски Е. - Угро-русский театр. Евмений Сабов. - Очерк о литературной деятельности и образовании карпатороссов, Ужгород, 1925. Адолф Добрянскый - О современном религиозно-политическом положении Австро-Угорской Руси, 1885. Александер Духнович. - Поздравление русинов на год 1851",rue,Култура,aléatoire,https://rue.wikipedia.org/?curid=20090,449,,['ru'],False,Култура,Catégorie principale
20154.0,Мадярон,"Мадяро́н (мн. мадяро́ны, словац. maďarón, укр. мадярони) - понижуюче означѣня особы немадярского етничного походжѣня в Мадярском кральовствѣ, котра подлягла помадярчѣню, пейоративне означѣня мадярофила, патриота мадярской державы. Од року 1867 по австрийско-мадярском выровнаню в Мадярском кральовствѣ народностны меншины зостали лишены на ласку пануючой мадярской националистичной олигархии, зачав ся намѣреный процес их помадярчѣня. Реакциов на тот процес од боку Русинох было мадяронство: то была адаптация ку новой реалитѣ. Мадяронство не означовало народностный напрям: мадярон разом мог мати хоть яку народностну ориентацию. Але мадяронство отворяло путь до зысканя сполоченской позиции. Напримѣр, Августин Волошин, еден з найвызнамнѣйшых карпаторусинскых дѣячи быв спочатку русинофилом, пак украинофилом, а при том быв мадярон. Яко педагог, Волошин од року 1907 подля школскых законох Аппонѣ, мав статус державного урядника, склавши присягу державного учителя, и быв остро контролованый дозорнов радов, прото нѣт што ся чудовати, же поступовав, як яло мадярскому патриотови, и в таком духу выучовав, а свого шефа, автора мадяризачных законох, в року 1910 высоко оцѣнив: «... заслуживъ себѣ искренну благодарность цѣлого края министръ графъ Албертъ Аппонѣ, составитель сего закона, котрый своею ученостью, своимъ ораторскимъ талантомъ, своею побожностью и своимъ народолюбіемъ пріобрѣвъ себѣ уваженіе передъ цѣлымъ цивилизованнымъ свѣтомъ». Што веце, Волошин написав даколькы мадярскоязычны учебникы, котры мали помочи переходу на мадярскый язык выучованя, хоть на то законы Аппонѣ не примушовали. А бизовно, же так собѣ вылѣпшив шансы на успѣшну карьеру. В року 1907 написав русинску граматику по мадярскы Gyakorlati kisorosz (ruszin) nyelvtan, котра мала помочи Русинам научити ся свому литературному языкови, а едночасно ся научити мадярску граматичну терминологию. Перед Первов свѣтовов войнов быв ведучов поставов выдавательства Unio и членом Централной комисии грекокатолицкой епархии, котра ся усиловала помадярчити карпаторусинскы парохии (1915), против чого протестовав. Але в року 1918 став ся главнов фигуров промадярской Рады угро-руского народа в Ужгородѣ (котра ся усиловала о зостаня Подкарпатя в Мадярском кральовствѣ). Уже слѣдуючого року прилучив ся ку прочехословацкому напряму, став ся подпредсѣдником Централной руськой народной рады (май 1919) и членом делегации, што ишла до Прагы просити прилучѣня. Другый, Стефан Фенцик, еден з найамбициознѣйшых карпаторусинскых дѣячи, автор мелодии Русинской народной гимны, закладатель партии, быв цѣлый живот русофил и мадярон, писав учебникы язычием и по мадярскы. Третий, Иван Гарайда, фаховый лингвиста, автор официално кодификованой граматикы, директор ПОН быв русинофил и мадярон. При том во своих крайных формах мадяронство могло обсяговати нечестованя властного материнского русинского языка, даколи ай агресивну участь в процесах помадярчѣня, окреме од особ, котры мали державну службу во школах, або служили Грекокатолицкой Церкви. Про то нерѣдко означѣня мадярон было поуживане як понижуюча прозывка, такой ровнозначне понятю одродилець. А при том вшитком мадяронство через довгы рокы намѣреного помадярчѣня пустило глубоке корѣня ай в простом народѣ. Писатель Ириней Кондратович зобразив то в повѣданю Козаки и мы / Правдива повѣстка из свѣтовой войны, де в дидактичной формѣ подавать и основны постулаты мадяронох. == Жерела и одказы == Peciar, Š.. maďarón. Slovník slovenského jazyka (Peciar). [перевірено 2023-06-19]. словац. Ivan Pop. Magyarones. in Paul Robert Magocsi, Ivan Pop. //Encyclopedia of Rusyn History and Culture (Revised and expanded ed.). Toronto Buffalo London: University of Toronto Press, 2005. p. 314. doi:10.3138/9781442674431. ISBN 0-8020-3566-3. англ. Иреней Кондратович. Козаки и мы / Правдива повѣстка из свѣтовой войны. in Александер Ильницкій (составитель). Миссійный календарь на рок 1941. Ужгород: Т-во «Дѣло Ширеня Вѣры», 1940. Сс. 79-84. [перевірено 2023-06-20]. Павло-Роберт Маґочій. // Підкарпатська Русь: формування національної самосвідомості (1848-1948) (Друге видання, доповнене та перероблене ed.). Ужгород: Видавництво Валерія Падяка, 2021. ISBN 978-966-387-127-1. укр.",rue,Култура,aléatoire,https://rue.wikipedia.org/?curid=20154,558,,['ru'],False,Култура,Catégorie principale
