pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
45639.0,Ölürüm Sana,"Ölürüm Sana (Олүрүм Сана; нууччалыы туруору тылбаастаатахха -- «Я умру для тебя», сахалыы -- ""Эн тускар өлүөм) - бу Турция биллэр киһитэ, аан дойдуга аатырбыт сураҕырбыт улахан уонна биир саамай ситиһиилээх ырыаһыта Таркан устуудьуйаҕа устубут үһүс альбома. Бу альбом 1997 сыллахха турок тылынан тахсыбыта. == Альбомҥа киирбитэ == Ölürüm Sana альбом Турция Стамбул куоратыгар ""Истанбул Плак"" (İstanbul Plak) диэн ааттаах биир улахан устуудьуйаҕа уһуллан, таҥыллан тахсыбыта. Бу альмон аан дойдуга бүтүннүүтүгэр офиальнайдык көҥүллэммитинэн, легальнайдык уонна көҥүллээхтик 4,5 мөл ахсаанынан оҥоһуллан тахсыбыта. Ол түмүгэр бу альбом Турцияҕа эрэ буолбакка, бүтүн аан дойдуга үр харчы өттүнэн улаханнык ситиһиилэммитэ. Ити альбому атын дойдулартан ордук Арассыыйаҕа, тутулуга суох судаарыстыбалар холбоһуктарыгар (СНГ), Илиҥҥи Европаҕа (холобур, Венгрияҕа), ону тэҥэ Германияҕа, Францияҕа уонна Бельгияҕа сэргээбиттэрэ. Оттон аангылыйа тыллаах дойдуларга улаханнык тарҕамматаҕа, тарҕата да сатаабатахтара. == Альбомҥа киирбит композициялар == Ölürüm Sana, 1997 Şımarık (3:55) İkimizin Yerine (4:42) Ölürüm Sana (4:05) Salına Salına Sinsice (4:23) Gecenin Ürkek Kanatlarında (3:56) Kır Zincirlerini (Bu Gece) (5:23) İnci Tanem (5:38) Başına Bela Olurum (4:11) Unut Beni (5:28) Delikanlı Çağlarım (3:43) Beni Anlama (5:21)",sah,Култуура,ordonné,https://sah.wikipedia.org/?curid=45639,175,,['ru'],False,Култуура,Catégorie principale
11215.0,Арҕааҥҥы цивилизация,"Арҕааҥҥы цивилизация (Western world) - культураларынан, политиканан уонна итэҕэллэринэн сибээстээх дойдулар цивилизациялара. Билиҥҥи кэмҥэ онно киирэр дойдуларынан буолаллар - АХШ, Канаада, Арҕаа Эуропа дойдулара уонна Арҕааҕа киириллибэт дойдулар бааллар, кынан баран киннэр эмиэ Арҕааҥҥы цивилизация чаастара буолаллар - онно киирэллэр баай тот Азия уонна Океания дойдулара Дьоппуон, Аустралия, Тайвань, Саҥа Зеландия, Сингапур уонна Соҕуруу Кэриэйэ. Сотору Малайзия киириэн сөп дииллэр. Сороҕор кыратык Израиль дойдутун киллэрэллэр. Арассыыйа манна киирбэт. == Арҕааҥҥы цивилизация уонна Арассыыйа == Арҕааҥҥы цивилизация дойдулара - баайдар, сайдыылаахтар уонна элбэх сир ресурсатын сииллэр, киннэргэ сир шаарын 91% ресурсата тиксэр, хотя киннэр бары холбоон 1 миллиард эрэ буолаллар (өссө 5,8 миллиард таах ордон хаалар - Дьадаҥы дойдулар). Ол иһин киннэр бары холбоон кыһыл көмүс миллиард дьонноругар тиксэллэр. == Арҕааҥҥы цивилизация уонна Саха Сирэ == Саха Сирэ Арҕааҥҥы цивилизация биир кыракый чааһа буолуон сөп, Саха Сирэ туспа дойду эбитэ буоллар, кини аа дьуо Арҕааҥҥы цивилизация чааһа буолуо этэ. Тоҕо диэтэххэ Сахалар өйбүт санаабыт сиэрдээх, толору Арҕааҥҥы цивилизация5а эппиэттиир. Саха дьоно үлэһиттэр. == Арҕааҥҥы цивилизация уонна Илиҥҥи цивилизация == Арҕааҥҥы цивилизация уонна Илиҥҥи цивилизация алдьархай утарсаллар. Сэриинэн сороҕор түмүктэнэр. Сиһилии маны көрүҥ - Илиҥҥи цивилизация",sah,Култуура,ordonné,https://sah.wikipedia.org/?curid=11215,184,,['ru'],False,Култуура,Catégorie principale
46816.0,Астраханнааҕы судаарыстыбаннай консерватория,"Астраханнааҕы судаарыстыбаннай консерватория, АСК - Арассыыйаҕа Астрахань куоракка баар судаарыстыбаннай муусукаалынай үрдүк үөрэх тэрилтэтэ. == Устуоруйата == Астрахань консерваторията 1969 сыллаахха аһыллыбыт. Аһыллыытыгар улахан оруолу профессор М. А. Этингер, композитор А. Н. Холминов уоннаи М. П. Максакова оонньообуттар. 1969 с. тохсунньу ыйга ССРС Миниистирдэрин Сэбиэтэ Астрахань куоракка консерватория арыйар туһунан уураах ылыммыт. Куорат кэмитиэтэ, консерваторияҕа үөрэх куорпуһа буоллун диэн, билигин архитектура пааматынньыга буолан турар эргэ дьиэни биэрбит. 1969-1970 сс.дьиэҕэ хаппытаалынай өрөмүөнү ыытаннар бөлөҕүнэн уонна биирдиилээн дьарыкка 60 кылааһы, 20-тэн тахса административнай уонна көмө хостордоох буолбут. 1970 с.муус устар ыйга В. И. Ленин төрөөбүт күнүгэр 400 миэстэлээх концертнай саалалаах сүрүн үөрэнэр куорпус үлэҕэ киирбит. 1971 с.консерваторияны В. С. Кузнецов салайбыт. 1974 с. бастакы устудьуоннар үөрэнэн тахсыбыттар. Консерватория 40 сыл үлэлээбитин тухары 3000 араас испэссээлинэстээх музыканы үөрэтэн таһаарбыт. Консерватория выпусниктара бас Анатолий Бабыкин уонна тенор Олег Биктимиров Большой тыйаатыр солистара буолбуттар. 1975 с.консерваторияҕа Чехия фирмата ""Ригер-Клос"" оҥорор органа баар буолбут. 1998 с. аспирантура арыллыбыт. Билиҥҥи кэмҥэ консерватория салайааччыта Арассыыйа бэдэрээссийэтин үтүөлээх артыыһа, бэрэпиэссэр А. В. Мостыканов. Консерватория штатыгар - 4 искусствоведение дуоктара, 2 бэрэпиэссэр, 9 искусствоведение хандьыдаата үлэлииллэр. Норуоттар ыккардыларынааҕы биллиини ылбыттар -симфоническай оркестр, нуучча норуодунай үнүстүрүмүөннэрин оркестра, опернай студия, ""Скиф"", ""Ната-бене трио""- устудьуоннар уонна педагогтар ансаамбыллара, скрипачтар уонна альтистар ансаамбыллара. == Үөрэх == Астраханнааҕы судаарыстыбаннай консерваторияҕа 10 кафедра баар: 1. Фортепиано 2. Камернай уонна концертмейстерскай бэлэмнэнии 3. Фортепиано, струннай уонна духовой норуодунай үнстүрүмүөннэр. 4. Сольнай ырыа уонна опернай бэлэмнэнии 5. Хоровой дирижирование 6. Муусука устуоруйата уонна түөрүйэтэ 7. Уопсай гуманитарнай биридимиэттэр. == Рейтиннэрэ == АСК - Астраханнааҕы судаарыстыбаннай консерватория Арассыыйа үрдүк үөрэҕин тэрилтэлэригэр 471-с миэстэ. Астраханскай уобалас үрдүк үөрэх тэрилтэлэригэр 4-с миэстэ. Астрахань куорат үрдүк үөрэҕин тэрилтэлэригэр 4-с миэстэ.",sah,Култуура,ordonné,https://sah.wikipedia.org/?curid=46816,274,,['ru'],False,Култуура,Catégorie principale
45368.0,Башкир судаарыстыбаннай академическай Мажит Гафури аатынан дыраамтыйаатыра,"Башкир судаарыстыбаннай академическай Мажит Гафури аатынан дыраамтыйаатыра - Башкортостан норуодунай бэйээтин Мажит Гафури аатын сүгэр,Уфа куоракка баар дыраамтыйаатыр. Дөкүмүөн туоһулуурунан, тыйаатыр, 1919 с.ахсынньы ый 4 күнүгэр, Стерлитамак куоракка тэриллибит, Башкир 1-кы судаарыстыбаннай тыйаатыра диэн ааттаммыт. Бастакы уус-уран салайааччынан уонна дириэктэринэн В. Г. Муртазин-Иманскай буолбут. Тыйаатыр, өр кэм устата, ""Сайяр"", ""Нур"", ""Ширкэт"", И. Кудашев-Ашказарскай тэрийбит ""Фажига вэ мосэккин исламия"" диэн идэтийбит уонна идэтийбит аҥардаах сценическэй холбоһуктартан хомуллубут. Бастакы сылларга тыйаатыр репертуарыгар маннык айымньылар киирэллэр этэ: А. Инан (Ф. Сулейманов) ""Салават-батыр"" уонна ""Акшан-батыр""(1920 с.туруоруллубут), Ф. Туйкин ""Витязы Отчизны""(1920), М. Бурангулов ""Ашкадар"" уонна ""Алпамыша"", Д. Юлтый ""Махтымкулы"" уонна ""Карагул"", Х. Ибрагимов ""Башмачки""(1922) уонна ""Зульхабира""; Уонна, татаар драматурдарын айымньылара: М. Файзи ""Галиябану"" (В. Муртазин-Иманскай эрэд.), Г. Камал ""Несчастный юноша"", Г. Исхаки ""Брачный договор"", Ф. Амирхан ""Неравные"", Ф. Бурнаш ""Тагир и Зухра"", Ф. Сайфи-Казанлы ""Враги"". Ону таһынан, Арассыыйа уонна атын дойдулар драматурдарын классическай пьесаларынан туруоруллубут испэктээхтэр: Н. В. Гоголь ""Ревизор"", А. Н. Островскай ""Гроза"", ""Без вины виноватые"", ""На бойком месте"", А. В. Сухово-Кобылин ""Свадьба Кречинского"", Софокл ""Царь Эдип"", Мольер ""Скупой"" уонна ""Лекарь поневоле"" буолаллара. Тыйаатыр бастакы труппатыгар А. Абзелилов, С. Валиев-Сульва, М. Гайнисламова-Казаккулова, Г. Гумерская, И. Зайни, М. Иманская, Г. Карамышев, Х. Сабитов, Ф. Самитова, Е. Шляхтина-Сыртланова, Р. Урмацева, Г. Ушанов, З.уонна Р. Якуповтар, худуоһунньук Сабит Якшибаев, муз. салайааччы - композитор, драматург уонна артыыс Х. К. Ибрагимов киирбиттэрэ. 1922 с.тыйаатыр кэллэктиибэ Уфа куоракка көһөрүллүбүтэ, онно Уфатааҕы судаарыстыбаннай бастыҥ көрдөрүүлээх тыйаатыр татаар бөлөҕүн кытта холбоспута уонна Башкир судаарыстыбаннай дыраамтыйаатыра диэн ааттаммыта. 1935 сыллаахха, тыйаатырга, академическай диэн сыбаанньаны биэрбиттэрэ. Отутус уонна түөрт уонус сылларга, тыйаатырга Инан, Юлтый уонна Муртазин-Иманскай ""Салават и Пугачев"", Муртазин-Иманскай ""Салават"", Х. Габитов ""Ынйыкай и Юлдыкай"", Бураншгулов ""Башкирская свадьба"", ""Невестка Шаура"", М. Гафури ""Черноликие"", С. Мифтахов ""Зимагоры"", Б. Бикбай ""Карлугас"" диэн, башкир норуотун устуоруйатын туһунан испэктээхтэр туруоруллубуттара. Ону кытта репертуарга дойдуга өрөбөлүүссүйэ олохтоммутун, үлэ дьонун туһунан кэпсиир испэктээхтэр баар буолбуттара. Тыйаатыр, улам, классическай литэрэтиирэ бастыҥ айымньыларын Лопе де Вега ""Овечий источник"", Шекспир ""Отелло"", Мольер ""Мещанин во дворянстве"", А. С. Пушкин ""Борис Годунов"", Гоголь ""Ревизор"", Шиллер ""Разбойники"", Карло Гоцци ""Принцесса Турандот"", Г. Гейне ""Альмансур"", А. Н. Островскай ""Без вины виноватые"", А. Щницлер ""Зеленый попугай, или в ночь взятия Бастилии"", М. Горькай ""На дне"", ""Егор Булычев и другие"", М. Джанан ""Шахнамэ""(Фирдоусилыы) туруорар хайысхаҕа салаллыбыта. 1981-1996 сылларга, сүрүн режиссерунан уонна уус-уран салайааччынан Рифкат Исрафилов үлэлээбитэ. 1996-1997 сылга тыйаатыры ССРС норуодунай артыыската Г. Мубарякова салайбыта, 1997-2000 с.уус-уран салайааччынан, Башкортостан Өрөспүүбүлүкэтин Норуодунай артыыһа А. Надрыгулов буолбута. 2000 с. кыра баһаар кэнниттэн, тыйаатыр тас көрүҥэ саҥардыллыбыта. 2001 с.олунньу 5 күнүгэр, Башкортостан Өрөспүүбүлүкэтин Бэрэсидьиэнэ Муртаза Губайдуллович Рахимов өйөбүл наадатын өйдөөн кыһаллан-мүһэллэн туран, "" Мажит Гафури аатынан Башкир судаарыстыбаннай академическай дыраамтыйаатырын туһунан"" диэн укааска илии баттаабыта. 2001 с. БӨ Бэрэсидьиэнэ М. Рахимов укааһынан тыйаатыр салалтата бигэргэтиллибитэ: Генеральнай дириэктэр - БӨ култууратын миниистирин солбуйааччы Гульдар Муратова, сүрүн үлэ дириэктэрэ - Хурматулла Утяшев. Тыйаатырга хатараагынан үлэлииргэ ыҥырыллыбыт режиссердар: И. Гиляжев, Н. Абдыкадыров, Б. Манджиев, Ф. Бикчентаев, М. Рабинович, П. Шеин уонна да атыттар үлэлииллэр. 2005 сылга тыйаатыр уус-уран салайааччытынан Айрат Абушахманов буолбута. 2006 с.дириэктэр дуоһунаһыгар Арассыыйа Бочуоттаах кинематографиһа, БӨ ускуустуба үтүөлээх диэйэтэлэ, БӨ култуура үтүөлээх үлэһитэ Р. А. Исмагилов анаммыта. 2007 сыллааха, сэтинньи 8 күнүгэр тыйаатыр кыра сыаната арыллыбыта. 2012 сылтан бүгүҥҥү күҥҥэ диэри уус-уран салайааччынан билим уонна ускуустуба Петровскай академиятын чилиэнэ, кэриспэдьиэнэ, профессор, ""Оренбургская лира""(2003, 2012)бириэмийэ лауреата, А. Яблочкина аатынан бириэмийэ ""Эр киһи бастыҥ оруола"" диэн түһүмэҕин лауреата(1995), Арассыыйа бэдэрээссийэтин литэрэтиирэҕэ уонна ускуустубаҕа аналлаах Судаарыстыбаннай бириэмийэтин лауреата (1995), Башкортостан Өрөспүүбүлүкэтин Салават Юлаев аатынан Судаарыстыбаннай бириэмийэтин лауреата (1986), АБ(1987), БӨ (1983) үтүөлээх артыыһа О. З. Ханов үлэлии сылдьар. 2019 сыл, балаҕан ыйыгар тыйаатыр, үбүлүөйдээх, 100 сыллаах сезонун арыйбыта.",sah,Култуура,ordonné,https://sah.wikipedia.org/?curid=45368,577,,['ru'],False,Култуура,Catégorie principale
37611.0,Сабантуй,"Сабантуй диэн башкиирдарга, татардарга былыргыттан бэлиэтэнэр сайыҥҥы бырааһынньык. Урут тыа дьоно бырааһынньыктыыр буоллахтарына билигин ил уонна улахан куораттарга бэлиэтэрнэр бырааһынньык буолбута. Бырааһынньык күнэ уларыйыан сөп, ол курдук 2012 сыллаахха бэс ыйын 23 күнүгэр бэлиэтэммитэ == Ааттара == Татар тылынан саҥарааччылар Сабантуй диэн ааттыыллар, элбэх ахсааҥҥа Сабантуйлар [sʌbɑntuɪˈlɑr]. Атын Волга өрүс үрдүгэр олорор түүр норуоттар бырааһынньыгы бэлиэтииллэр. Башкиир тылынан Һабануй , онтон чувааштар Акатуй диэн ааттыыллар. Бырааһынньык аата ""сир хорутуутун"" кһнэ диэн тылбаастаныан сөп. == Устуоруйата == Сабантуй ислам иннинээҕи устуйруйаҕа баара, ыһыы иннинэ бэлиэтэнэрэ. Сабантуй баарын Ибн Фадлан 921 сыллаахха суруйбута. Ол бириэмэҕэ ылланар ырыалар итэҕэйиигэ сыһыаннаах этилэр. Кэлин ислам татаардар, башкиирдар, ол курдук чуваштарга христианство тарҕаныытын кэнниттэн итэҕэл бырааһынньыга буолан бүппүтэ. Ороуйоннарынан сыл аайы уларыта-уларыта буолар этэ. 20 үйэ саҕаланыытыгар Сабантуйу татаардар бырааһынньыктара диэн ылыллыбыта. Сэбиэскэй Сойуус бириэмэтигэр бырааһынньыгы өйүүллэрэ, тоҕо диэн тыа киһитин өйө көтөҕөллөрө. Ол гынан баран бырааһынньыгы кыратын ыһыы кэнниттэн буолар курдук саҕырыппыттара Сабантуйу киhи аймах тыл баайын-дуолун аан дойдутааҕы тиhигигэр киллэрии былаана баарын 2007 сыллаахха биллэриллибитэ. == Үгэстэр == Сабантуй ордук биллэр элеменнарынан күрэсköräş (татаардар тустуулара), ат сүүрдүүтэ, остуолбаҕа өрө тахсыы, уонна да атын буолаллар.[1] Архыыптаммыт 2007, Балаҕан ыйын 30 күнүгэр.. Ити барыта майдаҥҥа, ол эбэтэр тыа кытыытыгар оҥоһуллубут площадкаҕа буолар. Ону тэҥэ атын күрэхтэһиилэр, Сөрән; sœˈræn - диэн буолар - онно ас астыыга, араас иистэр уонна атын дьоҕур күрэһэ баар буоалр. Кэлин бириэмэҕэ Сабантуйу Татарстан традиционнай ырыа уонна үҥкүү, ону тэҥэ гармонь оонньуутун күрэһин кытта ыытыллар буолан эрэ.",sah,Култуура,aléatoire,https://sah.wikipedia.org/?curid=37611,237,,['ru'],False,Култуура,Catégorie principale
8167.0,Һеллоуин,"Һеллоуин (Halloween) диэн Америка бырааhынньыга, алтынньы 31 ылыллар. Samhain диэн кельт бырааhынньыгыттан уонна христиан итэҕэлин Бары айыылар ытык күнэриттэн төрүттээх. Хоту Америкаҕа бу бырааhынньыгы ылыы үгэhин Ирландия иммиграннара XIX үйэ ортотугар аҕалбыттара. Кэнники кэмҥэ Америка култуурата киинэ нөҥүө тарҕанан уонна Американы кытта доҕордоһор дойдуларга эмиэ тарҕаммыт бырааһынньык буолар, ол курдук Дьоппуон, Соҕуруу Кэриэйэ, Германияҕа, Францияҕа, Сингапурга, Аустралияҕа, Улуу Британияҕа, Скандинавияҕа, Украинаҕа, Эстонияҕа, Литваҕа, Монголияҕа, Малайзияҕа, Бразилияҕа, Чилига, Аргентинаҕа, Мексикаҕа, Испанияҕа ыытыллар. Саха Сиригэр түүҥҥү кулууптарга масштабнай дискотекалар буолаллар. Былыргы сахаларга Алтынньы 31 күнэ дьыл ыпсыыта диэн ааҕыллар, онно хара күүстэр күүһүрэллэр диэн буолар.",sah,Култуура,aléatoire,https://sah.wikipedia.org/?curid=8167,93,,['ru'],False,Култуура,Catégorie principale
45381.0,Хоомей,"Хоомей - тывалыы хабарҕа ырыатын уопсай аата (тув. Хөөмей). «Хоомей» диэн тылынан тывалыы хабарҕа ырыатын барытын, ону таһынан хабарҕа ырыатын биир сүрүн истиилин ааттыыллар. Хоомей - тывалыы хабарҕа ырыатын биэс сүрүн истиилиттэн биир ойуччу, ураты истиилэ. Тувинныы тиэхиньикэнэн түөс иһиттэн дорҕоону таһаарыыны ""хоректээр"" (түөһүнэн ыллыыр) диэн билим тиэрмининэн бэлиэтииллэр. Бу ускуустуба уратыта диэн, ылааччы хабарҕатынан ыллыыр кэмигэр тута икки эбэтэр үс нуотаны тэҥинэн таһаарыан сөп. Ол түмүгэр ""элбэх куоластаах"" соло үөскүүр. == Тывалыы хабарҕа ырыатын албастара == каргыраа хоомей сыгыт эзенгилээр борбаннадыр Итини таһынан өссө биэс уонтан тахса араас ньыма баар. Холобур - думчуктаар (салгыны муннунан таһаарыы), даг каргыраазы (хабарҕа каргыраата), хову каргыраазы (истиэп каргыраата), буга хоомей (оҕус хоомейэ), Ойдупа ырыаһыт каргыраата. Хабарҕа ырыата Киин Азияҕа былыр-былыргыттан тарҕаммыт көрүҥ. Элбэх норуокка-омукка көстөр. Ол иһигэр монголларга, тувиннарга, казахтарга, алтайдарга, бүрээттэргэ уонна да атыттарга баар. Номохторго кэпсэнэргэ, былыыр-былыр хабарҕа ырыатын хайа чыпчаалыгар тахсан туран уол оҕо ыллыыр үһү. Кини ырыатын истээри ыраах сиртэн, бэл, баай дьон кэлэллэр үһү. Тыва толорооччулара хоомейы бары тус-туһунан толороллор, албастардаах, ньымалардаах буолаллар. Холобур: Максим Дакпай сыгыта; Ак-оола Кара-Сала хоомейэ; Геннадий Тумат киштээрэ; Ооржак Хунаштаар-оолун хоректээрэ; Алдын-оола Севек каргыраата, о.д.а.. Тувинныы хабарҕа ырыатын биир биллэр толорооччута Кайгал-оол Ховалыг буолар. Арҕааны көрөөччүлэр ордук Ондар Коңгар-оолу билэллэр. Казахтар ордук каргырааны ыллыыр Едиль Хусаиновы сэҥээрэллэр. == Өссө көр == День Хоомея Народные хоомейжи Тувы Хабарҕа ырыата == Источниктар == Кыргыс З. К., «Хоомей - жемчужина Тувы», Кызыл, 1992 г. Кыргыс З. К., «Тувинское горловое пение», Новосибирск, 2002 г. Ондар, М. А. Метод «звучащих спектров» в исследовании горлового пения / М. А. Ондар, А. С. Сарыглар // Материалы XXIV сессии Российского акустического общества, сессия Научного совета по акустике РАН. Саратов, 12-15 сентября 2011 г. - С. 75-78. Ондар, М. А. Частотный диапазон звуков горлового пения / М. А. Ондар, А. С. Сарыглар // Материалы V Международного этномузыкологического симпозиума «Хоомей (горловое пение) - феномен культуры народов Центральной Азии». - Кызыл, 2008. - С. 143-158. Ондар, М. А. Основы анализа звуков хоомея. Учебное пособие. Кызыл, 2018, 36 с. == Сигэлэр == Официальный сайт Международного Научного Центра «Хоомей» (тувинское горловое пение - хоректээр, история изучения, типология, ареалы распространения). Примеры различных типов горлового пения Архыыптаммыт 2019, Балаҕан ыйын 8 күнүгэр..",sah,Култуура,aléatoire,https://sah.wikipedia.org/?curid=45381,357,,['ru'],False,Култуура,Catégorie principale
17209.0,Манчаары (уобсастыба),"«Манчаары» - култуура уонна сырдатыы уобсастыба. 1921 сыл ахсынньы 23 күнүгэр РКП(б) губбюротун иһинээҕи саха секциятын иһинэн тэриллибитэ. == Сыала-соруга == Духуобунай уонна култуура өттүнэн сайдыы. Саха норуотугар классабай өй-санааны тарҕатыы. Уобсастыбаҕа 74 чилиэн баара. == Секциялара == Театр. Бэчээттээн таһаарыы. Агитациялыыр. Литэрэтиирэ уонна тылбаас. Норуот уус-уран айымньыларын үөрэтии Үөрэҕэ суох буолууну туоратыы. Уобсастыба «Манчаары» диэн хаһыат таһаарар этэ. 1921 - 1922 сылларга барыта 13 нүөмэр тахсыбыта. 1922 сыл балаҕан ыйын 5 күнүгэр «Саха омук» уобсастыба үлэтэ сөргүтүллүбүтүн иһин уобсастыба үлэтэ тохтообута. == Өссө маны көр == Культурная революция в Якутии (1917-1937 гг.) // Сборник документов и материалов, Якутск, 1968.",sah,Култуура,aléatoire,https://sah.wikipedia.org/?curid=17209,100,,['ru'],False,Култуура,Catégorie principale
12778.0,Саха омук (уопсастыба),"«Саха омук» - XX үйэ саҕаланыытыгар Саха сиригэр үөскүү сылдьыбыт саха интэлигиэнсийэтин түмэр култуура-сырдатыы уопсастыбата. 1920 сыллаахха сэтинньи 7 күнүгэр тэриллибит, бу иннинэ ""Оросин саагыбарынан"" сибээстээн сабыллыбыт ""Саха аймах"" уопсастыбаны солбуйбут. ""Саха омук"" сыала-соруга: Саха сирин культурнай күүһүн түмэн саха норуотун культурнай таһымын, омук быһыытынан бэйэни өйдөөһүнүн өрө көтөҕүү; өй-санаа уонна эт-хаан өтүнэн сайдыытыгар көмө; саха устуоруйатын, олоҕун-дьаһаҕын, майгытын уонна үгэстэрин үөрэтии; сөптөөх, туһалаах көр-нар тэрийии; былыргы кэм пааматынньыктарын харыстааһын; саха тылын сайыннарыы; учебниктары таһаарыы; сахалыы оскуолалары арыйыы уо.д.а. == Устуоруйата == Тэрийэр мунньах 1920 сыллаахха сэтинньи 7 күнүгэр буолбут. Тэрийээччилэр ааттарыттан Алампа тыл эппит. Ол кэнниттэн А.В. Скрябин тэрийбит хуора ыллаабыт. Онтон Саха сирин ревкомун аатыттан бэрэстээтэл Былатыан Ойуунускай эҕэрдэлээбит. Мунньахха чилиэҥҥэ суруттарыыны саҕалаабыттар. 127 киһи суруттарбыт. Салайааччылары талбыттар, бырабылыанньаҕа В.Н. Леонтьев, П.А. Слепцов, Г.Ф. Корнилов, П. Санников, П.Г. Габышев, уонна хандьыдааттарынан А.И. Софронов, Н.И. Гермогенов, В.Д. Борисов киирбиттэр. Эрэбиисийэлиир хамыыһыйаҕа М.К. Аммосов, Г.Ф. Андреев, Н.Г. Миткевич киирбиттэр, хандьыдааттарынан М.И. Шадрин уонна Н.Е. Желобцов талыллыбыттар. 1920 с. сэтинньи 21 күнүгэр РКП(б) Саха сиринээҕи бюрота саха хомуньуустарын уонна хомсомуолларын уопсастыбаҕа киирэргэ соруйбут. Уопсастыба биэс салааттан турара: тыйаатыр, тылбаас, лиэксийэ, родиноведение, үөрэх (ааҕарга үөрэтии). Бу састаабынан уопсастыба сылы кыайбат үлэлээбитэ. 1921 сыл олунньутугар уопсастыба сорох чилиэннэрэ ""норуоту утарбыт олунньутааҕы саагыбарга"" кытыннылар диэн олоҕо суох буруйданан уопсастыба үлэтэ тохтотулла сылдьыбыта. Онтон ол сыл ахсынньы 23 күнүгэр РКП(б) көҕүлээһининэн ""Манчаары"" култуура-сырдатыы уопсастыбата диэн аатынан сөргүтүллүбүтэ. Бырабылыанньаҕа бэрэстээтэл А.Ф. Бояров, чилиэннэр А.И. Софронов, П.А. Винокуров, К.А. Сокольников уонна М.А. Константинов киирбиттэрэ. Онтон сэбиэттэри утарбыт өрө туруу бүппүтүн кэннэ 1922 с. балаҕан ыйын 5 күнүгэр ""Манчаары"" уопсастыба уопсай мунньаҕар ""Саха омук"" диэн ааты төннөрбүттэрэ. Ону таһынан устааптан хомуньуус баартыйа үс соругун соппуттара. ""Саха омук"" үөрэҕирии, тыйаатыр, билим, ускуустыба, физкультуура сайдыыларыгар далааһыннаах үлэни ыыппыта. Уопсастыба чилиэннэрэ нууччалыыттан саха тылыгар элбэх ааптар айымньытын тылбаастаабыттара, сахалары аан дойду култууратын кытта билиһиннэрбиттэрэ. Уопсастыба иһинэн бөлүһүөпүйэ, быраап, саахымат-дуомат, суруйааччы уонна да атын куруһуоктар үлэлээбиттэрэ. ""Саха омук"" филиаллара 1924 сыллаахха Саха сирин бүттүүнүн хаппыттара. Ардыгар филиаллар ыраах улуустарга уонна нэһилиэктэргэ култуура соҕотох тэриллиилэрэ буолар этилэр. 1928 с. бэс ыйын 2 күнүгэр Саха сирин ВКП(б) обкомун бюрота «Саха омук» уопсастыбаны бобор туһунан уураах ылыммыт. Бобуу төрүөтүнэн уопсастыбаҕа ""сэбиэттэри утарар дьон"" (антисоветские элементы) киирэллэрэ, оттон салалтатыгар ""омугумсук интэлигиэннэр"" (националистически настроенная интеллигенция) киирэллэрэ буолбут. Бу дьиҥнээх төрүөтүнэн П. В. Ксенофонтов уонна М. К. Артемьев бастаанньалыыр этэрээттэрин утары охсуһуу содула этэ. 1937 с. ССРС ис дьыалатын наркома Н. И. Ежов чекистар үлэлэрин туһунан тыл этиитигэр «Саха омук» уопсастыбаны «буржуазно-националистическай тэрилтэ» диэн сыаналаабыта. 1930-с сылларга бу уопастыба чилиэннэрин өрөбөлүүссүйэни уонна сэбиэттэри утарааччылар курдук чуолкайдык көрөллөрө. Өрөспүүбүлүкэ салайааччыларын репрессията бу тэрилтэ чилиэннэрин тиһиктэригэр олоҕурбута. ""Саха омук"" уопсастыба XX үйэ бүтүүтүгэр уларыта тутуу саҕана сөргүтүллэ сылдьыбыта.",sah,Култуура,aléatoire,https://sah.wikipedia.org/?curid=12778,431,,['ru'],False,Култуура,Catégorie principale
20986.0,Саха сиринээҕи култуура үлэһиттэрин I сийиэстэрэ,"Саха сиринээҕи култуура үлэһиттэрин I сийиэстэрэ - Саха сиригэр буолбут култуура уонна ускуустуба үлэһиттэрин сийиэстэриттэн бастакылара, 1959 с. бэс ыйын 26-27 күннэригэр Дьокуускайга буолбута. 300-чэ дэлэгээт баар этэ. Бэбиэскэтэ: ""ССКП XXI сийиэһин устуоруйаҕа киирбит быһаарыылара уонна култуура үлэһиттэрин соруктара"". Дакылааччыт А.П.Данилова, Саха сиринээҕи ССКП обкуомун сэкиритээрэ. ""Култуура сырдатар тэрилтэлэрин үлэтин туруга уонна ону тупсарыы"". Дакылааччыт Г.В.Попов, Саха АССР култууратын миниистирэ.",sah,Култуура,aléatoire,https://sah.wikipedia.org/?curid=20986,63,,['ru'],False,Култуура,Catégorie principale
