pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
50715.0,Мәдәният төзелеше,"Түбәндәге тематик мәкаләләр һәм суб-өлкәләр төзелешенә багышланган мәкаләләре исемлеге мәдәният төзелеше һәм эчтәлегенә күзәтү буларак әзерләнгән: == Мәдәният табигате == Төп мәкалә: Мәдәният Цивилизация - Җәмгыять - (сообщество) Этник төркем - Халык - Төркем тормыш гадәтләре - Җәмәгатьчелек - (общество) === Мәдәният элементлары === Сәнгать - Сынлы сәнгать Гастрономия Пешерү - Ашамлык һәм эчемлекләр Халык ашлары - Әдәбият - Матур әдәбият - Шигърият - Тәнкыйть теориясе - Визуаль сәнгать - Архитектура - биналарны һәм башка корылмаларны проектлаштыру фәне һәм сәнгате. Һөнәрчелек Сурәтләү Кинематограф Рәсем Фотография - Сынчылык - Тамаша сәнгать - Бию - Фильм - Музыка - Опера - Театр - Бәйрәм Фестивалләр - Күңел ачу өлкәсендәге темалар исемлеге - Матур әдәбият - Уеннар - Спорт - Баскетбол - Крикет - Көрәш - Мотоцикл - Теннис - Тел белеме - Сәясәт белеме - Дин - Традиция - == Мәдәниятләр төрләре == Оешма мәдәнияте - === Аспект мәдәниятләре === Велосипед мәдәнияте - актив велосипед кулланышын алга сөрүче мәдәният Кулланучылык мәдәнияте - кулланучылык карашларына нигезләнгән җәмгыять Югары контекст мәдәнияте - Атлар мәдәнияте - көндәлек тормышы атларны үстерү белән бәйле җәмгыять Түбән контекст мәдәнияте - Ремикс мәдәнияте - Катнашучылык мәдәнияте Рөхсәт мәдәнияте - Примитив мәдәнияте - === Дисциплинаара мәдәни өлкәләре === Балаларның мәдәнияте - балаларга хас булган мәдәни феноменнар Балаларның урам мәдәнияте - яшь балалар тарафыннан тудырылган күмәк мәдәният Кофе мәдәнияте - каһвә белән көчле бәйләнештә булган җәмгыяви атмосфера яки кешеләрнең бәйле җәмгыяви кыланышлар җыентыгы - Капитализм мәдәнияте - капиталист җәмгыятендә яшәүче кешеләрнең яшәеш үзенчәлекләре, һәм глобаль яки милли капиталист икътисадының халыкка йогынтысы DIY мәдәнияте - Доминант мәдәнияте - урнашкан тел, дин, кыланыш, кыйммәтләр, ритуаллар һәм җәмгыяви гадәтләр җыентыгы Эчү мәдәнияте - алкогольлы эчемлекләрне эчүче кешеләрнең гадәтләре һәм практикалары Халык мәдәнияте - традицион мәдәният; җәмгыятьнең традицион мәдәни үзенчәлекләре Түбән мәдәният - Югары мәдәният - Рәсми мәдәният - Сәяси мәдәният - Җәмгыяви сәясәтчелек мәдәнияте - Популяр мәдәният - totality of ideas, perspectives, attitudes, memes, images and other phenomena that permeate the everyday lives of a given society, especially those heavily influenced by mass media. Басма мәдәнияте - Куркынычсызлык мәдәнияте - the way in which safety is managed in the workplace, which often reflects ""the attitudes, beliefs, perceptions and values that employees share in relation to safety."" Чәй мәдәнияте - Trash culture - Шәһәр мәдәнияте - Җирле халыклары мәдәнияте - == Чыганак == en:Outline of Culture",tt,Мәдәният,ordonné,https://tt.wikipedia.org/?curid=50715,389,,['ru'],False,Мәдәният,Catégorie principale
170976.0,Матди булмаган мәдәни мирас,"Матди булмаган мәдәни мирас буларак төрле халыкларның үзенчәлекле мәдәни традицияләрен билгеләүче феноменнар атала. == Үрнәкләр == Фольклор - сөйләм тарихи-мәдәни һәм музыкаль-бию жанрлар (музыка, бию һәм җырлау стилләре, дастаннар, легендалар һ.б.): Агач кеше, Бичура, Венера, Вилалар, Дәҗҗал, Идегәй дастаны, Түштән, һ.б. Бәйрәмнәр һәм йолалар: Гербер, Каравон, Нәүрүз, Сабан туе, һ.б. Телләр (аларны саклау һәм җанландыру күзлегеннән) Ризык: Суши, Тако, Татар ризыклары, һ.б. Киемнәр: Татар милли киемнәре һ.б.",tt,Мәдәният,ordonné,https://tt.wikipedia.org/?curid=170976,76,,['ru'],False,Мәдәният,Catégorie principale
170978.0,Матди мирас,"Барлыкка килүгә яки мохитнең формалашуына кеше тәэсир иткән матди мәдәни мирас объектлары матди мирас дип атала. Бу категориясенә төрле тарихи биналар һәм корылмалар (кирмән, гыйбадәтханә, сарай, театр, күпер, һ.б.) һәм аларның хәрәбәләре, кеше корган һәйкәлләр, мәйданнар һәм парклар, мәдәни ландшафтлар (кеше тәэсире астында махсус сыйфатларны алган табигый урман, күл, чүл һәм тау, һ.б. комплекслары) кебек объектлар кертелә. == Үрнәкләр == Кирмәннәр: Җеневез ныгытмасы, Казан кирмәне, Форт Росс, һ.б. Гыйбадәтханәләр: Агунг Демак мәчете, Казан Тихвин чиркәве, Һәйкәлләр: Мәйданнар: Регистан Парклар: һ.б.",tt,Мәдәният,aléatoire,https://tt.wikipedia.org/?curid=170978,83,,['ru'],False,Мәдәният,Catégorie principale
49407.0,Мәдәни мирас,"Мәдәни мирас (""милли мирас"" яки ""мирас"") - бер төркем яки җәмгыятьнең элекке буыннардан калган, бүгенге көндә яшәүче һәм киләчәк буыннарның файдасы өчен сакланылган мәдәни кыйммәтләр. Төрләре буенча мәдәни мирас объектлары классификациясе: матди мирас, матди булмаган мәдәни мирас, табигый мирас һәм катнаш мирас объектлары. Кешелек тарихы өчен әһәмияте буенча җирле, региональ, дәүләт һәм халыкара дәрәҗәсендәге исемлекләргә кертелә. Бөтендөнья мәдәни мирас исемлеге Бөтендөнья мәгариф, фән һәм мәдәният оешмасы тарафыннан махсус халыкара ICOMOS, ICCROM һәм IUCN эксперт оешмалары киңәше буенча билгеләнә. == Сылтамалар == Cultural heritage policy - history and resources Getty Museum - list of major international cultural heritage documents, charters, and treaties UNESCO World Heritage Centre - Official website of the United Nations cultural heritage body International Council on Monuments and Sites International Council of Museums International Centre for the Study of the Preservation and Restoration of Cultural Property Inventory of Heritage Organisations in Europe (English, French, German and Dutch language) International Institute for Conservation of Historic and Artistic Works Cultural routes and landscapes, a common heritage of Europe 2006 елның 27 апрель көнендә архивланган. (English and French language) EPOCH - European Research Network on Excellence in Processing Open Cultural Heritage Cultural heritage search engine 2016 елның 7 октябрь көнендә архивланган. Peace Palace Library - Research Guide 2016 елның 12 сентябрь көнендә архивланган. Archive Rendering of Cultural Heritage 2012 елның 13 май көнендә архивланган.",tt,Мәдәният,aléatoire,https://tt.wikipedia.org/?curid=49407,231,,['en'],False,Мәдәният,Catégorie principale
169816.0,Мәдәни күптөрлелек,"Бер-берсеннән аерылган, үзенчәлекле мәдәниятләрнең нәтиҗәсендә урын алган вәзгыять мәдәни күптөрлелек дип атала. Төшенчә шулай ук: төрле мәдәниятләрнең бер-берсенең үзенчәлекләрен хөрмәт итүне белдерү яки берәр махсус регионда яки дөнья буйлап кеше җәмгыятьләре һәм мәдәниятләренең төрлелеген белдерү өчен кулланыла. Глобальләшү аерым җәмгыятьләрнең мәдәни үзәнчелекләренең җимерелүенә китерүе аркылы дөньяның мәдәни күптөрлелегенә тискәре тәэсир итүе турында ишетеп була. == Күзәтү == Җир шарында барлыкка килгән күпсанлы аерым җәмгыятьләр бер-берсеннән нык аерылганнар, һәм бу үзенчәлекләрнең күбе бүгенгә кадәр күзәтелә. Кешеләрне билгеләүче тел, кием һәм гадәтләр кебек төп аермаларыннан тыш, җәмгыятьләр үз төзелеше, аларның вәкилләре уртаклашкан әхлак төшенчәләре, һәм әйләнә-тирә мохиткә карата мөнәсәбәтләре белән аерыла. Мәдәни күптөрлелек биотөрлелекнең аналогы дип санала. == Яклау һәм критика == Планетадагы биологик тормышның озын мөддәттә саклануы өчен кирәкле дип саналган биотөрлелек кебек үк кешелекнең озын мөддәтле исән-саулыгы өчен мәдәни күптөрлелек кирәк дип әйтү белдерү мөмкин. Бу караш яклылар кешелек өчен автохтон халыкларның мәдәниятләрне саклау тереклекнең тотрыклылыгы өчен биологик төрләрне һәм экосистемаларны саклау кебек мөһим дип белдерәләр. 2001 елда ЮНЕСКО Генераль Конференциясе тарафыннан кабул ителгән Мәдәни күптерлелек буенча гомуми декларациясенең беренче маддәсендә нәкъ бу карашлы булуын белдерде: ""...табигать өчен биотөрлелек кирәкле булганы күләмендә кешелек өчен мәдәни күптөрлелек зарур"" Бу позициягә каршы критика берничә сәбәпкә нигезләнә: Эволюцион психология өлкәсендәге кешеләр табигате турындагы постулатларның күпчелеге кебек үк, мәдәни күптөрлелекнең исән калу өчен мөһимлеге турында фикерне дәлилләп яки кире кагып булмый. Икенчедән, ""үсеше түбәнрәк"" булган җәмгыятьләрнең төзелешен саклауга юнәлгән гамәлләр, бүген шул җәмгыятьләрдә яшәүче кешеләргә югары үсештәге илләрдә технология һәм медицина өлкәсендәге ачышлардан файдалануга киртә салачак, һәм бу этика принципларына каршы. == Саннар белән тасвирлау == Мәдәни күптөрлелекне саннар белән тасвирлау кыен, тик берәр регионда яки дөнья буйлап кулланылган телләр саны яхшы күрсәткеч була ала дип уйланыла. Бу күрсәткеч буенча, кешелек дөньясы үз мәдәни төрлелегенең дәрәҗәсендә кискен югалтулар чорын яши дип билгеләү мөмкин. 1990-еллар дәвамында фәнни тикшеренүләр ул чакта һәр ике атна дәвамында бер тел кулланылыштан чыга иде; бу тизлек үзгәрмәсә, 2100 елга кадәр дөньяда бүген кулланылган телләрнең 90% юкка чыгачак. Европа Комиссиясе билгеләгән бюджет нигезендә эшләүче Network of Excellence on ""Sustainable Development in a Diverse World"" экспертлар челтәре ЮНЕСКО Декларациясенә нигезләнеп мәдәни күптөрлелек һәм тотрыклы үсеш арасында бәйләнешләрне тикшерү өстендә эшли. == Шулай ук карагыз == Матди мирас Матди булмаган мәдәни мирас",tt,Мәдәният,aléatoire,https://tt.wikipedia.org/?curid=169816,362,,['ru'],False,Мәдәният,Catégorie principale
1044.0,Almış Cäğfär ibn Şilki,"Almış (Almas) iltäbär yäki Almış ämir, Almuş, Almas, Almış mälik, Almış patşa, Almış (Abdallah) Cäğfär ibn Şilki (9. yöz axırı - 10. yöz urtaları), İdel buyı Bolğarı idaräçese (iltäbäre). Möselmanlıqta alğan iseme Cäğfär bine Abdallah. Şilkineñ ulı. 10. yöz başında Xäzär qağanlığına buysınğan Urta İdäldäge il-bäklek xakime. Xäzär qağanlığına buysınudan qotılu teläge belän Bolğar qäbilälären berläşterü öçen köräşä. Bağdad xälifäsenä ilçelä cibärä. 922. yılda âl-Moqtädir xälifä ilçeläre Bolğarğa kilä. Almış iltäbär idaräse waqıtında İdel buyı Bolğarı möstäqil däwlät bulıp oyışa. == İslam dine qabul itüe == Almış, Bağdad xälifätenä ilçelär cibärep, üz ilendä islam tärtiplären urnaştıruda yärdäm itü häm bolğarlarğa möselman dinen öyrätü öçen üzenä fäqeyh-şäriğät xoquqların yaxşı belüçe keşe cibärüne ütengän. Bolğar bieneñ üteneçe qänäğätländerelgän. === Bağdadtan ilçelege === 922 yılda Bağdadtan Urta Aziä aşa bolğarlarğa ilçe Susan är-Rassi häm ilçelekneñ särqätibe Äxmät ibne Fadlan citäkçelegendäge wäkillek kilep citkän. Näq menä ilçelekneñ asılda töp wazifasın ütäwçe İbne Fadlan Bağdadqa äylänep qaytqannan soñ üzeneñ «Risalä»sen yazğan. (Risalä-berär mäqälä, keçeräk kitap digän süz.) İlçelek borınğı bolğarlar ilenä hicri belän 310 yılnıñ 121 möxärrämendä ayaq basa. Bu bezneñçä yıl isäbe belän 922 yılnıñ 12 mayına turı kilä. Bolğar patşası Almış (İbne Fadlan anı, däwlät başlığı bularaq, «mälik» dip atıy, ğäräpçä patşa digän süz) ilçelekne ifrat zur tantana belän qabul itkän. Ğäräplär aña qimmät büläklär häm xälifäneñ yaqlawı bilgese itep däwlät bayrağı tapşırğannar. Berniçä könnän, comğa könne, tantanalı töstä ğibadät qılğannar, xötbä, yağni comğa namazı uqığannar. == İslam dine räsmi räweştä iğlan itüe == İke aydan soñ, böten bolğar xalqı qorıltayın cıyıp, şul uq Bağdad ilçeläre aldında Almas islamnı qabul itüne räsmi töstä böten xalıq isemennän iğlan itkän. Şul räweşçä, däwlät dine itep islamnı qabul itü bolğar häm alarğa qärdäş qäbilälärne berläşterüne tögällär çorı, tönyaqta bolğarlarnıñ üzäkläşterelgän yaña däwläteneñ-İdel Bolğarınıñ tämam oyışıp citü waqıtı bulıp sanala. Almış İslam dine qabul itkännän soñ Abdallah iseme alğan. Ämir Abdallah Cağfar ibn Şilki - berençe Bolğar ämire bulğan. == Monı da qarağız == Bolğar bizäleş sänğäte Bolğar çigä asılması Bolğar Ağa bazar Böyek Bolğar ile İdel Bolğarı ictimaği-säyäsi tözeleşe İdel buyı Bolğar däwläte Qazan yanındağı suğış (1506) Möxämmät-Ämin xan Tuqtamış xan == Tışqı sıltamalar == Bolğar däwläte Повесть временных лет. М.-Л., 1950. Ч. 1-2; Полное собрание русских летописей. М., 1949. Т. 2; М., 1962. Т. 1, вып. 2. Волжская Булгария и Русь. Казань, 1986.",tt,Тарих,ordonné,https://tt.wikipedia.org/?curid=1044,378,,['tr'],False,Тарих,Catégorie principale
115741.0,Ananyino mädäniäte,"Ananyino mädäniäte yäki Ananyino kul'turası çorı - Urta İdel buyınıñ, xätta antik dönyağa qädär barıp citep, bik küp qäbilälär häm xalıqlar belän tışqı elemtälär urnaştıru waqıtı ul. Alabuğa rayonınıñ Ananyino awılı isemennän alınğan, uzğan ğasırda uq şul awıl yanında älege mädäniätneñ bik bay istälekläre öyränelgän. Töbäkneñ şul çordağı könyaq grek-skif dönyası belän elemtä totqanlığına bik tä qimmätle, böten Urta İdel öçen unikal' tabış bulıp sanalğan, b. e. q. VI ğasırda, yağni monnan 2500 yıllar elek yasalğan bronza közgelär ışandırğıç dälil bulıp tora. Alar soñğı yıllarda ğına Qazan suı buyında, İske Qazan yanında tabıldı. İke közgeneñ berse ayıruça zur qimmätkä iä. Anıñ sarıq başı räweşendä, fändägeçä äytkändä, «cänlek stilendä» eşlängän totqıçı, sabı bar. Faraz itsäk, älege közgelärne nindider säbäp belän Tönyaq Qara diñgez buyı belän Könyaq Ural arasındağı säwdä yulınnan qalğan dip uylarğa mömkin. Bu yul borınğı ğrek ğalime, «tarix atası» Gerodot yazmalarınnan bilgele, häm ul Urta İdel aşa ütkän. Şul uq Gerodot mäğlümatlarına qarağanda, anan'inolılarnıñ tarixi ataması tissagetlar bulırğa tieş. Bu - Urta İdel buyındağı borınğı qäbilälärneñ berençe tarixi iseme. == Ädäbiät == Археология Южного Урала. Стерлитамак, 1993. Ашихмина Л. И. Генезис ананьинской культуры в Среднем Прикамье / Сер. препр. «Науч. докл.» : АН СССР, Коми фил. (К VI Междунар. конгр. финно-угроведов) - Сыктывкар: Коми фил. АН СССР, 1985. - 26 с. Голдина Р. Д. Древняя и средневековая история удмуртского народа. Ижевск, 1999. Збруева А. В. История населения Прикамья в ананьинскую эпоху. М., 1952. Иванов В. А. Вооружение и военное дело финно-угров Приуралья в эпоху раннего железа (I тыс. до н. э.-первая половина I тыс. н. э.). М. : Наука, 1984. - 88 с. Кузьминых С. В. Металлургия Волго-Камья в раннем железном веке: Медь и бронза. - М.: Наука, 1983. - 257 с. Марков В. Н. Ананьинская проблема (некоторые итоги и задачи её решения) // Памятники древней истории Волго-Камья. Казань, 1994. Марков В. Н. Нижнее Прикамье в ананьинскую эпоху (Об этнукультурных компонентах ананьинской общности) / Археология евразийских степей. Вып.4. Казань: ИИ АН РТ, 2007. - 136 с. Халиков А. Х. Волго-Камье в начале эпохи раннего железа. М., 1977. Чижевский А. А. Погребальные памятники населения Волго-Камья в финале бронзового - раннем железном веках: Предананьинская и ананьинская культурно-исторические области / Археология евразийских степей. Вып. 5. Казань: РИЦ «Школа», 2008. - 172 с.",tt,Тарих,ordonné,https://tt.wikipedia.org/?curid=115741,370,,['ru'],False,Тарих,Catégorie principale
115742.0,Arxeologik mädäniät,"Arxeologik mädäniät yäki Arxeologik kul'tura - ber ük waqıt, urtaq mäydan häm ğomumi matdi mädäniät belän bilgelänüçe arxeologik istäleklär cıyılması. Ul nindi dä bulsa qäbilälär berlegenä turı kilä. Ägär arxeologik mädäniät tarixi iseme bezgä mäğlüm bulmağan berär borınğı qäbilädän qalğan bulsa, ul üzenä genä xas bulğan yäki berençe tapqır öyränelgän istälek iseme belän, ä qayçaq bu mädäniätneñ üzençälegennän çığıp şartlı räweştä atala. == Ädäbiät == Монгайт А. Л. Археологические культуры и этнические общности. // Народы Азии и Африки. 1967. 1. Формозов А. А. Этнокультурные области на территории Европейской части СССР в каменном веке. - М., 1959. Eggers Н. J. Einführung in die Vorgeschichte. - Münch., 1959. De Laet S. L’archéologie et ses problemes. - Berchem-Brux., 1954.",tt,Тарих,ordonné,https://tt.wikipedia.org/?curid=115742,116,,"['et', 'tr']",True,Тарих,Catégorie principale
118807.0,Basqaq,"Basqaq - buysınğan cirlärdä tatar xanı xärbi wäkile. Basqaq süze ""basarğa"" (basıp alu) tatar fiğelennän kilep çıqqan. == Tarix == Basqaqlar Altın Urda nigezlängännän soñ kilep çıqqanar. Altın Urda däwläteneñ säyäsi häm ictimaği tormışında basqaqlar belän daruxaçılar (daruxalar) zur urın totqannar. Basqaqlar xärbi xezmättä bulıp, xökümätneñ iminlegen saqlaw wazifasın ütägännär; daruxalarnıñ töp wazifaları isä yasaq cıyunıñ barışın küzätep toru bulğan. Basqaqlar XIV yözneñ başında uq beterelsä, daruxaçılar äle darux-ölkälärneñ xäkimiät başlıqları sıyfatında Qazan xanlığında dä yäşäp häm eşläp kilgän. Yasaq cıyuda alarğa yärdämçeläre bulışqan; boların bitekçe dip yörtkännär. Xäyer, Cuçi Olısında bitekçe xäyran zur däräcäle keşe sanalğan. Bitekçe xan diwanında da bula, anısı baş bitekçe dip atalğan; annarı ulus sayın bitekçe bulıp, şaqtıy eşne änä şular başqarğan. Soñraq Altın Urdağa kerüçe olıslarda salım cıyu wazifaları cirle xakimnärgä tapşırıla. Rus Olısında İvan Kalita çorınnan rus kenäze salımnarnı üze cıya häm Böyek xanğa cibärä. == Ädäbiät == Равил Фәхретдинов. ТАТАР ХАЛКЫ ҺӘМ ТАТАРСТАН ТАРИХЫ. Фёдоров-Давыдов Г. А. Общественный строй Золотой Орды. - М.: Издательство Московского университета, 1973. - С. 30-31.",tt,Тарих,ordonné,https://tt.wikipedia.org/?curid=118807,168,,['tr'],False,Тарих,Catégorie principale
55669.0,Biläw yanındağı suğış,"Biläw (rusça Белёв) yanındağı suğış - 5 dekaber 1437 yılda, Oluğ Möxämmäd xan belän Mäskäwneñ böyek kenäze Vasiliy II Tyomnıy ğäskärläre arasında bulğan orış. Altın Urda täxete öçen barğan köräştä Oluğ Möxämmäd xan 1437 yılnıñ közendä Säyed Äxmäd tarafınnan ciñelä häm 3 meñ çamasındağı ğäskäre belän çik buyındağı Biläw şähärenä taba çigenä. Qışnı Biläwdä çığarğa niätläp, qälğa-şähär tiräsen «bozlap qatıra», qalın boz qantarları kisterep, nığıtma tözetä («здела себе ледян град...»). Vasiliy II, xannı üz bilämäsennän quıp çığarırğa uylap, bertuğanı Yuriynıñ ulları Dmitriy Şemyaka belän Dmitriy Krasnıy kenäzlär citäkçelegendä 40 meñlek ğäskär cibärä. Oluğ Möxämmäd xan köçläre baştaraq berqädär yuğaltuğa duçar bula, solıx kileşüe täqdim itelä. Rus ğäskäre başlıqları kileşüdän baş tartalar, «bozlap qatırılğan nığıtma»ğa höcümne köçäytälär. Xan atlıları kinättän alar östenä yabırıla, rus suğışçılarınıñ baytağı häläk bula, qalğannarı qurqıp çigenä häm qaça. Rus yılyazmaçısı bu waqiğanı «татарове... побиша рать рускую ... бояр и князей множество» («tatarlar... rus ğäskären... küp kenä boyarlarnı häm kenäzlärne qırdılar»), dip terkäp quyğan. Oluğ Möxämmäd, bu bäreleştä zur ciñügä ireşsä dä, Biläwdä ozaqqa totqarlanmıy. 1438 yıl başında anıñ Tübän Novgorodqa (ikençe beräwlär fikerençä - Qazanğa) taba kitep baruı mäğlüm. == Monı da qarağız == Oluğ Möxämmäd Suzdal' yanındağı suğış Vasiliy II Qazan yanındağı suğış (1506) Tuqtamış xan Mäskäwneñ buysındıruı (1382) İdegäy Möxämmät-Ämin xan Bolğar-Rus kileşüläre == Tışqı sıltamalar == Bolğar däwläte Зимин А.А. Витязь на распутье. Феодальная война в России XV в. М.,1991.",tt,Тарих,ordonné,https://tt.wikipedia.org/?curid=55669,227,,['tr'],False,Тарих,Catégorie principale
