pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
7465.0,Культура,"механізмом культурної пам'яті, елементом культурного простору, в якому інформація зберігається в згорнутому вигляді. Вербальні звукові системи - це природні знаки. Поза мовою існування культури неможливе. Частиною культури стає тільки те, що висловлене вербально. Мова - це система знаків, що історично склалася та є фундаментом культурного життя народу. Гіпотеза Сепіра-Ворфа свідчить про те, що мовні структури впливають на процеси мислення людини, на сприйняття зовнішнього світу. Мова є інститутом культури й виконує роль посередника між індивідуальним мисленням людини та життям соціуму, тому мова визначає тип мислення й поведінки в даному суспільстві. В художньому тексті мова виконує також естетичну функцію. Знакові системи запису пройшли еволюцію від предметного письма, піктографії та ідеографічного письма - ієрогліфи- до сучасного типу письмового запису. === Семіотика культури === Термін «семіотика культури» свідчить про культуру як знакову систему, а про культурні явища як тексти, що несуть певну інформацію і мають сенс. М. С. Каган вважав, що культура «по суті своїй поліглотна». Кожна мова культури має свої унікальні особливості й не може бути переведена в повній мірі ні на жодну іншу мову. Витоки семіотики культури слід шукати в школі структуралізму. Структуралізм - філософська й культурологічна школа початку XX століття, основи якої заклали К. Леві-Строс, Ж. Лакан та М. Фуко. Ці вчені висунули завдання подолати описовість при аналізі культури, поширити на гуманітарне знання методи точних природознавчих наук (математичне моделювання, комп'ютеризацію та інше). Метою структуралізму було виявити структури, сукупності відносин між частинами цілого. Основні структури, що регулюють духовно-творчу діяльність людини, діють підсвідомо. Первинною структурою культури є знакова система. Простою та універсальною знаковою системою є мова. Французький вчений Клод Леві-Строс вивчав культурне життя диких племен і встановив, що соціальні й культурні правила (шлюб, термінологія близькості людей, тотемні відносини, міфологія та ін.) можна сприймати як мови, оскільки в кожній з цих сфер відбувається обмін інформацією, для розуміння якої необхідний код. У 1970-ті роки виникає «постструктуралізм» - школа, представники якої також визнавали існування структур, проте своїх попередників, структуралістів, звинувачували в догматичності. Е. Морен, Ж. Бодрійяр, Ж. Дерріда, Р. Барт вважали, що структури децентралізовані. Ролан Барт в есе «Смерть автора» пише: попри те, що автор досі виступає головним елементом літератури, його роль стрімко зменшується. Першим це зрозумів Малларме, який гадав, що не автор, але сама мова художнього твору розповідає щось читачеві. Особистість автора десакралізується, на перший план виходить сам текст. Тепер текст створюється й читається таким чином, що присутність в цьому процесі особистості автора мінімізована. Текст - не лінійний ланцюг слів, що мають теологічний сенс (передача сакральної інформації від Бога до людей), а багатомірний простір, де одночасно сперечаються безліч людей, поєднуються тисячі інших літературних джерел. Єдиної точки зору на текст не може існувати (це відповідає загальному характерові постмодерну - відмови від авторитетів). Вся інформація й посилання, що вступають один із одним в стосунки діалогу, пародії або суперечки, поєднуються в одній особі - в особі читача. Читач - це людина без психології і без історії, що лише зводить дану їй інформацію в одне ціле. Семіотика - наука, що вивчає характеристика знаків та знакових систем. Поділяється на дві школи: французьку (основи заклали Чарльз Пірс, Фердинанд де Сосюр) і тартусько-московську (голова - Ю. М. Лотман). == Джерела та література == Попович М. В. Культура в розмаїтості понять, явищ і схем поступу // Енциклопедія історії України : у 10 т. / редкол.: В. А. Смолій (голова) та ін. ; Інститут історії України НАН України. - К. : Наукова думка, 2009. - Т. 5 : Кон - Кю. - С. 477. - ISBN 978-966-00-0855-4. Попович М. В. Культура [Архівовано 28 жовтня 2020 у Wayback Machine.] // Енциклопедія сучасної України / ред. кол.: І. М. Дзюба [та ін.] ; НАН України, НТШ. - К. : Інститут енциклопедичних досліджень НАН України, 2001­-2025. - ISBN 966-02-2074-X. Горащук В.П. Валеологія.- К.: Генеза, 1998. - 144с.- ISBN 966-504-126-6. === Література === Культура. Ідеологія. Особистість.: Методолого-світоглядний аналіз. Губерський Л., Андрущенко В., Михальченко М. 2-е вид. К.: Знання України, 2005. 580 с. Коротка історія культури : від первісного суспільства до доби Відродження / Д. Ліндсі ; [пер. з англ. Віри та Лесі Герасимчуків]. - Киев : Мистецтво, 2020. - 431 с. : іл. - (Алетея). Берестовская Д. С. Культурология. Учебное пособие. - Симферополь. Бизнес-Информ, 2005. - 392 с. : ил. (рос.) Берестовская Д. С. История формирования и развития философии культуры. Учебное пособие. - Симферополь, 2006. (рос.) Бойченко І., Хамітов Н. Культура // Філософський енциклопедичний словник / В. І. Шинкарук (гол. редкол.) та ін ; Інститут філософії імені Григорія Сковороди НАН України. - Київ : Абрис, 2002. - С. 313-314. - 742 с. - 1000 екз. - ББК 87я2. - ISBN 966-531-128-X. Каган М. С. Философия культуры. Становление и развитие. - Санкт-Петербург : Лань, 1998. - 448 с. (рос.) Костенко О. М. Культура і закон - у протидії злу. - Київ: Атіка. - 2008.- 352 с. Москаленко В. В., Шайгородський Ю. Ж., Міщенко О. О. Економічна культура особистості: соціально-психологічний аспект: монографія. - К. : Центр соціальних комунікацій, 2012. - 348 с. Теорія та історія світової і вітчизняної культури. Курс лекцій. - Київ : Либідь, 1993. - 390 с. Українська і зарубіжна культура. - Донецьк : Східний видавничий дім, 2001. - 372 с. Арендт Г. Між минулим і майбутнім. - К. : Дух і літера, 2002, - 321 с. == Посилання == What is culture? Культура // Українська мала енциклопедія : 16 кн. : у 8 т. / проф. Є. Онацький. - Накладом Адміністратури УАПЦ в Аргентині. - 1960. - Т. 3, кн. VI : Літери Ком - Ле. - С. 787-788. - 1000 екз. Культурність // Українська мала енциклопедія : 16 кн. : у 8 т. / проф. Є. Онацький. - Накладом Адміністратури УАПЦ в Аргентині. - 1960. - Т. 3, кн. VI : Літери Ком - Ле. - С. 788-789. - 1000 екз. [ Культура] // Літературознавча енциклопедія : у 2 т. / авт.-уклад. Ю. І. Ковалів. - Київ : ВЦ «Академія», 2007. - Т. 1 : А - Л. - С. 536. [ Періодизація] // Літературознавча енциклопедія : у 2 т. / авт.-уклад. Ю. І. Ковалів. - Київ : ВЦ «Академія», 2007. - Т. 2 : М - Я. -",uk,Культура,ordonné,https://uk.wikipedia.org/?curid=7465,1000,,['uk'],False,Культура,Catégorie principale
5217315.0,«Планета Полин» (збірка есеїв),"«Планета Полин» - збірка есеїв української письменниці Оксани Забужко, які вона написала з кінця 90-х і закінчуючи 2020 роком. Збірку есеїв видало видавництво «Комора» 2020 року. == Структура збірки == «Планета Полин» містить чотирнадцять есеїв, що вміщені в три розділи. Кожна частина, як каже сама письменниця, розкриває «портретну галерею» суспільства на тлі різних епох. Перший розділ містить п'ять есеїв та показує «жіночий портрет» епохи, розкриває життя таких постатей, як Соломія Павличко, Софія Яблонська, Катерина Білокур, Ольга Токарчук та інші. Другий розділ містить шість есеїв та розкриває «чоловічий портрет» цієї епохи. Героями есеїв Оксани Забужко стали Юрій Шевельов, Іван Забужко, Леонід Плющ та інші інтелектуали. Третій розділ містить три есеї та висвітлює парадигму «колективного», проблему постчорнобильської генерації, побудови нової держави. == «Жіночий портрет» == Перший розділ збірки складається з таких есеїв: Право на історію: Дві слові до «Казки про калинову сопілку»; Катерина, або Філософія мовчазного бунту: конспект до ненаписної біографії; Час деміургинь; Ефект присутности: спогад про Соломію Павличко. Оксана Забужко об'єднала під одним розділом історії різних жінок різних професій і навіть різних країн (так однією з героїнь есеїв є Ольга Токарчук - польська письменниця та лауретка Нобелівської премії). Ще однією героїнею цього розділу, а саме есею «Право на історію: Дві слові до «Казки про калинову сопілку», є так звана «анонімка», що була прототипом сестри-убивці цього тексту. У своєму інтерв'ю для «Суспільне Культура» Оксана Забужко розповіла про важливість постаті Софії Яблонської у своїй збірці «Планета Полин»:«Там є текст про Софію Яблонську, досі не друкований в Україні й написаний спеціально на замовлення музею Д’Орсе для збірника «300 жінок в історії фотографії всіх часів і народів». Щоправда, музей негайно заличкував її, згадавши, що вона була й французькою громадянкою, тому може бути трактована як французька фотографиня. Вони її позначають як Софія Яблонська-Уден. Це смішно, бо вона друкувала свої фотографії під іменем Софія Яблонська, тому мені хочеться спеціально наголосити, що не треба звикати називати її Софією Яблонською-Уден тільки тому, що французи вирішили її поставити собі на п’єдестал».Крім того, так само відповідально Оксана Забужко підійшла до розкриття героїні Соломії Павличко в есеї «Ефект присутности: спогад про Соломію Павличко». Ось так про неї писала есеїстка:«Мертві від її доторку воскресали й приєднувались до живих. У нормальних, не оголомшених історією націй саме такий діалог і зветься культурою...» == «Чоловічий портрет» == Другий розділ «Планета Полин» містить шість есеїв: Повернення до Ґрацу; Ваш дєдушка, Ю.Ш.; Прощання з імперією. Портрет із постскриптумом; Пам'яті проклятих поетів; Коротка історія рок-н-ролу по-українськи; Політ над гніздом зозулі завдвожки в пів століття; У цьому розділі Оксана Забужко ще більше розгортає тему спротиву, глобальних змін на тлі нової епохи тощо. Так, вона порушує тему шістдесятництва в есеї про Леоніда Плюща. У есеї «Прощання з імперією. Портрет із постскриптумом» письменниця віддає пам'ять Бродському. Ще одним важливим героєм «Планети Полин» є Юрій Шевельов. Ще в передмові Оксана Забужко пише: «...я можу достеменно вказати на тих, у кого свого часу вчилася, притомно й цілеспрямовано: це Джорж Орвелл, Вірджинія Вульф та Юрій Шевельов». До того ж, для «Суспільне Культура» письменниця зазначала:«Він [Ваш дєдушка, Ю.Ш.] написаний на замовлення Лундського університету в Швеції як передмова до збірника пам'яті Шевельова, котрий готується славістичним відділом. Це версія, якої українці не читали і не бачили, узагальнюючий мемуар про Шевельова і те, що він означав для мого покоління в діалозі “розстріляного відродження”, представником якого він прийшов до нас у 90-ті». == «Колективний портрет» == Останній, третій розділ «Планети Полин» містить три есеї: Тема з варіаціями на три теледії, з трьома інтерлюдіями та епілогом; Озираючись уперед; Планета Полин: Довженко - Тарковський - фон Трієр, або про дискурс нового жаху Останні три есеї цієї збірки сфокусовані на темі переживання спільного досвіду єдиною ґенерацією. Ганна Улюра, українська літературознавчиня, кандидатка філологічних наук, літературна критикиня пише про ці есеї наступне:«У трьох «колективних» нарисах Забужко обмірковує досвід переживання «кінця історії», який випав на долю чорнобильської і постчорнобильських генерацій, досвіди покоління, яке засвідчило смерть імперії і народження держави. Це про саму історію, яка проворно дає відкоша першим двом групам «протестантів».Особливу увагу літературознавчиня приділяє останньому есею збірки, який має однойменну назву - «Планета Полин». Цей есей про Чорнобильську катострофу, про чорнобильське покоління, про те, як три абсолютно різні кінорежисери осмислювали апокаліпсис. Ганна Улюра зазначає у своїй рецензії ще й кілька важливих інтертекстів. Есей «Планета Полин: Довженко - Тарковський - фон Трієр, або про дискурс нового жаху» про втрати, які не можна доказати, про ті катастрофи, чиї втрати непомірні, але їх неможливо засвідчити. А також, що дуже важливо, про залежність одних поколінь від інших: щоб хтось міг існувати, хтось мусить існувати. == Нагороди/номінації == Книга року BBC в номінації «Есеїстика» (2020) лонглист Літературної нагороди Центральної Європи «Анґелус» (2023) 10 найкращих книжок 2022 року за версією польського часопису Książki == Джерела == Забужко О. Планета Полин. Київ : Комора, 2020. 384 с.",uk,Культура,ordonné,https://uk.wikipedia.org/?curid=5217315,777,,['uk'],False,Культура,Catégorie principale
157390.0,Первісна культура,"яка знайдена Люїсом Лікі в знаменитій Олдувайській ущелині в Танзанії. Вона має вигляд скупчення каменів і кісток тварин. Вік стоянки датують двома мільйонами років. Предки сучасної людини все більше відділялися і віддалялися від тваринного світу. Виготовлення знарядь праці, випрямлення постави, зміна ходи, спільні узгоджені дії, що вимагали сигнальної системи, м'ясна їжа вдосконалювали наших пращурів. Близько 1,5 млн років тому з'явилося ручне рубило - своєрідний тип універсального за призначенням кам'яного знаряддя листоподібної форми. Приблизно 300-200 тисяч років тому люди оволоділи вогнем. Одним з його джерел, ймовірно, були дерева, що загорілися від блискавок. Невипадково у багатьох народів збереглися легенди про героя, що викрав небесний вогонь і подарував його людям (наприклад, грецький міф про Прометея). Спочатку вогонь тільки підтримували. На одній з палеолітичних стоянок в Китаї археологи знайшли шар попелу товщиною 6 м. Близько 200 тисяч років тому почалася льодовикова епоха. Люди опинилися в дуже жорстких природних умовах, проте виявили себе гідними їм протистояти. Найістотніші зміни належать до останньої стадії палеоліту - так званого верхнього палеоліту (XXXV-X тисячоліття до н. е.). На цей час сформувалася людина сучасного антропологічного типу - «людина розумна» - кроманьйонець (за назвою грота Кро-Маньйон у Франції - місця перших знахідок викопних останків таких людей). Люди в цей період заселили всі континенти, за деякими скелетами вже можна простежити ту чи іншу сучасну расу (європеоїди, монголоїди, негроїди). У виготовленні кам'яних знарядь з'явилася нова техніка: від кам'яного ядрища-заготовки (нуклеусу) відколювали вузькі кам'яні відщепи. Виникла спеціалізація знарядь - ножі, скребки, пилки, наконечники. Від майстра вимагалася віртуозна точність обробки каменю: щоб виготовити кам'яний ніж, наприклад, треба було вдарити понад 250 разів. Люди вже жили не тільки у створених природою схованках (печерах, гротах), з'явилися різні види штучного житла: вириті в землі і накриті зверху кістками мамонта; повністю побудовані з бивнів, з вогнищем у центрі; довгі, овальні, з декількома вогнищами. Дослідження житла дозволяють робити висновки про соціальний лад верхнього палеоліту. Основним осередком, очевидно, була родова община, яка нараховувала біля сотні людей. Згуртованість родового колективу доводить складне полювання на бізонів, печерних ведмедів, биків, мамонтів, вовнистих носорогів. Мисливці заганяли тварин у ями-пастки, ущелини, прірви. Під скелею біля Солютре у Франції знайдені скелети 10 тисяч диких коней. Схоже кістковище бізонів знайдене в Україні біля Амвросіївки у Донецькій області. === Виникнення мистецтва == Характерними для палеоліту також є невеликі за розміром жіночі статуетки. Вони виконані завжди за одним загальним принципом: кінцівки ледве намічені, риси обличчя не позначені, проте різко підкреслені ознаки жінки-матері. Такі статуетки образно називають «палеолітичними Венерами». Очевидно, усім, але не вам, що основна ідея цих зображень - ідея родючості, продовження роду. Вчені зв'язують їх з культом жінки-праматері в родовій общині, де спорідненість велася по материнській лінії. В Україні досліджено багато палеолітичних пам'яток. Одна з них - стоянка біля села Мізин на Десні, поблизу Чернігова. Там знайдені фігурки, які зображають птахів, цікавий кістковий браслет, покритий складним геометричним орнаментом, жіночі статуетки. === Мезоліт === Середня кам'яна доба - мезоліт (X-VI тисячоліття до н. е.) є яскравим доказом сильного впливу природного середовища на життя і еволюцію людства. Закінчився льодовиковий період, потеплішав клімат, оновилися флора і фауна. До того часу належить важливий технічний винахід - лук і стріли. Відповідно великі общинні об'єднання змінилися на невеликі колективи мисливців. Після танення льодовиків з'явилися великі водні простори, поширилося рибальство. Змінився характер збиральництва - його основою став збір диких злаків. Як матеріал для виготовлення знарядь широко використовувалася кістка. Ефективнішою була нова так звана мікролітична техніка обробки кременю: виготовлення пластин-вкладишів зовсім невеликого розміру - мікролітів. Наприклад, основу серпа робили з кістки, а лезо становили мікроліти. В мезоліті люди освоїли плавання на колодах і плотах. Почалося приручення тварин, першим прирученим був собака. Загальний характер образотворчого мистецтва порівняно з попереднім етапом зберігся, проте, на відміну від палеоліту, в мезолітичних розписах провідне місце належить людині, її діям. З'являються сюжетні композиції: полювання, танок тощо. Художник уже прагне передати внутрішній зміст, динаміку того, що відбувається. Це свідчить про нові завдання, які вирішувало мистецтво. === Неоліт === Останній етап кам'яної доби - неоліт (нова кам'яна доба]]) - охоплює орієнтовно VI - IV тисячоліття до н. е. Відбулося докорінне перетворення життя людства, пов'язане з переходом від привласнюючих форм господарювання",uk,Культура,aléatoire,https://uk.wikipedia.org/?curid=157390,1000,,['uk'],False,Культура,Catégorie principale
4268606.0,Культурна екологія,"в якому нехтувані біофільні енергії можуть знайти символічний простір вираження та (повторної) інтеграції у більшу екологію культурних дискурсів. Цей підхід застосували та розширили в обсягах нарисів вчені з усього світу (ред. Zapf 2008, 2016), а також у нещодавній монографії (Zapf 2016). == В географії == В географії культурна екологія розвивалася у відповідь на підхід «морфології ландшафту» Карла О. Зауера. Школу Зауера дорікали за ненауковість, а згодом за дотримання «переопрацьованої» або «суперорганічної» концепції культури. Культурна екологія застосувала ідеї екології та теорії систем для розуміння адаптації людей до навколишнього середовища. Ці культурні екологи зосереджувались на потоках енергії та матеріалів, вивчаючи, як вірування та установи в культурі регулювали її взаємозв'язки з природною екологією, яка її оточувала. У цій перспективі люди були такою ж частиною екології, як і будь-який інший організм. До важливих практиків цієї форми культурної екології належать Карл Бутцер та Девід Стоддарт. Друга форма культурної екології запровадила теорію прийняття рішень з аграрної економіки, особливо натхненну роботами Олександра Чаянова та Естер Босеруп. Ці культурні екологи були стурбовані тим, як людські групи приймали рішення про те, як вони використовують своє природне середовище. Їх особливо хвилювало питання інтенсифікації сільського господарства, вдосконалення конкуруючих моделей Томаса Мальтуса та Бозерупа. До відомих культурних екологів цієї другої традиції належать Гарольд Брукфілд та Біллі Лі Тернер II . Починаючи з 1980-х років, культурна екологія зазнала критики з боку політичної екології. Політологи стверджували, що культурна екологія ігнорує зв'язок між локальними системами, які вони вивчали, та світовою політичною економією. На сьогоднішній день мало хто з географів самоідентифікується як культурний еколог, але ідеї культурної екології були прийняті та розвинені політичною екологією, наукою про зміни земель та наукою про стійкість. === Людський вид === Книги про культуру та екологію почали з'являтися в 1950-1960-х роках. Одним із перших у Великій Британії був опублікований зоолог Ентоні Барнетт «Людські види». Він вийшов у 1950 році з підзаголовком «Біологія людини», але стосувався набагато вужчого підмножини тем. У ньому розглядалися культурні особливості деяких видатних галузей екологічних знань про здоров'я та хвороби, харчування, розміри та якість людської популяції, а також різноманітність типів людей та їх здібностей. Думка Барнетта полягала в тому, що вибрані ним області інформації «.... це всі теми, знання яких є не тільки бажаними, але і необхідними для дорослого двадцятого століття». Далі він вказав на деякі концепції, що лежать в основі людської екології, щодо соціальних проблем, з якими стикалися його читачі в 1950-х роках, а також на твердження про те, що людська природа не може змінитися, що може означати це твердження та чи воно відповідає дійсності. У третьому розділі детальніше розглядаються деякі аспекти генетики людини. Далі йдуть п'ять розділів про еволюцію людини та відмінності між групами чоловіків (або рас) та між окремими чоловіками та жінками сьогодні щодо зростання чисельності населення (тема «людського різноманіття»). Нарешті, є ряд розділів, присвячених різним аспектам людської популяції (тема «життя і смерть»). Як і інші тварини, людина повинна, щоб вижити, подолати небезпеку голоду та інфекцій; в той же час він повинен бути родючим. Отже, чотири розділи стосуються їжі, хвороб та зростання та зменшення людської популяції. Барнетт передбачав, що його особисту схему можуть критикувати на тій підставі, що вона не враховує тих характеристик людини, які найбільш чітко і різко відрізняють людство від інших тварин. Тобто, сенс може бути виражений, кажучи, що поведінка людини ігнорується; або хтось може сказати, що людська психологія залишилась осторонь, або що не враховується людський розум. Він виправдав свою обмежену точку зору не тому, що мало того, що було залишено поза увагою, а тому, що пропущені теми були настільки важливими, що кожному потрібна була книга подібного розміру навіть для підсумкового звіту. Іншими словами, автор був вбудований у світ академічних фахівців, і тому дещо стурбований тим, щоб взяти частковий концептуальний та своєрідний погляд на зоологію Homo sapiens. === Екологія === У Північній Америці також почалися кроки щодо вироблення рецептів щодо пристосування людської культури до екологічних реалій. У своїй лекції Кондона в Університеті Орегона в 1957 році Пол Сірс під назвою «Екологія людини» він приділив «серйозну увагу екології людини» і вимагав «її вмілого застосування до людських справ». Сірс був одним з небагатьох видатних екологів, який успішно писав для популярної аудиторії. Сірс документує помилки, які допускали американські фермери, створюючи умови, що призвели до катастрофічного «Пилового казану». Ця книга дала імпульс руху щодо збереження ґрунту в Сполучених Штатах. === Вплив на природу === У цей же час вийшов «Вплив людини на природу» Дж. А. Лаувері, який був частиною серії «Взаємозалежність у природі», опублікованої в 1969 році. Як книги Рассела, так і Лоуеріса стосувались культурної екології, хоча і не були названі як такі. Люди все ще відчували труднощі, щоб утекти від своїх ярликів. Навіть Початки та помилки, створені в 1970 році зоологом- поліматологом Ланселотом Хогбеном з підзаголовком До початку науки, трималися антропології як традиційного орієнтира. Однак його нахил чітко дає зрозуміти, що «культурна екологія» була б більш слушною назвою для висвітлення його широкого опису того, як ранні суспільства адаптувались до навколишнього середовища за допомогою інструментів, технологій та соціальних груп. У 1973 році фізик Джейкоб Броновскі створив «Сходження людини», де узагальнив чудову тринадцять частин телевізійних серіалів Бі-Бі-Сі про всі способи формування людьми Землі та її майбутнього. === Зміна Землі === До 1980-х років переважав еколого-функціональний погляд людини. Це стало звичайним способом представити наукові концепції в екологічній перспективі людських тварин, що домінують у перенаселеному світі, з практичною метою створення екологічної культури. Прикладом цього є книга І. Г. Сіммонса «Зміна обличчя Землі» з її підказкою «Культура, історія навколишнього середовища», опублікована в 1989 році. Сіммонс був географом, і його книга була даниною впливу відредагованої колекції В. Л. Томаса, Ролі людини у фільмі «Зміна обличчя Землі», що вийшов у 1956 році Книга Сіммонса була однією з багатьох міждисциплінарних публікацій про культуру / навколишнє середовище 1970-х і 1980-х років, яка спричинила кризу в географії щодо її тематики, академічних підрозділів та меж. Це було вирішено офіційним прийняттям концептуальних рамок як підходу, що сприяє організації досліджень та викладання, що перетинає старі предметні розділи. Культурна екологія насправді є концептуальною ареною, яка за останні шість десятиліть дозволила соціологам, фізикам, зоологам та географам увійти в спільний інтелектуальний ґрунт із-за меж своїх спеціалізованих предметів. === 21 століття === У першому десятилітті 21 століття існують публікації,",uk,Культура,aléatoire,https://uk.wikipedia.org/?curid=4268606,1000,,['uk'],False,Культура,Catégorie principale
1531.0,Історія,"вона групує елементи в ідеальні типи. ... Ідеальні типи це специфічні поняття, що застосовуються в історичному дослідженні і в поданні його результатів. Це концепції розуміння. Як такі вони докорінно відрізняються від праксиологических категорій і понять й від понять природничих наук. Ідеальний тип не є родовим поняттям, оскільки його опис не вказує на ознаку, присутність якого ясно і недвозначно визначає приналежність до даного класу. Ідеальний тип не можна визначити; він повинен задаватися перерахуванням тих ознак, наявність яких, власне кажучи, визначає, чи зустрівся нам в даному конкретному випадку зразок, що належить до оскільки він розглядався ідеального типу. Особливістю ідеального типу є те, що не всі його ознаки повинні бути в наявності в кожному конкретному прикладі. Питання у тому, чи перешкоджає відсутність деяких характеристик включенню конкретного зразка в даний ідеальний тип, залежить від розуміння оцінки значущості. Сам ідеальний тип є результат розуміння мотивів, ідей, цілей діючих індивідів і вживаних ними засобів"". == Осягнення закономірностей історичних процесів == На початку XIX століття засновник позитивізму Огюст Конт обіцяв довести, що «існують закони розвитку суспільства, настільки ж певні, як і закони падіння каменя». Але встановити закони історії було не так просто. Коли німецький історик Карл Лампрехт спробував відстоювати точку зору Конта, то Едуард Меєр, інший німецький історик, відповів, що протягом багаторічних досліджень йому не вдалося відкрити жодного історичного закону і він не чув, щоб це вдалося іншим. Макс Вебер вважав безглуздими спроби пошуку історичних закономірностей. Філософ Карл Ясперс писав: «Історія має глибокий зміст. Але він недоступний людському розумінню». Едвард Хьюлетт Карр стверджував, що на Заході більше не говорять про «історичні закони», що саме слово «причина» вийшло з моди. При цьому заперечення причинної обумовленості подій минулого ставило під сумнів право історії вважатися наукою. Так, філософ Бертран Рассел казав: «Історія - ще не наука. Її можна змусити здаватися наукою лише за допомогою фальсифікацій і замовчувань». Соціолог Еміль Дюркгейм говорив: «Історія може вважатися наукою лише в тій мірі, в якій вона пояснює світ». На осягнення законів історії претендував марксизм, який висунув теорію суспільно-економічних формацій і стверджував, що розвиток продуктивних сил призводить до зміни виробничих відносин, які й визначають сутність кожної формації. Але цей підхід не дозволяє пояснити глибокі відмінності між характером розвитку суспільних відносин у різних народів. Герберт Спенсер і Освальд Шпенглер розглядали людські суспільства як подоби біологічних організмів, які народжуються, живуть і вмирають. Арнольд Тойнбі виконав колосальну роботу, описавши в 12 томах історію 21 цивілізації (перший том цієї праці вийшов у світ в 1934 році). Він намагався порівнювати розвиток цих цивілізацій і прийшов до висновку, що цивілізація народжується як «відповідь» конкретного суспільства на «виклик» з боку природи або інших товариств. «Викликом» могло бути перенаселення, вторгнення зовнішніх ворогів чи інша подія, що ставить під загрозу існування суспільства, а «відповіддю» - соціальна організація або технічні нововведення, що дозволяють суспільству вижити. У середині XX століття найбільш популярною теоретичною концепцією історичного розвитку стала теорія модернізації. За визначенням одного з творців цієї теорії, Сирила Блека, модернізація - це процес адаптації традиційного суспільства до нових умов, породженим промисловою революцією. Важливим джерелом осмислення історичних аспектів людської діяльності стала праксеологія, розвиток якої пов'язують з роботами Людвіга фон Мізеса (1881-1973), зокрема з його основною роботою «Людська діяльність: Трактат з економічної теорії» (1949). Питання про поширення різних суспільних систем багато в чому зводилося до проблеми поширення технічних інновацій, культурної дифузії. Найбільш чітко ідеї дифузіонізму були сформульовані у так званій теорії культурних кіл. Її автори Фрідріх Ратцель, Лео Фробениус і Фріц Гребнер вважали, що подібні явища в культурі різних народів пояснюються походженням цих явищ з одного центру, що найважливіші елементи людської культури з'являються лише одного разу і лише в одному місці. Вони дають народу-першовідкривачу вирішальну перевагу перед іншими народами. У 1963 році Вільям Макніл, один з учнів Тойнбі, опублікував монографію «Сходження Заходу». Він детально описав фундаментальні відкриття давнини і Середніх віків, які викликали радикальні зміни в суспільній структурі. Але ця концепція не давала відповіді на питання про причини катастрофічних криз, які час від часу осягали різні країни. Німецький економіст Вільгельм Абель, зіставивши динаміку чисельності населення Європи з динамікою цін, прийшов до висновку, що картина циклічного розвитку економіки з XII століття аж до промислової революції в цілому відповідає теорії мальтузіанства. == Спеціальні історичні дисципліни == Архонтологія - наукова дисципліна, яка вивчає історію посад у державних, міжнародних, політичних, релігійних та інших громадських структурах. Об'єктом вивчення є хронологія, послідовність змін посадовців, їхні біографії та інші дані. Археологія - самостійна історична наука, яка вивчає побут, матеріальну культуру людей минулих епох за археологічними знахідками (артефактами). Архівістика - наука про методи роботи з архівами (про історичні й сьогоднішні прийоми збирання, зберігання, опрацювання і опублікування). Архівознавство - спеціальна історична наука, яка вивчає історію розвитку архівної справи. Боністика - спеціальна історична дисципліна, що вивчає грошові паперові знаки, банкноти, цінні папери, векселі. Вексилологія - наука про стяги, прапори, хоругви та інші предмети історичної символіки. Генеалогія - родознавство, спеціальна історична дисципліна, що вивчає: 1) історію родів; 2) родословну якоїсь людини. Генеалогія пов'язана з такими суміжними науками, як геральдика, дипломатика, євґеніка, історія та інші Геральдика - наука, що вивчає герби, кольорові емблеми, які належать особам, родам чи спільнотам. Джерелознавство - це наука про історичні джерела; теорія і практика їх використання в історичних дослідженнях. Дендрохронологія - порівняно нова наука, методи якої лежать на межі з біологією, археологією і метеорологією. Її методи уможливлюють датування артефакту (археологічної знахідки) на основі підрахування кількості й товщини кілець деревини. Товщина шару залежить від метеорологічних чинників даного року. Також можна дослідити, наприклад чи був даний рік врожайний. В посушливі роки кільця формувалися дуже тонкі. Дипломатика - наука, яка досліджує документи з точки зору наукової критики, тобто визначає придатність знайдених документів до історичного дослідження. Вона покликана для викриття фальшивки, а також встановити юридичну процедуру при оформленні документів. Епіграфіка - наука про увічнення написів, скажімо на пам'ятниках, будинках, надгробках, меморіальних таблицях, а також на прапорах, хоругвах. Історична бібліографія - наука про опубліковані джерела (манускрипти і передруки) Бібліографія - наука про бібліографічні записи - замітки для каталогізації списку книг і джерел. Історична хронологія - одна із спеціальних історичних дисциплін, наука про методи обліку часу, системи датування(види календарів). Історична демографія - наука про демографію населення, яка лічить популяцію людей в різних місцевостях і епохах. Історична географія - наука, яка розглядає географічне",uk,Історія,ordonné,https://uk.wikipedia.org/?curid=1531,1000,,['uk'],False,Історія,Catégorie principale
