pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
,11,"11 (жәеиза) шықәса - иулиантәи амзар 11-тәи ашықәс ауп. == Иит == Тит - Ақьырсиантә пап, амиссионер (дыԥсит 107 ш.) == Рыԥсҭазаара иалҵит == Марк Антистии Лабеон - Римтәи азиндырҩы, аимпериа аҿагылаҩ (диит ??) == Азхьарԥшқәа == Calendar for Year 11 (Julian calendar) Calendar for Year 11 (Gregorian calendar)",ab,Аҭоурых (Sous-catégorie),,https://ab.wikipedia.org/?curid=4256,88,4256.0,['ru'],False,Аҭоурых,Sous-catégorie
,3,"3 (хԥа) шықәса - иулиантәи амзар 3-тәи ашықәс ауп. == Иит == Бань Биао - китаитәи аҭоурыхдырҩы, аполитик (дыԥсит 54 ш.) Ген Иань - китаитәи аинрал (Ҳаньтәи аимпериа) (дыԥсит 58 ш.) Тиберии Клавдии Бальбиль - римтәи аҵарауаҩ, аполитик, астроном (дыԥсит 79 ш.) == Рыԥсҭазаара иалҵит == Бао Сиуань - китаитәи аполитик (Ҳаньтәи аимпериа) (диит ??) == Азхьарԥшқәа == Calendar for Year 3 (Julian calendar) Calendar for Year 3 (Gregorian calendar)",ab,Аҭоурых (Sous-catégorie),,https://ab.wikipedia.org/?curid=4240,109,4240.0,['ru'],False,Аҭоурых,Sous-catégorie
,Британиаду,"Британиаду, Британиа Ду, Еиду Аҳра (англ. United Kingdom; аофициалтә хьʒы: Британиадуи Аҩадатәи Ирландиеи Еиду ры-Кралра англ. The United Kingdom of Great Britain and Northern Ireland) - адгьылбжьахатәи аҳәынҭқарра амраҭашәаратәи Европаҿы ауп. Аҳәынҭқарра аформа апарламенттә монархиа ауп. Аҳҭнықалақь - Лондон ауп. == Агеографиа == Ари атәыла Британиатәи адгьылбжьахақәа рҿы иҟоуп. Аҵанакы - 243 809 км². Аҳәынҭқарра иаланхо - 63 395 574-ҩык. (2013 ш.).",ab,Агеографиа (Sous-catégorie),,https://ab.wikipedia.org/?curid=3291,65,3291.0,['ru'],False,Агеографиа,Sous-catégorie
,Украина,Укра́ина (аукр. Україна) - Европаҟны мрагыларатәи агаҟны аҳәынҭқарра. Аҵанакы - 603 549 км² (Ҟрым дналаҵаны). Аҳәынҭқарра иаланхо - 42 504 274-ҩык. (2016 ш.). Апрезидент - Владимир Зеленски. === Аҳабла === Винницатә аҳабла Волынтә аҳабла Днипропетровсктә аҳабла Донецктә аҳабла Житомыртә аҳабла Закарпататә аҳабла Запорожьетә аҳабла Ивано-Франкивсктә аҳабла Кировоӷрадтә аҳабла Кыивтә аҳабла Лугансктәи аҳабла Львивтә аҳабла Мыколаивтә аҳабла Одесатә аҳабла Полтаватә аҳабла Рывнетә аҳабла Сумытә аҳабла Тернопильтә аҳабла Харкавтә аҳабла Херсонтә аҳабла Хмельныцктә аҳабла Черкасытә аҳабла Чернивцитә аҳабла Чернигавтә аҳабла === Иаҳҭнықалақьыуп === Киев Севастополь (de-jure) === Автономтә республика === Автономтә республика Ҟрым (de-jure),ab,Агеографиа (Sous-catégorie),,https://ab.wikipedia.org/?curid=3568,99,3568.0,['ru'],False,Агеографиа,Sous-catégorie
,Ақалақь,"Ақалақь - аиланхарҭа иҟәазу, иланхо аус, еиҳарак, ақыҭанхамҩа нҭыԥ руеит. Аиланхарҭа илаԥхьаӡара ақалақьқәа категориахь азакәанԥҵаратә аилыргарала ируеит; ауааԥсыра хыԥхьаӡара критери еиҩыздыраны 250-ҩык аҟнытә Даниаҿы, 30 нызқьаҩык аҟнынӡа Иапониаҿы. == Иахьатәи ақалақьқәа == Ахыбра хкықәа ақалақьқәаҿы: аагалыхтә хыбрақәа азауадқәа афабрикақәа абаӷәазақәа амаҭәашьҭаҵарҭа Аҩнақәеи абзазаратә маҵзуреи аҩнақәа асасааирҭақәа ахәахәҭырҭақәа ачарҭақәа Аԥсшьарҭақәа паркқәаи кинотеатрқәа театрқәа ахәшәтәырҭақәеи аполиклиникақәеи аҵаратә хыбрақәа Культтә хыбрақәа Аԥсыжырҭақәа административтә хыбрақәа офистә хыбрақәа == Ақалақьқәа афунқциақәа == Административтә Ахәаахәҭратә Арратә Анхамҩатә Атранспорттә Акультуратә Арелигиатә",ab,Агеографиа (Sous-catégorie),,https://ab.wikipedia.org/?curid=3920,84,3920.0,['ru'],False,Агеографиа,Sous-catégorie
,Шри-Ланка,"Шри-Ланка (асинҳ. ශ්රී ලංකාව [Шри Ланка], атам. இலங்கை [Иланкаи]), аофициалтә хьӡы: Адемократиатә Социалисттә Республика Шри-Ланка (асинҳ. ශ්රී ලංකා ප්රජාතාන්ත්රික සමාජවාදී ජනරජය [Шри Ланка Праџьатантрика Самаџьавади Џьанараџьаиа], атам. இலங்கை சனநாயக சோசலிசக் குடியரசு [Иланкаи Џьананааиака Соосалисак Куҭиарасу]), аҭоурыхтә хьӡы: Цеилон (апорт. Ceilão) - Азиатәи адгьылбжьахатә асоциалисттә ҳәынҭқарра. == Административтә шара == Шри-Ланка 9 апровинциақәа (асинҳ. පළාත [Палаата], атам. மாகாணம் [маакаанам]) рыла ишоит.",ab,Агеографиа (Sous-catégorie),,https://ab.wikipedia.org/?curid=30208,63,30208.0,['ru'],False,Агеографиа,Sous-catégorie
,Аҳҭнықалақь,"Аҳҭны́қалакь - ароль административтә центри аҵакырадгьыл асимволи рықалақь ауп. Иазҷыданы ари ма атәыла, ма ахаланапхгаратә хәҭа рцентр иҟоуп. == Шәахә. иара убас == Адунеи аҳҭнықалақьқәа рыхьӡынҵа Аметрополиа Ақалақь",ab,Агеографиа (Sous-catégorie),,https://ab.wikipedia.org/?curid=10320,34,10320.0,['ru'],False,Агеографиа,Sous-catégorie
,Афӷанисҭан,"Афӷанисҭан, Афӷанҭәыла (апушт. افغانستان; [Афӷаанисҭаан]), аофициалтә хьӡы: Аисламтә емират Афӷанисҭан (апушт. د افغانستان اسلامي امارت; [Дә Афӷаанисҭаан Ислаамии Имаарат]) - Агәҭантәи Азиатәи аисламтәи атәыла. == Административтә шара == Афӷанисҭан еиду аҳәыҭқарроуп, 34 авилаетқәа (апушт. ولايت) рыла ишоит. Бадахшан Бадгис Баглан Балх Бамиан Даикунди Фарах Фариаб Газни Гор Ҳильменд Ҳерат Џьаузџьан Кабул Кандаҳар Каписа Хост Кунар Кундуз Лагман Логар Нангарҳар Нимроз Нурисҭан Урузган Пактиа Пактика Панџьшер Парван Саманган Сари-Пуль Тахар Вардак Забуль",ab,Агеографиа (Sous-catégorie),,https://ab.wikipedia.org/?curid=30182,74,30182.0,"['ru', 'mk']",True,Агеографиа,Sous-catégorie
,Москва,Москва́ (аур. Москва́) - Урыстәыла аҳҭнықалақь ауп. Иаланхо 12 678 079-ҩык. (2020 ш.). == Административ-территориалтә ашара == Москва 10 аокругқәа имоуп: Агәҭабжьаратәи административтә округ Амраҭашәаратәи административтә округ Алада-мраҭашәаратәи административтә округ Аладатәи административтә округ Алада-мрагыларатәи административтә округ Амрагыларатәи административтә округ Аҩада-мрагыларатәи административтә округ Аҩадатәи административтә округ Аҩада-мраҭашәаратәи административтә округ Зеленоградтә административтә округ == Атранспорт == Мосватәи ауаажәларратә транспорт иҿиаауп. Ақалақь итранспорт хкы хада метроуп. Москватәи аметро 13 хҵәахақәа имоуп. Атрамваитә хҵәахақәа ирацәоуп. Автобустәи троллеибустәи маршрутқәа рацәа ауп. == Азхьарԥшқәа == Достопримечательности Москвы,ab,Агеографиа (Sous-catégorie),,https://ab.wikipedia.org/?curid=3631,90,3631.0,['ru'],False,Агеографиа,Sous-catégorie
,Адемократиатә Республика Конго ахадацәа рсиа,"Ари адаҟьа иҟои Адемократиатә Республика Конго ахадацәа рсиа - Адемократиатә Республика Конго апрезидентцәа (аҭоурыхла Конготәи Ареспублика, Заир) 1960 шықәса инаркны. Уажәытәи ахада иҟои апрезидент Феликс Чисекеди ажьырныҳәамза 24, 2019 ш. инаркны. == Азхьарԥшқә == Official website of the President of the DRC World Statesmen - Congo (Kinshasa)",ab,Аполитика (Sous-catégorie),,https://ab.wikipedia.org/?curid=30562,56,30562.0,['ru'],False,Аполитика,Sous-catégorie
