pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
327551.0,Залезът на Запада,"""Залезът на Запада“ (на немски: Der Untergang des Abendlandes) е най-значимото произведение на немския мислител и културен антрополог Освалд Шпенглер. Книгата предлага едно ново, неевропоцентрично виждане за световната история. Смисловите единства се откриват не като епохи (Античност, Средновековие, Ново време), които се следват, а като целокупни култури. Своето изследване Шпенглер представя за сравнителен анализ и на базата на изведената от него закономерност прави своя извод за европейската цивилизация. Според него западната култура е преминала към фаза на неизбежен творчески упадък. Първото издание на книгата се появява в Германия непосредствено след края на Първата световна война. Оттогава то е предмет на систематично критично неодобрение в академичните среди, но се радва на успех пред широката читателска публика. Книгата е била обсъждана и в българските интелектуални кръгове. Превод на обстойното ѝ авторско въведение е бил издаден в отделна книжка през 1931 г. == Обстоятелства == Шпенглер започва своята книга след кризата в Агадир от 1911 г. и завършва първия ѝ вариант след три години. При избухването на Първата световна Война подлага текста на преработка, която завършва в края на 1917 г. Изпрашайки я за печат, в последното изречение от предговора ѝ пише, че се ""надявал, че тя няма да изглежда недостойно наред с военните успехи на Германия“. Излязла от печат през лятото на 1918 г. книгата има огромен търговски успех и през следващите няколко години се продава многохиляден тираж. Междувременно политическите възгледите на Шпенглер се ориентират все по надясно и това се пренамира в допълнителния втори том, който се появява в 1922 г. заедно с основна преработка на предишния. == Методология == Смятайки, че е намерил позиция която му позволява да вижда действителността извън европоцентристките ограничения, Шпенглер счита и че не е обвързан с приетите стандарти на аргументиране и обосноваване. Културологичният материал, с който той борави, бива представян и реконтекстуализиран единствено с оглед на собствените му разглеждания; предсказуемите критики той отклонява още във встъплението като обявява: ""Колкото по-велик е човекът, толкова по-истинна е философията - в смисъл на вътрешна правдивост на голямата художествена творба, която е независима от доказуемостта и дори от непротиворечивостта на отделните положения“. За свои вдъхновители Шпенглер многократно сочи Гьоте и Ницше, като отношението му към първия е безрезервно и само леко критично към втория (т.1. с.458 и сл.). От Гьоте е почерпана идеята за ""Морфология“ - метод на описателно сравняване, независимо от съображенията за каузалност. Основно Шпенглер си служи с аналогиите, които в неговите текстове се смесват с разнообразни реторически похвати - внушения чрез метафори и асоциации. Книгата започва с глава посветена на Математическите знания. За да прокара своята плуралистична теза, Шпенглер оспорва тяхното единство: ""Няма Математика, има само математики(с.124)"", а с това поставя под въпрос и общовалидността на резултати. Същата теза издига и в края на първата книга срещу другата претендираща за общовалидност форма - философията. [...] == Основни положения == Шпенглер счита, че висшите култури са осем: три извън средиземноморския ареал: Индийска, Китайска и Мексиканска; и пет в него: Египетска, Вавилонска, Антична, Арабска и Европейска; последните три той характеризира специално като аполонична, магическа и фаустовска. За всяка култура може да се посочи нейния ""прасимвол“, който задава едно фундаментално отношение към пространството: правия път за Египетската култура, криволичещата градинска пътека за Китайската, пещерата за магическата, обемното тяло за аполоничната и безкрайността за фаустовската. За всички култури той установява, че в период от около 1000 години те еднообразно възникват, растат, разцъфтяват и залиняват. В последната си фаза всяка култура се превръща в цивилизация. Шпенглер особено акцентира на възприета в немския език словоупотреба, при която 'култура' е положително маркиран термин; цивилизацията се оказва нейна упадъчна и презряна форма. В книгата реално е разгърнато сравнение на античната и западноевропейската култура, докато сведенията за останалите се ползват за илюстриране на отделни моменти. Натрапчивият мотив е, че европейската култура, започнала в 10 век, е преминала своя апогей след около осем столетия и сега изживява своя край. [...] ""Залезът на запада“ заедно с ""Прусачество и социализъм“ и ""Човекът и техниката“ формират своеобразна трилогия. == Вижте също == Изследване на историята Сблъсъкът на цивилизациите и преобразуването на световния ред == Външни препратки == немски оригинал (онлайн) английски превод (онлайн);",bg,Култура,ordonné,https://bg.wikipedia.org/?curid=327551,680,,['bg'],False,Култура,Catégorie principale
315307.0,Правна култура,"Правната култура, срещаща се понякога и като Правова култура (макар двете понятия да не се припокриват напълно) е неразделна част от цялостната култура на обществото и индивида. Правната култура се базира на общите начала, изначалните принципи на правото и на ценностната система на общество, като е отражение на цивилизационното ниво на развитие и начина на мислене на хората. Правната култура е и историческа и религиозна категория. Формирането на правната култура не е самостоятелен процес от развитието на другите култури - политическа, морална, естетическа, и е сложен въпрос. Всички тези култури са обединени от общи предизвикателства - създаването на такъв устойчив морален и правен климат в обществото, който да гарантира истинска свобода на поведението на индивида, която в съчетание с обществената отговорност, да обезпечи правата, социалната закрила, зачитането на човешкото достойнство, т.е. да постави интересите на човекът-гражданин в центъра на икономическия, социалния, политическия, културния живот на обществото, съобразно принципните положения на хуманизма от времето на Ренесанса (виж Ecce Homo). Правната култура е тясно свързана с понятието за правно съзнание. Тя е присъща на демократичните страни и общества. Системата на социалистическото право в бившите социалистически страни дискредитира и унищожи в голяма степен правното съзнание и чувството за правова държава, а оттук и изгражданата от преди настъплението на марксизма-ленинизма правна култура в населението. Правото също е продукт на културата на обществото. Правната култура на страните и обществата в съвременната епоха се формира под влиянието на ренесанса и класицизма по времето на Просвещението, като главната цивилизаторска роля в този общоевропейски процес е на абсолютистка Франция (виж разделение на властите и Шарл Монтескьо; обществен договор и Жан-Жак Русо). Правната култура има две съвременни значения и звучения: правна култура на обществото; правна култура на личността, като някои автори различават и разграничават от тези две базови понятия и правна култура по социални групи. Терминът ""правна култура“ е продукт на социологията от 60-те и 70-те години на XX век. По принцип правните култури на страните се определят от степента на изграждане на правова държава и спазване върховенството на закона. == Източници == ((es)) EL SABER DOGMATICO EN NUESTRA CULTURA JURIDICA Архив на оригинала от 2009-08-30 в Wayback Machine. == Вижте също == Френска правна школа Немска правна школа Стара Европа",bg,Култура,aléatoire,https://bg.wikipedia.org/?curid=315307,362,,['bg'],False,Култура,Catégorie principale
121776.0,Народопсихология,"Народопсихологията е наука за психическите явления и процеси, характерни за обособените исторически, политически, културно, териториално, езиково и религиозно, самоосъзнати и самоопределящи се народи или нации. Включва в своя научноизследователски комплекс множество принадлежащи към различни науки методи и проблеми на изследване, като исторически, културни, демографски, психологически, социални и редица други процеси. По тази причина до известна степен е спорно положението на народопсихологията като самостоятелна наука или система от методи за проучване на определени проблеми, сред които изпъкват народна/национална душевност и народен/национален характер. == Източници == Народопсихология, Лекция по Психология - Pomagalo.comНародопсихология, лекция == Вижте също == Петър Мутафчиев Иван Хаджийски Марко Семов Портал ""Психология“",bg,Култура,aléatoire,https://bg.wikipedia.org/?curid=121776,103,,['bg'],False,Култура,Catégorie principale
132073.0,Следа,"Следа (или диря) на български език е обобщаващо понятие за оставен отпечатък или знак върху заобикалящата среда след случило се събитие. Пример за следи са вдлъбнатините, които човешкият крак оставя върху мокър пясък при ходене. Животните също оставят следи, които помагат на ловците при издирването им. Думата следа може да бъде използвана както в пряк, така и в преносен смисъл. Учен, писател, или художник може да остави следа (диря) в световната наука и култура с произведенията си. В медицината терминът следа означаващ наличие на микроскопични количества вещества, елементи или химически съединения във физиологични течности, се използва при диагностиката на някои заболявания - напр. при диабет - следи на ацетон в урината. == Следи от древността == Сред запазените следи от древността са така наречените вкаменелости (фосили), които предствляват отпечатъци на растения, животни и други организми от праисторически времена, оставени върху скали или глина. Те са с различна големина и на различна възраст, но не са твърде срещано явление, поради което играят изключително важна роля в науката и понякога са единственият източник на информация за определени видове. Други такива следи са петроглифите - издълбани в скалите картинки, обикновено оставени от древни племена. Могат да бъдат намерени почти навсякъде по света, като най-старите са отпреди 10 - 12 хил. години. Няма единно мнение по въпроса за тяхното предназначение, но съществуват различни теории, включително астронимични знаци, описание на жертвоприношения, писменост и изкуство. === Известни следи от миналото === Следи, оставени от човешки крак върху скала в Кейп Таун (Cape Town), Южна Африка, открити през 1997 г., на възраст около 117 хил. години. Човешки следи във вулканична скала, намерени през 1978 г. в Лаетоли (Laetoli), Танзания, на възраст около 3,6 млн. години. Запазена следа (фосил) на скелет на малък динозавър с пера, Золнхофен, Германия, открит през 1861 г. Вкаменени дървета: сред най-известните места по света, където могат да се видят, са Аризона, САЩ, остров Лесбос, Гърция, и Санта Крус, Аржентина. == Следи в криминалистиката == Играят изключително важна роля в работата на следователите и детективите при разследване на престъпления. Тези, които могат да се превърнат в улики или веществени доказателства, предствляват отпечатъци от различни подметки, пръсти, гуми на автомобил, или вещества от биологичен произход, като остатъци от кръв, урина, кости и зъби (т.нар. хомоскопни следи). Следите, оставени на местопрестъплението, спомагат за идентифициране на лицето (на базата на ДНК), заподозряно да е извършило убийство, изнасилване или грабеж, или поне за установяване на възрастта и пола на лицето, както и за изясняване на важни обстоятелства по делото, като мотиви и начин на извършване (на латински Modus Operandi). В България изследвания от този тип се извършват в центровете по съдебна медицина в страната, както и в сектор ""Съдебна медицина“ при Министерството на отбраната и в Научноизследователския институт по криминалистика и криминология (НИКК) към МВР. === Кондензационна следа === Кондензационна следа (понякога неправилно наричана ""реактивна следа“) е следата, която летателен апарат оставя след себе си на небето при голяма скорост и височина. === Следа на матрица === В математиката (по-точно линейната алгебра) под ""следа на квадратна матрица“ се разбира сборът от елементите на главния диаганол. Съществува също така и понятието ""следа на тензор“. == Следи, свързани с митове и легенди == Някои следи, знаци и отпечатъци все още нямат научно обяснение, което става причина за създаването на митове и легенди за техния произход и превръщането им в туристическа атркция. Примери за това са: Отпечатък от ходилото на Буда с изобразени различни символи на него. Намерени са няколко такива от I - II век. Следи от стъпките на Дявола - появили се в Англия през 1855 г. след снеговалеж през нощта, всяка стъпка е с еднаква големина и на еднакво разстояние от предишната. Дирята е дълга 150 - 160 км и следва права линия. Отпечатъци от ходилата на Исус Христос в църквата Domine Quo Vadis, в близост до Рим. == Следи свързани с културата и традициите == Редица произведения на изкуството са посветени на следите, като може би най-известното от тях е стихотворението ""Следи“. Романът на Павел Вежинов ""Следите остават“, романът на Патриша Корнуел ""Следа“, анимационният филм по приказката на братя Грим ""По следите на бременските музиканти“ и ""Следите на Сокола“ (игрален филм от 1968 година) са само част от тях. Отпечатъци от краката и ръцете, а в някои случаи очилата, пурите, дори пистолетите на около 200 известни личности - певци, артисти и спортисти - са оставили следи в цимента пред Китайския театър в Лос Анжелес, основан през 1927 г. Това се е превърнало в традиция и се счита за знак на чест и признание. == Вижте също == Знак Отпечатък Фосил Улика Следотърсач == Външни препратки == Лаетоли Филм за антрополога Лудвиг Кол-Ларсен (Ludwig Kohl-Larsen) Архив на оригинала от 2016-03-03 в Wayback Machine. Золнхофен, Германия Снимки от вкаменената гора в Аризона, САЩ Списък с имената на звездите пред Китайския театър в Лос Анджелис Архив на оригинала от 2007-03-06 в Wayback Machine.",bg,Култура,aléatoire,https://bg.wikipedia.org/?curid=132073,808,,['bg'],False,Култура,Catégorie principale
275772.0,Анахронизъм,"Анахронизъм е погрешно отнасяне на факт или събитие от една епоха към друга; хронологично несъответствие. Примери Вие продължавате да бъдете сантиментален, но сега вече искрено... Вие сте средновековен човек, феодален анахронизъм, попаднал случайно между ориенталски шмекери и търговци на тютюн. Д. Димов, Т, 462 Образът на отец Иван обаче е анахронизъм; той не е възможен за времето на действието, а е пренесен от много по-късното време на Възраждането. ЛФ, 1956, бр. 3, 3. Друг тип анахронизъм възниква, когато творба, базирана на конкретна епоха от историята, е четена в контекста на друга. Много научни трудове, които разчитат на по-късно дискредитирани теории, са станали анахронични с премахването на своите опори. Спекулативни творби, четени по-късно, често не отговарят на реалността, поради превъзхождащото ги развитие на техниката. Парахронизъм е вид анахронизъм, но с определена посока. Използва се, за да обозначи събитие, чието време е по-късно от настоящото. Събитие, което още не се е случило, въпреки вербални или писмени описания. Пример: ""Терминатор“: Киборгът, който е изпратен от бъдещето, за да промени настоящето, е парахроничен герой / филмов елемент; философски погледнато, част от творенията на Леонардо да Винчи биха могли да се окачествят като парахронични, тъй като са създадени в миналото, но приемат реална форма в бъдещето. Метахронизъм: другият вид анахронизъм, с обратна посока. Използва се, за да обозначи събитие, чието време е по-рано от настоящото. Събитие, което се е случило преди описаните събития. Пример: ""Хлапето в двора на крал Артур“: Тийнейджър пътува обратно през времето до времената на крал Артур; главният герой и спомените му за неговия свят са метахронични спрямо заобикалящия го свят.",bg,История,ordonné,https://bg.wikipedia.org/?curid=275772,259,,['bg'],False,История,Catégorie principale
712260.0,Реликва,"Реликва (от латинския глагол ""relinquere“ - ""да остане“) е свещена и почитана вещ, свързана с исторически или религиозни събития от миналото. Реликвите са исторически, религиозни, семейни (наследствени) и технически. Историческите реликви са вид документи и предмети, свидетелстващи за минали събития. Ярки исторически реликви са бойните знамена, древни манускрпти, регалии на властта, държавни печати. Сред най-известните са Мономахова шапка, Корона Пахлави, Желязната корона, и др. Религиозните реликви (мощи) са автентични или фалшиви, както и образно поетични, основани на народната митология. С религиозните реликви, като по правило, са свързани самостоятелни и своеобразни религиозни култове, които съществуват вътре в религиите. Сред реликвите на различните религии са копието на съдбата, стената на плача, черният камък в Кааба, зъбът на Буда. Християнски реликви се съхраняват в специални кутии или съдове, наречени ""реликварии“. Семейните реликви са документи или предмети, принадлежащи на семейство или фамилия, и наследени от поколение на поколение. Техническите реликви са екземпляри на машини или други технически средства, изработени и свързани с технологията в миналото, които не се използват от дълго време, но са запазени в здраво и възстановимо състояние. == Вижте също == Мощи Фетиш",bg,История,aléatoire,https://bg.wikipedia.org/?curid=712260,182,,['bg'],False,История,Catégorie principale
743891.0,Археометрия,"Археоме́трията (на старогръцки: ἀρχαῖος - ""древен“ + μέτρον - ""дължина, разстояние“) е дял на археологията, научноприложна изследователска област, която обхваща, от една страна природните науки - биология, геология, физика, химия; а от друга страна хуманитарните науки - археология и история. С което се цели да бъдат получени нови, обективно установени факти за археологическото изследване, които не могат да станат известни с помощта на чисто археологически средства. == Методи == Археометрията се явява интердисциплинарна научна област, работата в която се изразява в прилагане на съвременните методи на физиката и химията за изследване на състава и структурата на веществата, в съчетание с достиженията в областта на биологията, геохимията и геологията за: Откриване на археологически паметници и останки от тях, което би могло да се формулира още като локализиране и определяне на границите на археологическите паметници; Изследване на археологическите находки и паметници с цел: Абсолютно респ. относително датиране на археологическите находки; Установяване на технологията, използвана от древните майстори; Определяне на мястото, откъдето произхождат суровините (глина; пясък, сода или растителна пепел; различни руди и т.н.), използвани за производство на изследваните археологически находки от керамика, стъкло, метали, а чрез това най-често и на самите находки; Установяване на други, съществени за археологическото изследване факти. (Например диетата на древните жители в определен район посредством изследване на химичния и изотопния състав на техните кости или установяване на миграция на индивидите, т.е. дали индивидът е роден там, където се откриват неговите кости.)",bg,История,aléatoire,https://bg.wikipedia.org/?curid=743891,236,,['bg'],False,История,Catégorie principale
663427.0,Хипостаза,"Хипостаза е гръцка дума със значение ""поставяне под“. В изследването на религиозните феномени се говори за хипостази на даден бог, което означава подстатуси. Представата за бог винаги е сложна конструкция, в която бога има различни аспекти, характеристики и проявления. Това са неговите хипостази. Традиционно се смята, че траките вярвали в много богове. Но продължителната изследователска работа и откритите нови данни (писмени и епиграфски извори, както и разчитането на изобразителния код в много художествени паметници) все повече оформят мнението, че в тракийските вярвания основно място заемат две начала - мъжкото и женското, представени от бога баща и богинята майка. Известните имена на различни божества, приписвани на траките, достигнали до нас предимно чрез чужди извори - гръцки и римски, всъщност са аспекти (хипостази) на тези две многофункционални начала. == Външни препратки == www.burgasmuseums.bg",bg,История,aléatoire,https://bg.wikipedia.org/?curid=663427,131,,['bg'],False,История,Catégorie principale
786670.0,Инсула (Римски град),"Латинската дума insula (буквално означаваща ""остров“, мн. число Insulae) е била използвана в римските градове, за да се означи или градски блок в плана на града, т.е. сграда, заобиколена от четири улици, или, по-късно, е вид апартамент сграда, която заема такъв градски място в квартал. Известно е, че инсулите са били пожароопасни и изобилстват от болести. Стандартният римски градски план се основава на мрежа от ортогонални (разположени под прав ъгъл) улици. Основава се на древногръцкия модел на Хиподамус. Използва се особено при създаването на нови градове, например в римските колонии. Улиците на всеки град са били определени на Декуманус (ориентирани изток-запад) и Кардо (север-юг). Основните улици, Декуманус Максимус и Кардо Максимус, се пресичат на или близо до форума, около който биват разположени най-важните обществени сгради. == Външни препратки == Разкопките на Insula IX: Pompeii Insula 9:",bg,История,aléatoire,https://bg.wikipedia.org/?curid=786670,139,,['bg'],False,История,Catégorie principale
654572.0,Архонтология,"Архонтологията е историческа дисциплина, която изучава историята на длъжностите в държавни, международни, политически, религиозни и други обществени структури. В обсега на изследване са положени последователност на смяна на лицата, заемащи длъжности, техните биографии и други подходящи данни. == Обект на развитие == Историята и политологията биха били безполезни и лишени от смисъл, без споменаване в историята на главните герои. Много от тези хора са наследствени монарси, други идват на власт в републиките чрез избори, революция или преврати. Заемайки висока позиция и най-важни държавни или партийни постове, те често имат абсолютна власт. Тази категория хора, които в ежедневието могат да бъдат наречени ""владетели“, в продължение на много векове са предмет на научно изследване. Интересът към изучаването на живота на владетелите на различните страни се появява много преди тази наука да стане част от историята, а историята да стане академична дисциплина.",bg,История,aléatoire,https://bg.wikipedia.org/?curid=654572,139,,['bg'],False,История,Catégorie principale
