pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
8585.0,Соёл,"Соёл (ᠰᠤᠶᠤᠯ) - ниигэмэй хүгжэлэй ябасада хүн түрэлхитэнэй бүтээһэн эд баялиг, ниигэмлиг, оюун ухаанай талаар гаргаһан ололтын согсо. Соёл - философи, культурологи, түүхэ, уралигай түүхэ, хэлэшэнжэлэл (ethnolinguistics), политологи, угсаатанай зүйн шудалга, сэдьхэл шудалал, эдэй засаг, болбосорол болон бусад шудалгануудай һэдэб юм. Соёл гэжэ хүнэй байнгын, эдибхитэй, сүлөөтэ үйлэ ажаллалгын үрэ дүндэ бии боложо уламжалагдажа байдаг хэм хэмжээ, этигэл үнэмшэл, бэлиг тэмдэг, үнэтэ зүйлнүүдэй согсо, хүнэй хүгжэһэн түбшэн юм. Өөрөөр хэлэбэл, соёлынь хүнэй ололто амжалтын согсол юм. Соёл бол хүн түрэлхитэнэй түүхэдэ бүтээгдэжэ бай болоод саг хугасаа орон зайе туулан шалгаржа үлэһэн үнэтэ зүйлнүүдэй тогтолсоо юм. == Ном зохиол == Маркарян Э. С. Очерки истории культуры. - Ереван: Изд. АрмССР, 1968. Маркарян Э. С. Теория культуры и современная наука. - М.: Мысль, 1983. Ю. Асоян, А. Малафеев. Историография концепта «cultura» (Античность - Ренессанс - Новое время) // Асоян Ю., Малафеев А. Открытие идеи культуры. Опыт русской культурологии середины XIX - начала XX веков. М. 2000, с. 29-61. С. Зенкин. Культурный релятивизм: К истории идеи // Зенкин С. Н. Французский романтизм и идея культуры. М.: РГГУ, 2001, с. 21-31. Georg Schwarz, Kulturexperimente im Altertum, Berlin 2010. Коротаев А. В., Малков А. С., Халтурина Д. А. Законы истории. Математическое моделирование развития Мир-Системы. Демография, экономика, культура. 2-е изд. М.: УРСС, 2007. [1] Этимология слова «культура» [2] Ионин Л. Г. История слова «культура». Социология культуры. -М.: Логос, 1998. - с.9-12. [3] Сугай Л. А. Термины «культура», «цивилизация» и «просвещение» в России XIX - начала XX века//Труды ГАСК. Выпуск II. Мир культуры.-М.:ГАСК, 2000.-с.39-53. [4] Чучин-Русов А. Е. Конвергенция культур.- М.:Магистр, 1997. Лич Эдмунд. Культура и коммуникация: логика взаимосвязи символов. К использованию структурного анализа в антропологии. Архивировалһан 25 арбан нэгэ һара 2011 оной. Пер. с англ. - М.: Издательство «Восточная литература». РАН, 2001. - 142 с. == Холбооһон == Энциклопедия культур Deja Vu Культура в СССР = субкультура российской интеллигенции Ассоциация культурологических кафедр и научных центров Историческое развитие понятия «культура»",bxr,Соёл,ordonné,https://bxr.wikipedia.org/?curid=8585,316,,['ru'],False,Соёл,Catégorie principale
,Уран барилга,"Уран барилга (ᠤᠷᠠᠨ ᠪᠠᠷᠢᠯᠭ᠎ᠠ) гү, али архитектура (лата: architectura < грек: αρχιτεκτων - «мэргэжэлэй барилгашан», αρχι- «удирдагша» ба τεκτων, «барилгашан»), байшан барилгые түлэблэхэ, зураг түһэлые болбосоруулха зэргэ үйлэ ябасые нэгэн зэргэ гүйсэдхэдэг эрдэм ухаан юм. Архитектурын ажал мэргэжэл, барилгын материалай шэнжэ хэб маягай тухай ойлголтонуудые хүлеэн абаха тухай гү, али, нүгөө талаар энэ соёлой бэлэг тэмдэг, уралигай талын ажал боложо байдаг. Уран барилга юуб гэхэдэ, Барилга болон бусад конструкциин бүтэсэ, байгууламжые тодорхойлхо юрэнхы нэршэл юм. Зураг түсэлые гарган болбосоруулха, барилгые бариха болон, бусад конструкциин бүтэсэ байгуултын талаархи эрдэм ухаан болон уралиг. Барилгын бүтэсэ, байгууламжые гаргаха, бусад конструкциин зураг түсэлые болбосоруулха зэргын аргашалал, хэб маяг. Байгаали оршондо бариха барилгаяа мэргэжэлэй үйлэшэлгэнүүдтэй хамтадань бариха үеын уран барилгашан хүнэй дадал, һургуулилта. Уран барилгашан хүнэй макронюрууһаа (хотын үзэмжэ, архитетурын шиидэл) микронюруу (детализировалһан бүтэсэ, байгуулта, табилга гэхэ зэргэ) хүрэтэрхи барилга, байгууламжын зураг түсэлэй үйлэ ажаллалга. Мэдээлэлэй технологиие тодорхойлходо ниитэлиг хэрэглэгдэдэг ямаршье түрэлэй системэ, тогтолсоо зэргын зураг түсэлые болбосоруулха зэргын нэршэл.",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=9256,155,9256.0,['ru'],False,Соёл,Sous-catégorie
,Хүүргэ,"Хүүргэ (ᠭᠦᠭᠦᠷᠭᠡ) - гол мүрэн, һубаг, зам, хада сохёо, хабсал, хүнды зэргын нүгөө таладань хүрэхэ боломжые олгодог хэмэл байгууламжа юм. Туулан ошохо газарай зай, хэмжээ гэхэ мэтэ шаардалганууд зорюулан хэгдэһэн янза бүриин хэлбэри, хэмжээ, загбар, зохёон байгуулалтатай олон янзын хүүргэ байдаг.. Эндэ хүүргын эгээн түгээмэл загбарнууд болохо нуман хүүргэ, хураагдадаг хүүргэ, шулуун хүүргэ, хүндэлэбшэ тулгуурида хүүргэ болон бэхэлгэтэ хүүргэ ороно. Ямар онсолигтой газар баригдахаһаа шалтагаалжа эдэ загбарһаа һунгалтаяа хэдэг. Жэшээнь нуман хүүргэ түб хэһэгһээ эхилһэн ута хүндэл байдаггүй ушарһаа уһан дээрэ барихада тохиромжотой байдаг. (Хүндэл модониинь заабал уһан дээрэ баригдаха албагүй ба заби доогуурынь хилбарихан гараха боломжотой байдаг.) Хураагдадаг хүүргэнь хол зайтай газар барихада үлүү тохиромжотой. Зарим хүүргын шон болон хүндэлынь арга һайтай, хүсэтэй байдаг бол бусадынь түмэр бэхэлгэ, утаһан болобол холбооһон дээрэ һуурилан гурбалжан хэлбэритэй бүтэсэ болон холбогдожр шэгнүүр хубаарилха зорюулалтатай болон баригдаһан байдаг. Хүүргэ барихада абажа үзэхэ ёһотой эгээл шухала зүйлынь тухайн хүүргэ хэдэн тон шэгнүүр дааха арга боломжотой баригдаха ёһотойе тодорхойлжо мүн һалхин, саһан, бороо зэргые тэсэбэрилхэдэ зорюулагдаһан загбарые гаргаха юм. == Ном зохёол == Надёжин Б. М. Мосты и путепроводы в городах. - М., 1964 Надёжин Б. М. Архитектура мостов. М.: Стройиздат, 1989. ISBN 5-274-00596-9. 96 с. Гибшман Е. Е. Проектирование деревянных мостов. - М., 1965 Гибшман Е. Е. Проектирование металлических мостов. - М., 1969 Евграфов Г. К. Богданов Н. Н. Проектирование мостов. - М., 1966 Ефимов П. П. Архитектура мостов. - М.: Изд-во ФГУП «Информавтодор», 2003 Ильясевич С. А. Металлические коробчатые мосты. - М., 1970 Назаренко Б. П. Железобетонные мосты, 2 изд. - М., 1970. == Холбооһон == Энэ хуудаһан Хүүргэ гэһэн Викимедиа сангай ангилал холбооһотой. BridgeArt: Искусство строить мосты Самые самые мосты Архивировалһан 24 арбан хоёр һара 2013 оной.(ород) Engineering, History & Construction of Bridges Архивировалһан 5 арбан хоёр һара 2006 оной. (англ) Классификация мостов Архивировалһан 17 найма һара 2014 оной. (ород) Самые необычные мосты в мире (ород) Мосты для животных Архивировалһан 4 гурба һара 2016 оной. (ород)",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=8387,328,8387.0,['ru'],False,Соёл,Sous-catégorie
,Уран зураг,"Уран зураг гээшэ зураг зурааха уралиг юм. Уран зураг болбол хоосто, саарһа, модо, шэл, хана гэхэ мэтэ гадаргуу дээрэ зураһан шэрэ гү, али үнгые дүрсэлхэ, хэһэбэри (абстракт) гү, али концепциин дүрсэлэлые үүдхэдэ ашагладаг. Уран зураг болбол агын зурагаар 40,000 үлүү жэлэй урда бии болоһон. Соёл, түүхын нүхэсэл байдалые толилон харуулжа, уралигай янза бүриин хүдэлөөн, арга техникэ, хэб маягаар дамжан хүгжэжэ ерэһэн. Юрэдөө уралигай түүхэшэд зураг зураха арга барил, һэдэбэй сунгалта хоёрой уялдаа холбоое оложо хаража, һүүлдэнь эрин үеэ нэрлэдэг. Баруун зүгэй уран зурагые бүдүүн хубаагдабал: Реализм Импрессионизм Пуантилизм Наивизм Кубизм Модернизм Хэһэбэри уралиг Постмодернизм",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=14671,97,14671.0,['ru'],False,Соёл,Sous-catégorie
,Уран шүлэг,"Шүлэг (ᠰᠢᠯᠦᠭ, самгардяар श्लोक, śloka) гү, али найраг (ᠨᠠᠶᠢᠷᠠᠭ) - үгые айзамда тохируулжа, бадаглан бэшэһэн уран зохёолой нэгэ хэлбэри юм. Шүлэг найраг ба уран зохёол - уран үгэ зохёон байгуулха арга замаар ба бадагланаар илгаатай удха зохёолой үндэһэн хоёр түрэл юм. Шүлэг найраг хэлэнэй дээдэ зэргээр ашаглаха болон шэнэ шүлэг найрагай дүрсэ бии болгохо хангадаг хэлэнэй уралиг мүн. ЮНЕСКО-гой гушадахи хуралдаан 1999 оной гурбадугаар һарын 21 шиидбэри дээрэ (2000 онһоо хойшо) жэл бүри тэмдэглэжэ Дэлхэйн найрагай үдэр байгуулһан. Гильгамешэй үльгэр Илиада Махабхарата Шахнамэ",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=6028,86,6028.0,['ru'],False,Соёл,Sous-catégorie
,Сатьяджит Рай,"Сатьяджит Рай (бенгалаар সত্যজিত রায় гү, али бенгалаар সত্যজিৎ রায় нэрын бенгал дуудалга, англи: Satyajit RaySatyajit Ray; 1921 оной 5 һарын 2, Калькутта, Британиин Энэдхэг - 1992 оной 4 һарын 23, Калькутта, Энэдхэг) - илгарһан Энэдхэг кинорежиссёр, сценари зохёогшо, хүүгэдэй зохёолшо, хүгжэмэй зохёолшо, продюсер, хэблэгшэ, кино шүүмжэлэгшэ, иллюстратор. «Оскар» шагналда хүртэһэн түрүүшын Энэдхэгэй режиссёр. Олон тоогой өөрынгөө киногой хүгжэмые зохёобо. «Замай дуун» (1955) гэһэн киногой гараһанай һүүлдэ Энэдхэг кинодо неореалис маяг дүрсые үндэһэлэгшээр гэжэ тэмдэглэгдэбэ. Энэһээ хойшо тэрэнэй режиссёрой карьерэ дэлхэй даяар илгарба. Берлинэй кинофестивальда нэгэ дахин үлүү эгээн һайн режиссурын шаниие абаһан гурбан режиссёрнуудай дунда нэгэн. == Кинографи == 1955 - Замай дуун (পথের পাঁচালী) - режиссёр, сценари зохёолшо 1956 - Илагдаагүй (অপরাজিত) - режиссёр, сценари зохёолшо 1958 - Эди шэдитэ шулуун (পরশ পাথর) - режиссёр 1958 - Хүгжэмэй таһалга (জলসাঘর) - режиссёр 1959 - Апугай дэлхэй (অপুর সংসার) - режиссёр, сценари зохёолшо 1960 - Дангина (দেবী) - режиссёр, сценари зохёолшо 1961 - Гурбан басагад (তিন কন্যা) - режиссёр, сценари зохёолшо 1962 - Канченджанга (কাঞ্চনজঙ্ঘা) - режиссёр, сценари зохёолшо 1962 - Аян (অভিযান) - режиссёр, сценари зохёолшо 1963 - Ехэ хото (মহানগর) - режиссёр, сценари зохёолшо 1964 - Чарулата (চারুলতা) - режиссёр, сценари зохёолшо 1965 - Аймхай хүн (কাপুরুষ) - режиссёр, сценари зохёолшо 1965 - Гэгээнтэн (মহাপুরুষ) - режиссёр, сценари зохёолшо 1966 - Герой (নায়ক) - режиссёр, сценари зохёолшо 1967 - Амитадай гэр (চিড়িয়াখানা) - режиссёр, сценари зохёолшо 1969 - Гупи ба Багхиин ушаралта ябадалнууд (গুপী গাইন বাঘা বাইন) - режиссёр, сценари зохёолшо 1970 - Ойдо үдэр һүнинүүд (অরণ্যের দিনরাত্রি) - режиссёр, сценари зохёолшо 1971 - Дайсан (প্রতিদ্বন্দ্বী) - режиссёр, сценари зохёолшо 1971 - Хизаарлагдамал харюусалгатай компани (সীমাবদ্ধ) - режиссёр, сценари зохёолшо 1973 - Аласай нэрьеэн (অশনি সংকেত) - режиссёр, сценари зохёолшо 1974 - Алтан хэрэм (েসানার েকল্লা) - режиссёр, сценари зохёолшо 1976 - Зуушалагша (জনঅরণ্য) - режиссёр, сценари зохёолшо 1977 - Шатаршад (শতরঞ্জ কি খিলাড়ি) - режиссёр, сценари зохёолшо 1979 - Фелунатху эсэгэ мандтугай (জয় বাবা ফেলুনাথ) - режиссёр, сценари зохёолшо 1980 - Алмаазай хаанта улас (হীরক রাজার দেশে) - режиссёр, сценари зохёолшо 1981 - Абарал (সদগতি) - режиссёр, сценари зохёолшо 1984 - Гэр ба дэлхэй (ঘরে বাইরে) - режиссёр, сценари зохёолшо 1990 - Арадай дайсан (গণশত্র) - режиссёр, сценари зохёолшо 1990 - Модоной мүшэр (শাখা প্রশাখা) - режиссёр, сценари зохёолшо 1991 - Бадаршан (আগন্তুক) - режиссёр, сценари зохёолшо",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=9717,384,9717.0,['ru'],False,Соёл,Sous-catégorie
,Куросава Акира,"Куросава Акира (японоор 黒澤 明 - « くろさわ あきら » 1910 оной 3 һарын 23-нда түрэжэ 1998 оной 9 һарын 3-нда наһа бараһан) - XX зуун жэлэй үеын эгээл бэрхэ режиссёрнуудай нэгэн болоно. Акира Куросава гүнзэгы бодолтой режиссёр, реалист, уран зурааша байгаа. Кадр бүхэндэ тэрэ ехэ анхаралтайгаар хандадаг, актёрнуудтай һонирхолтой ажал ябуулдаг байһан. «Расёмон», «Улаан һахалта» гэжэ нэрлэгдэһэн фильмүүд бүхы дэлхэйдэ мэдээжэ болонхой. Достоевскиин «Идиот», Горькиин «На дне» гэһэн зохёолнуудай үндэһөөр япон кинонууд табигдаа. Куросавын «Под стук трамвайных колес» гэһэн кино Москвагай кинофестивальда 1 шанда хүртөө юм. «Дерсу Узала» гэжэ кино СССР-дэ найруулан табиһан байна.",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=14793,98,14793.0,['ru'],False,Соёл,Sous-catégorie
,Бэшхүүр,"Бэшхүүр (ᠪᠢᠰᠭᠢᠭᠥᠷ) - хүнды сэхэ хэлбэритэй лимбэ зэргые хэрэглэн үлеэжэ дуугаргаха хүгжэмэй зэмсэг юм. Бэшхүүрые Росси, Беларусь, Украинада дудка, Азербайджанда balaban гү, али düdük, Хойто Кавзаз, Узбекистан, Гүржидэ дудук, Хитад guan (хитадаар 管), Түрэгтэ mey, Япондо hichiriki (篳篥 (ひちりき)) гэжэ нэрлэдэг байна. == Баялиг бэшхүүр == Бэшхүүрые эртэ үеһөө шажанай зан үйлэ, сүм хиидэй хурал номдо үргэн хэрэглэжэ байгаа. Энэ зэмсэг болбаа хотонгоос гаралтай болоод хожом Хитад улас хэрэглэн, Тан уласай үедэ гадаада бии болгоһон аймагай хүгжэмдэ оролсуулан хэрэглэжэ байһан, тэрэнһээ хойшо Сүн улас уламжалан хэрэглэжэ байһан ушар Сүн уласһаа Ехэ Монгол Улас хүгжэмдөө оролсуулан хэрэглэжэ байгаа. Энэ зэмсэгынь хулаһан хонгёон дээрэ 3 нүхэтэй, амһарыень алтаар үйлдэһэн болоод амһарынь дэрбэгэр, дээдэ үзүүртэнь нарисажа биибээр үлеэнэ. Энэһээ өөр нэгэ зүйлэн бэшхүүр байһаниинь хонгёое модоор үйлдэһэн ба бэень охор, нюур талада 7 нүхэтэй, ара таладаа нэгэ нүхэтэй, зүүн талын хажуу доро нэгэ нүхэтэй, дээдэ үзүүртэ хэрээһэн үгы байна. Мүнөөнэй сүмэ дуган, хэрэглэжэ байдаг зэмсэг мүн гэжэ. Монгол бэшхүүрынь 6 нүхэтэй, нүхэн бүринь нэгэ даруул гү, али нэг эгшэг ажа. Гандан Тэгчэнлин хиидтэ «Тунгалаг эхэ» гэдэг дуунай ая байха болоод бэшхүүрээр хүгжэмдэхэдэ зорюулһан 6 шугамтай, 6 хуруунай, 6 даруулын хүдэлөөниие (2 гарай 3, 3 хургаар) хүгжэмдэхэ байдалаарынь зурааһата нотоор тэмдэглэһэн байна. Уг бэшхүүрынь европынхи бэшхүүрэй гарай барилһаа өөр баруун гарын барилынь дээдэ таладаа байгаа. Энэ зэмсэгые эртэ үеһөө гуули, зэд, модоор урладаг байһанай дээрэ элдэб нүлөөһөө хамгаалжа түмэр зэдые муудхахагүйн тулада 8 үнэртэнээр арюулан тусхай даабуу, торгомсог эдлэлдэ боожо хадагалдаг байгаа. Эндэ: зади, хаши гүргэм, зандан, агар, габар, эдээр хүгжэмэй аялгуу, шанар хэрэглэхэдэнь нүлөөтэй байгаа һэн. Бэшхүүрые 1960 ондо хүгжэм уралигша, түрын шагналтан Д. Индрээ анха гууляар эхэ загбар гаргажа найрал хүгжэмэй хүгэндэ зохисуулан үйлдээ һэн. Дараань 1964 ондо баяжуулһан бэшхүүриые хэһэн. Эндэ: 6 эгшэгые 12 болгожо бага наймасын (октавын) си бемольһоо дээшэ 2 наймаса үлүү багтаамжатай болгожо, улас хубисхалай 40 жэлйэ ойн сэнгүүнэй арадай найрал хүгжэмэй бүрэлдүүндэ оруулаа һэн. Энэһээ хойшо 5 жэлэй дараа хүгжэмэй зохёолшодой шаардалгаар уг загбарай дахуу даруул нэмэжэ, хүгые тохируулан бага наймасын си бемольһоо 2 наймаса үлүү (12 эгшэгтэ) хахад шаталалаар эгшэглэхээр хубилгаһаниинь монгол арадай, һунгадаг болон оршон үеын хүгжэмэй зохёолшодой бүтээлһөө хүгжэмдэхэ үргэн боломжые нээжэ үгэһэн юм. == Буряад бэшхүүр == Монголшууд үндэһэнэй найрал хүгжэмые баяжуулха зорилгоор 1960 ондо анха бишыхан бэшхүүрые абажа загбар шэнээр гарган абяа хүгжэмдэхэ боломжогүй 6 эгшэгые, 13 бүтэн (тон) болгожо бага наймасын си бемольһоо хоёр наймаса бүтэн шаталал (тон) эгшэглэхэ болгоо һэн. Арадай хубисхалай 40 жэлэй ойн сэнгүүнэй үндэһэний найрал анха эгшэглүүлээ һэн. Энэһээ 5 жэлэй дараа дахин баяжуулжа хоёр наймаса хахад шаталалаар эгшэглэхэ сараатай болгоһоноор үндэһэнэй болон һунгадаг хүгжэмдэхэ бүрин боломжотой болоо һэн.",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=8634,425,8634.0,['ru'],False,Соёл,Sous-catégorie
,Виктор Цой,"Загбар:Orphan Ви́ктор Ро́бертович Цой (, ород: Виктор Робертович Цой; 1962 оной 6 һарын 21 - 1990 оной 8 һарын 15) - солонгос яһатай Зүблэлтын рок-дуушан, хүгжэмэй зохёогшо, зүжэгшэн юм. ""Кино"" хамталигые үүсхэн зохёон байгуулагша, ахалагша байгаа. Мүн хэдэ хэдэн кинодо тоглоһон (Игла, Асса) юм. 1962 оной 6 һарын 21 Санкт-Петербург хотодо түрэһэн болон 1990 оной 8 һарын 15 Латви уласта наhа бараhан. === Би hуулгаха модо === Би hуулгаха модо Би hуулгаха модо Би мэдэхэ - минии модо соо энэ хото бү амидарха hаяхан. Би мэдэхэ - минии модо соо энэ хото усадхалга. Ба би олон өөрын саг үе үдэшэхэ зэргэлээд тай тэрэ. Намда олон бусад хэхэ хашарааха. Намда тухайлха - энэ минии гэр. Намда тухайлха - энэ минии хани нүхэр. Би hуулгаха модо Би hуулгаха модо Би мэдээхэ - минии модо үглөөдэрэй шадаха хухалха үхиб. Би мэдээхэ - минии модо түргөөр орхихо намайг надад. Болон хэдыдэ тэрэ энд, би хододоо зэргэлээд тай тэрэ. Намда тай тэрэ баяр, намда тай тэрэ үбдэхэ. Намда тухайлха - энэ минии эб найрамдал. Намда тухайлха - энэ минии хүү хөбуун. Би hуулгаха модо Би hуулгаха модо == Зурагай цомог == Памятникууд == Холбооһон == Первая стена В. Цоя в цифровом формате Архивировалһан 20 долоо һара 2014 оной. Биография Виктора Цоя на Peoples.ru Статья об актёрских работах Виктора Цоя и видеосъемках группы «Кино» Архивировалһан 16 нэгэ һара 2009 оной. Интервью Виктора Цоя на YouTube Перевод воспоминаний Жоэля Бастенера о Викторе Цое Последнее лето Виктора Цоя Памятник на месте гибели В.Цоя на Google Street View Фильм Первого канала «Цой - ""Кино“» к 50-летию Виктора Цоя (премьера раритетной песни «Атаман») (видео) Фан-клуб Виктора Цоя ""Камчатка"": коллекционирование по любви",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=5862,277,5862.0,['ru'],False,Соёл,Sous-catégorie
,Ехэ театр,"Оросой гүрэнэй академическэ Ехэ театр (ород: Государственный академический Большой театр России), Оросой эгээн томо, Дэлхэйн эгээн шухала театрнуудай нэгэ болохо опера ба баледэй зүжэгэй ордон. 1776 ондо Москва хотодо байгуулһан. Мүнөөгэй байра ордон 1825 ондо баригдаһан юм (уран барилгашан О. И. Бове; 1856 ондо А. К. Кавос уран барилгашанай заһабарилһан). Хари гүрэнэй болон М. И. Глинкагай, А. С. Даргомыжскийн, П. И. Чайковскийн, М. П. Мусоргскийн, А. П. Бородинай, Н. А. Римский-Корсаковой гэхэ мэтын түрүүшын ород дуури ба баледүүд тайзанда табяагдаһан. XX зуунай эхинһээ хойшо ород хоолой дуунай (Ф. И. Шаляпин, А. В. Нежданова, Л. В. Собинов гэхэ мэтэ) болон баледэй (Е. В. Гельцер, А. А. Горский, В. Д. Тихомиров гэхэ мэтэ) һургуулинууд бүхэдэлхэйн үндэр нэрэ солодо оробо. 1919 онһоо академическэ зэргэдэ хүртэбэ.",bxr,Соёл (Sous-catégorie),,https://bxr.wikipedia.org/?curid=9325,122,9325.0,['ru'],False,Соёл,Sous-catégorie
