pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
51793.0,“Балдыз”,"“Балдыз” - қыздар биі. Құрманғазының “Қызыл қайың” күйінің сүйемелімен орындалады. Музыкалық өлшемі 4/4. Орташа екпінді “Балдыздың” мазмұны халықтың тұрмыс-салтынан алынған. “Балдыз” қыздардың тал шыбықтай майысып, сызылған ибалы жүріс-тұрысы мен сыпайы мінезін бейнелейтін музыкалы би. Биді қойған балетмейстер Д. Әбіров. 1953 жылы Алматы хореография училищесінің оқушылары Мәскеуде өткен бүкілодақтық би мектептерінің байқауында орындады. “Балдыз” биі көркемөнерпаздар үйірмесінің, би ансамбльдерінің репертуарынан тұрақты орын алды.",kk,Мәдениет,ordonné,https://kk.wikipedia.org/?curid=51793,65,,['ru'],False,Мәдениет,Catégorie principale
54333.0,Абажа,"Абажа - ағаш тақтайшалардан құралып, былғарымен, киізбен қапталған, беті жұқа қаңылтырмен әшекейленіп жасалған, ұзындығы бір құлаштай, биіктігі жарты құлаштай көлемді үй жиһазы. Сандықтың үлкен түрі - Абажаның сүйегі ауыр, асты тегіс, екі жақтауында қос құлақшасы болады. Жүкаяқтың үстіне қойылады. Ол - көлемі үлкен ғұрыптық бұйымдарды сақтауға арналған бірден-бір бұйым (иман киіз, өлікті жууға арналған құман, ақырет кебін және өлімді атцаруга қатысты деген сияқты). Сондай-ақ, онда асыл бұлдан (матадан), қымбат теріден жасалған «бір киер» және қыстық киімдер мен жібек кілем-кілше сияқты тұрмыстық бұйымдар да сақталады. Абдырадан айырмашылығы абажаның көлемі үлкендеу. Және қақпағы құрсауланған, жақтаулары биіктеу, үстіңгі беті абдыраныкіндей тегіс емес, дөңес келеді. Көлемінің үлкендігіне байланысты бір бүйірінде ұстайтын тұтқасы қос-қостан салынады. Бұл жиһазда ыдыс-аяқ, құрғақ тамақ сақталған. Қазақстан Республикасының Мемлекеттік Орталық музей қорында абажаның ұзындығы 132 см, ені 61,5 см, биіктігі 52 см (тағы бір кішілеу нұсқасының өлшемі 97х45х37 см келген), артқы жағы мен түбінен басқа бөлігі тұтастай қаңылтырмен қапталған нұсқасы сақтаулы. Оның қақпағының беті көгеріс өрнекпен әшекейленген. Ал, екі жағыңда темірден соғылған сопақша қүлақша орнатылған. Абажаның дәстүрлі дүниетаным мен тіршілік циклінде атқарылатын ғүрыптар және жосын-жоралғы, ырым-тыйымдар жүйесінде өзіндік орны бар. Ә. Диваевтың жинаған деректері бойынша, абажаның түнде ашпайды. Тек өлім-жітім болғанда немесе ерекше жағдайда ғана «абажаның іиііне жылан кірді» деген магиялық мәндегі сөзді айтқан соң ғана ашады. Көшпелі ортада қастерлі саналған абажа, сандық сияқты жиһаздарға қатысты белгіленген нормалары туралы Ә.Диваевтың Перовск уезінің қазағы М. Шахмұратовтан жазып алуы бойынша, қазақтар сандықты түңде ашпайтын себебін «әулеттен біреу өледі» деген қауіппен түсіндіреді. Ә. Диваевтың айтуынша түнде сандык аиіуга мәжбүрлейтін үш түрлі жағдайда, біріншіден, сандықта сақталған бір зат қажет болғанда, екіншіден, көш-қонға байланысты, үшіншіден, жерлеу рәсіміне қатысты ашылуы мүмкін. Осы үй жиһазының үлкен, көлемді болуы қазақ тіліңде «далиған, зор» деген мағынаны білдіретін абажадай деген жиі қолданылатын теңеуге негіз болды. Абажа - кебеженiң үлкендеу түрi; аюға құратын үлкен шарбақ; қақпан; киіз үйдің шаңғырағы; бір жағы түпсіз су таситын күбі.",kk,Мәдениет,ordonné,https://kk.wikipedia.org/?curid=54333,307,,"['ru', 'uk']",True,Мәдениет,Catégorie principale
54344.0,Абақ,"Абақ - балық аулайтын құрылымы күрделі аудың бөлігі. Аудың орта тұсындағы аузы тарлау келген қуыс «қалтасы» әуелде абақ деп аталды. Абақ ішіне кірген балық қайта шыға алмайтын етіп үлкен қап пішінінде жасалады. Суға кұрылған аудың қазанына жиналған балықтар аудың қанаттарына соғылып, ошарылып барып абақққа кіреді. Мұндайда жиналған балықтар арасыңдағы аққайран, ақ шабақ сияқты момын балықтар қатарласқан жыртқыш балықтардан қорғану үшін өздігінен абаққа қарай енеді. Абаққа кірген балықтардың кері шығуы екіталай.",kk,Мәдениет,ordonné,https://kk.wikipedia.org/?curid=54344,73,,['ru'],False,Мәдениет,Catégorie principale
156747.0,Абақты,"АБАҚТЫ - қылмыс істеген адамды уақытша қамауға арналған орын. Сот жазасын өтеу үшін қылмыскерді бас бостандығынан айырып, бұрынғы қауіпті қылықтарын одан әрі өрістетпеу мақсатымен, оны басқа адамдардан, қоғамнан оқшаулатып, абақтыға қамаған. Байырғы қазақ тұрмысында қылмысты, жазалы адамды уақытша қамау қажет болса қолын артына байлап, кісе белдігін, баскиімін шешіп (әйелмен бірдей болды дегенді білдіреді), тізерлетіп, бетіне күйе жағып киіз үйдің керегесіне немесе үлкен арбаның доңғалағына таңып тастайды. Қасына күзетші қояды. Сондай-ақ, уақытша қамаудың киіз туырлыққа орап таңып тастау тәрізді жолдары да болған. Абақты сөзінің тағы бір көне нұсқасы лабақты. Жазалы, қылмысты адамды қауымнан оңашалаудың мырзақамақ түрме деген түрлері қазақ ортасында XIX ғасырдан тарала бастады. Ертеде көшпелілер арасында болмаған, кейінгі кезде пайда болған орыс отаршылдығымен бірге келген бұл «құбылысты», қазақтар тосырқап қабылдағанын Арқадағы әнші Мәдидің: Абақты қатар-қатар болады екен, Ішіне жақсы-жаман толады екен, Ішіне сол шіркіннің кіріп барсаң, Көңілің су селкендей болады екен, - деген өлеңінен байқауға болады. «Жігіттің жақсысы ортамда сыналады, аттың жақсысы арбада сыналады», - деген мақалдағы ортам жерден терең етіп ор қазылып, жан-жағы айналдырыла қоршалды. Қылмыскердің аяқ-қолын байлап, абақтының осы түрі ортамға салып қойған. Айыпты адамды ұстайтын ортамға ұқсас, жерден мүлдем терең етіп қазылған абақтының түрі - зындан шығыс елдерінде ертеде кең таралған.",kk,Мәдениет,ordonné,https://kk.wikipedia.org/?curid=156747,197,,['ru'],False,Мәдениет,Catégorie principale
156750.0,Абақты кесу,"АБАҚТЫ КЕСУ - айыптыға белгіленетін жазаның бір түрі.. Жазаның бұл түрі дәстүрлі әдеттік құқықтың кіші жинақтары деп аталатын ережелерде көрсетілген. Билердің төтенше съездері заңдастырылған ереже бойынша айыпкердің айыбын дәстүрлі жаза түрлерімен өтеуге жағдайы болмаса немесе айыпкер оны өтеуге құлықты болмаса да бас тартуға ерік берілгендіктен, өз ықтияры бойынша абақтыға отырғызған. Мысалы, егер біреу әке-шешесін ренжітсе әке-шешесінің қалауымен 1885 жылғы Қарамола ережесіне сәйкес қазақ ғұрпы жосынымен жаза тағайындалады. Егер молданы немесе басқа да құрметті кісілерді ренжітсе ат-шапан айып немесе тіпті атан бастатқан тоғызға дейін айып төледі. Сондай-ақ, біреуді қол жұмсағаны үшін айыпкерге бір тоғыздан үш тоғызға дейін айып салынған; егер айыпкер кесілген айыпты алмаймын десе, айыпкер белгілі бір мерзімге абақтыға отырғызылады. Ал ұрыс, төбелес шығарғандар билердің үкімімен ат-шапаннан бастап, үш тоғызға дейін сұраушының пайдасына айып төлейді. Бірақ, ұрыс-төбелесті бастаушы өзге серіктерінен гөрі айыпты артығырақ төлейтін болған. Бұзықтық шығарған адамдар болыстың шешімімен (орыс. приговор) немесе ереже бойынша билердің ұйғарымымен ақшалай болмаса абақтыға отырғызуға жазаланды.",kk,Мәдениет,ordonné,https://kk.wikipedia.org/?curid=156750,155,,"['uk', 'ru']",True,Мәдениет,Catégorie principale
18445.0,Ғибадат,"Ғибадат (араб.: عبادة‎) - Исламда бізді және бүкіл жаратылысты жоқтан бар еткен әрі әрқашан бар етіп ұстап тұрған, әртүрлі нығметтер мен жақсылықтар жіберіп, жетілдірген Аллаһу та’аланың әмірі мен тыйымдарын бұлжытпай орындау. Сонымен қатар, Аллаһтың махаббатына қауышқан пайғамбарларға, әулиелерге және ғалымдарға бағыну. Сансыз нығмет берген Аллаһқа шамасы жеткенше шүкір ету - әрбір жанның бірден бір міндеті. Бірақ адам баласы өзінің құсырлы ақылы және қысыр санасымен жаратқанға құрмет амалдарды таба алмайды. Құрмет болып саналатын амалдар Аллаһу та’ала тарапынан білдірілмейінше адам санасында мадақтау болған нәрселер жаратқан үшін мазақ ету, жамандау болуы мүмкін. Ғибадат деген ат-тілек білдірдім деген мағынаны береді Адамдардың Аллаһқа деген діл, тіл және денемен өтеуі және сенуі қажет болған шүкір борышы мен құлдық міндеті, Аллаһу та’ала тарапынан білдірілген және Оның сүйікті Пайғамбары ﷺ арқылы жеткізілген. Аллаһ білдірген және әмір еткен құлдық міндеттері «Исламият» делінеді. Аллаһу та’алаға шүкір ету, Оның Пайғамбары алып келген дінге бағыну арқылы жүзеге асады. Бұл дінге қайшы немесе бұл жолдың сыртында қалған еш бір шүкіршілік, ғибадатты Аллаһу та’ала қабылдамайды және ұнатпайды. Сондықтан да Ислам дінінен хабарсыз жұртшылықтың өз бетінше әртүрлі ритуалдарды орындауларының Аллаһ құзырында еш бір құны болмайды. Демек, ақылы бар адамның Аллаһқа шүкір және дұрыс ғибадат етуі үшін Мұхаммедке ﷺ бағынуы шарт. Мұхаммедға ﷺ бағынған адам ғана мұсылман деп аталады. Ал Аллаһқа шүкір етуге, яғни Мұхаммедке ﷺ бағынуға «Ғибадат ету» делінеді. Ислам екі бөлімнен тұрады: Қалб, яғни жүрекпен сенуді қажет ететін нәрселер. Дене мен жүрек арқылы орындауды қажет ететін ғибадаттар. Денемен орындалатын құлшылықтардың ең құндысы - намаз.",kk,Мәдениет,aléatoire,https://kk.wikipedia.org/?curid=18445,243,,"['uk', 'ru']",True,Мәдениет,Catégorie principale
27040.0,Дебют,"Дебют - (фр. debut - бірінші жүріс, бастапқы) - адамның белгілі бір істі бастаудағы ең алғашқы қадамы. Мысалы, актердің сахнада немесе белгілі бір театрда, байқауда, т.б. бірінші рет өнер көрсетуі. Мұндай адамды дебютші (дебютант) дейді. 18 ғасырда Еуропа және орыс театрларында актерді труппа құрамына алмас бұрын көрермендердің алдында сынақтан өткізу үрдісі болған. Көптеген ірі театрларда актерлер 3 дебютке дейін, кейбір елдерде (Францияда) 10 дебютке дейін көрсететін болған. Ал Кеңес заманындағы КСРО театрларында бұл дәстүр жойылып, дебют тек бірінші рет өнер көрсету мағынасында қолданылады.",kk,Мәдениет,aléatoire,https://kk.wikipedia.org/?curid=27040,86,,"['ru', 'uk']",True,Мәдениет,Catégorie principale
26126.0,Балдыз,"Балдыз: Әйелінің сіңлілері мен інілерінің арадағы ер адамның туыстығын білдіретін ұғым. Әйеліне туыстық жақындығына қарай туған Балдыз, немере Балдыз, нағашы Балдыз, жиен Балдыз, деп бөлінеді. Әдетте, жезде мен Балдыз арасында болатын жарасымды әзіл-қалжың түркі тектес халықтар арасында көбіне қазаққа тән. Қыздар биі. Құрманғазының ""Қызыл қайың"" күйінің сүйемелімен орындалады. Музыкалық өлшемі Уг Орташа екпінді ""Балдыздың"" мазмұны халықтың түрмыс-салтынан алынған. ""Балдыз"" қыздардың тал шыбықтай майысып, сызылған ибалы жүріс-түрысы мен сыпайы мінезін бейнелейді. Биді қойған балет-мейстер Д.Әбіров. 1953 ж. Алматы хореографиялық училищесінің оқушылары Мәскеуде өткен бүкілодақтық би мектептерінің байқауын» орындады. ""Балдыз"" биі көркемөнерпаздар үйірмесінің, би ансамбльдерінің репертуарынан тұрақты орын алды.",kk,Мәдениет,aléatoire,https://kk.wikipedia.org/?curid=26126,100,,['ru'],False,Мәдениет,Catégorie principale
22230.0,Атасу қонысы,"Атасу қонысы - қола дәуірінен сақталған біздің заманымыздан бұрын 14 -12 ғасырлардағы ірі елді мекен орны. Қарағанды облысы Шет ауданы Қызылтау ауылының оңтүстік-шығысында 35 км жерде, Атасу өзеніне құятын Мыңбай сайының бойында орналасқан. Орталық Қазақстан археологиялық экспедициясы 1952 ж. (жетекшісі Әлкей Марғұлан), 1975 - 82 ж. (жетекшілері Мир Қадырбаев, Жолдасбек Құрманқұлов) зерттеген. Атасу қонысында 27 үй мен қораның орны бар. Ол жерден 3 төртбұрышты, дөңгелек пішінді 12 ғимарат және мыс балқытуға арналған 7 шеберхана орны табылды. Үлкен үйлер екіге бөлінген. Бір жағы - тұрғын үй, екінші бөлігі - шеберхана. Атасу қонысы орталығында ғибадатхана болған. Үйлер арасынан ішін таспен шегендеген құдықтар, көзе ыдыстар күйдіретін пештер ашылды. Атасу қонысы тұрғындары негізінен мыс балқытып, қоладан бұйым құю, мал бағу, егін егу, аң аулаумен айналысқан. Қола дәуірінің соңғы кезеңінде өмір сүрген тұрғындарының үйлері шошала сияқты дөңгелек, құрастыруға оңай болған. Олар да қолдан сайман жасаған, негізінен мал шаруашылығымен айналысқан. Атасу қонысынан кен үгіп, мыс балқытып, құюға арналған құрал-саймандар мен қалыптар, топырақ қопсытатын тас кетпен, түрен, тастан, қоладан, сүйектен жасаған жебе ұштары, өрнек салынған саз ыдыстар, мал сүйектері, саз ыдыстар бетін тегістейтін, өрнек салатын құралдар, қола пышақтар, орақ, сүңгі, т.б. көптеген бұйымдар табылды. == Сілтемелер == Қола дәуірі",kk,Мәдениет,aléatoire,https://kk.wikipedia.org/?curid=22230,195,,['ru'],False,Мәдениет,Catégorie principale
27037.0,Дәуітбай Тауданбекұлы,"Дәуітбай Тауданбекұлы - (1873, Шығыс Қазақстан облысы Бұқтырма өзенінің бойы - 1937) - күйші, композитор, ақын. Дәуітбай бала кезінен домбыра мен сыбызғыны қатар ұстап, бозбала шағында құрбы-құрдастарына, жеңгелеріне арнап күй шығара бастаған. Жиырма жасыңда Дәуітбай ау-қаттылау үйдің қызына ғашық болып, бірақ қыз әкесі оң шырай бермеген соң ол қызды алып қашып, Баян Өлгий жағындагы нағашы жұртына өтіп кетеді. Дәуітбай сол жақта ел ісіне белсене араласады. Оның ""Жалама айдаған"", ""Ертіс толқыны"", ""Арна"", ""Жаяу солдат"", ""Қайран Бежең"", ""Тарту"", ""Арнау"", т.б. күйлері бар. 1991 жылы жарық көрген ""Күй керуен"" атты Қарасұлы Сақайдың кітабында Дәуітбайдың күйшілігі туралы деректер берілген.",kk,Мәдениет,aléatoire,https://kk.wikipedia.org/?curid=27037,98,,['ru'],False,Мәдениет,Catégorie principale
