pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
13934.0,Мыс сиктса библиотека (Кулӧмдін район),"Мыс сиктса библиотека - Кулӧмдін районса Мыс сиктын восьтӧм библиотека. == История == 1904 воын Мыс сиктын воссис библиотека. Жырсӧ торйӧдісны церковно-приходскӧй школаын, уджаліс вичкоын Федор Александрович Клепиков. Библиотека восьтӧм вылӧ вӧлі урчитӧма 77 шайт. Во мысти библиотекаын вӧлі литературалӧн 293 экземляр, воліс 34 лыддьысьысь, кодъяслы вӧлі сетӧма 214 небӧг. 1911 воын библиотекаӧ воліс 108 лыддьысьысь, налы сетӧма 508 небӧг, фондын артавсис литературалӧн 596 экземпляр. Медводдза Ыджыд тышлӧн воясӧ лыддьысьысьяслӧн лыд ёна чиніс. 1925 воын библиотекалысь нимсӧ вежисны изба-читальня вылӧ. Война кадӧ библиотекарӧн уджаліс Роза Горская, юрнуӧдіс изба-читальняӧн Михаил Никифорович Ермолин. Изба-читальня бердын уджаліс драмкружок. 1949 воын Михаил Ермолинлӧн вӧзйӧм серти олысьяслы петкӧдлісны ""Домна Каликова"" да ""В чужом пиру похмелье"" пьесаяс. Изба-читальняӧ быд рыт чукӧртчывлісны олысьяс, сёрнитісны мытшӧдъяс йылысь, петкӧдлісны концертъяс, нуӧдісны рытпукъяс, гораа лыддьысьӧмъяс. Библиотекаын лыддьыссис 100-ысь унджык морт. 1949 воын бур уджысь изба-читальняӧс наградитісны РСФСР-са Министръяслӧн Сӧветса Почёт грамотаӧн. 1952 воын изба-читальня лои сиктса библиотекаӧн. 1963 воын библиотекаын уджаліс Опарина Елизавета Васильевна. Сылӧн 30 вося удж дырйи библиотека вӧлі районын медбуръяс лыдын. Артавсис 300 гӧгӧр лыддьысьысь. 1981 воын библиотека лои Кулӧмдінса шӧр библиотечнӧй системалӧн 13 филиалӧн. 1993 восянь библиотекаын уджалӧ Трофимова Валентина Андреевна. Библиотека топыда уджалӧ сиктса администрациякӧд, школакӧд, культура керкакӧд. == Веськӧдлысьяс == 1913 - Надеев Иван (тайӧ жӧ воӧ сійӧс вуджӧдӧны Мылдінӧ да Туголукова (велӧдысь) корӧ сы пыдди пуктыны поп Федор Клепиковӧс). 1914 - Игнатов Степан (вӧлӧстнӧй писар). 1915, ӧшым тӧлыссянь - Клепиков Федор Александрович (поп), (КР ШКА 116 ф., 1 опись, 169 делӧ). 1945, ода-кора тӧлысьсянь (уджаліс нёль тӧлысьысь эз унджык) - Ермолин Александр Кузьмич (чурка Кузьма Ӧлексан). 1946-1949 - изба-читальняӧн юрнуӧдіс Михаил Никифорович Ермолин (Митипер Микайлӧ), библиотекар - Роза Горская. 1963 - 1993 вояс - Опарина Елизавета Васильевна. 1993 восянь ӧнія кадӧдз - Трофимова Валентина Андреевна.",kv,Культура,ordonné,https://kv.wikipedia.org/?curid=13934,288,,['ru'],False,Культура,Catégorie principale
,Сен Сушмита,"Сен Сушмита (хинди सुष्मिता सेन, англичан Sushmita Sen) - тайӧ нималана индияса актриса, модель. == Олан туй == 1975, вӧльгым тӧлысь 19-ӧд лун - чужис Хайдарабад карын. 1994 воын - вермис мичлун конкурсын «Мисс Индия» 1994 воын - вермис мичлун конкурсын «Мисс Вселенная» 1996 воын - ворсіс медводдза роль фильмын («Dastak») 2004 воын - ворсіс фильмын «Main Hoon Na» Шахрукх Кханкӧд 2010 восянь - котыртӧ индияса мичлун конкурсӧс «I Am She - Miss Universe India» == Ӧшмӧсъяс == Сен Сушмита IMDb вылын Сушмиталӧн олан туй да галерея",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=11503,87,11503.0,['ru'],False,Культура,Sous-catégorie
,Орӧдӧм визь (памятник),"Орӧдӧм визь - Эстонияса юркар Таллиннын памятник. Сиӧма налы, кодъяс кувсисны 1994-ӧд вося йирым тӧлысь 27-28 лунъясӧ войнас «Эстония» паромлӧн катастрофаын. Кыпӧдӧма кар шӧрын «Кыз Маргарита» башня дорын, Мере бульварсянь неылын. Памятниклöн авторъясöн лоöны Эстонияса архитектор Виллу Джаанисоо да Суомиса архитектор Йорма Мукала. Памятниксӧ восьтӧма трагедия бӧрын кык во мысти, 1996-ӧд вося кӧч тӧлысь 27-ӧд лунӧ.",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=21838,59,21838.0,['ru'],False,Культура,Sous-catégorie
,Кола (небӧг лэдзанін),"Кола - Коми Республикаын уджалысь небöг лэдзанiн. == История == ""Кола"" воссис 2005 воын. Дасьтӧ да йӧзӧдӧ коми да роч кыв вылын небӧгъяс. 2012 воын пырис Коми Республикаса небӧг лэдзысьяслӧн ассоциацияӧ. Директоралӧ Вахнин Николай Владимирович. 2012 воын «Кола» небӧг лэдзанін лӧсьӧдіс ӧтуввез-сайт: == Адрес == Небӧг лэдзанінлӧн адрес: 167000, Коми Республика, Сыктывкар, Кapл Мapкc ул., 229 керка, 101 No жыр. Телепонъяс: 8(8212)201499. == Ӧшмӧсъяс == Николай Вахнин: Хорошей книге реклама не нужна",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=9564,72,9564.0,['ru'],False,Культура,Sous-catégorie
,Коми небӧг лэдзанін,"Коми небöг лэдзанiн - Коми муын небӧг дасьтан да йӧзӧдан медводдза канму уджаланін, коді воссис 1920-ӧд воын. === XX нэм === Коми небöг лэдзанiн воссис 1920 вося ӧшым 6 лунö Усть-Сысольск карын. Тайö тöлысяс жö йöзöдiсны медводдза небöг - «Лыддьысьны велöдчан». Мӧд воас нин вӧлі лэдзӧма 11 небӧг, ӧтувъя тиражыс - 61100 небӧг. 1926-ӧд воӧдз Коми небӧг лэдзанін вӧчис 75 небӧг да небӧгтор, ӧтувъя тираж - 222 сюрс 500 экземпляр. На пиысь 34,25 % - велӧдчан небӧг, 11,5 % - политикаысь литература, 3,4 % - Владимир Ленин йылысь, 33,1 % - художествоа гижӧд. 75 небӧгсьыс 55 % - тайӧ ас литература, 31 % - вуджӧдӧмъяс, 16 % - сора гижӧдъяс. === XXI нэм === 2007 воын Коми небöг лэдзанiн бырӧдісны-тупкисны, а овмӧссӧ вузалісны асшӧр уджалысьяслы.",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=6316,137,6316.0,['ru'],False,Культура,Sous-catégorie
,Дӧрапас,"Дӧрапас тайӧ канмуса либӧ карса символ. Флагъяс эмӧсь: Найӧс вӧлі используйтӧны, медым петкӧдлыны быдсямапӧлӧс кӧлуй, международнӧй организацияяс, странаяс, региональнӧй флагъяс, карса флагъяс да мукӧдтор. Унджыкыс на пиысь лыддьыссьӧны. Флаглысь идеясӧ вӧлі лӧсьӧдӧма средневековьеын, армиялӧн баннеръясысь ылыстчӧмӧн, кодъясӧс вӧлі используйтӧны сӧмын координируйтӧм могысь. Ӧнія концепцияыс заводитчис Французскӧй революция дырйи, сэсянь мукӧд странаяс бӧрйисны ассьыныс канмуяссӧ петкӧдлӧм вылӧ флагъяс.",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=5328,65,5328.0,['ru'],False,Культура,Sous-catégorie
,Канпас,"Канпас тайӧ канмуса, карса али ордса символ. == История == Гербъяс тыдовтчисны XII нэмын Англияын да Францияын, регыдӧн паськалісны Рытыввыв да Шӧр Европа пасьтала. Налӧн сӧвмӧмыс йитчӧма крестовӧй походъяскӧд, кор рыцарьяслы колӧма ассьыныс асьнысӧ тӧдмалӧм да союзникъясӧс врагъясысь торйӧдӧм средство. Медводз гербъяс служитісны личнӧй знакъясӧн, но XIII нэм помын наӧн кутісны вӧдитчыны канму корпорацияяс, а сідзжӧ семьяяс да политическӧй субъектъяс. Гербъяс артмӧны щитысь, шлемысь, щитысь да вермасны пырны коронкаясысь, шлемъясысь да щит нуысьясысь. Щит вылын налӧн югыд серпасъясыс отсалісны тӧдмавны воинъясӧс. Аланъяслöн да тюрк войтырлöн вöлiны семья пасъяс тамга формаын. Гербъяс позьӧ торйӧдны принадлежность, чин, образъяс да стильяс серти.",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=5327,111,5327.0,['ru'],False,Культура,Sous-catégorie
,Иван Кутькин,"Иван (И.С.) Кутькин - 1930-ӧд воясся коми гижысь, журналист, комиӧдысь. == Олан туй == 1929-ӧд во - ""Коми комсомолец"" 22 No-а (моз тӧлысь 9-ӧд лун) газетлӧн редактор пыдди (сы бӧрын редакторавны босьтчис Исаков А.И.). 1930-ӧд во - ""Культура фронт"" журналлӧн редактор. ""Коми Ассоциация пролетарских писателей"" (КАПП)-лӧн III-ӧд конференция вылӧ чукӧртчӧма. 1930-ӧд вояс - ""Вӧрлэдзысь"" газетса Зезегов Дмитрий редакторӧс вежысь. КАПП-са пӧвстын чистка нуӧдан комиссияын председатель. Сэтчӧ жӧ шленъяс моз пырисны Сажин Иван да Оботуров Иван. Мӧд ногӧн комиссияыс шусис ""Куим Иванлӧн Комиссия"". 1934-ӧд воын Поляков В.В. сы йылысь шуис: Кутькин ёрт литератураӧ пырӧ ыджыд романӧн. Ӧні кежлӧ гижӧма куим строчка нин. == Гижан удж == Кутькин И. Пролетариат нога Коми гижысьяс III конференсія кежлӧ. - ""Культура фронт"" журнал. - 1930 (3-4 No-а). - 7-9 лб. Кутькин И. Состояние антирелигиозной пропаганды в Сысольском уезде. - ""Коми му - Коми край"" политико-экономический журнал ОК ВКП(б) и ОИН. - 1929 (6 (64) No-а). Кутькин И.С. Дас вит во (1917-1932): Коми обласьт Октябрса революциялы 15 во тыригкежлӧ. - 1932. Каганович М. Организационнӧй вопросъяс (партийнӧй да сӧветскӧй строительство): ВКП(б) 17 съезд вылын доклад. - Комиӧдісны: И. Кутькин да И. Изъюров - Сыктывкар: Коми партиздат, 1934.",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=21887,193,21887.0,['ru'],False,Культура,Sous-catégorie
,"Уэллс, Герберт Джордж","Герберт Джордж Уэллс (1866 вося кӧч тӧлысь 21 лун, Ыджыд Британия, Англия, Бромли - 1946 вося моз тӧлысь 13 лун, Ыджыд Британия, Англия, Лондон) - англияса гижысь да публицист, Фабианслӧн социализм дор сулалысь, «The Time Machine», «The Invisible Man», «The War og The World» да мӧд нималана фантастика романъяс гижысь. == Олан туй == Уэллс чужліс 1866 вося кӧч тӧлысь 21 лунын гӧля олысь котырын. Сійӧ вӧвліс юӧрникӧн, велӧдысьӧн, овмӧсӧн веськӧдлысьӧн. Ӧтчыд сійӧ пондыліс сотны вузасянінсӧ, кӧні тшӧктывлісны сылы уджавны вын вывтіыс. Уэллс кыкысь воліс СССР-ӧ. Медводдзаысь сійӧ воліс Аскост тыш воясӧ, 1920-ӧд вося тӧлын. Ленин нуӧдіс Уэллскӧд сёрни. Сійӧ висьталіс гижысьлы электрификация план йылысь, но планыс Уэллсы кажитчис «электричество инасьлытӧмторйӧн», та бӧрын Уэллс лэдзис «Russia in the Shadows» небӧгын. Мӧдысь сійӧ воліс Сӧветскӧй Союзӧ 1934-ӧд воын. == Гижан удж == Уэллслӧн фантастика мыджсис наука подув вылын. Никулин Лев сы йылысь шуис: «Уэллс замечательнӧй стӧчлунӧн да выразительнӧя гижӧ аслас геройяслысь переживаниеяссӧ, обстановкасӧ, кӧні найӧ действуйтӧны. Медся фантастическӧй приключениясыс петкӧдчӧны правдивӧя Уэллс гижӧдъясын. Мукӧддырйи Уэллс овлӧ, веськыда кӧ шуны, дзик прорицательӧн.» Уэллс водзвылысь висьталіс мортлысь батисфераӧ - океан пыдӧсӧ писькӧдчӧм йылысь ёна водзджык, сійӧс йӧзӧн збыльысь олӧмӧ пӧртӧм дорысь. «The War og The World» романын Мувывса медводдза тышын пӧдтан газъяс лэдзӧм дорысь водзджык гижис Уэллс йӧзӧс бырӧданног йывсьыс. Сійӧ водзвыв кыліс атом пытшса энергия вӧдитчыны позянлун йылысь 1914-ӧд воын на («The World Set Free»). 1939-ӧд воын Шестаков роч кывйысь комиӧдіс «Океан пыдӧсын» да «Эпиорнислӧн ді» висьтъяс, кодъяс лэдзӧмаӧсь Коми госиздатын. == Ӧшмӧсъяс == Л. Никулин. Герберт Уэллс // Г. Уэллс. Океан пыдӧсын. - Сыктывкар: Коми госиздат., 1939 во. - 3-7 лб.",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=21294,260,21294.0,['ru'],False,Культура,Sous-catégorie
,"Толкин, Джон Рональд Руэл","Джон Рональд Руэл «Дж. Р. Р.» Толкин (инглишӧн John Ronald Reuel «J. R. R.» Tolkien [dʒɒn ˈrɒnld ˈruːl ˈtɒlkiːn]; 1892-ӧд вося тӧвшӧр тӧлысь 3-ӧд лун, Блумфонтейн - 1973-ӧд вося кӧч тӧлысь 2-ӧд лун, Борнмут) - британияса гижысь, вуджӧдчысь, кыв да филология туялысь. Мувывса медводдза тышса ветеран. XX нэмся меднималана гижысьяс пиысь ӧти. Сылӧн эм кыксёысь унджык йӧзӧдӧмтор (37 небӧг, 63 стаття, 121 вуджӧдӧмтор) да уна помавтӧм удж. Сійӧс тӧдӧны «ыджыд пэнтэзи» классика гижысьӧс моз: сійӧ гижис «The Hobbit, or There and Back Again», «The Lord of the Rings», «The Silmarillion». Тайӧ небӧгъясыслӧн эм сёысь унджык вуджӧдӧмъяс.",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=21814,96,21814.0,['ru'],False,Культура,Sous-catégorie
