pageid,title,text,language,category,type,url,token_count,page_id,detected_languages,is_multilingual,main_category,source_type
7275.0,Культура,"данной концепции проводится различие между «высокой» культурой как культурой элит и «массовой» культурой, подразумевающей товары и произведения, направленные на потребности простых людей. Также в некоторых работах оба вида культуры, «высокая» и «низкая», относятся просто к различным субкультурам. Немецкий представитель философии жизни Освальд Шпенглер излагал взгляд на культуру как на множество самостоятельных организмов (различных народов), которые проходят собственный эволюционный цикл, длящийся несколько сотен лет, и, умирая, перерождаются в свою противоположность - цивилизацию. Цивилизация противопоставляется культуре как сменяющий её этап развития, где не востребован творческий потенциал отдельной личности и главенствующим является мёртвый, бесчеловечный техницизм. В условиях глобализации учёные рассматривают основные методологические подходы к исследованию культуры, вопросы её сущности, классификации, диалектику соотношения понятий культуры и цивилизации через призму категорий «общее», «особенное» и «единичное». В современной науке господствует мнение, что понятия «культура» и «цивилизация» отражают некие различия, но вместе с тем они создают и определённое единство, являясь двумя сторонами одной «медали». Между терминами нет абсолютной гармонии и нет полной несовместимости. === Культура как мировоззрение === В эпоху Романтизма учёные в Германии, особенно интересовавшиеся национальными движениями, направленными на объединение страны из отдельных княжеств, а также движениями национальных меньшинств против Австро-Венгерской империи, сформировали понятие культуры как «мировоззрения». В такой системе взглядов различные и несопоставимые друг с другом мировоззрения являются основными отличиями этнических групп. Несмотря на прогрессивность по сравнению с более ранними взглядами, такой подход всё ещё сохранял различия между «цивилизованной» культурой и культурой «примитивной», или «племенной». К концу XIX столетия антропологи расширили понятие культуры так, что оно стало включать большее разнообразие обществ. Исходя из эволюционной теории, они предполагали, что люди должны развиваться одинаково, и уже сам факт, что люди имеют культуру, следует из самого определения процесса человеческого развития. При этом, однако, они показывали нежелание учитывать биологическую эволюцию для иллюстрации различий между определёнными культурами - подход, позже вылившийся в различные формы расизма. Они верили, что биологическая эволюция наиболее полно отражает само понятие культуры, понятие, которое антропологи могли бы применить и к обществам без письменности, и имеющим её, - кочевым и оседлым народам. Они аргументировали это тем, что в ходе своей эволюции человек выработал единую систему получения и применения знаний, а также способность передавать их другим людям в виде абстрактных символов. Как только человеческие индивидуумы узнали и изучили такие символические системы, эти системы начали развиваться независимо от биологической эволюции (другими словами, один человек может получить знания другого человека, даже если они оба никак не связаны биологически). Такая способность оперировать символами и получать социальные навыки смешивает старые аргументы в споре «человеческой природы» и «воспитания». Таким образом, Клиффорд Гиртз и другие утверждали, что человеческая физиология и мышление развивались как результат первых культурных действий, и Миддлтон, заключил, что человеческие «инстинкты были сформированы культурой». Группы людей, живущие отдельно друг от друга, создают различные культуры, между которыми, однако, может происходить частичный обмен. Культура постоянно изменяется, и люди могут изучать её, делая этот процесс самой простой формой адаптации к изменяющимся внешним условиям. Сегодня антропологи рассматривают культуру не просто как продукт биологической эволюции, а как её неотъемлемый элемент, главный механизм адаптации человека к внешнему миру. Согласно этим взглядам, культура представляется как система символов с функцией адаптации, которая может меняться от одного места к другому, позволяя антропологам изучать различия, выражающиеся в конкретных формах мифов и ритуалов, инструментах, формах жилищ и принципах устройства деревень. Таким образом, антропологи проводят различие между «материальной культурой» и «символической культурой», не только потому что эти понятия отражают различные сферы деятельности человека, но и потому что они содержат различные исходные данные, требующие различных подходов при анализе. Такой взгляд на культуру, ставший доминирующим в промежутке между двумя мировыми войнами, говорит о том, что каждая культура имеет свои границы и должна рассматриваться как единое целое с использованием собственных положений. В результате этого появилось понятие «культурного релятивизма», мнения, согласно которому один человек может принять действия другого человека, используя понятия его культуры, а элементы его культуры (обряды и т. д.) - через понимание системы символов, частью которых они являются. Таким образом, мнение, что культура содержит символические коды и способы их передачи от одного человека другому означает, что культура, хотя и ограниченно, постоянно меняется. Культурные изменения могут быть как результатом создания новых вещей, так и происходить в момент контакта с другой культурой. Оставаясь в мирных рамках, контакт между культурами приводит к заимствованию (через изучение) различных элементов, то есть взаимопроникновению культур. В условиях противостояния или политического неравенства, люди одной культуры, конечно же, могут захватывать культурные ценности другого сообщества или навязывать свои ценности («окультуривание»). За время существования цивилизации, все сообщества принимали участия в процессах распространения, взаимопроникновения и навязывания своей культуры, поэтому сегодня немногие антропологи рассматривают каждую культуру только внутри собственных рамок. Современные учёные считают, что элемент культуры нельзя рассматривать только в её собственных рамках, это можно делать только в широком разрезе взаимоотношений между различными культурами. Помимо указанных процессов, на элементы культуры оказывает сильное влияние миграция людей. Такой феномен, как колониальная экспансия, а также массовая миграция, в том числе в виде работорговли, стали значимым фактором, влияющим на разные культуры. В результате некоторые сообщества приобрели значительную неоднородность. Некоторые антропологи утверждают, что такие группы объединяются общей культурой, преимуществом которой является возможность изучения разнородных элементов в качестве субкультур. Другие же утверждают, что единой культуры существовать не может, а разнородные элементы формируют мультикультурное сообщество. Распространение доктрины мультикультурности совпало со всплеском движений по самоидентификации, требующей признания культурной уникальности социальных подгрупп. Социобиологи также утверждают, что культуру можно рассматривать с точки зрения элементарных элементов, с помощью которых происходит культурный обмен. Такие элементы, или «мемы» (англ. meme), как они были названы Ричардом Докинзом в своей книге «Эгоистичный ген» (англ. The Selfish Gene), опубликованной в 1976 году, аналогичны понятию генов в биологии. Несмотря на то, что такая точка зрения приобрела некоторую популярность, большинство академических учёных её полностью отвергают. === Культура как нормы поведения === Следующее распространённое понимание понятия культуры слагается из трёх составляющих: Жизненные ценности; Нормы поведения; Артефакты (материальные произведения). Жизненные ценности обозначают самые важные в жизни понятия. Они являются основой культуры. Нормы поведения отражаются в понятиях Мораль и Нравственность. Они показывают, как люди должны повести себя в различных ситуациях. Правила, формально закреплённые в государстве, называются Законами. Артефакты, или произведения материальной культуры, обычно являются производными от первых двух составляющих. Стало правилом, что археологи работают с элементами материальной культуры, а социальные",ru,Культура,ordonné,https://ru.wikipedia.org/?curid=7275,1000,,['ru'],False,Культура,Catégorie principale
7173291.0,Биосоциальная гипотеза,"Биосоциальная гипотеза происхождения культуры - биосоциальная теория культурогенеза, которая состоит в том, что человек прежде всего является частью природы и живет по определенным биологическим законам, а культура - сугубо человеческий способ приспособления к окружающей среде. Человек создает определенную систему ценностей, традиций и символов, где социальное вытекает из биологического. == Появление системы символов == Животным свойственно приспосабливаться к окружающей среде, однако им для этого не нужно пользоваться источниками информации, их образ действия заложен в инстинктах. Человек действует иначе, он передает свои знания об окружающем мире и взаимодействии с ним из поколения в поколение. Таким образом, заложенные природой программы поведения в тех или иных жизненных ситуациях вытесняются. Вследствие этого вытеснения, появляется необходимость в разработке неорганического способа хранения и передачи информации, необходимой для выживания новых поколений. Так появляются символы, которые заменяю собой предметы и явления определенными образами и ассоциациями. Это повлекло за собой развитие абстрактного мышления, свойственного только человеку, за чем последовало развитие воображения и постепенное возникновение духовной жизни, основы культуры. == Появление речи == Речь - один из видовых признаков человека. В то время, как у животных могут быть определенные способы общения при помощи звуков (как у китов и дельфинов) или запахов (как у многих млекопитающих), такое общение происходит с помощью так называемой первой сигнальной системы. Человек же обладает тем, что Павлов назвал второй сигнальной системой , то есть способностью к общению с помощью слов, передачи информации с минимальной потерей смысла. Существует предположение, что речь появилась в ходе необходимых для выживания групповых действий, из звуков, которые издавали во время охоты, миграции и других взаимодействий, и была сформирована не сразу. Предположительно, у первобытных людей в той или иной форме сочетались две формы общения - первичный язык (язык жестов) и вторичный, который основывался на звуковой коммуникации, но в основном на криках и шумах. Однако ввиду определенных природных факторов, в некоторых ситуациях общение жестами не представлялось возможным, например в тумане, в темноте или в экстренных ситуациях, требующих мгновенной реакции. Так первобытный человек постепенно отошел от первичного языка. Непосредственно речь зародилась у питекантропов, в виде глагольных форм, обозначавших определенные действия, которые использовались в основном в диалогах. Уже у неандертальцев появились зачатки элементарной грамматики и синтаксиса, расширилась лексика. И именно у них зародился монолог как феномен. == Способность к труду == Несмотря на то, что многие животные способны осуществлять комплексные задачи, например, построение сложных убежищ (таких, как муравейники, дамбы, ульи), но это не требует особых способностей и обучения, а осуществляется инстинктивно. Только человек способен ставить перед собой задачи и последовательно их выполнять. И хотя животные и способны использовать подручные материалы для достижения задач (например, обезьяна может сбить плод палкой с дерева), но только человек может изготавливать орудия труда. Именно из этого вытекает расхожее утверждение о том, что животные приспосабливаются к окружающей среде, а человек ее преобразует. Однако важную роль в развитии культуры человека и в развитии концепта труда сыграл один из способов приспосабливания к природным условиям - освоение огня. Освоив огонь, человечество сделало большой шаг в своем развитии, ведь он использовался во всех сферах жизни: защита и обогрев жилища, охота, приготовление пищи, изготовление орудий. В каждой из этих функций огонь выступает как фактор образования особого, антропогенного культурного пространства. Кроме того, посредством таких групповых действий, как изготовление орудий и, главное, охоты, формировалось коллективное сознание, налаживание общения, в ходе которого появилось естественное разделение труда и координация коллективных усилий. Изначально разделение труда было организовано как в природной среде у животных (например, у обезьян) - самцы охотятся, самки воспитывают детей и следят за очагом, старики передают свои знания и обучают молодежь. Однако, опять же, как у обезьян, подобная организация означала конфликты между самцами внутри сообщества и борьбу за влияние. Это повлекло за собой установление первых ограничений и правил, например, запрета на кровосмешение. Это спровоцировало членов рода на общение с представителями других племён, что, в свою очередь, сформировало новые общественные отношения. Таким образом, человеческая культура начинается, когда от инстинктивных действий и неосложненного удовлетворения потребностей человек переходит к действиям на основе сознания и к осознанной передаче опыта и знаний с помощью определенных символов и с помощью речи. И культура требует постоянного поддержания, посредством образования, передачи знаний и обретения новой информации и новых навыков. === Генетический ряд развития общества === На основе биосоциальной гипотезы происхождения культуры, российский социолог, философ и экономист Евгений Валентинович Де Роберти выстраивает ряд, характеризующий этапы развития общества. • Психическое взаимодействие • Общественная группа • Личность • Цивилизация Ученый описывает переход от органического к надорганическому в различных сферах жизни общества. Так, первобытные образы организации общества (род, племя) были «органической множественностью», и со временем они стремятся перейти к «надорганическому единству». Такое социальное или духовное единство образуется с появлением гражданских союзов и более развитых их форм. По мнению Де Роберти одним из признаков «надорганического единства» является мораль. А именно, с этим этапом развития общества появляется альтруизм, солидарность, взаимопонимание. === Четыре фактора культуры === Одним из основных положений его теории является мнение о том, что развитие общество происходит с эволюцией знания и духовной культуры. Закон соотношения науки (знания), религии и философии (духовности), искусства и практической деятельности (труда), необходимого для развития культуры общества, называют законом четырех факторов культуры (цивилизации). == Литература == • Библер В. Цивилизация и культура. - М.: Российский гос. Гуманитарный университет, 1993. - 47 с. • Кармин А.С. Культурология. Краткий курс. - СПб.: Питер, 2009. - 240 с. • Кононенко Б.И. Культура и цивилизация. - М.: Эсмо, 1997. - 322 с. • Левяш И.Я. Культурология. - Минск: ТетраСистемс , 2002. - 496 с. • Самохвалова А. И. Культурология. - М.: Юрайт, 2002. - 14 п.л. • Хантингтон С. Столкновение цивилизаций. - М.: АСТ, 2003. - 603 с. == Ссылки == • Русская социология (неопр.). Дата обращения: 29 октября 2017. Архивировано из оригинала 14 ноября 2017 года. • Е.В. Де-Роберти: биографическая справка (неопр.). Дата обращения: 29 октября 2017. • Культурогенез. Гипотезы возникновения культуры (неопр.). Дата обращения: 29 октября 2017. • Флиер А.Я. Происхождение культуры: новая концепция культурогенеза (неопр.). Дата обращения: 29 октября 2017. • Между природой и культурой (неопр.). Дата обращения: 29 октября 2017. Архивировано из оригинала 29 октября 2017 года.",ru,Культура,ordonné,https://ru.wikipedia.org/?curid=7173291,989,,['ru'],False,Культура,Catégorie principale
7765000.0,Культурная трансмиссия,"это то, что называется инкультурацией. == Теории культурной трансмиссии == Хотя культурная передача является широкой концепцией, она не является всеобъемлющей для всех знаний, полученных в течение жизни человека. Фактически, некоторые из знаний, которыми обладают люди, приобретаются благодаря опыту, например, как метод проб и ошибок. Метод проб и ошибок - это то, что известно как экспериментальное обучение. Экспериментальное обучение - один из основных методов исследования, основанный на тщательном изучении вариантов исследуемого явления при возможном уравнении всех прочих факторов (количество учебных часов, уровень владения языком и др). В ходе экспериментального обучения исследователь проверяет различные варианты решения интересующего его вопроса, в том числе и те, несостоятельность которых он стремится доказать. Именно в этом заключается принципиальное отличие экспериментального обучения от опытного обучения, целью которого является массовая проверка предварительно обоснованной методики. В отличие от обучения на основе опыта, теоретическая основа культурной передачи заключается в том, что на протяжении нашего развития мы приобретаем значительный объём знаний, просто присутствуя в нашей культуре. Например, люди, живущие в Соединенных Штатах, знают, что жуткие украшения в октябре являются одним из способов празднования Хэллоуина. Точно так же существуют определённые консервативные религии, которые не одобряют эти украшения или вообще не отмечают этот праздник. Для кого-то, кто не из западной культуры или знаком с такими традициями, эти украшения на Хеллоуин могут показаться странным обычаем, потому что этот человек не был привитым в западном обществе и, следовательно, не обладает этой культурной информацией. Точно так же тот факт, что некоторые люди будут возражать против украшения или празднования Хеллоуина, может показаться странным по той же причине. Экспериментальный подход к культуре Исследование эволюционных основ и последствий передачи культуры не является новым начинанием: эволюционные подходы к культуре имеют выдающуюся историю (например, Дарвин проводит прямые параллели между биологической эволюцией и культурной эволюцией словами и языками), а изучение культурной передачи и культурной эволюции является динамичной и растущей областью исследований. Большая часть этого исследования носила теоретический или наблюдательный характер, основанный на формальных моделях эволюционных процессов или обсервационное исследование реальных культурных явлений. Хотя они остаются важными инструментами для изучения культурной эволюции, они не являются единственными доступными. Ещё одна возможность состоит в том, чтобы принять экспериментальный подход для изучения механизмов и динамики культурной передачи - экспериментальное исследование предлагает потенциальный мост между общностью и контролем формальной модели и натурализмом наблюдения за реальным поведением в реальной культурной среде. Мощный экспериментальный подход, имеющий долгую историю, но в последние годы переживший ренессанс, состоит в том, чтобы исследовать эволюцию культуры непосредственно в простых лабораторных популяциях в контролируемых условиях, чтобы установить, что на самом деле происходит, когда люди учатся у других людей. Эта тема впервые объединяет диффузионные цепи или цепи передачи), чтобы исследовать культурную эволюцию. Одним из фундаментальных вопросов в понимании способности человека к культуре является выявление её эволюционного происхождения: является ли это недавней способностью или древней способностью, которая просто проявляется в необычной форме у нашего вида. Уайтен и Месоуди рассматривают литературу по диффузионным исследованиям на животных, не являющихся людьми, уделяя особое внимание диапазону применяемых экспериментальных методологий и их способности отличать социальное обучение и культурную передачу от других механизмов, способных вызывать сходное поведение на уровне группы (например, индивидуальное обучение). Достижения в этой области были впечатляющими: имеются явные доказательства культурной передачи ряда нечеловеческих видов (приматов, а также грызунов, птиц и рыб). Кроме того, передача рассматривается в ряде экспериментальных режимов. == Теория учебных стилей == Культурные стили обучения - это те стили обучения личности, которые являются продуктом его или её культурного фона и воспитания. В нём рассматриваются теория стилей обучения и роль, которую культура играет в теории. Концепция культурных стилей обучения находит свою основу в теории стилей обучения. Теория стилей обучения гласит, что студенты предпочитают один способ или стиль обучения другому. Теория предполагает, что проектирование образовательного опыта, учебной программы и инструкций, которые соответствуют стилю обучения студентов, может улучшить академические достижения. Концепция стилей культурного обучения идет дальше, заявив, что культурное воспитание играет решающую роль в определении стиля обучения студента. Было разработано более 30 инструментов тестирования стилей обучения для измерения различных стилей обучения в значимом и надежном континууме. Примеры инструментов включают индекс модальности Swassing-Barbe и тесты групповых встроенных фигур. Индекс модальности Swassing-Barbe классифицирует учащихся как предпочитающих визуальные, слуховые или тактильные / кинестетические стили. В групповом тесте по встроенным фигурам учащиеся классифицируются как зависимые от поля или независимые от поля, когда они находят геометрические фигуры, встроенные в рисунки фигур. Полевая зависимость / независимость относится к «способам, с помощью которых люди познавательно реагируют на запутанную информацию и незнакомые ситуации» и поведению, которое порождают эти ответы. Считается, что зависимые от поля индивидуумы более ориентированы на группу, сотрудничают и менее конкурентоспособны, чем независимые от поля индивидуумы. == Культура и стиль обучения == Культура состоит из ценностей, убеждений и способов восприятия. Культурные различия в стилях обучения детей могут развиваться благодаря их раннему опыту. Ценности культурной группы и традиционный образ жизни могут, посредством воспитания детей, влиять на стили обучения, которые человек будет развивать. Многочисленные исследования пытались выявить предпочтения стиля обучения среди студентов из разных культур и способы использования предпочтений для улучшения обучения. Данн и Григгс рассмотрели исследования стилей обучения латиноамериканских студентов. Исследование показывает, что мексиканские американские студенты, похоже, требуют более высокой степени структурирования, чем другие группы. Они предпочитают работать в одиночку больше, чем афроамериканские студенты, но меньше, чем кавказские студенты. И при этом они не такие зрительные и визуальные, как кавказцы и афроамериканцы. Латиноамериканские учащиеся средних и старших классов более зависимы от поля, чем англоязычные. Основываясь на этих выводах исследования, они советуют учителям и консультантам ожидать, что большое число латиноамериканских студентов предпочтут: соответствие; сверстниковое обучение; кинестетические учебные ресурсы; высокая степень структуры; поле-зависимый когнитивный стиль. Рамирес и Кастанеда рекомендуют совместное обучение; использование юмора, драмы и фантазии; моделирование; и глобальный, а не аналитический подход к пониманию концепций. == Источники == Irvine, Jacqueline Jordan and Darlene Eleanor York (1995). Learning Styles and Culturally Diverse Students: A Literature Review. In Handbook of Research on Multicultural Education, ed. James A. Banks, 484-97. New York: Simon & Schuster Macmillan. Cavalli-Sforza L.L, Feldman M.W. Princeton University Press; Princeton, NJ: 1981. Cultural transmission and evolution. Durham W.H. Stanford University Press; Stanford, CA: 1991. Coevolution: genes, culture and human diversity Whiten A, Horner V, de Waal F.B.M. Conformity to cultural norms of tool use in",ru,Культура,aléatoire,https://ru.wikipedia.org/?curid=7765000,1000,,['ru'],False,Культура,Catégorie principale
6685225.0,Культурное разнообразие,"религиозные обряды признаны Всемирной организацией здравоохранения и ООН неэтичными, в том числе женское обрезание, полигамия, детский брак и человеческое жертвоприношение. С развитием глобализации исторически сложившиеся государства попали под неимоверное давление. В наше время развивающихся технологий, информация и капитал выходят за географические границы и переформатируют взаимосвязи между рынками, странами и людьми. В частности, развитие средств массовой информации оказало существенное воздействие на людей и сообщества по всему земному шару. При наличии определенной пользы такая общедоступность негативно воздействует на индивидуальность сообществ. При условии быстрого распространения информации по всему миру, значение культуры, культурных ценностей и стилей подвержено риску усреднения. В результате степень самоидентификации личности и сообщества может начать ослабляться. Некоторые люди, в частности, те, которые имеют сильные религиозные убеждения, поддерживали идею того, что сохранение определенной модели сообщества и определенных аспектов такой модели - в интересах каждого человека и всего человечества. В настоящее время общение между теми или иными странами становится все более интенсивным. Всё больше студентов принимают решение учиться на других континентах, чтобы прочувствовать на себе культурное многообразие. Их цель - расширить свои горизонты и развить свою личность путем познания жизни на других континентах. Например, согласно труду Фенглинга, Чена, Ду Яьнюня и Ю Ма, «Академическая свобода в Народной Китайской Республике и в Соединенных Штатах Америки», утверждается, что образование в Китае главным образом строится, «как это принято, на подробном растолковании материала и механического заучивания наизусть». Китайская традиционная система образования основана на стремлении заставить студентов воспринимать определенный устоявшийся контент. И «в учебных аудиториях китайские профессора являются носителями знаний и символом власти; студенты в Китае в целом относятся к своим преподавателям с большим уважением». С другой стороны, в системе образования Соединенных Штатов Америки «американские студенты считают преподавателей колледжей равными себе». Кроме этого, поощряются споры с преподавателями. Открытая свободная дискуссия на самые разнообразные темы свойственна большинству американских колледжей и университетов. Дискуссия является главным отличием систем образования Китая и Соединенных Штатов Америки. Но мы не можем однозначно заявить, которая из них лучше, потому что каждая культура имеет свои преимущества и характерные черты. Именно эти различия и культурное разнообразие делают наш мир многоцветным. Студенты, которые учатся за рубежом, при том условии, что они сочетают в своем развитии позитивные аспекты двух различных культур, обретают конкурентное преимущество для своей карьеры в целом. В частности, с учетом нынешнего процесса глобализации экономики, люди, впитавшие в себя опыт разных культур, в современном мире более конкурентоспособны. == Количественные данные == Культурное разнообразие не поддается подсчету, но в качестве индикатора можно использовать количество языков, на которых говорят в регионе или в мире в целом. Используя этот индикатор, мы можем не учитывать период стремительного экономического спада, оказавшего существенное влияние на мировое культурное многообразие. Исследования, проведенные в 90-х годах прошлого века Дэвидом Кристалом (Почетным профессором лингвистики Университета Уэльса, Бангор) доказали, что в тот период, в среднем, в течение двух недель выходил из употребления один язык. Он подсчитал, что если коэффициент вымирания языков сохранится, то к 2100 году более 90 % языков, на которых говорят в настоящее время, исчезнут. Перенаселенность, иммиграция и империализм (по причине войн и культурного характера) являются причинами, которые следует принимать во внимание при объяснении вымирания языков. Вместе с тем, можно также утверждать, что с приходом глобализации уменьшение культурного разнообразия неизбежно, поскольку обмен информацией зачастую приводит к гомогенизации. == Культурное наследие == Всеобщая декларация о культурном разнообразии, принятая ЮНЕСКО в 2001 году, является правовым документом, который признает культурное разнообразие «общим достоянием человечества» и считает его охрану конкретным этическим обязательством, неотделимым от уважения человеческого достоинства. Кроме Декларации о принципах, принятых в 2003 году на Женевской сессии Всемирного саммита по информационному сообществу (WSIS) Конвенция ЮНЕСКО о защите и поощрении разнообразия форм культурного самовыражения, принятая в октябре 2005 года, также является юридически обязывающим документом, который признает, что: особый характер культурных товаров, услуг и деятельности является основой самобытности, ценностей и смыслового содержания; пока культурные товары, услуги и деятельность имеют важное экономическое значение, они являются не просто товарами широкого потребления, к которым можно относиться как к объектам торговли. В декларации утверждается, что «растет давление, оказываемое на страны, в целях отказа от их прав проводить собственную культурную политику и от любых аспектов в культурном секторе в ходе проведения переговоров по заключению соглашений о международной торговле». В настоящее время 116 стран-участниц, а также Европейский Союз ратифицировали Конвенцию (кроме США, Австралии и Израиля). Этот мягкий правовой инструмент (не имеющий обязательной силы), предназначенный для регулирования мировой торговли, стал точным показателем европейского политического выбора. В 2009 году Европейский суд поддержал широкий взгляд на культуру - помимо культурных ценностей посредством защиты фильмов или цели продвижения лингвистического разнообразия, признанного ранее. Также следует помнить о Конвенции об охране нематериального культурного наследия, ратифицированной 20 июня 2007 года 78 странами, в которой сказано: Нематериальное культурное наследие, передаваемое от поколения поколению, постоянно воссоздает сообщества и группы, сохраняющиеся под влиянием окружающей среды во взаимодействии с природой и историей, и придает им ощущение идентичности и постоянности существования, отдавая, таким образом, дань культурному многообразию и творческим способностям человека. Культурное разнообразие также поощряется Монреальской декларацией 2007 года и Европейским Союзом. Идея всеобщего мультикультурного наследия охватывает несколько идей, которые не являются взаимоисключающими (см. мультикультурализм). Помимо языкового различия, существуют различия религиозные и различия в традициях. В частности, план «Повестка дня на 21-й век для развития культуры» является первым документом мирового уровня, который предусматривает обязательства городских и местных властей развивать культуру и содействовать сохранению культурного разнообразия. == Защита культурного разнообразия == Защита культурного разнообразия может иметь несколько значений: равновесие, которое должно быть достигнуто: то есть, идея защиты культурного разнообразия путем проведения мероприятий в пользу незащищенных «культурных меньшинств»; защита «культурных меньшинств», находящихся под угрозой исчезновения; иные случаи, когда говорят о «защите культуры», ссылаясь на концепцию «культурной исключительности». При этом создается связь между социальным представлением о культуре и представлением, присущим ее коммерциализации. Культурная исключительность подчеркивает особенность культурных товаров и услуг, включая те, которые признаны Европейским союзом в Декларации о культурном разнообразии. При этом целью является защита от так называемого «превращения продукта в товар», которое считается пагубным для «ущемленных» культур - поддержка их развития посредством грантов, стимулирующих акций и т. п., известных также как «культурный протекционизм»; такая защита может быть отнесена к положениям о «культурных правах», попытка внедрить которые осуществлялась в 1990-е годы в Европе. === Культурное единообразие === Культурное разнообразие представляется как",ru,Культура,aléatoire,https://ru.wikipedia.org/?curid=6685225,1000,,['ru'],False,Культура,Catégorie principale
