pageid,title,text,language,category,type,url,token_count,page_id
22819.0,Култура,"повествователен, пророчески, поетичен или литургичен. == Култура, мироглед и възпитание == По време на Романтизма, учените в Германия, интересуващи се от националните движения и обединяването на отделните княжества, формулират понятието култура като мироглед, светоглед. Това определение на културата обаче все още съхранява различията между „цивилизованата“ култура и културата на племената или „примитивната“ култура. В края на XIX век понятието култура е разширено от антрополозите така че да включва и други общества. Въз основа на теорията на еволюцията, започва да се счита, че културата е естествено следствие от определението на процеса на човешкото развитие. Тези теории водят до противопоставянето на понятията „човешка природа“ и „възпитание“. В същото време обаче, те показват нежелание да се разглежда биологичната еволюция за илюстриране на разликите между специфични култури – подход, който по-късно води до различни форми на расизъм. Антрополозите твърдят, че в хода на своята еволюция, човекът разработва единна система за получаване и прилагане на знания, както и способността да ги предават на други хора под формата на абстрактни символи. След като човешките индивиди изучават такива символични системи, тези системи започват да се развиват независимо от биологичната еволюция (с други думи, един човек може да придобие знанията на друг, дори ако те не са свързани биологично). Така се разширява спора за „човешката природа“ и „възпитанието/образованието“. Клифорд Гиртз и някои други твърдят, че човешката физиология и мислене се развиват като резултат от първите културни дейности, а Мидълтън стига до заключението, че човешките „инстинкти са формирани от културата“. Днес антропологията не разглежда културата като продукт и следствие на биологичната революция, а като главен механизъм за адаптация към средата т.е. културата търпи развитие и е процес на адаптация към изменящия се външен свят. Днес учените считат, че елементите на културата не бива да се разглеждат само в собствените им рамки, а в широки взаимоотношения с различните култури. На елементите на културата силно влияние оказва миграцията на хората. Явление като колониална експанзия и масова миграция, включително под формата на търговия с роби, е значим фактор в различните култури. В резултат на това някои общества придобиват значителна нееднородност, което води до появата на субкултури и мултикултурализъм. Развитието на доктрината на мултикултурализма съвпада с движението за самоидентичност, което изисква признаването на културната уникалност на социалните подгрупи. == Култура и природа == Взаимодействието между култура и природа е един от най-важните проблеми, изучавани от културологията. Марк Порций Катон Стари въвежда в древността понятието култура във връзка с подобряването на обработването на земята. В този смисъл разбирането на културата представлява сътрудничество на човека с природата, направлявано от взаимна полза. При това сътрудничество човек приема от природата нейната материална съставка, черпи мисли, учи се и в отговор обогатява природата с творчеството на своя труд, придава ѝ одухотворение. Действията, които засягат разрушение на природата не може да не окажат разрушително вличние и върху хората, които живеят в нея. Връзката е двупосочна. Такива действия не са в резултат на висша съзнателна дейност, а културата се проявява само при наличието на такава. Съвременното нерядко срещащо се противопоставяне на култура и природа е възможно само при допускане за отделно, несвързано съществуване на човека от природата и отъжествяване на културата с градския начин на живот, който понякога се счита за синоним на цивилизация. Не е трудно обаче да се намерят примери от градския начин на живот, които не биха могли да се отнесат към областта на културата и дори са пример за упадък на културата или нейната пълна липса. Такива идеи споделят Николай Бердяев и Николай Рьорих. Не е трудно човек да се убеди, че отделянето на човека от принципите на разумно съжителство с природата води до упадък на натрупаното културно наследство, а след това и до упадък на самата човешка цивилизация. == Културни процеси и промени == Културна иновация означава всяко нововъведение, което е полезно за група от хора и изразява тяхното поведение. Човечеството е в глобален период на „акселерирана културна промяна“, предизвикана от експанзията на международната търговия, средствата за масова информация и преди всичко прираста на населението наред с други фактори. Така че културите са вътрешно повлияни едновременно от сили, които окуражават промяната и сили, които я ограничават. Тези два типа сили са свързани със социалните структури и естествени събития, и са включени в запазването на културните идеи от една страна, както и практики в настоящите структури, които сами по себе си са предмет на промяна. Социалните конфликти и развитието на технологиите може да доведе до промени в едно общество като следствие от промяната на социалната динамика и насърчаването на нови културни модели. Тези социални размествания може да се придружават от идеологически и други видове културни промени. Условията на околната среда може също да се включат като фактори. Например, след като тропическите гори се появяват отново в края на последния ледников период, подходящи условия и растения водят до създаването на селското стопанство, което от своя страна води до много културни нововъведения и промени в социалната динамика. Различните социални конфликти са от огромно значение за културата. Войните или конкуренцията за ресурси могат да повлияят на технологичното развитие или социалната динамика. Освен това културните идеи може да се прехвърлят от едно общество към друго чрез дифузия или акултурация. При дифузията формата на нещо се движи от една култура към друга. Елемент от една култура води до изобретение или разпространение в друга. „Директното заемане“ се отнася до технологична или материална дифузия от една култура към друга. Изследователският модел се основава на информацията за това защо и кога лица и култури приемат нови идеи, практики и продукти. Акултурацията има различни значения, но е предимно процес на взаимно влияние на култури, обмен на културни особености, приемането на културата на един народ (частично или пълно) от друг народ. Не бива да се бърка с културна асимилация, при която единият от народите напълно губи своя език и култура при контакта си с друг народ. В същото време акултурацията може да бъде първата стъпка към асимилацията. Енкултурацията е процес, при който човек научава изискванията на културата, с която е заобиколен, и придобива ценности и поведения, които са подходящи или необходими за тази култура. Влиянията, които ограничават, насочват или оформят индивида, включват родители, роднини, приятели и",bg,Култура,ordonné,https://bg.wikipedia.org/?curid=22819,1000,
327551.0,Залезът на Запада,"„Залезът на Запада“ (на немски: Der Untergang des Abendlandes) е най-значимото произведение на немския мислител и културен антрополог Освалд Шпенглер.
Книгата предлага едно ново, неевропоцентрично виждане за световната история. Смисловите единства се откриват не като епохи (Античност, Средновековие, Ново време), които се следват, а като целокупни култури. Своето изследване Шпенглер представя за сравнителен анализ и на базата на изведената от него закономерност прави своя извод за европейската цивилизация. Според него западната култура е преминала към фаза на неизбежен творчески упадък.
Първото издание на книгата се появява в Германия непосредствено след края на Първата световна война. Оттогава то е предмет на систематично критично неодобрение в академичните среди, но се радва на успех пред широката читателска публика. Книгата е била обсъждана и в българските интелектуални кръгове. Превод на обстойното ѝ авторско въведение е бил издаден в отделна книжка през 1931 г.


== Обстоятелства ==
Шпенглер започва своята книга след кризата в Агадир от 1911 г. и завършва първия ѝ вариант след три години. При избухването на Първата световна Война подлага текста на преработка, която завършва в края на 1917 г. Изпрашайки я за печат, в последното изречение от предговора ѝ пише, че се „надявал, че тя няма да изглежда недостойно наред с военните успехи на Германия“.
Излязла от печат през лятото на 1918 г. книгата има огромен търговски успех и през следващите няколко години се продава многохиляден тираж. Междувременно политическите възгледите на Шпенглер се ориентират все по надясно и това се пренамира в допълнителния втори том, който се появява в 1922 г. заедно с основна преработка на предишния.


== Съдържание ==


== Методология ==
Смятайки, че е намерил позиция която му позволява да вижда действителността извън европоцентристките ограничения, Шпенглер счита и че не е обвързан с приетите стандарти на аргументиране и обосноваване. Културологичният материал, с който той борави, бива представян и реконтекстуализиран единствено с оглед на собствените му разглеждания; предсказуемите критики той отклонява още във встъплението като обявява: „Колкото по-велик е човекът, толкова по-истинна е философията – в смисъл на вътрешна правдивост на голямата художествена творба, която е независима от доказуемостта и дори от непротиворечивостта на отделните положения“.
За свои вдъхновители Шпенглер многократно сочи Гьоте и Ницше, като отношението му към първия е безрезервно и само леко критично към втория (т.1. с.458 и сл.). От Гьоте е почерпана идеята за „Морфология“ - метод на описателно сравняване, независимо от съображенията за каузалност. Основно Шпенглер си служи с аналогиите, които в неговите текстове се смесват с разнообразни реторически похвати - внушения чрез метафори и асоциации.
Книгата започва с глава посветена на Математическите знания. За да прокара своята плуралистична теза, Шпенглер оспорва тяхното единство: ""Няма Математика, има само математики(с.124)"", а с това поставя под въпрос и общовалидността на резултати. Същата теза издига и в края на първата книга срещу другата претендираща за общовалидност форма – философията.
[...]


== Основни положения ==

Шпенглер счита, че висшите култури са осем: три извън средиземноморския ареал: Индийска, Китайска и Мексиканска; и пет в него: Египетска, Вавилонска, Антична, Арабска и Европейска; последните три той характеризира специално като аполонична, магическа и фаустовска. За всяка култура може да се посочи нейния „прасимвол“, който задава едно фундаментално отношение към пространството: правия път за Египетската култура, криволичещата градинска пътека за Китайската, пещерата за магическата, обемното тяло за аполоничната и безкрайността за фаустовската.
За всички култури той установява, че в период от около 1000 години те еднообразно възникват, растат, разцъфтяват и залиняват. В последната си фаза всяка култура се превръща в цивилизация. Шпенглер особено акцентира на възприета в немския език словоупотреба, при която 'култура' е положително маркиран термин; цивилизацията се оказва нейна упадъчна и презряна форма.
В книгата реално е разгърнато сравнение на античната и западноевропейската култура, докато сведенията за останалите се ползват за илюстриране на отделни моменти. Натрапчивият мотив е, че европейската култура, започнала в 10 век, е преминала своя апогей след около осем столетия и сега изживява своя край.
[...]
„Залезът на запада“ заедно с „Прусачество и социализъм“ и „Човекът и техниката“ формират своеобразна трилогия.


== Бележки ==


== Вижте също ==
Изследване на историята
Сблъсъкът на цивилизациите и преобразуването на световния ред


== Външни препратки ==
немски оригинал (онлайн)
английски превод (онлайн);",bg,Култура,ordonné,https://bg.wikipedia.org/?curid=327551,680,
136045.0,Либертинство,"и етични норми на по-голямата част от обществото. Тази философия е най-силно разпространена във Франция и Англия през 17, 18 и 19 век, но остава непредставителна на приетата норма за това време. Малобройните и често тенденциозно антисоциални групи скандализират с идеологията си и сексуалното си поведение моралистите и са отхвърляни като противостоящи на обществената структура и правила. Либертинските автори и техните произведения, отличаващи се с твърде остра откровеност спрямо преобладаващите литературни конвенции, са обвинявани в порнография, опасен атеизъм или и в двете. == История == === 17 век === Напредъкът в науката, географските открития, и хуманистичните учения на Античността стимулират появата през XVII век на нов тип философи, които оспорват доминиращата аристотелова схема на мислене и се обръщат към скептичните, изпълнени с въпроси и съмнения учения на Демокрит, Епикур и Лукреций и към философията, която акцентира върху естествените, природни закони. Тези мислители, дистанциращи себе си от догмите на Църквата, са наречени либертинци. Според един от най-острите им критици – йезуитският свещеник Гарас – за тях не съществува „божествена или доминираща сила, различна от природата, в чието име човек е длъжен да задоволи всичко, което тялото и душата искат от него“. Сред либертинските мислители от XVII век проблемът за еротизма остава страничен, но Църквата заклеймява материалистичния принцип на учението им като предпоставка и причина за сексуална разпуснатост. Еротизмът и либертинството са разглеждани като взаимозаменими и на тях се гледа като реална опасност, застрашаваща моралните устои. ==== Либертинската литература в 17 век ==== През 1623 г. „с кралско одобрение“ е публикувана колекция от стихове „Парнас на сатиричните поети“, чийто първи и скандален сонет се приписва на един от най-изтъкнатите драматурзи на епохата Теофил дьо Вио, известен още с критиката си към Църквата, брака и други социални институции. Поетът е обвинен в поквара, безбожност и содомия. Дьо Вио отрича участие в изданието и призовава за съд над неговите съставители, но вместо това сам е арестуван. Осъден на изгаряне на клада, той успява да избяга, но при опита си да напусне страната, е заловен повторно. Следва дълъг процес, две години затвор и окончателно прогонване. Година по-късно, едва на 36, дьо Вио умира в Париж вследствие на лошото отношение в затвора и изтощителния си начин на живот. Процесът срещу него води до още по-стриктно ограничаване на еротичната литература и следващото издание на Le Parnasse des Poètes satyriques е публикувано нелегално. През XVII век Мишел Мило пише „Училище за момичета или философията на дамите“ (L’École des filles ou la Philosophie des dames). Романът, написан като диалог между две жени, отрича общоприетия морал и защитава етиката на удоволствието. Друга влиятелна творба с подобни идеи е Aloysia или „Диалозите на Луиза Сигея“, написана на латински от Никола Шорие през 1660 година. Сюжетът е концентриран около темите за различните сексуални пози, голотата в изкуството, „неестественото“ сексуално желание, важността на дрехите за прелъстяване и секса в и извън брака. Прелъстителят Дон Жуан се появява за първи път през 1630 година в трагедията на Тирсо де Молина „Севилският измамник"" (El burlador de Sevilla), а по-късно в „Дон Жуан, или Каменният гост“, (1665) (Dom Juan, ou le festin de pierre) на Жан-Батист Молиер. === 18 век === Сексуалното престава да се асоциира с греховното и подобно на античността е разглеждано като знак за хармония между тялото и природата. Либертинството се появява първо сред финансово независимата аристокрация като възможна реакция срещу намаленото ѝ влияние под засилената власт на монарха. Съблазняването на непокорните, победата над женската съпротива е възприемано като по-важно от самия сексуален акт. Удоволствието на мъжа и жената са разглеждани като равни по важност, а егоистичният съблазнител – като отвратителен и недостоен. Обвързването с един обект за либертинеца е постоянно самоограничение. ==== Либертинската литература в 18 век ==== Други книги от този период са Thérèse philosophe, написана през 1748 г. както и творбите на Маркиз дьо Сад – „Философия в будоара“ и „120-те дни на Содом“ и „Опасни връзки“ на Шодерло дьо Лакло (1782). Свободомислието и сексуалната освободеност в тези творби води до изземането и изгарянето им. === 19 век === Първата половина на XIX век: либертинството постепенно изчезва вследствие на промените в социалната структура, политиката, икономиката, индустриализацията и урбанизацията. Това води до утвърждаването на средната класа и връщането към морала. Ако либертинството говори за вечно търсещия прелъстител, то буржоазните текстове връщат образа на отчаяния любовник. Пуританското отношение към живота се приема от буржоазията като добродетел, свободната любов се тълкува като разврат. Според някои изследователи, сексуалните инстинкти се превръщат в основна тема на XIX век и са представяни като социална опасност, от която човек може да се спаси единствено в утвърдените граници на брака. Идеализира се образът на съпругата и майка, незасегната от порочно желание. Отречените от Църквата и заклеймени сексуални практики са преименувани в медицински и психически разстройства. От нормативна гледна точка правилно е само репродуктивното използване на брака, всеки друг акт е срещу природата. Едни от книгите, написани в този период са „Мадам Бовари“ на Гюстав Флобер (1856) и „Земя“ на Емил Зола, и двете посрещнати с протести и противоречия. === 20 век === Цензурата продължава да се налага и през миналия век над книги като „Любовникът на лейди Чатърли“ на Д. Х. Лоурънс (1928) или „Песента на червения рубин“ на норвежкия автор Агнар Микле през (1957). През 60-те години на 20 век с разрастването на хипи културата, „свободната любов“ донякъде реабилитира еротиката. === Либертинството днес === През твърде дългия период от античността до втората половина на миналия век, когато в Европа доминиращ е християнският морал, единственото по-значимо и осмислено противопоставяне е либертинството на XVIII век. Недостатъчно познато и разисквано като явление, то е известно по-скоро със своите конкретни представители, сред които Казанова, Лакло, Маркиз дьо Сад и Рочестър. Днес либертинството съществува в несъмнено различна форма – тази на дистанцирането от егоистичното желание и незачитане на партньора. Най-важната идея е признаването на другия, неговото право на удоволствие, реализирано при равнопоставеност в двойката. Либертинската философия често е разглеждана като противоположност на християнския морал. == Известни либертинци == Възстановяването на монархията в Англия през 1660 г. под управлението на Чарлс II разгръща либертинската практика сред дворяните. След връщането си от изгнаничество във",bg,Култура,aléatoire,https://bg.wikipedia.org/?curid=136045,1000,
315307.0,Правна култура,"Правната култура, срещаща се понякога и като Правова култура (макар двете понятия да не се припокриват напълно) е неразделна част от цялостната култура на обществото и индивида. Правната култура се базира на общите начала, изначалните принципи на правото и на ценностната система на общество, като е отражение на цивилизационното ниво на развитие и начина на мислене на хората. Правната култура е и историческа и религиозна категория.
Формирането на правната култура не е самостоятелен процес от развитието на другите култури – политическа, морална, естетическа, и е сложен въпрос. Всички тези култури са обединени от общи предизвикателства - създаването на такъв устойчив морален и правен климат в обществото, който да гарантира истинска свобода на поведението на индивида, която в съчетание с обществената отговорност, да обезпечи правата, социалната закрила, зачитането на човешкото достойнство, т.е. да постави интересите на човекът-гражданин в центъра на икономическия, социалния, политическия, културния живот на обществото, съобразно принципните положения на хуманизма от времето на Ренесанса (виж Ecce Homo).
Правната култура е тясно свързана с понятието за правно съзнание. Тя е присъща на демократичните страни и общества. Системата на социалистическото право в бившите социалистически страни дискредитира и унищожи в голяма степен правното съзнание и чувството за правова държава, а оттук и изгражданата от преди настъплението на марксизма-ленинизма правна култура в населението.
Правото също е продукт на културата на обществото. Правната култура на страните и обществата в съвременната епоха се формира под влиянието на ренесанса и класицизма по времето на Просвещението, като главната цивилизаторска роля в този общоевропейски процес е на абсолютистка Франция (виж разделение на властите и Шарл Монтескьо; обществен договор и Жан-Жак Русо).
Правната култура има две съвременни значения и звучения:

правна култура на обществото;
правна култура на личността,
като някои автори различават и разграничават от тези две базови понятия и

правна култура по социални групи.
Терминът „правна култура“ е продукт на социологията от 60-те и 70-те години на XX век. По принцип правните култури на страните се определят от степента на изграждане на правова държава и спазване върховенството на закона.


== Източници ==
((es)) EL SABER DOGMATICO EN NUESTRA CULTURA JURIDICA Архив на оригинала от 2009-08-30 в Wayback Machine.


== Вижте също ==
Френска правна школа
Немска правна школа
Стара Европа",bg,Култура,aléatoire,https://bg.wikipedia.org/?curid=315307,362,
121776.0,Народопсихология,"Народопсихологията  е наука за психическите явления и процеси, характерни за обособените исторически, политически, културно, териториално, езиково и религиозно, самоосъзнати и самоопределящи се народи или нации.
Включва в своя научноизследователски комплекс множество принадлежащи към различни науки методи и проблеми на изследване, като исторически, културни, демографски, психологически, социални и редица други процеси. По тази причина до известна степен е спорно положението на народопсихологията като самостоятелна наука или система от методи за проучване на определени проблеми, сред които изпъкват народна/национална душевност и народен/национален характер.


== Източници ==

Народопсихология, Лекция по Психология – Pomagalo.com</ref>Народопсихология, лекция


== Вижте също ==
Петър Мутафчиев
Иван Хаджийски
Марко Семов
 Портал „Психология“",bg,Култура,aléatoire,https://bg.wikipedia.org/?curid=121776,103,
132073.0,Следа,"Следа (или диря) на български език е обобщаващо понятие за оставен отпечатък или знак върху заобикалящата среда след случило се събитие. Пример за следи са вдлъбнатините, които човешкият крак оставя върху мокър пясък при ходене. Животните също оставят следи, които помагат на ловците при издирването им.
Думата следа може да бъде използвана както в пряк, така и в преносен смисъл. Учен, писател, или художник може да остави следа (диря) в световната наука и култура с произведенията си.
В медицината терминът следа означаващ наличие на микроскопични количества вещества, елементи или химически съединения във физиологични течности, се използва при диагностиката на някои заболявания – напр. при диабет – следи на ацетон в урината.


== Следи от древността ==

Сред запазените следи от древността са така наречените вкаменелости (фосили), които предствляват отпечатъци на растения, животни и други организми от праисторически времена, оставени върху скали или глина. Те са с различна големина и на различна възраст, но не са твърде срещано явление, поради което играят изключително важна роля в науката и понякога са единственият източник на информация за определени видове.
Други такива следи са петроглифите – издълбани в скалите картинки, обикновено оставени от древни племена. Могат да бъдат намерени почти навсякъде по света, като най-старите са отпреди 10 – 12 хил. години. Няма единно мнение по въпроса за тяхното предназначение, но съществуват различни теории, включително астронимични знаци, описание на жертвоприношения, писменост и изкуство.


=== Известни следи от миналото ===
Следи, оставени от човешки крак върху скала в Кейп Таун (Cape Town), Южна Африка, открити през 1997 г., на възраст около 117 хил. години.
Човешки следи във вулканична скала, намерени през 1978 г. в Лаетоли (Laetoli), Танзания, на възраст около 3,6 млн. години.
Запазена следа (фосил) на скелет на малък динозавър с пера, Золнхофен, Германия, открит през 1861 г.
Вкаменени дървета: сред най-известните места по света, където могат да се видят, са Аризона, САЩ, остров Лесбос, Гърция, и Санта Крус, Аржентина.


== Следи в криминалистиката ==
Играят изключително важна роля в работата на следователите и детективите при разследване на престъпления. Тези, които могат да се превърнат в улики или веществени доказателства, предствляват отпечатъци от различни подметки, пръсти, гуми на автомобил, или вещества от биологичен произход, като остатъци от кръв, урина, кости и зъби (т.нар. хомоскопни следи).
Следите, оставени на местопрестъплението, спомагат за идентифициране на лицето (на базата на ДНК), заподозряно да е извършило убийство, изнасилване или грабеж, или поне за установяване на възрастта и пола на лицето, както и за изясняване на важни обстоятелства по делото, като мотиви и начин на извършване (на латински Modus Operandi).
В България изследвания от този тип се извършват в центровете по съдебна медицина в страната, както и в сектор „Съдебна медицина“ при Министерството на отбраната и в Научноизследователския институт по криминалистика и криминология (НИКК) към МВР.


== Следи в науката ==


=== Кондензационна следа ===
Кондензационна следа (понякога неправилно наричана „реактивна следа“) е следата, която летателен апарат оставя след себе си на небето при голяма скорост и височина.


=== Следа на матрица ===
В математиката (по-точно линейната алгебра) под „следа на квадратна матрица“ се разбира сборът от елементите на главния диаганол. Съществува също така и понятието „следа на тензор“.


== Следи, свързани с митове и легенди ==

Някои следи, знаци и отпечатъци все още нямат научно обяснение, което става причина за създаването на митове и легенди за техния произход и превръщането им в туристическа атркция. Примери за това са:

Отпечатък от ходилото на Буда с изобразени различни символи на него. Намерени са няколко такива от I – II век.
Следи от стъпките на Дявола – появили се в Англия през 1855 г. след снеговалеж през нощта, всяка стъпка е с еднаква големина и на еднакво разстояние от предишната. Дирята е дълга 150 – 160 км и следва права линия.
Отпечатъци от ходилата на Исус Христос в църквата Domine Quo Vadis, в близост до Рим.


== Следи свързани с културата и традициите ==

Редица произведения на изкуството са посветени на следите, като може би най-известното от тях е стихотворението „Следи“. Романът на Павел Вежинов „Следите остават“, романът на Патриша Корнуел „Следа“, анимационният филм по приказката на братя Грим „По следите на бременските музиканти“ и „Следите на Сокола“ (игрален филм от 1968 година) са само част от тях.
Отпечатъци от краката и ръцете, а в някои случаи очилата, пурите, дори пистолетите на около 200 известни личности – певци, артисти и спортисти – са оставили следи в цимента пред Китайския театър в Лос Анжелес, основан през 1927 г. Това се е превърнало в традиция и се счита за знак на чест и признание.


== Вижте също ==
Знак
Отпечатък
Фосил
Улика
Следотърсач


== Външни препратки ==
Лаетоли
Филм за антрополога Лудвиг Кол-Ларсен (Ludwig Kohl-Larsen) Архив на оригинала от 2016-03-03 в Wayback Machine.
Золнхофен, Германия
Снимки от вкаменената гора в Аризона, САЩ
Списък с имената на звездите пред Китайския театър в Лос Анджелис Архив на оригинала от 2007-03-06 в Wayback Machine.",bg,Култура,aléatoire,https://bg.wikipedia.org/?curid=132073,808,
