pageid,title,text,language,category,type,url,token_count,page_id
8758.0,Sonderaktion 1005,"Операций 1005 (немычла Sonderaktion 1005), тыгак ""эксгумаций операций"" —  Кокымшо тӱнямбал сар годым нацист Германийын Рейнхард операций годым миллион наре еҥым пуштмо кышам петырашлан эртен. 


== Тӱҥ увераҥар ==

Операций 1942 гыч 1944 ий марте шолып, концентрационный лагерьыште шинчыше-влак дене эртен. Нуно тушкан тойымо шугарлам почеден колышо капым йулалтеныт. Тыгай пашаче группо-влакым официально ""Колышо команде"" лумденыт. Нуно зондеркоманде 1005-ын ужашыже лийыныт. Куржын ынышт керт манын, пашам чеп дене йолыштен ыштыктеныт. Операций почеш СД команде да порядкым эскерыше полиций эскерен.


== Эртымгорно ==

1942 ий уярня тылзын СС обергруппенфюрер Рейнхард Гейдрих операций 1005 тӱҥалаш СС штандартенфюрер Пауль Блобельлан куштымашым пуен. Но тудым тӱҥалаш пеледыш тылзын 1942 ийыште Гейдрихым пуштмо событий мешаен. ""Антропоид"" операций годым тудым УСО чехийысе агент-влак пуштыныт. Сурем тылзе мучаште Гестапо вуйлатыше СС группенфюрер Генрих Мюллер Блобельлан операцийым тӱҥалаш эше ик куштымашым пуен. Тудо жапыште тӱҥ шонымашлан еврей-влакым пуштедыме да тойымо кышам шылтыме лийын, операций тыгак моло нацист-влакын айнзатцтӱшка-влакын пуштедымашым шылташ эртаралтын.
Блобель тиде операцийым Хелмно воктене тӱҥалын. Но эксгумироватлыме колышо кап-влакым пытараш чукталтше бомба-влакым кучылтмо йӧн нимо сайым конден огыл. Тул воктенсе чодырашке куснен. Пайдале сай йӧнлан кӱртньӧ решоткашке але кӱртньыгорно рельсыш колышо капым да пум почела оптен нуным йӱлалтымаш шотлалтын. Йӱлымо деч вара кодшо лу фрагмент-влакым лӱмынак тыгыдемдыше машина гочын колтеныт да лакыште тоеныт.
Операций официал Собибор концлагерьыште тӱҥалын. Колышо команде тӱшкан тойымо шӱгарла гычын колышо кап-влакым луктеден йӱлалтен. Тиде пашам пытарымеке пашазе-влакым пуштыныт. 1942 ий теле тылзын операций Белжец концлагерьыш куснен, вара Треблинкыш. Ну а теве Аушвиц, Берген-Бельзен лдагерьлаште тиде операций эртаралтын огыл. Тушто шке крематорий лийын. Заключенный-влакым вигак йӱлалтеныт.  
Операций 1005 тыгак 30-шо ийлаште нацист-влакын еврей-влакым тӱшкан пуштмо верлаште эртен. Тиде Бабий Яр ден 9 форт лагерьлаште. 1944 ийыште Йошкар Армийын наступленийлан кора, СС обергруппенфюрер Вильгельм Коппе Генерал-губернаторство кумдыкысо 5 областьыште посна 1005 группо-влакым чумыраш шуден. Но нине группо-влакын пашашт мучаш марте каен шуктен огыл. Совет Армий концлагерь верлашке толын шуктен.",mhr,Эртымгорно,ordonné,https://mhr.wikipedia.org/?curid=8758,306,
,"Николаев, Владислав Алексеевич","Владислав Алексеевич Николаев, калыкыште Влад Николаев семын палыме (1970 сӱрем 14) — марий мурызо, семлызе, бард, Марий Эл Республикысе тӱвыран сулло пашаеҥже.


== Илыш корно ==
14 июль 1970-ше ийыште Пошкырт Элысе Мишкан кундемысе Озерки ялеш шочын. 1996-1997 ийлаште Калтаса селасе РДК-те художественный вуйлатышылан тыршен. Творческий корныжо 1997 ийыште тӱҥалын. Тиде ийынак «Чолман йӱк» фестивальын дипломантше лиеш. 1997 ийыште республикысе Тӱвыра да сымыктыш колледжыш эстраде отделенийыш тунемаш пура. 
Тунемме жапыштак Я.Эшпай лӱмеш филармонийыште пашам ышташ тӱҥалеш. 1999 ийыште регион кокласе «Ший памаш» фестивальын Гран-прим сеҥен налеш. 2001 ийыште Тӱвыра да сымыктыш колледжым артист-вокалист, эстрадный ансамбльым вуйлатыше специальность дене тунем пытара да Искандаров лӱмеш марий капеллыште пашам ышташ тӱҥалеш. 2004 ийыште Марий тӱвыра рӱдер пелен марий «Югорно» бард клубым чумыра. 2005-2010-шо ийлаште Шке семын мурышо-шоктышо-влакын «Югорно» мер организацийын Президентше. 


== Чапым сулымаш ==
2004 ийыште Олык Ипай лӱмеш кугыжаныш премийын лауреатше.
2015 ийыште Марий Эл Республик Вуйлатыше Л.И.Маркеловын Кӱштыкшӧ почеш Влад Николаевлан Марий Эл Республикысе тӱвыран сулло пашаеҥже лӱмым пуымо.",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=24838,159,24838.0
,"Степанов, Альберт Николаевич","Альберт Степанов (Альберт Николаевич Степанов) (1937 теле 10, Марий АССР, Морко кундем, Нурӱмбал ял — 12 пургыж 1967, Морко ола сынан посёлко) — марий серызе, почеламутчо, журналист, мурызо.


== Илыш корныжо ==
Альберт Степанов 1937 ийын теле тылзын 10-шо кечынже Марий АССР Морко кундем Нурӱмбал ялеш кресаньык ешеш шочын.


== Тӱҥ произведенийже-влак ==
Илыш кумыл : почеламут-вл. [Желание : стихи]. Йошкар-Ола, 1963. 44 с.
Сур шинелян рвезылык : почеламут-вл. [Молодость в серой шинели : стихи]. Йошкар-Ола, 1966. 52 с.
Ораде кече : ойлымаш // Ончыко. 1969. № 4. С. 95—98.
Колымшо курым : почеламут-вл. [Двадцатый век : стихи]. Йошкар-Ола, 1970. 76 с.
Шочмо ялем ; Моркышто кас ; Морко, Морко... ; Вашке-е-ем! ; Илыш ; Айста, каена ; Лум ; Шонымаш ; Авамлан ; Поэт мӧҥгыштӧ : почеламут-вл. // Кугарня. 1994. 7 янв.
Шошо эртыш воктечем... : почеламут аршаш // Марий Эл. 1996. 20 дек.


== Руш йылмыш кусарыме произведенийже-влак ==
Молодость ведет ; В разгаре осени ; Зима в степи ; Воробьи ; Лето : стихи / пер. А. Пряникова, В. Панова // На земле марийской. Йошкар-Ола, 1967. С. 121-128.
В разгаре осени // Под этим красным солнышком. Таллин, 1977. С. 145.
Журналист ; Весной ; Июль ; Лето : стихи / пер. В.Панова, С.Макарова//Дружба. Йошкар-Ола, 1982. С. 141 — 144.
В разгаре осени ; Молодость зовет ; Журналист ; Весной ; Июль ; Лето : стихи // Соловьиный родник. Йошкар-Ола, 1984. С. 267—274.


== Илышыже да творчествыже нерген литератур ==
Колумб В. Х. Поэт — салтак, поэт — патриот // Ончыко. 1970. № 1. С. 69-71.
Исенеков В. Поэзий шулдырышто// Марий коммуна. 1970. 15 март.
Писатели Марийской АССР : биобиблиогр. справочник. Йошкар- Ола, 1976. С. 264-265.
Александров А. Кеҥеж йӱд // Марий коммуна. 1988. 19 июль. Галкин К. Ыле полмезе, кӧрандарыше рвезе // Ончыко. 1991. № 3. С. 103-113.
Николаев С. Тичмаш муран Альберт Степанов // Мутын нелыже да ямдыже. Йошкар-Ола, 1993. С. 59—67.
Галютин-Ялзак Ю. Толза Альбертын поэзий пайремышкыже! // Кугарня. 1994. 7 янв.
Галютин Ю. Марий Элын ыле тыгай эргыже // Марий Эл. 2000. 1 июль.
Манаева-Чеснокова С. Поиск новых форм авторского самовыражения в поэзии Альберта Степанова // Художественный мир современной марийской поэзии. Йошкар-Ола, 2004. С. 15—22.
Регеж-Горохов В. Поэт веле огыл, эше — композитор! // Ончыко. 2006. № 11. С. 107-110.
Егоров В. Йӱлен кайыш Почаншӱдырла // Марий Эл. 2007. 26 дек. Абукаев-Эмгак В. Сурт олмо — шарнымаш вер // Марий Эл. 2007. 1б окт.
МБЭ. Йошкар-Ола, 2007. С. 347.


== Литератур ==
Марийская биографическая энциклопедия : 3849 имен в истории Марийского края и марийского народа / авт. и рук. проекта В. Мочаев. - Йошкар-Ола, 2007. С. 347.
Писатели Марий Эл: биобиблиографический справочник / сост.: А.Васинкин, В.Абукаев и др. — Йошкар-Ола: Марийское книжное издательство, 2008. — 752 с. С. 601-603.",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=3571,455,3571.0
,"Токташева-Виноградова, Эльвира Александровна","Эльвира Токташева, Эльвира Токташева-Виногорова (Эльвира Александровна Токташева-Виногорова) (1985 пеледыш 11, РСФСР, Марий АССР, Морко кундем, Морко ола сынан посёлко) — марий мурызо, Марий Эл Республикысе Олык Ипай лӱмеш Кугыжаныш самырыктукым премийын лауреатше (2012).


== Илыш корныжо ==
Эльвира Токташева 1985 ийын пеледыш тылзын 11 кечынже Морко ола сынан посёлкышто шочын. Палантай лӱмеш тӱвыра да сымыктыш колледжыште тунем пытарымек каклык усталык рӱдерыште тыршаш тӱҥалын. Чӱчкыдын Марий Эл, Пошкырт Эл, Суас Эл, Киров вел да моло марий кундемлаште эртыше концертыште шуаралтеш. 


== Еш ==
Марийже – Владислав Виногоров.
Эргыже – Максим.


== Муро паша ==
Эльвира Токташева шкет мурымыж дене чапланен. Но дуэт-влакымат чоҥен, тыге, Роза Искакова да Александр Речкин дене пырля мурымыжо сайын палыме улеш.


== Марий Эл Радиошто йоҥгалтше мурыжо-влак ==
Авай, семже – Сергей Николаев, мутшо – Юрий Григорьев
Илыш корно, семже – Жаудат Гильманов, мутшо – Светлана Григорьева
Йӧратымем, семже – Жаудат Гильманов, мутшо – Ольга Дмитриева
Кеҥеж йӱр, семже – Вячеслав Осипов, мутшо – Владимир Иванов
Кече лектеш ончалеш, семже да мутшо – калыкын
Май ужар мыжерыште, семже да мутшо – Михаил Кузнецов
Морко пазар, семже да мутшо – калыкын
Олмапу, семже – Эрик Сапаев, мутшо – Семён Вишневский
Поро кас, семже да мутшо – Михаил Кузнецов
СМС салам, семже Василий Якимов, мутшо – Эльвира Куклина
У ий вальс, семже – Олег Герасимов, мутшо – Семён Николаев
У ий модыш, Александр Речкин дене пырля, руш гыч Светлана Григорьева кусарен
Шкетын эртен, семже да мутшо – Михаил Кузнецов
Шочмо кече, Роза Искакова дене пырля, семже да мутшо – Михаил Кузнецов


== Чап ==
 Марий Эл Республикысе Олык Ипай лӱмеш Кугыжаныш самырыктукым премий (2012) .


== Кылвер-влак ==
Эльвира Токташева-Виногорова | ВКонтакте.(руш)
Тексты песен Elvira Toktasheva.(руш)
Эльвира Токташева | YouTube.
Поет Эльвира Токташева на Мари пати 25 02 2017 | YouTube.
Пеледыш пайрем – 2014. Эльвира Токташева | YouTube.


== Важ-влак ==",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=8265,303,8265.0
,"Искакова, Роза Евгеньевна","Роза Искакова (Роза Евгеньевна Искакова) (1984 кылме 14, Удмурт АССР, Грак кундем, Вожай ял) — марий мурызо, Марий Эл Республикысе Олык Ипай лӱмеш Кугыжаныш самырыктукым премийын лауреатше (2012).


== Илыш корно ==
Розан ачаже, Евгений Михайлович, поро тыланымаш деч вара мыскара кумылжым рудыш да тыге каласыш: «Мемнан йомын коштшо ӱдырна (Роза Марий Элысе И.С.Палантай лӱмеш тӱвыра ден сымыктыш колледжыште эстрада отделенийым тунем пытарымыж деч вара Йошкар-Олашак кодын – Авт.) кугезе коча-коважын мландышке толын лектын. Тугеже келшымаш кӱвар гоч вончаш ындемоло самырык-влакланат корно почылтеш». Ты шомак деч вара веҥыжлан «Удмуртия» манын возыман калпакым упшалтыш. Вара уста гармонист кидышкыже йӧратыме семӱзгаржым нале да шке велсе сылне марий такмак-влакым шуйдарыш, чылан «Кандырам» пуналтышт. Розан аважат, Алевтина Дмитриевна, моткоч тыматле кумылан ӱдырамаш. Арам огылӱдыржӧ тудлан пӧлеклалтше «Кузе илет, авай?» мурым концерт репертуарышкыжат пуртен. Роза Искакован школ годсо йолташ ӱдыржӧ-влакат, Варя Малкова ден Лена Иванова,ӧрыктарыше пӧлекым, пушкыдо коваште гыч ургымо кугу модыш маскам, кучыктышт. Нуно школым пытарымышт деч вара «Кумыньышт кокла гыч кӧ ондак марлан лектеш, тудлан пӧлек лиеш» манын ӱчашеныт улмаш. 
Роза Искакован Снежана акаже, Миша шольыжо да Олеся шӱжарже улыт. Нуно чыланат ваш келшен илат. Теве Олесяже ынде Йошкар-Олашке куснен, тудо МарГТУ-н студенткыже.Фермер ешыште кушшо икшыве-влак пашалан кожмак да писе улыт, вет ялысе еҥынчолга да тунамак поро кумылжо вигак шинчалан перна. 
Игорь Ксенофонтов Йошкар-Оласе газлан вуйын шогышо ик предприятийыште тырша, ешыште кугырак эрге. Эше Алёша шольыжо уло, тудо шукерте огыл армий гыч толын. Ачаже, Родион Владимирович, военный, ятыр гана Чечня мландыште порысшым шуктен, аваже, Татьяна Леонидовна -суртоза вате. Тудо Роза шешкыжым моткоч пагала. Кажне гана концертышке вашка да чонжо дене йывырта. Роза Искакова кызыт Республикысе Калык усталык да тӱвыра ден каныме пашан наука-методика рӱдерыште тырша, тыгак МарГУ-што заочно тунемеш.


== Кылвер-влак ==
Искакова Роза Евгеньевна(руш)",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=13313,282,13313.0
,"Пушкина, Наталья Васильевна","Наталья Пушкина (Наталья Васильевна Пушкина) (1979 идым 18, РСФСР, Марий АССР, Морко кундем, Марий Кужер ял) — тӱвыра, мер да политик пашаеҥ, Марий Эл Республикысе Олык Ипай лӱмеш Кугыжаныш самырыктукым премийын лауреатше (2006), Марий Эл Республикысе тӱвыран сулло пашаеҥже (2020). Марий Мер Каҥаш-ын йыжъеҥже (2008 ий гыч), «Республикысе Марий тӱвыра рӱдер»-ын директоржо (2015 ий гыч), Марий Эл Республикын шымше созыв Кугыжаныш Погынжын депутатше (2019 ий гыч). 


== Илыш корныжо ==
Наталья Пушкина 1979 ийын идым тылзын 18-ше кечынже Морко кундем Марий Кужер ялеш шочын. Визымше классыште тунеммыж годым ешыж дене пырля пошкудо Ердӱр ялыш илаш куснен, санденак, южгунам Наташа Пушкинан шочмо верже семын Ердӱр ялым возат.
2004 ийыште – Н.К. Крупская лӱмеш Марий кыжаныш педагогике институтым «Марий йылмым да литературым, руш йылмым да литературым туныктышо» специальность дене тунем лектын.
2015 ийыште – Марий кугыжаныш университетым «Филологий магистр» специальность дене тунем лектын.
2018 ийыште – Поволжский кугыжаныш технологический университет-ым «кугыжаныш да муниципал управлений» специальность дене тунем лектын.
1997 – 1999 ийла – Йошкар-Оласе 16-шо №-ан Чоҥышо управленийын штукатур-малярже.
2004 – 2005 ийла – Н.К. Крупская лӱмеш Марий кыжаныш педагогике институтын кадр отделын специалистше.
2005 – 2015 ийла – «Марий Эл Радио»-н тӱҥ редакторжо.
2008 ий гыч – Марий Мер Каҥаш-ын йыжъеҥже.
2015 ий гыч – Марий Элысе «Республикысе Марий тӱвыра рӱдер»-ын директоржо.
2019 ий гыч – Марий Эл Республикын шымше созыв Кугыжаныш Погынжын депутатше.
Наталья Пушкина «Саскавий» ӱдырамаш ушемын йыжъеҥже. «У вий» самырык-влакын ушемыштлан негызым пуышо-влак коклаште лийын. Марий КВН-ым лач тудак шке йолташыж-влак дене пырля тӱҥалын. У семын шонымыж дене марий концерт да дискотеке-влаклан у шӱлыш дене у сыным пуэн, у формат-влакым тӱвыра мероприятий-влаклан темлен. Тыгак, икымше марий мюзиклым тудын сценарийже почеш шындыме.


== Тукымлӱм нерген ==
Тукымлӱмжым ачаж деч налын, ачаже – коваж деч. Ачаже интернатыште кушкын, тушто тудым кован фамилийже почеш возеныт. Марлан лекмыж деч вара тудо Эстонийыш стажировкыш ик ийлан кайышаш лийын. Чыла кагаз-влакым ӱдыр фамилийжылан возеныт, сандене, ЗАГС-ыште шке фамилийжым вашталтен огыл. Йошкар-Олаш пӧртылмыжо деч вара ты фамилий денак кодын.


== Муро-влак ==
Наташа Пушкина мурызо семын шуаралтын. Чыныжым, тиддеч ончычат ятыр муро-проектлаште йӱкшым колышташ йӧн лийын, но 2010 ий гыч сольный проектшым тӱҥалеш. 2012 ий гыч эше «Волгыдо» эстраде муро ансамбльым чумыра, тудын дене пырля гастрольлашке коштеш. Дмитрий Чайников, Володя Матвеев дене пырля мурым возеныт.


== Дискографий ==
«Йоча муро» – кок дискан йоча-влаклан пӧлеклалтше муро-караоке проект.


== Еш ==
Ачаже – Пушкин Василий Михайлович, агроном, ферме вуйлатыше.
Аваже – Пушкина Нина Николаевна, бригадир, клуб вуйлатыше.
Пелашыже – Чемышев Андрей Валерьевич – шанчызе, компьютерный лингвист, ЙСИШМИ-н шанче пашаеҥже.
Ӱдыржӧ – Эрвина (2019).


== Чап ==
 Марий Эл Республикысе Олык Ипай лӱмеш Кугыжаныш самырыктукым премий, «Марий Эл Радио»-н коллективше: Карпов Сергей Владимирович, Кожевников Александр Геннадьевич, Чемешева Марина Витальевна, Якаева Ирина Геннадьевна дене пырля «Марий йӱла» («Марийские обычаи»), «Марий географий» («Марийская география»), «Семсалма» («Музыкальный диск»), «Мыскара йӧрвар» («Юмористическая заварушка»), «Тукым вож» («Корни») цикл передаче-влаклан» (2006).
 Марий Эл Республик Виктерын Чапкагазше.
 Марий Эл Республикысе тӱвыран сулло пашаеҥже «Марий тӱвырам вияҥдымашке надырлан да шуко ий пашам тыршен ыштымылан» (2020).


== Кылвер-влак ==
Пушкина Наталья Васильевна | Государственное Собрание Республики Марий Эл.(руш)
Пушкина Наталья Васильевна | Марий Мер Каҥаш.
Наташа Пушкина | ВКонтакте.(руш)
Пагалымашым ача-ава огыл, а паша пуа | Кугарня.


== Важ-влак ==",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=12935,524,12935.0
,Theatres des Vampires,"Theatres des Vampires (французла Вӱрйӱшӧ Театр) — итальян vampiric gothic-metal тӱшка.


== Эртымгорно ==


== Состав ==
Fabian Varesi — полдышоҥа, бэк-вокал (1997 ий гыч)
Gabriel Valerio — тӱмыр-влак бэк-вокал (1997 ий гыч)
Zimon Lijoi — бас-гитара, бэк-вокал (1997 ий гыч)
Sonya Scarlet — мурызо (1999 ий гыч)
Stephan Benfante — гитара (2006 ий гыч)


=== Ончысо участник-влак ===
«Lord Vampyr» (Alessandro Nunziati) — вокал (1996—2004)
«Justine» (Consuelo) — ӱдырамаш вокал (1999 ий гыч) The Vampire Chronicles альбом гыч  Suicide Vampire марте
«Agaharet» (Enrico De Dominicis) — тӱмыр Nosferatu, Eine Simphonie Des Grauens
«Incubus» (Alessandro Pallotta) — гитара (1999—2002)
«Strigoi» — гитара (1999—2001)
«Mortifer» — гитара (2001)
«Morgoth» (Robert Cufaro) — гитара (2002—2006), полдышоҥа Nosferatu, Eine Simphonie Des Grauens.


=== Уна участник-влак ===
Gian Pyres (John Piras) — гитара Vampyrìsmeальбомыште
Valor (Christian Death) — бэк-вокал Vampyrìsmeальбомыште
Flegias (Necrodeath, Cadaveria) — бэк-вокал Pleasure And Pain альбомыште
Dhilorz (Ancient) — бэк-вокал Pleasure And Pain альбомыште
Nicholas (Ensoph) — бэк-вокал Pleasure And Pain альбомыште
Giampaolo Caprino (Stormlord) — бэк-вокал Pleasure And Painальбомыште
Hanna Kej — ӱдырамаш бэк-вокал да Anima Noir альбомыште текстын авторже
Luca Bellanova (Luca Bellanova’s Project, Starkiller sound) — бэк-вокал да Anima Noir альбомыште текстын авторже
Christian Ice (Agony, Prophilax, Aborym, Inner Void) — бэк-вокал да Anima Noir альбомыште текстын авторже


== Дискографий ==
1994: Nosferatu, Eine Simphonie Des Grauens
1996: Vampyrìsme, Nècrophilie, Nècrosadisme, Nècrophagie
1999: The Vampire Chronicles
2001: Bloody Lunatic Asylum
2001: Jubilaeum Anno Dracula
2002: Suicide Vampire
2003: The (Un)Official History 1993—2003
2003: Vampyrìsme (Переиздание «Vampyrìsme, Nècrophilie, Nècrosadisme, Nècrophagie»)
2004: The Blackend Collection
2004: Nightbreed Of Macabria
2005: Pleasure And Pain
2006: The Addiction Tour (Live DVD)
2007: Desire Of Damnation
2008: Anima Noir
2011: Moonlight Waltz


== Кылвер-влак ==

Официал сайт
Theatres des Vampires MySpace-ыште
Theatres des Vampires Encyclopaedia Metallum сайтыште
Theatres des Vampires Vampire Freaks сайтыште
Theatres des Vampires Last.fm-ыште
Theatres des Vampires in French
Российысе фан-клуб",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=9173,311,9173.0
,Das Ich,"Das Ich — немыч тӱшка кудо Neue Deutsche Todeskunst, industrial да darkwave жанрыште модыт. Das Ich лӱм Зигмунд Фрейдын паша гыч налме (мутлан: Freud, Sigmund (1923), Das Ich und das Es), да тудын Эго термин дене чык кылым куча. Тӱшкан лейтмотивже - электрон семышке пыштыме экспрессионистский почеламут-влак. Концертыште шоктызо-влак гримым, декораций-влакым да театр шоуым кучылтыт.


== Состав ==

Штефан Акерманн (Stefan Ackermann) — вокал, текст-влак
Бруно Крамм (Bruno Kramm) — сем, инструмент-влак, бэк-вокал
Весе шоктызо-влак:

Таня Хан — 1989-1990
Андреас Зибльхофф — 1990-1993
Ансгар Ноэт — 1994-1995
Чед Блинман — 1994-1996
Даниэль Гальда (Skorbut тӱшкаш вара каен) — 1995-1999
Якоб Ланг — 1998-1999
Михаэль Шмид — 1999-2000
Нидий — 2000-2001
Каин Габриэль Симон — 2001-2006
Штефан Зигль — 2006-2007
Ринго Мӱллер — 2006-2007
Марти Зоффкер — 2007 — кызыт жап марте


== Дискографий ==
1990: Satanische Verse (EP)
1991: Die Propheten (LP)
1993: Stigma (MCD)
1994: Staub (LP)
1995: Feuer (Концертный LP)
1995: Die Liebe (LP)
1996: Das innere Ich (Саундтрек)
1996: Kindgott (MCD)
1997: Egodram (LP)
1997: Destillat (MCD)
1998: Morgue (LP)
1999: Re-Kapitulation (Сборник, УАШ)
2000: Re-Laborat (Ремикс-сборник)
2002: Antichrist (LP)
2002: Momentum (VCD/DVD)
2003: Relikt (Сборник)
2004: LAVA:glut (LP)
2004: LAVA:asche («Lava:glut» ремикс-сборник)
2006: Cabaret (LP)
2006: Variete («Cabaret» ремикс-сборник)
2006: Panopticum (DVD)
2007: Addendum (Сборник)
2008: Kannibale (EP)
2009: Die Propheten (LP, переизданий)
2011: Koma


== Кылвер-влак ==
Официал сайт
MySpace лаштык",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=9181,226,9181.0
,Rammstein,"Rammstein — немыч индастриал рок-тӱшка, кудым 1994 ийыште Берлин олаште ыштыме лийын.


== Состав ==
Тилль Линдеманн (Till Lindemann) — Мурызо да текст возышо.
Рихард Круспе (Richard Z. Kruspe) — Соло-гитара.
Кристиан Лоренц (Christian Flake Lorenz) — Полдышоҥа.
Пауль Ландерс (Paul H. Landers) — Ритм-гитара.
Оливер Ридель (Oliver «Ollie» Riedel) — Бас-гитара.
Кристоф Шнайдер (Christoph «Doom» Schneider) — Тӱмыр.


== Тӱшкалан полшеныт ==
Дарон Малакян (Daron Malakian) — гитара.
Альф Атор (Alf Ator) — Подышоҥа


== Дискографий ==
1995 — Herzeleid
1997 — Sehnsucht
2001 — Mutter
2004 — Reise, Reise
2005 — Rosenrot
2009 — Liebe ist für alle da
2019 — Rammstein
2022 — Zeit


== Кылвер-влак ==
Официал сайт (англ.)
Официал сайт (нем.)
Кавер-тӱшка FeuerEngel(нем.)
Кавер-тӱшка Rammsund",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=9127,120,9127.0
,Queen,"Queen — рок-тӱшка.


== Илышйогын ==
Queen (1973)
Queen II (1974)
Sheer Heart Attack (1974)
A Night at the Opera (1975)
A Day at the Races (1976)
News of the World (1977)
Jazz (1978)
The Game (1980)
Flash Gordon (1980)
Hot Space (1982)
The Works (1984)
A Kind of Magic (1986)
The Miracle (1989)
Innuendo (1991)
Made in Heaven (1995)


== Семмастар-влак ==
Freddie Mercury - ритм-гитара, йӱк.
Brian May - соло-гитара.
John Deacon - бас-гитара.
Roger Taylor - пералтыме олдырчо.",mhr,Тӱвыра (Sous-catégorie),,https://mhr.wikipedia.org/?curid=13514,81,13514.0
