pageid,title,text,language,category,type,url,token_count,page_id
1318.0,Култура,"кои го формираат прифатливото однесување на членовите на едно општество. Карактеристичниот начин на однесување на поединецот не претставува културна вредност ако не е дел од обичаите и однесувањата на групата - општествените норми на однесување ги претставуваат правилата на однесување во една култура. == Историја на поимот култура == Зборот култура доаѓа од латинскиот збор „cultus“, што означува „нега, гаење на нешто“. Со понатамошниот развој на зборот се формира и поимот на културата. со текот на времето зборот култура добива метафоричка смисла и од одгледување на земја преминува во одгледување на духот т.е. од култура на земјата се пренесува на култура на духот. Римскиот филозоф Кикерон (Цицерон) сметал дека како што земјата не може да даде плод без обработка така и духот не може без филозофијата. Според него, обработката на духот претставува всушност филозофијата. Во Средниот век се сретнуваме со религиозното значење на културата во вид на религиски култ. Сепак, советскиот научник Арон Гуревичтврди дека црковно-христијанската култура се вкрстувала и испреплетувала со народната култура при што двете заеднички влијаеле врз формирањето на свеста на средновековните луѓе. Во XV век, со појавата на ренесансата, поимот култура се фокусира исклучиво на човековите активности. Познатиот германски научник Хердер, кој верувал во природната состојба на духот, инсистирал на тоа поимот култура да добие исклучиво социјално-историско одредување. Во XVIII век се појавува нов поим, поимот цивилизација и оттогаш овие два израза воспоставуваат различни семантички значења, односно се во опозитен однос. Во поглед на цивилизацијата, Западот ја гледа својата супериорност во техничкиот и технолошкиот развој со тенденција да ги издигне другите народи на нивото на цивилизација. Она мото Запад е цивилизацијата го симболизира Просветителството и просветлувањето наспроти мракот кој се врзува за Југот и Ориентот. == Сфаќања на поимот култура == Сфаќањето за термините култура и цивилизација не е исто кај различни народи во Европа. За Французите и Англичаните поимот цивилизација претставува највисок степен на развојот, гордост на тие нации со напредокот што се издигнале на тоа ниво. Додека за Германците тоа претставува корисно-утилитарно , нешто од втор ранг. Гермаците поголемо значење и даваат на културата бидејќи сметаат дека цивилизацијата ја опфаќа само надворешната страна човекот и човековата егзистенција. Германското KULTUR се однесува пред сè на духовните, религиските и уметничките факти со цел да се повлече јасна црта помеѓу фактите од овој вид на една страна и политичките и општествените факти на друга страна. токму затоа поимот култура не може да ги содржи елементите на универзалноста туку на една национална култура. Според нив секој култура е однапред определена како единствена и токму поради тоа има онтолошки статус, додека цивилизацијата има онтички(минлив). Со германското сфаќање на овој поим се отфрла Хегеловата идеја за постоењето на единствен светски дух на сите народи. Во секој народ постојат специфични системи на културата чии основи лежат во матрицата на тој народ. == Општи теории на културата и цивилизацијата == Во поглед на културата постојат две теории: 1.рационалистичка теорија 2.ирационалистичко-метафизичка теорија 1.Рационалистичка теорија Во рамките на рационалистичката теорија постојат две поттеории а)еволуционистичка б)функционалистичка Во рамките на еволуционистичката поттеорија најпознат претставник е англискиот антрополог Едвард Тејлор. Оваа поттеорија се потпира врз биолошката наука на тргнување од поедноставни кон посложени облици. Еволуционизмот во културата претставува дека животот на културата се развива преку растење и промена. Еволуционистите сметаат дека разликите помеѓу различни култури се само квантитативни, односно дека две култури се разликуваат само во степенот на развој. Тие имаат негативрн став кон митот и митското сознание бидејќи според нив митот е на понизок степен на развој во однос на научното сознание. Тие го потценуваат митот, а ја преценуваат науката. Познатиот американски антрополог Лесли Вајт ја унапредува еволуционистичката поттеорија и смета дека општествената група е таа која ја создава културата, а не поединецот. Најрепрезентативна личност на функционализмот, а воедно и негов основач е Бронислав Малиновски. Со текот на времето еволуционистичката поттеорија започнува да старее и уште во времето на Лесли Вајт се појавува нов поим поимот на функцијата. Овој поим пошироко е разработен од Малиновски. Имено, Малиновски го воведува поимот функција покрај битниот фенмен - човекот. Тој го поставува односот културна потреба <=> функција. На пример театарот е своевидна институција каде човекот може да задоволи една културна потреба. Од друга страна пак културната потреба за гледање филм останува иако институцијата кино гасне. Функционалистите го воведуваат и поимот традиција кој е важен за културата и човековото битие. 2. Метафизичко-ирационалистичка теорија а) теорија на животните циклуси б)психоаналитичка теорија на културата == Одлики на културата == вредности - претставуваат прифатени верувања за правилното однесување во рамките на една култура; норми - пишани правила на однесување на членовите на општеството кои се во директна врска со наградите или санкциите; обичаи и морал - непишани, но прифатени правила на однесување од мнозинството на припадници на една култура. Исто така, едни од обележјата на културата се следниве: 1) културата е створена - тоа значи дека се ствара од меѓусебната врска на три независни системи: идеолошки, технолошки и организациски. 2) културата е адаптивен процес - таа се менува и процесот на промена се јавува како прилагодлив. Доколку тој процес не се одвива, општеството био било статична (неменлива) целост. 3) културата се пренесува - значи дека се пренесува од генерација на генерација по пат на социјализација (преку семејството, училиштето и верските институции). 4) културата е пријатна реакција - таа ги задоволува како биолошките, така и психолошките потреби на општеството, а кога ќе исчезнат тие потреби, тогаш истовремено исчезнуваат и елементите на културата. 5) културата е заедничка за сите припадници на одредено општество - таа е збирен феномен, ја делат припадниците на една заедница а ја одржуваат преку нормите и обичаите. Освен тоа, таа може да се пренесува и усвојува и во другите географски и културолошки оддалечени заедници. 6) културите се слични, но сепак различни - сличности: секоја култура има своја музика, образование, уметност, мода, ...; разликите се во начините и методите на донесување и користење на секој елемент кој ја чини културата. Токму тие разлики влијаат врз специфичното однесување на поединците припадници на различните култури. 7) културата е трајна и таа наградува - ги задоволува подеднакво и основните биолошки, како и научените потреби -",mk,Култура,ordonné,https://mk.wikipedia.org/?curid=1318,1000,
1215485.0,Албански фолклор,"Албанскиот фолклор е духовна традиција на Албанците во кој се комбинирани верувањата, вештините, традициите и естетиката. Тој се однесува на духовното наследство, вклучувајќи ги народните верувања, обичаите, музиката, танцот, носиите и сл.


== Проучување на фолклорот ==
Во Албанија широки истражувања биле спроведени по Втората светска војна кои резултирале со многу публикации во разни домени.
Во 1962 година за првпат било објавено списанието ""Етнографија Шкиптаре"", а во 1979 година по основањето на Институтот за народна култура е основан фолклорен институт, кој започнал да го објавува и списанието ""Народна Култура"". Двете публикации содржат вредни информации за фолклорот на Албанија во многу аспекти. Во 1994 година бил основан Национален центар за нематеријален фолклор (албански: Qendrës Kombëtare tė Veprimtarive Folklorike, QKVF). Главната негова цел била организирање на неколку фестивали и фолклорни натпревари, музика, песни и танци. 


== Народни танци ==

Албанските народни танци покажуваат многу разновиден модел на стилови и одлики, поради што е невозможно да се направи општ опис за да се разликуваат како „албански“. Од една страна има големи разлики помеѓу танцувањата на Гегите на северот и Тоските на југ, а од друга страна има влијанија на соседните земји и влијанијата од странските освојувачи од минатото.
Влијанието на Грците, Србите, Македонците, како и на Турците или Италијанците во поголема или помала мера се одразило во некои албански народни ора, и обратно.
Во делови од Албанија, во близина на македонската граница се среќаваат албански народни игри со имиња, како ""женско"". Мелосите може да бидат исти или само имињата може да бидат исти, но карактерот и стилот на танцот да се многу различни. Исто така постојат танци со името ""хора"". Тиранскиот свадбен танц ""наполони"" наликува на италијанска тарантела како танц во двојки, но чекорите се поинакви. Поврзаност со турското влијание може да се најде во танцот од регионот Мати наречен ""зебекше"", преведен како танц на борците за слобода, осврнувајќи се на турските борци од Зејбек. Сепак, танцот нема одлики кои се слични со зејбечкиот танц на западната Турција. Во Косово терминот алатурка се користи за некои народни танци на ист начин како што терминот алафранка се користи за одредени делови од носиите, јасно наведувајќи дека потекнува од Турците или е на францускиот начин.
Во периодот по Втората светска војна биле направени многу истражувања за народните танци во Република Албанија и во Косово. Ова резултирало со опис на околу 5000 танци заедно со помал број ора од Црна Гора и од Македонија.
Општо земено, народните игри можат да бидат поделени во две групи: урбани и рурални танци. Градските ора од Тирана, Елбасан, Белград и други градови се многу различни по карактер и стил од оние во руралните области околу тие градови. Истото е случај и со народната музика. Урбаниот стил се развивал поинаку од руралните подрачја, кои се изразувале во различни костими, музика, песни и танци. 


== Традиционални носии во Албанија ==

Како и во многу европски земји, традиционалните носии речиси исчезнале од секојдневниот живот. Народните носии во Албанија покажуваат голема разновидност во стилови и модели, а воедно и бои, почнувајќи од едноставна црна и бела до виолетова, зелена, портокалова и длабоко сина.
Сеприсутните бели кечиња за Албанија се исто што е килтот за Шкотска и дрвените чевли за Холандија. Иако традиционалната носија за мажи исчезнала речиси целосно, многумина сè уште носат капа или ""кече"" во секојдневниот живот. Во продавницата за сувенири со симболот за двоен орел кечето е еден од најпродаваните сувенири.
Кечето е бела капа што се носи во северна и централна Албанија, Косово и во албанските региони на Македонија и Црна Гора и е направено од волна. Во Косово, се нарекува килаф. Вообичаена практика била на север и на Косово мажите да носат шамија околу кечето. Шамиите често биле подароци на младоженецот на венчавката. Многу од нив биле украсени и направени од најдобрите материјали. Во планинскиот предел на Ругова во Косово, се носел шал, наречен ""ќе"", со големина од 420 см во должина, ширина од 50 см, завиткана над главата, под брадата. Ова повеќе изгледало како турбан, отколку шал. Се смета дека ваквиот турбан бил воведен во носијата од страна на Турците.
За време на комунистичкиот период во Албанија на келешегџиите (производители на кечиња) не им било дозволено да продаваат кечиња. Старата чаршија во Скадар исто така била уништена поради оваа причина (таа била уништена во 1913 година и повторно била изградена, па повторно била уништена од страна на Енвер Хоџа).


== Наводи ==",mk,Култура,ordonné,https://mk.wikipedia.org/?curid=1215485,723,
1358022.0,Викендичка,"Викендичка - помала куќа за одмор, објект наменет за живеење надвор од местото на постојано живеење.
Може да биде монтажна или цврста конструкција. За разлика од станот, викендичката е самостојна или куќа во низа. Најчесто е надвор од поголемите градови во средина погодна за опуштање и рекреација, опкружена со зеленило. Викендичката се разликува од вилата по нејзината поскромна големина и уредување.
Поимот (скован по англискиот „Weekend“) влегол во македонскиот јазик некаде во 1950-тите. Станал популарен во следното десетлетие, кога поголем број луѓе ќе можат да си изградат некаква „викендичка“. Стандардот на живеење растел, благодарение на развојот на југословенската економија и заработката на гастарбајтерите, а бидејќи во тогашниот систем биле ограничени можностите за продуктивно вложување пари, парите се инвестирале во материјални добра. Исто така, за луѓето кои се преселиле во градот во раздобјето на забрзана урбанизација, а не се родени таму, „викендичката“ е средство за приврзаност кон родниот крај или место за бегство од градот „во природа“ или „ на одмор“.
Во раздобјето до крајот на 1980-тите до распадот на Југославија, „викендичката“ станала важен статусен симбол за оние кои ја поседуваат, а чест предмет на соништата за оние кои немаат. Овој поим опфаќа широк спектар на градби: од малку дотерани традиционални куќички до вистински вили, кои честопати всушност биле куќи со станови за изнајмување на туристи. Исто така, постои начелно важна разлика помеѓу викендичките што се градат во внатрешноста на земјата, често на местата од каде што потекнува градителот, и оние изградени на морскиот брег, често во „диви“ населби.


== Советски Сојуз ==
Дачите ( руска дача) биле широко распространети во повеќето делови на поранешниот Советски Сојуз. Се проценува дека околу 50% од руските семејства кои живеат во големите градови поседуваат викендички.


== Наводи ==",mk,Култура,aléatoire,https://mk.wikipedia.org/?curid=1358022,284,
1259102.0,Дама-водач,"Дама-водач (изворно: Leading Lady) ― образовна добротворна организација основана во 2015 година. Посветена е на зголемување на видливоста на успешните приказни на жените во сите сфери на животот и им нуди на девојките поширок избор на жени-модели од оние претставени во културата на населението.


== Историја ==
Дама-водач е промовирана на Меѓународниот ден на жената во 2015 година. Основана е од претприемачот во науката за податоци, Едвина Дан.
Книгата „Дама-водач“ е објавена од „Ебури прес“ во февруари 2017 година. Во рамките на своите 250 страници, профилира 60 жени од сите возрасти и професионално потекло, вклучувајќи ги Мерил Стрип, Кристин Лагард, Лејма Гбови, Ава ДуВернај, Лена Данам, Карли Клос, Џо Мелоун МБЕ и Даме Атина Доналд. Фотографијата со портрети ја обезбедила француската фотографка Брижит Лакомб, а интервјуата ги спровеле новинарите  Џералдин Бедел, Росана Гринстрит и Хестер Лејси. Заедно со книгата, видео-интервјуа со секоја жена ги направил режисерката Маријан Лакомб, сестра на Брижит Лакомб.
Книгата содржи жени, вклучително и политичарки и уметнички, новинарки и наставнички, инженери и активисти, пожарникари и филмски ѕвезди. Секој беше избран заради својата инспиративна приказна.
На 8 февруари 2017 година, книгата, нејзиниот придружен документарен филм од Маријан Лакомб и ресурс за настава, била промовиран во Театарот Имакс од лондонскиот музеј на наука.
Дама-лидер донира 18.000 примероци од книгата на училишта, колеџи и универзитети во Велика Британија и САД.


== Работа ==
Во прилог на книгата, Дама-лидер спроведува програма за пристап до училиштата. Програмата зборува за средните училишта и студентите на универзитетите за моделите на улоги и аспирациите за кариера. Во 2018 година, исто така, започна истражувачки проект, предводен од д-р Тери Аптер, за да се открие влијанието на моделите за аспирации на младите жени. Истражувањето започна во октомври 2019 година, охрабрувајќи ги младите девојки да следат позитивни модели на улоги.


== Активности ==
Дама-лидер е домаќин на настани и работилници кои ги прикажуваат женските-модели на жени и девојки во нивната мрежа. Во март 2019 година, Дама-лидер станала партнер со Дизни за премиерата во Велика Британија на филмот Капетан Марвел. Тоа го изненади младиот супер-фан на Марвел, наречен Или, со билети за премиерата и шанса да спроведе интервјуа на црвениот тепих со ѕвездите на филмот, вклучувајќи ги Бри Ларсон и Самуел Ел Џексон.
Во 2017 и 2018 година, Дама-лидер соработувала со Women in Data UK (WiD UK) за лансирање на „20 во податоци и технологија“, иницијатива дизајнирана да ги прикаже извонредните приказни за женското достигнување во податоците и технологијата низ Велика Британија.


== Награди и номинации ==
Во 2018 година, Едвина Дан, преку Дама-лидер била наградена со „Наградата за зајакнување на жените“ од „Fashion 4 Development“ и „The Evening Standard Changemaker Award“.
Во 2019 година, Дама-водач била во потесниот избор за Националните награди за разновидност.


== Користена литература ==",mk,Култура,aléatoire,https://mk.wikipedia.org/?curid=1259102,450,
1089126.0,Протекционизам,"Протекционизам (латински: protegere = заштита) — збир на економски мерки со кои една држава се обидува да ограничи пласирање на странски производ на домашниот пазар, односно да го ограничи увозот (кога луѓето купуваат стоки од други земји наместо од сопствени).  Тие мерки се наоѓаат во доменот на стратегиските трговски политики и нивната цел е по правило, подобрување на —пласманот на домашните производи, унапредување и подобрување на развојот на поедините стопански гранки како и стопанството во целина. Такви мерки на стратегиска трговинска политика помагаат во развојот на поедини земји во развој во толкава мерка, па некои од нив веќе прераснале во индустриски сили (на пример, Кина).
На пример, ако земјоделците од Србија продаваат пченица по пониска цена од македонските земјоделци, Македонците би купувале повеќе пченица од српските земјоделци отколку од македонските земјоделци, и тие не би добиле многу пари. Придобивките од протекционизмот се дека некои луѓе во една земја би заработиле повеќе пари затоа што би можеле да продаваат работи по повисоки цени, но од друга страна, другите луѓе би изгубиле пари затоа што не би можеле да ги купуваат работите од други земји кои ги продаваат поевтино.


== Надворешнотрговски протекционизам ==
Политиката на ограничување на меѓународната трговија се нарекува протекционизам. Протекционизмот вклучува две групи мерки: царини и нецарински ограничувања. Царините претставуваат еден вид данок на увозните производи. Царината ја зголемува цената на увозниот производ и така ја намалува неговата (ценовна) конкурентност во споредба со домашните производи. Нецаринските ограничувања се појавуваат во разни форми, како што се: увозни и извозни квоти со кои се ограничува максималното количество на увозот или извозот на некој производ; дозволи за увоз и извоз, т.е. посебни одобренија за да може да увезе или извезе некој производ; извозни субвенции со кои на извозниците им се надоместува разликата меѓу производната цена (трошоците на производството) и цената по која ги извезуваат производите; здравствени, санитарни, технички и еколошки стандарди кои мора да ги исполнуваат увозните производи за да може да се продаваат на домашниот пазар. Во екстремни случаи, протекционизмот се манифестира во вид на трговско ембарго или трговска војна, кога целосно се забранува извозот во некои земји или увозот од нив.
Земјите кои спроведуваат протекционистички мерки наведуваат различни оправданија за своите постапки. Овие аргументи може да се поделат на две групи: економски оправдани и економски неоправдани аргументи. 

Како економски оправдани аргументи се сметаат царините за заштита на младите индустрии и царините за намалување на невработеноста. Во првиот случај, земјите воведуваат царини за заштита на некои индустрии кои штотуку почнале да се развиваат во земјата. Бидејќи се наоѓа во почетната фаза од развојот, во овој случај, домашната индустрија не може да се натпреварува (да им конкурира) со странските индустрии. Со други зборови, домашните производители се соочуваат со повисоки трошоци од странските фирми, т.е. домашните производи имаат повисоки цени од увозните. Оттука, со царинската заштита им се овозможува на домашните индустрии да се развијат до нивото кое ќе им овозможи да им конкурираат на странските фирми. Ова значи дека заштитата на младите домашни индустрии треба да биде привремена, т.е. до моментот кога тие ќе станат развиени и ефикасни. Во вториот случај, кога домашната економија се наоѓа во рецесија, земјата може привремено да ги зголеми царините со цел да ги заштити домашните фирми и така да го спречи зголемувањето на невработеноста. Сепак, и овде, царинската заштита има оправдание само ако е привремена, т.е. кога економијата ќе излезе од рецесијата, царините треба да се вратат на претходното ниво.
Економски неоправдани аргументи за протекционизмот се: царините кои се резултат на лобирањето од моќните бизнис-групи, царините насочени против конкуренцијата од поевтиниот странски труд, царините како реципрочна мерка (одмазда) против други земји итн. Често, царините се резултат на лобирањето на моќните стопанственици кои така си ги бранат своите лични интереси, т.е. го штитат својот бизнис под маската дека го бранат националниот интерес. Исто така, и самите политичари често застапуваат популистички политики на зголемување на царините, повторно со паролата дека ги бранат националните интереси, сакајќи да ги придобијат гласачите. Во развиените земји, чести се барањата за воведување царини на производите кои доаѓаат од земјите во кои се ниски платите. Во овој случај, најчесто оправдувањето е дека со царините домашната економија се брани од нелојалната конкуренција. Меѓутоа, вистинската причина е настојувањето на синдикатите да ги заштитат интересите на своите работници. Најпосле, земјите воведуваат царини како одговор на царините што другите земји ги вовеле против нив.
Посебна форма на протекционизам претставува културниот протекционизам како и протекционизмот во спортот. Со таквите мери се штитат поединечни држави или региони од културни влијанија во странство, односно се штити домашниот пазар на спортисти. Во тој контекст се познати поранешните ограничувања на странските играчи во клубови на некои западноевропски земји.


== Наводи ==",mk,Култура,aléatoire,https://mk.wikipedia.org/?curid=1089126,768,
1255501.0,Висока култура,"Култура и анархија (1869). Предговорот ја дефинира културата како „незаинтересиран потфат по совршенството на човекот“ кој се следи, се добива и се постигнува со напор „да се знае најдоброто што е кажано и размислено на светот“. Таквата книжевна дефиниција за високата култура ја вклучува и филозофијата. Покрај тоа, филозофијата на естетика предложена во високата култура е сила за морално и политичко добро. Критички, поимот „висока култура“ е во контраст со поимите „популарна култура“ и „масовна култура“. Во Белешките кон дефиницијата на културата (1948), Т. С. Елиот вели дека високата култура и популарната култура се неопходни и комплементарни делови на културата на едно општество. Во Употребите на писменоста (1957), Ричард Хогарт го претставува социолошкото искуство на работничката класа маж и жена во стекнувањето културна писменост, на универзитет, што ја олеснува социјалната нагорна подвижност. Во САД, Харолд Блум и Ф.Р. Ливис ја следеле дефиницијата за висока култура по пат на западен канон на литературата. Медиумскиот теоретичар Стивен Џонсон пишува дека, за разлика од популарната култура, „класиците - и оние кои наскоро ќе бидат класици“ се „во нивните сопствени описи и објаснувања за културните системи што ги произведоа“. Тој вели дека „клучен начин на кој масовната култура се разликува од високата уметност“ е дека поединечните дела од масовната култура се помалку интересни од пошироките културни трендови што ги произведоа. == Историјат на високата култура на Запад == Високата култура на Западот потекнува од класично-светските традиции на интелектуален и естетски живот во Стара Грција (од околу 8 век п.н.е. - 147 г. н.е.) и Стариот Рим (753 п.н.е. - 476 г. н.е.). Во класичната грчко-римска традиција, идеалниот јазик бил објавен и зачуван во дела со покачен стил (точна граматика, синтакса и дикција). Одредени облици на јазик што ги користеле авторите во вреднувани епохи се одржувале во антиката и во ренесансата како вечни валидни модели и нормативни стандарди на извонредност; на пр., атичкиот дијалект на антички грчки јазик што го зборувале и пишувале драматурзите и филозофите од Периклејска Атина (петти век п.н.е.); како и облик на класичен латински јазик користен во „Златното доба“ на римската култура (околу 70 п.н.е. - 18 г. н.е.) претставен од фигури како Цицерон и Вергилиј. Овој облик на образование кај Грците била позната како παιδεία, што Римјаните го превеле на латински како хуманита бидејќи одразувал облик на образование насочена кон рафинирање на човечката природа, наместо стекнување на технички или стручни вештини. Навистина, грчко-римскиот свет имал тенденција да гледа таква рачна, комерцијална и техничка работа подредена на чисто интелектуални активности. Од идејата за „слободниот“ човек со доволно слободно време да се зафати со таква интелектуална и естетска префинетост, произлезе класичното разликување помеѓу „либералните“ уметности кои се интелектуални и се прават за нивно добро, наспроти „сервилните“ или „механичките“ уметности кои се поврзани со физичка работа и се прават за да се заработи за живеење. Ова подразбирало поврзаност помеѓу високата култура и повисоките слоеви чие наследно богатство обезбедувало такво време за интелектуално култивирање. Слободниот човек кој не бил оптоварен со неопходноста од заработка, можел слободно да се посвети на активности соодветни за таков „слободен човек“ - активности за кои се сметало дека вклучуваат вистинска извонредност и благородност наспроти едноставна корисност. За време на ренесансата, класичните интелектуални вредности на целосно откриената грчко-римска култура биле културен главен град на повисоките класи (и аспирантите) и имале за цел целосен развој на човечките интелектуални, естетски и морални способности. Овој идеал поврзан со хуманизмот (подоцнежен поим добиен од хуманистичките науки или студијата хуманитатис ), бил соопштен во ренесансната Италија преку институции како што се ренесансните судски училишта. Ренесансниот хуманизам наскоро се проширил низ Европа и станал голем дел од основата на високото образование со векови. За социјално амбициозните мажи и жени кои сакале да растат во општеството, Книгата за дворјанин (1528) од Балдасар Кастиглионе, го упатува читателот да стекне и да поседува знаење за грчко-римските класици, како образование составено од социјалната личност на аристократот. Клучен придонес на ренесансата било издигнувањето на сликарството и скулптурата до статус еднаков на либералните уметности (оттука визуелните уметности ги изгубиле елитите за какво било трајно негативно поврзување со рачно занаетчиство. ) Раните ренесансни трактати на Леон Батиста Алберти биле клучни во овој поглед. Еволуцијата на концептот на висока култура првично била дефинирана во образовна смисла во голема мера како критичко проучување и познавање на грчко-римските уметности и хуманистички науки што создале голем дел од темелите на европските култури и општества. Сепак, аристократското покровителство низ поголемиот дел од модерната ера било исто така клучно за поддршката и создавањето на нови дела од висока култура низ опсегот на уметности, музика и литература. Последователниот необичен развој на современите европски јазици и култури значело дека модерната дефиниција на поимот „висока култура“ опфаќа не само грчки и латински текстови, туку многу поширок канон од избрани книжевни, филозофски, историски и научни книги и во античките и современи јазици. Од споредлива важност биле оние уметнички дела и музика што се сметале за највисоки извонредности и најшироко влијателни (на пр. Партенон, слика и скулптура на Микеланџело, музика на Ј. С. Бах, итн.). Заедно овие текстови и уметнички дела претставуваат примерни артефакти што ја претставуваат високата култура на западниот свет. === Културни традиции === Во западните и некои источноазиски традиции, на уметноста што ја покажува имагинацијата на уметникот му се доделува статус на висока уметност. На Запад оваа традиција започнала во Стара Грција, била зајакната во ренесансата и со романтизмот, со што се елиминирала хиерархијата на жанровите во ликовната уметност, основана во ренесансата. Во Кина постоела разлика помеѓу литературното сликарство на службените службеници и делото произведено од обични уметници, работено во многу различни стилови, или украсни уметности како кинески порцелан, произведени од непознати занаетчии кои работеле во големи фабрики. И во Кина и на Запад разликата била особено јасна во сликарството на пејзажот, каде со векови имагинарните погледи, произведени од имагинацијата на уметникот, се сметале за супериорни дела. === Културен капитал === Во социјално раслоената Европа и Америка, потопувањето од прва рака во високата култура на Западот, Големата турнеја низ Европа, бил обред на минување што го надополнувал и го комплетирал книжевното образование на господин, од благородништвото, аристократијата, и буржоазијата, со светска",mk,Култура,aléatoire,https://mk.wikipedia.org/?curid=1255501,1000,
