pageid,title,text,language,category,type,url,token_count,page_id
20629.0,Ёдгориҳои бостонӣ,"Ёдгориҳои бостонӣ — иборат аз бозёфтҳои бостонӣ ба монанди тангаҳо, аслиҳа, лавозимоти рӯзгор, олоти меҳнат, сарулибос, созҳои миллии мусиқӣ, аксҳо, катибаҳо, санъати ороишию амалӣ ва ғайра мебошанд. Инчунин ба ёдгориҳои бостонӣ нақшу нигори ороишӣ, маснуоти заргарӣ, кулолгарӣ, оҳангарӣ, боқимондаҳои ашё ва лавозимоти дар натиҷаи ковишҳои бостонӣ ошкоргардида ва ғайраҳо дохил мешаванд. Ин ёдгориҳо бояд аҳамияти таърихӣ, илмӣ, фарҳангӣ ва эстетикӣ дошта бошанд.
Ёдгориҳои бостонӣ асосан дар осорхонаҳо, намоишгоҳҳо ҳифз гардида тавассути экспозитсияҳо ба маърази тамошо гузошта мешаванд. Бо истифода аз ёдгориҳои бостонӣ намоишҳои сайёр дар таълимгоҳҳо, муассисаҳои фарҳанг, корхонаву ташкилотҳо ташкил намудан мумкин аст.


== Нигаред низ ==
Феҳристи мероси ҷаҳонии ЮНЕСКО дар Тоҷикистон


== Адабиёт ==",tg,Фарҳанг,ordonné,https://tg.wikipedia.org/?curid=20629,107,
20631.0,Ёдгориҳои манқул,"Ёдгориҳои манқул – ёдгориҳое мебошанд, ки аз ҷое ба ҷое кӯчонидан мумкин нест.
Ба ёдгориҳои манқул дохил мешаванд: лавозимоти рӯзгор, аслиҳа, сарулибос, нақшу нигори ороишӣ, маснуоти заргарӣ, кулолгарӣ, оҳангарӣ, боқимондаҳои ашё ва лавозимоти дар натиҷаи ковишҳои бостонӣ ошкоргардида ва ғайраҳо. Ин ёдгориҳо бояд аҳамияти таърихӣ, илмӣ, фарҳангӣ ва эстетикӣ дошта бошанд.
Ёдгориҳои манқул асосан дар осорхонаҳо, намоишгоҳҳо ҳифз гардида, тавассути экспозитсияҳо  ба маърази тамошо гузошта мешаванд. Бо истифода аз ёдгориҳои манқул намоишҳои сайёр дар таълимгоҳҳо, муассисаҳои фарҳанг, корхонаву ташкилотҳо ташкил намудан мумкин аст.


== Нигаред ==
Ёдгориҳoи ҷамъиятӣ
Ёдгориҳои бостонӣ,
Ёдгориҳои хусусӣ,
Ёдгориҳои ғайриманқул,
Ёдгориҳои маҳаллӣ,
Ёдгориҳои меъморӣ,
Ёдгориҳои таъриху фарҳангва диг.


== Адабиёт ==",tg,Фарҳанг,ordonné,https://tg.wikipedia.org/?curid=20631,105,
20674.0,Ёдгорӣ,"«Ёдгорӣ», «ёддошт», «ёдгор» (форсӣ: يادگاري‎) ва дигар калимаҳои ҳаммонанд дар «Фарҳанги забони тоҷикӣ» ба маънои чизе ба хотира мондан, хотира гузоштан, асар монондан; ёдгор мондан нишона мондан, хотира боқӣ гузоштан омадааст.
Ёдгорӣ мафҳумест, ки ифодакунандаи ашё, чиз, асар, хат, тасвир ва ё чизи дигареро барои хотира ба касе ё ба маҷмӯи одамон боқӣ гузоштан мебошад. 
Ёдгориҳо гуногунанд. Масалан, ёдгории зеҳнӣ: кори ҳамарӯза, эҷодиёт, муносибати байниҳамдигарӣ, бозӣ ва ғайраҳо. Ҳамаи ин зуҳурот тасодуфӣ набуда аз насл ба насл ба мерос гузашта дар мавриди мо ҳамчун ёдгорӣ шинохта мешавад.
Ёдгорӣ сарчашмаест, роҷеъ ба зуҳуроти муайяни таърихӣ – фарҳангӣ маълумот медиҳад. Мероси фарҳангӣ дар ҳар шакли зоҳиршавӣ (адабиёт, санъати тасвирӣ, мусиқӣ, созҳои миллӣ, муҷассама, санъати меъморӣ, урфу одат ва анъанаҳои миллӣ ва ғайраҳо.) ҳамчун ёдгорӣ шинохта мешавад. Ёдгориҳои бостонӣ, меъморӣ, санъати тасвирӣ, ҳайкалтарошӣ, кандакорӣ ва ғайраҳо дар маҷмӯи мероси фарҳангӣ мақоми арзишманд доранд.
Дар ин маврид ёдгориҳои табиат низ вуҷуд доранд, ки аз тарафи давлату ҳукумат ҳифз гардида мавриди истифодаи умум қарор мегиранд. Ин гуна ёдгориҳо маҳсули зуҳуротҳои физиологӣ ва биологии табиат мебошанд: ба монанди шаршараҳо, қуллаҳо, дарахтони кӯҳансол, кӯлҳо, ҷангалзорҳо, олами ҳайвоноту набототи нодир  ва ғайраҳо.
Ёдгориҳои фарҳангу таърих ва табиат сарчашмаи эътимодноки таърихианд, ки аз рўи онҳо гузаштаи ҷомеаи инсониро то пайдоиши хат ва минбаъд, инчунин эволютсияи Замин муайян намудан мумкин аст.
Инчунин ба ёдгориҳо дохил мешаванд: 

Ёдгориҳoи ҷамъиятӣ
Ёдгориҳои бостонӣ,
Ёдгориҳои хусусӣ,
Ёдгориҳои манқул,
Ёдгориҳои ғайриманқул,
Ёдгориҳои маҳаллӣ,
Ёдгориҳои меъморӣ,
Ёдгориҳои таъриху фарҳанг ва диг.


== Нигаред ==
Ёдгориҳои бостонӣ ва меъмории Ҷумҳурии Тоҷикистон,
Ёдгориҳои фарҳангии умумиҷаҳонии ЮНЕСКО дар Тоҷикистон
Лавҳаи ёдгорӣ


== Эзоҳ ==",tg,Фарҳанг,ordonné,https://tg.wikipedia.org/?curid=20674,255,
21820.0,Академияи илмҳои Ӯзбекистон,"Академияи илмҳои Ӯзбекистон  – муассисаи олии илмии  Ҷумҳурии Ӯзбекистон мебошад, ки дар пойтахти Ӯзбекистон шаҳри Тошкент воқеъ аст.
Дар асоси Филиали Ӯзбекистонии АИ ИҶШС соли 1943 ҳамчун Академияи Фанҳои  ҶШС Ӯзбекистон  таъсис дода шудааст.
Аввалин президенти Академияи Фанҳои ҶШС Ӯзбекистон   математик Тошмуҳаммад Ниёзович  Қори- Ниёзов буд. Нахустин аъзоёни комилҳуқуқи Академия – Михаил Степанович Андреев, Александр Николаевич Аскоченский, Виктор Васильевич Пославский, Ғафур Ғулом, Мусо Тошмуҳаммадов (Ойбек), Всеволод Иванович Романовский, Тошмуҳаммад Алиевич Сарымсаков, Александр Сергеевич Уклонский, Султон Умарович Умаров, Рихард Рихардович Шредер, Александр Юрьевич Якубовский  шуданд.


== Президентҳои  Академия ==
Тошмуҳаммад  Қори-Ниёзов (1943—1947)
Тошмуҳаммад Алиевич Сарымсаков (1947—1952)
Теша Зоҳидович Зоҳидов (1952—1956)
Ҳабиб Муҳаммадович  Абдуллоев (1956—1962)
Обид Содиқович Содиқов (1966—1984)
Пулод Қирғизбоевич Ҳабибуллоев (1984—1988)
Маҳмуд Салоҳитдинович Салоҳитдинов (1988—1994)
Ҷӯра Абдуллоевич Абдуллоев (и. в. 1994—1995)
Тӯхтамурод Ҷӯраевич Ҷӯраев (1995—2000)
Беҳзод Содиқович Юлдошев (2000—2005)
Тоҳир Фотеҳович Орипов (и. в. 2005—2006)
Шавкат Исмоилович  Солиҳов (аз13 марти 2006)


== Пайвандҳои беруна ==
Сайт Академии наук Узбекистана Бойгонӣ шудааст 11 июли 2022  сол.
Страничка Академии наук Узбекистана на сайте «Научная и образовательная сеть Узбекистана» Бойгонӣ шудааст 27 май 2017  сол.",tg,Фарҳанг,ordonné,https://tg.wikipedia.org/?curid=21820,172,
73733.0,Базми дойрахабар,"Базми  дойрахабар  (Базми сафолак дар Бухоро) - ҷамъомаде, ки бо садои баланди дойра барпо мегардид ва аз оғози ягон тантана дарак медод. Ин Базми умумӣ буда, ҳар кас метавонист дар он иштирок кунад. Базми дойрахабар дар асрҳои пешин дар тамоми минтақаи Осиёи Марказӣ маъмул буд. Ин Базм бо садои баланди дойра сурат мегирифт ва маъмулан дойранавозон бо навохтани дойра хабар медоданд, ки дар ҷое ҷашн, сур ё дигар навъи хурсандӣ, яъне Базм баргузор мешавад. Дар Бухоро Базми дойрахабарро Базми сафолак низ меноманд. Мардуми Бухоро истилоҳи «сафолак»-ро ба дойрадасти мумтоз Собири Сафолак (1845 – 1905) мансуб медонанд ва он ба иштироки 3 – 4 дойрадаст барпо мегардид. Онҳо дойраро баланд навохта, ҳунар нишон медоданд ва барои раққос лаҳзаи мусоиди пурхурӯш муҳайё менамуданд. Дар ин Базм танҳо мерақсиданд. Базми сафолакро охири асри XIX ва аввали асри XX бештар Собири Сафолак, эшони Набихўҷа ва Раҷаби Сиёҳ ташкил мекарданд.


== Нигаред низ ==
Базм
Базми меҳмонхонагӣ
Базми хоса
Базми карнаю сурнай


== Адабиёт ==
Амонов Р. Очерки эҷодиёти даҳанакии Кӯлоб (Дар асоси материалҳои фолклори Сари Хосор). - Д., 1963;
Зеҳниева Ф.  Сурудҳои маросими тӯи тоҷикон. - Д., 1978;
Андреев М. С.  По этнологии Афганистана. Долина Панджшир (Материалы из поездки в Афганистан в 1926 году). - Ташкент, 1927;
Рахмони Р.  Простонародная литература современного Афганистана (Устная авторская поэзия на языке дари), част 1 – 2. - М., 1994;
Нурджанов Н.  Театральная и музыкальная жизнь столици государства Саманидов. - Д., 2001; ҳамон муалл.,
Традиционный театр таджиков. Т. 1 – 2. - Д., 2002.


== Адабиёт ==
Энциклопедияи Советии Тоҷик : [дар 8 ҷ.] / сармуҳаррир  А. С. Сайфуллоев. — Д. : СИЭСТ, 1978—1988.",tg,Фарҳанг,ordonné,https://tg.wikipedia.org/?curid=73733,266,
107352.0,Базми чавкӣ,"Базми чавкӣ - Ин базми калони кӯчагӣ маъмулан бегоҳиҳо дар кӯчаҳо, боғҳо ва майдони васеи Бухоро, Самарқанд, Хуҷанд ва дигар шаҳрҳои калони тоҷикнишин барпо мешуд.
Одатан дар чанд ҷойи майдон ҳезум ё кунҷора оташ мегиронданд, ё дар даруни деги калон (ё даври ӯғур) каме равғани зағир рехта, дар лаби дег пилтаҳои ғафси карбосӣ гузошта оташро рӯшан мекарданд ва дар равшании он шодию сурур барпо менамуданд. Дар Бухоро базми чавкӣ ё худ «даври ӯғур» асосан дар ҷашни Наврӯз барпо мегардид. Дар он гурӯҳи калони ҳофизон, раққосон, масхарабозон ва зарофатгӯён ҳунарнамоӣ мекарданд.
Дар байни тоҷикони Бадахшони Афғонистон «базми қарсакӣ» низ шуҳрат дорад, ки дар баробари навохтану сароидану рақсидан ҳамагон қарс мезананд. Дар аксари минтақаи Тоҷикистон пеш аз ҷашни арӯсӣ базми духтарон низ баргузор мешавад, ки дар он фақат духтарон ва занони хешованди арӯс иштирок намуда, дар партави сурудҳо рақсу шодӣ мекунанд.
Зарфи чанд соли охир Ҳукумати Тоҷикистон ба баргузории ҷашнҳои милливу мардумӣ таваҷҷуҳи хоса зоҳир кард ва маҳз ҳамин таваҷҷуҳ буд, ки аз сол ба соли дигар Наврӯз барин ҷашни миллӣ шаҳомати ба худ хос касб мекунанд. Ҳукумати кишвар бо назардошти аҳамияти вижаи Наврӯз ва густарда будани ҷуғрофиёи он талош дорад барои бошукуҳтар баргузор кардани он тадбирҳои иловагӣ андешад.
Бо ташаббуси шахсии Президенти Тоҷикистон, Пешвои миллат Эмомалӣ Раҳмон анъанаи миллии доштани Наврӯзгоҳ эҳё шуд ва ҳоло як майдони ба масоҳат бузурге, ки пештар мавзеъи аспдавонӣ буд, ба Наврӯзгоҳ табдил дода шуд. Акнун ҳар сол сокинони Душанбе ҷашни асосиро дар ҳамин Наврӯзгоҳ бо ширкати ҳама ақшори ҷомеа таҷлил мекунанд.


== Нигаред низ ==
Базми дойрахабар
Базми меҳмонхонагӣ
Базми хоса
Базми карнаю сурнай


== Адабиёт ==
Нурджанов Н.  Театральная и музыкальная жизнь столицы государства Саманидов. - Душанбе,, 2001;
Нурджанов Н. Традиционный театр таджиков. Т. 1 – 2. - - Душанбе, 2002.


== Эзоҳ ==",tg,Фарҳанг,aléatoire,https://tg.wikipedia.org/?curid=107352,290,
73732.0,Базми хоса,"Базми хоса — маҳфиле, ки дар манзили шоҳон, амалдорон. ҳокимон ва шахсони мансабдор баргузор мешуд. Дар он як гурӯҳи махсуси ҳунарии созандагону рақскунандагон даъват мешуданд, ки аз 6 — 7 нафар иборат буданд. Ҳайати чунин гурӯҳи ҳунарӣ аз дойрадастон, дуторнавоз, рубобнавоз, ғиҷҷакнавоз, найнавоз, танбӯрнавоз, сатонавоз, нақоранавоз ва қобузнавоз иборат буд (теъдоди навозандагон вобаста ба маҳфил буд). Баъзан ба ҳавои ансамбл раққос ҳунарнамоӣ мекард. Се найчӣ, ду дойрадаст ва раққос мавригихонӣ низ мекарданд.


== Нигаред низ ==
Базм
Базми меҳмонхонагӣ
Базми дойрахабар
Базми карнаю сурнай


== Адабиёт ==
Амонов Р. Очерки эҷодиёти даҳанакии Кӯлоб (Дар асоси материалҳои фолклори Сари Хосор). — Д., 1963;
Зеҳниева Ф. Сурудҳои маросими тӯи тоҷикон. — Д., 1978;
Андреев М. С. По этнологии Афганистана. Долина Панджшир (Материалы из поездки в Афганистан в 1926 году). — Ташкент, 1927;
Рахмони Р. Простонародная литература современного Афганистана (Устная авторская поэзия на языке дари), част 1 — 2. — М., 1994;
Нурджанов Н. Театральная и музыкальная жизнь столици государства Саманидов. — Д., 2001; ҳамон муалл.,
Традиционный театр таджиков. Т. 1 — 2. — Д., 2002.


== Адабиёт ==
Энциклопедияи Советии Тоҷик : [дар 8 ҷ.] / сармуҳаррир  А. С. Сайфуллоев. — Д. : СИЭСТ, 1978—1988.",tg,Фарҳанг,aléatoire,https://tg.wikipedia.org/?curid=73732,193,
62065.0,Батик,"БÁТИК (малайӣ, яваии ambatik – навиштан, нигоштан), усули ҳосил кардани нақш ё тасвир дар рӯйи матоъ: муми гудохтаро ба рӯйи порчаи матоъ мерезанд, баъд онро ба маҳлули ранг меандозанд, ҷойҳои аз мум холии матоъ рангро ба худ меҷабад ва дар натиҷа нақш ё тасвири матлуб ҳосил мешавад.
Батик аввал дар байни мардуми Индонезия, Ҳиндустон, Африқо маъмул буд. Онҳо либос ва ашёи манзилҳои худро бо нақшҳои ҳандасӣ ва ё тасвири набототу ҳайвонот оро медоданд. Асрҳои 16–17 тоҷирони ҳолландӣ намунаҳои Батики ин кишварҳоро ба Аврупо оварданд ва ин усули нигориш дар ин ҷо низ интишор ёфт (махсусан дар а. 20). Дар Тоҷикистон рассомон М. Носирова ва М. Ӯлҷабоева дар офаридани Батик даст доранд ва ин ҳунарро дар Омӯзишгоҳи ҷумҳуриявии рассомии ба номи М. Олимов ба ҷавонон меомӯзонанд.


== Манбаъ ==
Асос — Боз. — Д. : СИЭМТ, 2013. — 664 с. — (Энсиклопедияи Миллии Тоҷик : [тахм. 25 ҷ.] /  сармуҳаррир Н. Амиршоҳӣ ; 2011—2023, ҷ. 2). — ISBN 978-99947-33-52-4.",tg,Фарҳанг,aléatoire,https://tg.wikipedia.org/?curid=62065,158,
297858.0,Насли Y,"Миллениалҳо, ё Насли Y (насли ""игрек""; номҳои дигар: насли ҳазорсола (millennials) ), насли ""оянда"", насли ""шабака"", милленитҳо, эхо бумерҳо) — насли одамоне, ки аз соли 1981 то 1996 таваллуд шудаанд (Сарчашмаҳои гуногун солҳои 1977-1985-ро ҳамчун санаи оғози насл, солҳои 1994-2005 ҳамчун санаи анҷомёбӣ ишғол мекунанд), ки ҳазорсолаи навро дар синни ҷавонӣ пешвоз гирифтанд, ки пеш аз ҳама ҷалби амиқ ба технологияҳои рақамӣ доранд, тавсиф мешавад.


== Терминология ==
Моҳи августи соли 1993 яке аз муҳаррирони маҷаллаи Advertising Age ибораи "" Насли Y ""-ро барои тавсифи онҳое, ки синнашон 11 ё аз он хурдтар буданд, бо ""Насли X""   муқоиса кард.
Соли 1987   Уилям Штраус ва Нил Ҳоув истилоҳи ""Millenials"" -ро ба вуҷуд оварданд . Онҳо ин истилоҳро барои истинод ба кӯдакони соли 1981, ки бояд соли 2000 мактаби миёнаро хатм мекарданд, истифода бурданд. Онҳо дар бораи ин насл дар китобҳои худ ""Наслҳо: Таърихи Ояндаи Амрико, 1584 то 2069"" (1991) ва Эҳёи ҳазорсолаҳо: Насли ояндаи бузург (2000) навиштаанд.
Ба гуфтаи рӯзноманигор Брюс Ҳоровитз, дар соли 2012 Advertising Age эътироф кард, ки ""миллениалҳо"" номи беҳтар аз ""Насли Y"" аст .


== Демография ==
Хусусиятҳои насл вобаста ба шароитҳои сиёсӣ, иқтисодӣ, иҷтимоӣ ва ғайра дар кишвар ба кишвар фарқ мекунанд. Дар Иёлоти Муттаҳида одат шудааст, ки насли ""Y""-ро насли соли таваллудашон 1981-1996 номид. Аммо, ҷомеашиносон санаи дақиқи оғози ин насл надоранд.
Дар Иёлоти Муттаҳида насли Y бо афзоиши сатҳи таваллуд, ки дар соли 1981 оғоз шуда буд, ба истилоҳ ""эхо бум"" алоқаманд аст. Онҳо аксаран фарзандони насли ""беби бумерҳо "" ҳастанд, аз ин рӯ номи ""эхо бумерҳо""-ро доранд. Бо вуҷуди ин, дар кишварҳои пешрафта тамоюли коҳиши шумораи кӯдакон дар оилаҳо идома дорад, бинобар ин, падидаи «эхо бум» ба мисли худи «бэби бум» ба таври васеъ маълум нест.
Тадқиқоте, ки соли 2006 дар Иёлоти Муттаҳида  гузаронида шуд, нишон дод, ки 48% ""эхо-бумерҳо"" эътиқод доранд, 20% атеистҳо ва 32% агностикҳо мебошанд. Ғояҳои буддизм ва карма, бутпарастии нав, убури ақидаҳои фалсафӣ ва монотеистӣ (якхудоӣ), эътиқод ба тамаддунҳои ғайризаминӣ ва эзотерикӣ маъмуланд.


== Эзоҳ ==",tg,Фарҳанг,aléatoire,https://tg.wikipedia.org/?curid=297858,327,
73731.0,Базми меҳмонхонагӣ,"Базми меҳмонхонагӣ - дар гузашта пас аз ба поён расидани тӯй, баъди рафтани мардум хешовандон ва наздикони соҳиби маърака дар меҳмонхона базм ороста, аз сарояндагон сурудҳо мешуниданд, рақсу бозию шухӣ мекарданд. Ҳофизон бештар сурудҳои маъмули «Яккақарс», «Чорчиллик», «Баҳри тавил», «Ироқ», «Ҳусайнӣ» ва ғайраро месуруданд. Сурудхонӣ 2 – 3 соат давом мекард. Сипас навозандаи дар миёна нишаста зарберо бо дойра баланд зада, ба қисми рақсӣ ибтидо мегузошт. Раққос аз ҷой бархеста ба рақс медаромад. Ин гуна Базмҳо гоҳо то дамидани субҳ идома доштаанд. Дар шаҳрҳои калон ба монанди Душанбе, Кӯлоб, Хуҷанд, Исфара, Бухоро, Самарқанд ва ғ. то ба имрӯз Базмҳо дар меҳмонхонаҳо баргузор мешавад, ки он чун анъана аз замонҳои пеш боқӣ мондааст.


== Нигаред низ ==
Базм
Базми дойрахабар
Базми хоса
Базми карнаю сурнай


== Адабиёт ==
Амонов Р. Очерки эҷодиёти даҳанакии Кӯлоб (Дар асоси материалҳои фолклори Сари Хосор). - Д., 1963;
Зеҳниева Ф.  Сурудҳои маросими тӯи тоҷикон. - Д., 1978;
Андреев М. С.  По этнологии Афганистана. Долина Панджшир (Материалы из поездки в Афганистан в 1926 году). - Ташкент, 1927;
Рахмони Р.  Простонародная литература современного Афганистана (Устная авторская поэзия на языке дари), част 1 – 2. - М., 1994;
Нурджанов Н.  Театральная и музыкальная жизнь столици государства Саманидов. - Д., 2001; ҳамон муалл.,
Традиционный театр таджиков. Т. 1 – 2. - Д., 2002.


== Адабиёт ==
Энциклопедияи Советии Тоҷик : [дар 8 ҷ.] / сармуҳаррир  А. С. Сайфуллоев. — Д. : СИЭСТ, 1978—1988.",tg,Фарҳанг,aléatoire,https://tg.wikipedia.org/?curid=73731,233,
