pageid,title,text,language,category,type,url,token_count,page_id
6267.0,Австралия (континент),"Австралия – Му планета вылын квать континентісь ӧтік. Сія куйлö Асыввыв джыншарын да Лунвыв джыншарын. Австралия кыдз континент лыддисьö Океания муторын. Этія континентас токö öтік канму, кöда сідзжö шусьö Австралия. 


== Куйланін да ыжда ==


== Мувевдӧр ==


== Колана шедтассэз ==


== Климат ==


== Юэз да тыэз ==


== Быдмӧт ==


== Пода ==


== Отир ==


== Политика ==


== Экономика ==


== Культура ==",koi,География,ordonné,https://koi.wikipedia.org/?curid=6267,68,
6266.0,Америка,"Америка – Му планета вылын квать муторись ӧтік. Сія медыжыт мутор, кöда куйлö Рытвыв джыншарын. Америка тэчöм кык континентісь Лунвыв Америкаись да Ойвыв Америкаись. Европаын Америкасö шуöны Виль муюгытöн.


== Мувевдӧр ==


=== Ойвыв Америка ===
Калаалит Нунаат (Данмарклӧн)
Канада
Америкаись Ӧтлаасьӧм Штаттэз
Мексика
Сен-Пьер да Микелон діэз (Франсмулӧн)
Бермуд діэз (Ыджыт Бритмулӧн)
Клиппертон ді (Франсмулӧн)


=== Шӧрись Америка ===
Белиз
Гватемала
Гондурас
Коста-Рика
Никарагуа
Панама
Сальвадор


=== Кариб саридзись канмуэз ===
Ангилья (Ыджыт Бритмулӧн)
Антигуа да Барбуда
Аруба (Недерландлӧн)
Багама діэз
Барбадос
Бонайре (Недерландлӧн)
Виргин діэз (Ыджыт Бритмулӧн)
Виргин діэз (Америкаись Ӧтлаасьӧм Штаттэзлӧн)
Гаити
Гваделупа (Франсмулӧн)
Гренада
Доминика
Доминикана Ӧтувкан
Кайман діэз (Ыджыт Бритмулӧн)
Куба
Кюрасао (Недерландлӧн)
Мартиника (Франсмулӧн)
Монтсеррат (Ыджыт Бритмулӧн)
Пуэрто-Рико (Америкаись Ӧтлаасьӧм Штаттэзлӧн)
Саба (Недерландлӧн)
Сен-Бартелеми (Франсмулӧн)
Сен-Мартен (Франсмулӧн)
Сент-Винсент да Гренадин діэз
Сент-Китс да Невис
Сент-Люсия
Синт-Мартен (Недерландлӧн)
Синт-Эстатиус (Недерландлӧн)
Теркс да Кайкос (Ыджыт Бритмулӧн)
Тринидад да Тобаго
Ямайка


=== Лунвыв Америка ===
Аргентина
Боливия
Бразилия
Венесуэла
Гайана
Гвиана (Франсмулӧн)
Колумбия
Лунвыв Джорджия да Лунвыв Сандвич діэз (Ыджыт Бритмулӧн)
Парагвай
Перу
Суринам
Уругвай
Фолкленд діэз (Ыджыт Бритмулӧн)
Чили
Эквадор",koi,География,ordonné,https://koi.wikipedia.org/?curid=6266,174,
6270.0,Антарктида,"Антаркти́да (эл. ἀνταρκτικός ""Арктикакöт паныт"") – Му планета вылын квать континентісь ӧтік. Сія куйлö Мушар лунвылын, Лунвыв полюс гöгöр. Быд ладорсянь Антарктидасö кытшöвтö Лунвыв океан. Континентыс 14,4 млн км² ыжда (ныись 1,6 млн км² шельфись кыссянйы).

		
			
			
		
		
			
			
		
		
			
			
		
		
			
			
		
		
			
			
		


== Куйланін да ыжда ==


== Мувевдӧр ==


== Колана шедтассэз ==


== Климат ==


== Юэз да тыэз ==


== Быдмӧт ==


== Пода ==


== Отир ==


== Политика ==


== Экономика ==


== Культура ==",koi,География,ordonné,https://koi.wikipedia.org/?curid=6270,74,
6265.0,Африка,"Африка – Му планета вылын квать муторись да квать континентісь ӧтік. Ӧтлаын Евразиякӧт сія аркмӧтӧ мушар вылас медыджыт суперконтинент.


== Дорреза точкаэз ==
Северӧсь — мыс Бланко (Бен-Секка, Рас-Энгела, Эль-Абъяд)
Южӧсь — мыс Игольнӧй (Агульяс)
Западӧсь — мыс Альмади
Востокӧсь — мыс Рас-Хафун


== Шусьлӧн аркмӧм ==
Пондӧтчанаись словонас «афри» оліссезыс древньӧй кар Карфагенлӧн шувлісӧ мортэӧс, кӧдна олісӧ неылын карыссянь. Этійӧ шусьсӧ обычно нуӧтсьӧтӧны финикийскӧй «afar» кӧт, мый значитӧ «бус» . Карфогенсӧ завоеваннё бӧрсянь, римляннэс шуісӧ провинциясӧ Африка (лат. Africa). Сёрӧнжык Африкаӧн пондісӧ шувлыны и дӧс тӧдса регионнэсӧ эта континентлісь, а сыбӧрын и асьсӧ иконтинентсӧ. 
Мӧдік теория шуӧ, что шусь отирлӧн «афри» аркмӧ берберскӧйись ifri, «пещера», имейтчӧ видын пещераӧсь оліссесӧ. Аркмӧм сёрӧнжык этія ланьын мусульманӧсь провинция Ифрикия сідзжӧ сохранитіс этӧ вуджсӧ аслас шусьын. Мнение сьӧрті историк и археолог И. Ефремовлісь, слово «Африка» локтіс кӧркӧся Египетӧсь кылісь «Та-Кем», слово «Афрос» — быгйӧсь ладор. Эта связана динасьӧмкӧт кынымиськӧ виддэза визыллэзлісь, кӧдна образуйтӧны быг, приближениё дырни континентыс дынӧ Средиземнӧй море кузя.


== Климат ==
Климат кӧс. Африка самӧй ӧдъя материк планеталӧн.
Унажык сая тор вылас средньӧй температура любӧй месяцлӧн вылынжык +20 С, мый объясняйтчӧ расположеннёӧн унажык торсӧ материкыслісь тропиккез коласын, кытӧн шондіыс воыс визылын сулалӧ вылына горизонтыс весьтын, а кыкись воас оллӧ зенитын.
Сезоннэз волӧн унажык различайтчӧны ӧтамӧд коласын увлажнение условиеэз кузя.


== Юэз да тыэз (водопаддэз) ==
Африкаын котортӧ ю Нил кыкӧт кузьмӧса сьӧрті ю мирлӧн, сыисся кузьжык тӧкӧ юж. Америкаӧсь ю Амазонка. Кузьмӧсыс Ниллӧн 6 852 км.
Сідзжӧ африкаын ӧшӧ котӧртӧны кузь юэз: 
Конго 4700 км., Нигер 4 150 км., Замбези 2660 км., Оранджевӧй ю 220 км., Вольта 1600 км., Лимпопо 1600 км.,  Руфиджи 600 км.
Африкаын сулалӧ медыджыт ты Виктория ю Замбези вылын, паськытанас 1800 метр, вылынаӧн 128 метр.
Сідз жӧ африкаын медыджыт тыэз: Ауграбис, Тугела, Хоуик-Фоллз, Мерчисон, Тамарин, Джимба, Малетсюнейане, Каламбо, Каландула.


== Пиэз ==
Олӧнны бегемоттэз, леввез, тигррез, крокодиллэз, верблюддэз, жираффез, зебраэз и уна мӧдік пиэз.


== Отир ==
Олӧны унажыксӧ негыррез да араббез.


== Политикаӧсь торйӧтӧм ==
Африкаын пукӧтсянаӧсь 55 страна и 5 аспровозглашёнӧйез и непризнанӧйӧсь государствоэз. Большинство ныись дырся кадсӧ вӧлісӧ колонияэӧн европейскӧй государствоэзлӧн и обретитісӧ независимостьсӧ тӧкӧ 50 —60-т воэзын XX векас. Эта одзын независимӧеӧн вӧлісӧ тӧкӧ Египет (1922 сянь), Эфиопия (Средневековьеа каддэзсян), Либерия (1847 восянь) и ЮАР (1910 восянь); ЮАР ас и  Южӧсь Родезияас (Зимбабве) вплоть 80-90-х воэзӧдь XX векас, сохранитчыліс режим апартеид лӧн, дискриминацияӧсь вужжея населеннёыс дынӧ. Ӧніся кадӧ уна африкаӧсь странаэзын правитӧны режиммез, дискриминацияӧсьӧсь отношение сьӧрті чӧчкӧм население кежӧ. Север вылас континентас расположенӧйӧсь территорияэз Испаниялӧн (Сеута, Мелилья, Канарскӧй островвез) и Португалиялӧн (Мадейра).


== Ысттэз ==
Водопады Африки (роч.)
Реки Африки (роч.)
Африка климат (роч.)",koi,География,ordonné,https://koi.wikipedia.org/?curid=6265,422,
6272.0,Океания,"Океания – Му планета вылын квать муторісь ӧтік. Сія куйлö Асыввыв джыншарын да Лунвыв джыншарын. Океания тэчасын лыддьöны кык юкöт: континент Австралия да Лӧнь океанісь діэз (островвез), кöдна öтвыв шусьöны Океанмуэз. 


== Куйланін да ыжда ==


== Мувевдӧр ==


== Колана шедтассэз ==


== Климат ==


== Юэз да тыэз ==


== Быдмӧт ==


== Пода ==


== Отир ==


== Политика ==


== Экономика ==


== Культура ==",koi,География,aléatoire,https://koi.wikipedia.org/?curid=6272,69,
2322.0,Мушар,"Мушар (символ: ) 


== Мый ыжда мушарыс ==
XVІІ вексянь пондісӧ точнӧя муртавны, кузь я градусыс, мӧднёж шуны, кузь я мушар гӧгрӧсісь 1/360 торыс. Этӧ керӧны и ӧння кадӧдз. Мурталӧм бӧрын пондісӧ тӧдны, муыс пӧ шар кодь, кӧда полюссэз весьтӧт невна ляпкӧса. Этасянь му радиуссэс и не ӧтыждаӧсь. Полюслань радиусыс, мӧднёж шуны, му шӧрсянь ойвыв полюсӧдз, 6356 километра ылына. А экваторлань радиусыс – му шӧрсянь экваторӧдз – 6378 километра ылына. Шӧрӧт лыднас му шарлӧн радиусыс – 6370 км. Мулӧн гӧгрӧсыс 40 070 км. Эта гӧгрӧслӧн ӧтік градусыс – 111 километра.


== Муыс бергалӧ ось гӧгӧр ==
Полюссэз весьтӧт муыс лоис ляпкӧса. Ляпкӧса шар кодьӧн вермасӧ лоны токӧ газкодь да небыд вывтыррез, кӧр нія бергалӧны да кӧр нылӧн ыждӧ шӧрсянь пышшан вын (вын, кӧда пышшӧ му шӧрись). Сэтшӧм вывтыррез вылӧ муыс и вачкисис, кӧр сія вӧлі калитӧм быдсӧн.
Мийӧ адззам, бытьтӧ шондіыс петӧ асыввывсянь, луншӧрнас вылына кайӧ горизонт вевдӧрӧ да лэдзчӧ рытвылын. А былись лоӧ мӧднёж: не шондіыс ветлӧ асыввывсянь рытвылӧ, а муыс бергалӧ аслас ось гӧгӧр рытвывсянь асыввылӧ.
Асыввывсянь рывылӧ шонділісь ветлӧмсӧ позьӧ вежӧртны сэк, кӧр мийӧ асьным кытчӧ либо мунамӧ. Босьтам пример: кӧр мийӧ мунамӧ поездӧн, дак адззам бытьтӧ вӧрыс, ыббес, телегрф стоббес да станцияэс котӧртӧны не сылань, кӧдалань мийӧ мунамӧ, а мӧдӧрӧ, бӧрлань.
Кӧр ми ойӧн видзӧтам кӧдзуввес вылӧ, дак адззам: шонді моз и кӧдзуввес мунӧны асывланьсянь рытланьӧ. Быд кӧдзув коласісь дзир ӧтік кӧдзув кольтчӧ вешшытӧг – этӧ Юрйыв кӧдзув.
Сійӧн, мыля кӧдзуввес оз ветлӧ ӧтмӧдӧрӧ, а мунӧны ӧтіклань, мийӧ адззам, бытьтӧ кӧдзула нёбоыс быдсӧн бергалӧ му гӧгӧр, кытшӧвтӧ сійӧ 24 часӧн.
Но босьтам кӧ тӧд вылӧ то мый: му сьӧрті шондіыс уна ыджытжык (1305 сюрс кынымись), дак миян чайтӧмыс нач лоас невежӧртана, мыля сэтшӧм ыджыт шар – шонді – пондас ветлыны учитик шар гӧгӧр – му гӧгӧр.
Эшӧ невернӧйжык чайтӧмным, босьтам кӧ ми сійӧ, мый перыта коліс бы сэк лэбзьыны планетаэзлӧ да кӧдзуввезлӧ. Шуам, шондісянь ӧддьӧн ылын планеталӧ – Нептунлӧ – коліс бы ӧтік суткиӧ мунны 28 миллярд километра. А Капелла кӧдзувлӧ коліс бы ӧтік секундаӧ лэбзьыны 32 миллиард километра.


== Лун да ой ==
Мийӧ шуим ни, муыс бергалӧ ось гӧгӧр. Этасянь ой да лун овлӧ: югдӧтӧм му ладорас овлӧ лун, а пемыт ладорас – ой. 
Мулӧн бергалікас быд чутыс керӧ гӧгрӧссэз. Ӧтіккез керӧны ыджытжыккезӧ, мӧдіккез – учӧтжыккезӧ. Токо кык чут, кӧдна куйлӧны мушарас ӧтмӧдӧрсянь, озӧ керӧ гӧгрӧссэсӧ. Эна невештасян чуттэс шусьӧны полюссэзӧн.
Мулӧн полюсыс, кӧда куйлӧ Юрйыв кӧдзувланьын, шусьӧ ойвыв полюсӧн, а мӧдӧрись полюсыс – лунвыв полюсӧн. Ойвыв полюс весьтас Юрйыв кӧдзулыс видзсьӧ веськыта юр вевдӧрын.
Чайтан гӧгрӧс визьыс, кӧда куйлӧ полюссэзсянь ӧтылына, шусьӧ экваторӧн. Му шарсӧ сія янсӧтӧ ӧтыжда кык джыншарӧ: ойвыв джыншар да лунвыв джыншар.


== Мулӧн вося бергӧтчӧм ==
Во сьӧрна луннэс да ойес овлӧны не ӧткузяӧсь. Март 21 лунӧ ойыс да луныс ӧткузяӧсь, мӧднёдж шуны, и луныс 12 час и ойыс 12 час. Сэсся юнь 22 лунӧдз кузьжыкӧсь и кузьжыкӧсь лоӧны луннэс. Мӧскваын юнь 22 лун сулалӧ 17 час да 35 минута дырна. Эта бӧрын луныс пондӧ чинны. Сентяб 23 лунӧ сія сулалӧ 12 час дырна. А декаб 22 лун кежӧ лоӧ токо 6 час 25 минута. Декаб кыкдас кыкӧт бӧрын луныс пондӧ содны. Март 21 лун кежӧ сія лоӧ 12 час кузя. Мыйянь эта шогмӧ? Сысянь, мыля муыс бергалӧ шонді гӧгӧр и быд кадӧ неӧтмоз сія видзӧтӧ шонділань. Кыдз бы му шарлӧн осьыс видзсис веськыта (отвеснӧя) сія туй сьӧрті, кӧда кузя муыс ветлӧ шондӧ гӧгӧр, дак эзӧ бы вежсьӧ во каддэз, и луннэс да ойес прокод-бы вӧлісӧ ӧткузяӧсь – 12 часӧн. 
Но мушарлӧн осьыс пыр видзсьӧ пӧліньӧн (пӧліньтчӧ 66½ ° пельӧс увтӧ), а ойвыв полюсыс видзӧтӧ Юрйыв кӧдзувлань, кӧда горизонт вевдӧрас прокод овлӧ ӧтвесьтын. Вот мыля шонді веськыт югӧррез увтӧ сюрӧ нето му шарлӧн сія бокыс, кӧда куйлӧ экваторсянь ойвыласжык, нето экваторыс, нето экваторсянь лунвывланьжык куйлан бокыс. Первӧй случай коста ойвыв джыншарас овлӧ гожум, а лунвыв джыншарас – тӧв. Мӧд случай коста – тулыс да ар. А куимӧт случай коста – лунвыв джыншарас овлӧ гожум, ойланисяс – тӧв (5 рис.).
Медодзза положеннёас муыс овлӧ март 21 лунӧ. Югытъянсӧтан визьыс (югыт коласын да пемыт коласын визьыс) мунӧ полюссэз пыр. Эта положеннёын му вылас омӧн луныс овлӧ ойкӧт ӧткузя. Эта тулысся ойкузялуна кад (равноденствие). Ойвыв джыншарын сэк – тулыс. Экватор вылас эта кадӧ шондіыс овлӧ веськыта юр вевдӧрын.
Мӧд положеннёас муыс овлӧ юнь 22 лунӧ. Эта лунӧ овлӧ гожумся шондісулалан. Сэтшӧм положеннё дырни ойвыв джыншарын овлӧ гожум, а лунланисьын – тӧв. Ойвыв джыншарас быдлаын ой сьӧрті луныс кузьжык. И токо экватор дынын лункӧт ойыс ӧткузя.
Сентяб 23 лунӧ муыс овлӧ сэтшӧм жӧ положеннёын, кыдз и март 12 лунӧ. Эта – арся ӧткузя луна кад. Сэк ойланись джыншарын – ар. 
Нёльӧт положеннёын муыс овлӧ декаб 22 лунӧ. Эта – тӧвся шондісулалан. Эта лунӧ ойвыв полюсыс да сы гӧгӧрӧт муыс овлӧ вуджӧр увтын. Шонді югӧррес веськыта усьӧны экваторсянь лунланьӧжык. Эта кадӧ лунвыв джыншарын – гожум, ойланисьын – тӧв.
Шонытыс, кӧдӧ сетӧ шонді, му вевдӧрас сюрӧ не ӧтмоз. Шондіыс кыным дыржык шонтӧ, сыным унажык сія сетӧ шоныт. Но шонытыс лоӧ не токо этасянь, но и сысянь, кыдз усьӧны югӧррез – веськыта али пӧліньӧн. Веськыт югӧррез сетӧны шонытсӧ унажык, пӧліняэс – етшажык.
Ӧтік воӧ экватор дорын шондіыс кыкись овлӧ вськыта юр вевдӧрын – март 21 лунӧ да сетняб 23 лунӧ. Визьыс, кӧда мунӧ экваторкӧт ордчӧн, кӧда сы дынсянь куйлӧ ойланьынжык 23½°, шусьӧ ойвыв тропикӧн. А сэтшӧм жӧ визь, кӧда куйлӧ экваторсянь лунланьынжык сы ылына жӧ, шусьӧ лунвыв тропикӧн. (Тропик – мусӧ гӧгӧртан кытш. Сідз эта визьыс нимтӧм сійӧн, мыля сы сайын ойланьынжык шондіыс оз ни овлы веськыта юр вевдрын, а мунӧ сія бытьтӧ бӧрлань). Ойвыв тропик вылас веськыта юр вевдӧрын шондіыс овлӧ юнь 22 лунӧ, а лунвыв тропик вылас – декаб 22 лунӧ. Визьыс, кӧда мунӧ экваторкӧт ордчӧн, кӧда сы дынсянь куйлӧ ойланьынжык 66½°, шусьӧ ойвыв полюс кытшӧн. А сэтшӧм жӧ визь, кӧда куйлӧ экваторсянь лунланьынжык сы ылына жӧ – лунвыв полюс кытшӧн. Полюс кытшшез вылын вонас ӧтпырись луныс сулалӧ 24 час. Сы дырна жӧ вонас ӧтпырись сулалӧ и ой.
Ойвыв полюс кытш вылын луныс сулалӧ 24 час – юнь 22 лунӧ, а ойыс сулалӧ 24 час – декаб 22 лунӧ. Лунвыв полюс кытш вылын луныс сулалӧ 24 час – декабр 22 лунӧ, а 24 часа ойыс – юнь 22 лунӧ. Полюссэз вылын 6 тӧлісь гӧгӧр сулалӧ лун и 6 тӧлісь гӧгӧр – ой. 


== Воэз лыддьӧм (важмоз да вильмоз) ==
Кӧр пондісӧ лыддьыны, кузь я воыс, дак пантасисӧ уна сьӧкыттэз. Воас медбӧрья ойлуныс не быдса (воас – 365 ойлун 5 час 48 мин. да 46 секунда). Оз лӧсяв кыдзкӧ пондӧтны восӧ не быдса суткисянь. Миян воэз лыддьӧмӧдз 46 воӧ висьталісӧ, куим во пӧ мед вӧлісӧ 365 ойлунӧн, а нёльӧт («кассян» воын – 366 ойлун. Кассян воэзӧн лыддисьӧны сэтшӧм воэз, кӧднӧ позьӧ юкавны нёль вылӧ, шуам, 1904, 1908, 1916. Простӧй воэзся энӧ воэсӧ пондісӧ лыддьыны кузьжыккезӧн. Нія лоисӧ кузьжыкӧсь 11 минутаӧн да 16 секундаӧн, мӧднёж шуны, воын 365¼ сутки. Этасянь 128 бӧрын петіс сорасьӧм 1 ойлунӧн. Эта календарыс шусьӧ важмоз лыддьӧмӧн.
Медбы ӧксьӧм сорасьӧмсӧ бырӧтны, 1582 воӧ лыддьӧссӧ вештісӧ одзлань 10 лун вылӧ. А медбы эз вӧлӧ сорасьӧммез одзлань, дак воэсӧ, кӧдналӧн лыддьӧссэз помассьӧны кык нульӧн, пондісӧ кассяннэзӧн лыддьыны токӧ сэк, кӧр нылісь медодзза кык лыдпассӧ позьӧ юкавны нёль вылӧ, шуам, 1600, 2000 – кассян воэз, а 1700, 1800, 1900 – простӧй воэз. Эта календарыс шусьӧ вильмоз лыддьӧмӧн. 1918 февраль 15 лунӧ этӧ пыртісӧ и Рочмуын. Вильмоз лыддьӧм коласын да важмоз лыддьӧм коласын неӧткодьыс – 13 ойлун.",koi,География,aléatoire,https://koi.wikipedia.org/?curid=2322,1211,
12987.0,Вудард Дэвид Джеймс,"Дэвид Джеймс Вудард (ингл. David James Woodard,  [ˈwʊdɑːrd]; *1964' апрель 6’ лун, Санта-Барбара, Калифорния) —  Америкаись музыкант да гижись.


== Öшмöссэз ==
Kracht, C., & D. Woodard, Five Years (Hannover: Wehrhahn, 2011)
Tenaglia, F., Momus—A Walking Interview (Milano: Noch, 2015)
Allen, B., Pelican (London: Reaktion, 2019)
Horzon, R., The White Book (Berlin: Suhrkamp, 2021)


== Ыстісяннэз ==


== Ыстӧттэз ==

 Дэвид Вудард
Библиотека Конгресса
 Веськӧтлан сайт",koi,Персоналияэз,ordonné,https://koi.wikipedia.org/?curid=12987,66,
,Инюпиак кыв,"Инюпиак кыв нето инюпиатун (асмознас Iñupiatun) — этӧ эскимос вужись инуит кывлöн рытвыв тор.
Инюпиак отирись (13 500 морт) асланыс кыв вылын баитӧны 3 сюрс морт, унажыксö Америкаись Ӧтлаасьӧм Штаттэзын (Аляскаись рытвыв да ойвыв районнэз) да Канадаын (Аклавик да Инувик грезддэз). 
Аляскаас (Нортвест Арктик район) да Канадаас (Маккензи дельта) инюпиак кывсö нормируйтöмась торйын. Канадаын этійö кывсö шуöны ууммармиутун.
Канадаын нормируйтöмöсь сідзжö инуит кывлісь мöдік варианттэз, инуктитут да инувиалуит кыввез.


== Ним йылісь ==
Инюпиак кыв (Iñupiaq, Inupiaq, Inyupiaq) шуöны сідзжö инюпиат кыв (Inyupiat, Inyupeat), инюпик кыв (Inyupik, Inupik) нето инюпиатун (Iñupiatun, Inupiatun).


== Диалекттэз ==
Инюпиак кывлöн нёль сёрнитан, нійö позьö группируйтны кыкö:

Съюард кöджись инюпиатун: (Ноум ареалын)
Беринг вискись сёрнитан: Ingalikmiut, Imaqłit, Kiŋikmiut, Tapqaġmiut, Ukiuvaŋmiut.
Кавиаракись сёрнитан: Siñġaġmiut, Qaviaraġmiut, Ayaqsaaġiaaġmiut, Aziagmiut, Iġałuiŋmiut.
Ойвыв Аляскаись инюпиатун
Ойвыв-рытвыв Аляскаись сёрнитан нето Малимиут кыввэз: (Аляскаись Нортвест Арктик районын)
Коцебуись диалект нето Ойвыв малимиут: Pittaġmiut, Kaŋiġmiut, Qikiqtaġruŋmiut
Кобукись диалект нето Лунвыв малимиут: Kuuŋmiut, Kiitaaŋmiut (Kiitaaġmiut), Siiḷviim Kaŋianiġmiut, Nuurvinmiut, Kuuvaum Kaŋiaġmiut, Akuniġmiut, Nuataaġmiut, Napaaqtuġmiut, Kivalliñiġmiut.
Норд Слоупись сёрнитан: (Аляскаись Норт Слоуп районын)
Пойнт Хоупись диалект: Tikiġaġmiut
Норт Слоупись диалект: Utuqqaġmiut, Siḷaliñaġmiut (: Kukparungmiut да Kunmiut), Kakligmiut (:Sidarumiut, Utkiavinmuit да Nuwukmiut), Kuulugruaġmiut, Ikpikpagmiut, Kuukpigmiut (: Kañianermiut, Killinermiut да Kagmalirmiut)
Анактувук Пассісь диалект: Nunataaġmiut
Канадаись диалект нето Ууммармиутун: Uummarmiutun. (Канадаись Аклавикын да Инувикын).


== Инюпиак анбур ==


=== Аляскаись инюпиак анбур ===
Ойвыв Аляскаись инюпиак анбур (Atchagat) лöсьöтöм латынь анбурись, кытісь босьтöмöсь 24 шыпас. 

extra letters for Аляскаись dialectic usage:

Diomede : e
Bering : w , z , zr
Kobuk : ’
Seward : b


=== Канадаись инюпиак анбур ===
Канадаись инюпиак (Ууммармиут) анбур лöсьöтöм латынь анбурись, кытісь босьтöмöсь 22 шыпас.


== Аляскаись да Канадаись диалекттэз ==


== Унаö лыддян ==


== Лыдниммез ==


== Ыстісяннэз ==


== Ыстӧттэз ==
Iñupiaq Combined Dictionary (only Ойвыв да Ойвыв-рытвыв Аляскаись Диалекттэз)
Interactive IñupiaQ Dictionary (only Ойвыв да Ойвыв-рытвыв Аляскаись Диалекттэз; Attention, if not downloaded of the Iñupiaq font: e = ñ / o = ł̣ / b = ġ / f = ŋ / j = ł / x = ḷ)
Ugiuvaŋmiuraaqtuaksrat / Future King Island Speakers (in King Island dialect)
North Slope Iñupiaq Grammar Second Year (Preliminary Edition for Student Use Only) by Edna Ahgeak MacLean, Alaska Native Language Center, University of Alaska Fairbanks, seventh printing 2000",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=6318,371,6318.0
,Эскимос-алеут кыввез,"Эскимос-алеут кыввез нето Эскалеут кыввез — этӧ кыв вуж. 

Алеут кыввез
Алеут кыв — 150 морт
Меднӧй-алеут кыв (алеут-роч пиджин) — 5 морт
Эскимос кыввез
Юпик кыввез
Сиреник кыв нето Сиреник юпик кыв (Uqeghllistun) — Рочмуись Чукотка кытшись Сиреник (Сиӷы́ныӽ) посёлокын, †1997, Валентина Выйе
Сибирись юпик кыв
Уназикский говор : Рочмуись Чукотка кытшись Унгазик (нето Чаплино) посёлокын
Аванский говор : Рочмуись Чукотка кытшись Аван посёлокын
Имтукский говор : Рочмуись Чукотка кытшись Имтук посёлокын
диалект острова Св. Лаврентия : Америкаись Ӧтлаасьӧм Штаттэзын Аляскаись Св. Лаврентия діын
Науканісь юпик кыв — Рочмуись Чукотка кытшись Наукан да Дежнёв посёлоккезын
Аляскаись юпик кыв нето Медшӧр Аляскаись юпик кыв (Yugtun, Yugcetun, Cugtun)
Алютик кыв нето Сухпиак кыв (Sugcestun, Sugtestun, Alutiitstun)
Инуит кыввез
Инюпиак кыв нето Инюпиатун (Iñupiatun)
Ууммармиутун (Uummarmiutun)
Рытвыв Канадаись инуит кыв, Инувиалуит кыв,  нето Инувиалуктун (Inuvialuktun)
Сиглит диалект нето Сиглитун (Siglitun)
Инуиннактун диалект (Inuinnaqtun, ᐃᓄᐃᓐᓇᖅᑐᓐ)
Натсилик диалект нето Натсилингмиутут (Siglitun)
Асыввыв Канадаись инуит кыв нето Инуктитут (Inuktitut)
Гренландия инуит кыв нето Калааллисут (Kalaallisut) : Калаалит Нунаатын",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=6321,163,6321.0
,Тӧдса пилот,"Тӧдса пилот этӧ коми зыряналӧн сьыланкыв. Кыввезыс В.Власовлӧн. Музыкаыс В.Мастеницалӧн.
Ме ю шӧрӧ пета
Да бакенъяс ӧзта,
Мед прӧйдитас сэт теплоход;
Выль тӧлыськӧд ӧттшӧтш
Горт пристаньӧ чеччас
Лӧз синъяса тӧдса пилот.
Рыт колльӧдны волӧ,
Мед тӧдны, кыдз ола
Ме, бакенъяс видзысьлӧн ныв.
Кӧть сёрнитны сыкӧд
И абу зэв сьӧкыд,
Но мыйлакӧ вошлывлӧ кыв.
Мед частӧджык волӧ
Да кузьджыка олӧ;
Сэк тӧдмала: радейтӧ оз.
Ме ӧзтася ачым,
Мед бурджыка аддзӧ,
Да бӧр теплоходыс оз кос",koi,Культура (Sous-catégorie),,https://koi.wikipedia.org/?curid=978,74,978.0
