pageid,title,text,language,category,type,url,token_count,page_id
21571.0,Agent blå,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям
Agent blå — шведэнь инди-поп сёдямо-морамо кужо.


== «Agent blå»-с совицянзо ==
Эмели Алатало — морыца
Феликс Скёрвальд — гитарасо
Лукас Густавссон — гитарасо
Жозефина Так — бас-гитарасо ды морыца
Арвид Кристенсен — налкси перкуссияссо
Тобиас Бауэр — синт


== Дискографиязо ==


=== Синглат ===
2015 — «Strand »
2017 — «Don't Talk to Strangers»
2017 — «Rote Learning»
2018 — «Another Reason To Cut Off An Ear»
2019 — «Child's Play»


=== EP ===
2018 — «Medium Rare»


=== Альбомт ===
2017 — «Agent blå»
2019 — «Morning Thoughts»


== Лисьм.: ==


== Невтевкст ==
Кулятне Discogs-со
Agent blå эсьлемпелень вальмась  Facebook потсо",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=21571,108,
23896.0,Isolated Youth,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям
Isolated Youth — шведэнь пост-панк сёдямо-морамо кужо.


== «Isolated Youth»-с совицянзо ==
Аксель Мордберг — морыця
Уильям Мордберг — гитарасо
Эгон Вестберг Ларссон — бас-гитарасо
Андреас Гейдемарк — налкси перкуссияссо


== Дискографиязо ==


=== Альбомт ===
2017 — «Isolated Youth»
2019 — «Warfare»
2020 — «Iris»
2025 — «Miserere Mei»


== Видео ==
 «Safety» 


== Лисьм.: ==


== Невтевкст ==
Кулятне Discogs-со
Isolated Youth эсьлемпелень вальмась  Facebook потсо",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=23896,72,
20539.0,Silent Woo Goore,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям
Silent Woo Goore — удмуртонь фолк-роконь сёдямо-морамо кужо.


== «Silent Woo Goore»-с совицянзо ==
Свети Ручкина — морыца
Владимир Жуйков — гитарасо
Артем Сутягин — бас-гитарасо
Григорий Степанов — налкси перкуссияссо


== Дискографиязо ==


=== Синглат ===
2011 — «Тӧл» синглат


=== Альбомт ===
2012 — «Толэзе»


== Видео ==
 «Питырес» 


== Лисьм.: ==


== Невтевкст ==
Кулятне Контактсо.
Кулятне Facebook-со",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=20539,65,
5821.0,«Гайги Вайгель» морамо кужо,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям

«Гайги Вайгель» (руз. «Звонкий голос») — эрзянь авань раськень морамо кужо, Од Пурнясто. 
Кочкурбуень Од Пурня велесэ ули «Гайги вайгель» морамо кужо, сонтемензэ Мордовиясо а юты вейкеяк покшчи. Коллективесь морси кода эсензэ буесэ, истя жо республикань покш сцена лангсо, ардтни лия регионовгак. Те ансамблясонть эрьва кодамо профессиянь ломанть, иесткак, видьстэ меремс, аволь аламо. Ансяк весень сынст вейсэнди вейкесь – эрзянь моронтень певтеме вечкемась. «Гайги вайгелесь» – Мордовия Республикань Государственной премиянь лауреат, раськеютконь, весероссиянь, республикань, буень эрьва кодамо пелькстамонь ды фестивалень лауреат ды дипломант.
Те коллективесь пурназель 1953 иестэ. Васенце составонть эйстэ тосо морсить ансяк кавто ломанть. Сынь ледстнить, кода 1970 иестэ ардтнесть Московов «Мелодия» звукозаписывающей студияв, косо грампластинкас сёрмадозельть сынст морост. Ансамблясонть моронь ушодыцякс ульнесь  Прасковья Кузьминична Крамойкина. Коллективсэнть а ёвтавишка путовксост Дарья Леонтьевна Антошкинань, Фёкла Ефимовна Мокейкинань. Сынсь стасть эрзянь оршамопельть, кочкасть репертуар, ледстнесть-вельмевтсть стувтозь седикелень койтнень. Весе юткошкаст алтасть вечкевикс тевентень. Ансамблясь курок теевсь райононь визитной карточкакс.
70-це иетнестэ ансамблянь ветицякс ульнесь Р.С.Зорькина. Сон парсте содасынзе эрзянь моротнень, койтнень-кирдатнень. Мельспаросо морсесь аватнень марто велень эрицятнень икеле. (Ней Раиса Сергеевна морси «Ламзурь» ансамблясо). 1983 иестэ саезь Од Пурнянь авань коллективенть кармась ветямо Мария Дмитриевна Бояркина(2009 иестэ казязь (руз. Почетной грамотой Республики Мордовия). Самай сестэ кочказель ансамблянть туртов виев лемеськак – «Гайги вайгель». Сон кармась эрсеме республикань культурань весе мероприятиятнесэ. Ды аволь стяко шкань ютазь ансамблянть туртов максозель раськень коллективень покш лемесь.
Пек парсте содасызь морост аволь ансяк Мордовиясо, томбалеяк - Чувашиясо, Самарань ёнксо, Петербургсояк.  «Гайги вайгеленть» репертуарсо эрзянь кезэрень морот, рузонь раськень морот, частушкат, содавикс сказительницанть Серафима Люлякинань моронзо. Морыцятнень валост коряс, кезэрень моротнень сынь тонавтнесть бабаст-сырькаест пельде. Раськень моротне ютасть вейкеде-вейкес. Сынст свал морсесть весе кенярксчитнесэ, косо весе велесь пурнавиль вейс.
Ансамблясь вельмевтизе «Эрзянь свадьба» коенть. Тосо улить башка морот, конатнень морсильть ансяк урьвакстомсто, кодат валт эряви ёвтамс, кона шкане авардемс, лисемс киштеме ды седе тов. Ламо вийть путыть раськеть койтнень ды озкснэнь ютавтома туртов. Ванстызь ды невтить ломантненень Покров покшчинть, Роштувань моротнень. Коллективень аватне кедьчелькевть. Сынь аволь ансяк эстест стасть костюмт, истя жо райононь лия ансамблятнень туртовгак.
2007 иестэ «Гайги вайгель» ансамблясь тердезель Санкт-Петербургов «Рождество Христово» Россиянь православной фольклорной фестивалентень. Тосо минек морыцятне невтизь «Эрзянь свадьбанть», Роштовань калядамотнень. Теде мейле ульнесть Казанень «Крутушка» Раськеютконь фестивальсэ.  2008 иестэ морамо кужонтень максозь  (руз. «Лауреат Государственной премии Республики Мордовия») лем.
Башка валт эряви ёвтамс, кода аватне вастневсть минек ды омбо масторонь покш ломантнень марто. 2007 иестэ Саранскойсэ ютась «Шумбрат, Финно-Угрия!» суоминь-угрань раськень Масторлангонь I фестивалесь. Те кенярксчинтень сакшность РФ-нь Президентэсь В.В.Путин, Финляндиянь Президентэсь Т.Халонен ды Венгриянь Премьер-министрась Ф.Дьюрчань. Омбоцеде минек аватне В.В.Путинэнь вастызь 2012 иестэ, зярдо келейстэ тешкставсть эрзянь ды мокшонь раськенть Россиянь государствань лия раськетнень марто вейсэндявомань тёжа етне. Россиянь Президентэсь кадсь коллективенть туртов автограф. Неть вастовоматнестэ кадовсть ламо фотокувт.
Теде мейле «Гайги вайгелесь» Оперань ды балетэнь театрасо вастсь Франциянь содавикс киноактёронть Жерар Депардьень. Эрзянь аватне тусть васолдонь инженть мельс. А кода эно?! Вайгелест оно кодат виевть, паляст лангсто сельметькак а саевить. Сынсь чаразь чарыть Жераронь перька, казсть тензэ эрзянь панар ды эрзя-мокшонь пачпорт.
2012 иестэ Од Пурня велев сакшность Московонь инжеть. «МИР» телеканалось «Гайги вайгель» ансамблядонть снимась документальной фильма. Эрьва морыцянть аволь шожда эрямодо ёвтнесть башка, якасть тенст кудос, невтизь, кода эрить. Истя жо невтизь репетицияст, конат ютыть велень клубсо. Вейке-вейкенень лездазь, бабинетне састыне кузить сцена лангс ды ушодыть моро. Сынст валост коряс, зярдо морыть – стувтовить весе мелявкстнэ, апаротне ды орматне. Малав весе эрить ськамост, мирдетне кулость, эйкакштне сралесть масторонь келес. Печтямс ризксэв ськамочинть лездыть моротне, концерттнэ. Фильмась лиссь пек мельстуиця! Сон ули Интернетсэяк, косо ванызь 14 тёжадо ламо ломанть!
2013 иестэ якасть Чебоксары ошов  «Весе минь – Россия» Весероссиянь народной творчествань фестивалев. Тосо сынь лиссть I степенень лауреатокс.
2014 иестэ максозь морамокужонтень раськень лем  — (руз. «Заслуженный коллектив народного творчества») (кемекстазь Россиянь Минкультурась  ацамковонь 16 чистэ 2014 иестэ).


== «Гайги Вайгель»-с совицянзо ==

Агеева Роза Степановна
Адмайкина Евдокия Герасимовна
Адмайкина Мария Никитишна
Адмайкина Нина Фёдоровна
Бояркина Мария Дмитриевна
Ведяйкина Мария Петровна
Кромойкина Прасковья Кузьминична
Мокейкина Фекла  Ефимовна
Потанина Валентина Фёдоровна
Лазуткина Вера Николаевна
Устинова Раиса Алексеевна
Фролкина Просковья Николаевна
2003 иестэ саезь ансамблянь аккомпаниаторокс кармась Иван Ильич Фролкин, вейке морсицянть мирдезэ.


== Морост ==
Кой-кона морост:«Маштыть, авакай» (руз. «Сумела, матушка»), «Ох, авакай, чиямак» (руз. «Ох, матушка, засватай меня»), «Дованть колмо церанзо» (руз. «У вдовы трое сыновей»), Вирьга юты Машура (руз. «По лесу проходит Машура»), «Бути саемс, Ваня леляй, саемак» (руз. «Если женишься на мне, дядя Ваня, то женись»), «Пиже садсо» (руз. «Во зеленом саду»), «Вирь чиресэ эрзянь цёрась» (руз. «На опушке леса эрзянский парень»). 


== Ванмот ==
: «Гайги вайгель» - «Вай, доля» морось (эрз.)
: - «Гайги вайгель» «Колмо кинеть» (эрз.)
: МТРК Мир ЗВОНКИЕ ГОЛОСА (эрз.), (руз.)


== Сёрм.: ==",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=5821,760,
9201.0,"Русланова, Лидия Андреевна","Лидия Андреевна Русланова (чачомсто лемезэ ульнесь Прасковья Андриановна Ле́йкина-Горшенина 1900 ожоковонь 27 чи — 1973 таштамковонь 21 чи, Москов ош) — содавиксэв рузонь моронь морыця (контральто). 
Сон чачсь 1900 иень ожоковонь 27 чистэ Даниловка велесэ неень Лопатинэнь буень Пенза ёнкссо эрзянь семиясо. 7-м иеньшкасто кажовсь тетя-ававтомо, саить урозкень кудов Саратовов. Пряды 3 класст церькувань-приходонь школа, морыль церькувань морамо кужосо. 1917 иень Ожоковонть мельга тонавтнесь Саратовонь консерваторисо, М.Е. Медведевень профессоронть кедьсэ. Кавто иень ютазь, чарькодсь оперань морамось аволь сонзэ, ды тусь консерватористо. 1926 иестэ Ростов-Дон-лангсо ошсо васенцеде морась кода морыця. Ламоксть лиснесь сцена лангс се шкань саратовань эрзявань оршамопельсэ. Ине Отечествань Ойнань морсесь фронтонь морсицятненень. 1945 иестэ морась Рейхстагонь ваксо. Ойнань прядомонть мельга эсинзэ мирдензэ марто Советэнь Союзонь Маралянть, В.В. Крюковонь генерал-лейтенантонть марто, ульнесь пекстазь. Сталинэнь куломанзо мельга ульнесь нолдазь ды тевесь лоткавтозель преступлениянть арасьчинзэ коряс.
Кулось 1973 иень таштамковонь 20 чистэ. Калмазь Новодевичье калмазырьсэ.


== Лисьм. ==",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=9201,147,
508.0,Налксемат,"Налксемат


== Эрзянь эйкакшонь налксемат ==


=== Эйкакшонь тундонь налксемат ===
Варакасо
Капста прясо
Карень микшнэма
Пацинеть
Пачасо
Пракста карькссэ
Саразкэсэ
Ур мельга пансема
Урнэсэ
Чакшкэсэ
Чомболкскэсэ
Юр-юрнэсэ


=== Телень ды кизэнь чыйнема-чарамо налксемат ===
Бабань киресэ
Варягат
Гичасо
Гуль-гуль гулинеть
Инечынь алонь кеверькшнэма
Инечынь алсо налксема
Кекшнемнесэ
Кечказсо
Кирькс оска
Кокасо
Куликсэ
Лоткавтык калдорушканть
Минек пандось
Нармунень кундсицят ды гулят
Оскасо - тея стенас
Полавтнема палкынеть
Панжомат
Панжык вальманть
Паноксо (Кознасо, козласо)
Пета-латасо
Пичынесэ
Рузонь кокасо
Сезик рисьменть
Совак кудос
Сокор бодясо
Ужосто ужос
Чарсо (жарсо)
Чушкасо (бур-палкасо)
Чыкордайсэ - веленть кувалт
Чыйнема оскасо
Чыпаенть кедьс-коморс
Шарсо (жарсо)
Шёлксо
Шлыгансо (папоксо)


=== Театрализовань налксемат ===
Атякшкэсэ
Ведьгевсэ
Вирень азор
Вирень налксемат
Вирень тетя
Кавал, нарвицька ды ципакат
Каргт
Кшуманнэсэ (репскэсэ)
Минь ардтано чугункава
Наймун ды лишмень салы
Нешкэ пиресэ
Нуицят ды верьгизт
Рысакт ды кучерт
Чыпай ды ковтарваз
Яксяргынесэ
Ярмонкав


=== Сёксень ды телень кудосо ды столь экшсэ налксемат ===
Видян, видян пакся кснав
Калгынеть
Кончкэть (куринесэ)
Пикштяемат (Штёткат)
Раськестэ раськес
Цибат
Чэерень налксемат
Чэерень толнэ
Чэернесэ
Чыкат


=== Од ломанень свадьбань кирькс кужонь свадьбань налксемат ===
Казнень анокстамо
Кирень саламо
Свадьбань казнеть
Суркскэсэ
Тейтерень баня


=== Телен покш чынь налксемат ды кирькс кужонь киштемат ===
Калядань толнэть
Калядань чы
Кесаконь ванкшномат
Уцяскань суркскэ


=== Тундонь ды кизэнь кирькс кужонь налксемат ды киштемат ===
Каснесь паксяс ашо лён
Каштаз пурдамо (Венець пурдамо)
Кереть кужо
Кода боярт яксить
Ливтясть нармунь полкт
Мако цецят мако принеть
Пирявкскэ
Ракшань ваныцянь кужо
Тешкс
Тинге кужо
Тундонь тердема
Шунянь Анкань селяка
Чыняз кужо


== Сёрм.: ==
Брыжинский Василий Сергеевич 2002: Сиянь рисьминеть. Мордовской книжной издательствась.


== Лисьмапрят ==",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=508,264,
3074.0,Панишень Аня,"Панишень Аня — эрзянь морыця. Неень шкань сехте содавикс тейтерень вайгель, кона моры эрзянь кельсэ.
Чачсь-кайсь Мордовиясо, Покш Килейбуесэ, Алу Парынз велесэ (рузкс Чёрная Промза). Школадо мейле тонавтнесь Мордовской прявт университетсэнть, раськень культурань факультетсэнть. Вейксэ иеть морась «Келу» морамо кужосонть. 2007 иестэ нолдась «Эряк тиринь мастор» морамо плаштя (CD). Вечки кодамо крючоксо, артомо коцт лангсо, салмукссо пурнамо эргть.
2008 иестэ саезь эри Московсо, Анж Ёлганя марто тейсть-пурнасть «Ойме» проект.


== «Эряк тиринь мастор» морамо плаштя ==
эйсензэ истят морот:

Эряк тиринь мастор
Ало веле
Авай
Тон ванат
Исяк ансяк
Уледе шумбрат
Кизэнь пиземе
Кизэсь ютась
Сёксь
Телесь сась
Панжиков
Киштеде мартом
Вень моро
Саран ош
Караоке «Эряк тиринь мастор»",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=3074,109,
5012.0,«Ойме» морамо-седямо кужо,"«Ойме»  (руз. душа, лат. OYME) —  сёдямо-морамо кужо. 
Ульнесь пурназь Московсо. Пурнызяцо Анж Ёлганя. Морыть раськень морот, лайшемат эрзянь, мокшонь ды шокшонь кельтнесэ.


== «Ойме»-с совицянзо ==
Морыть: Ежевика (Анж Ёлганя), Зыбкина Лариса, Кудинова Ксения. Соколов Михаил – налкси перкуссияссо, Осколков Влад – скрипкассо. Осинский Валентин – гайтеньрежиссёр.
Осинский Владимир - саунд-продюсер.
Морамо-седямо кужонть пурнамсто иешка морась Ёлганя марто Панишень Аня.


== Морот ==
«Куданьконь Кияксова»
«Пандозе»
«Савань Терюша»
«Морадо»
инструментсэ налксема «Ознома»


== «Ойме»-сь Россиянь ды Омбомастортнева ==
2010 иень ожоковонь 27-31 читнестэ ульнесть омбомасторонь невтемасо WOMEX’10 Копенгаген ошсо (Дания  Масторсо. Весемикс 2440 музыкань пурнавкст ды морыцят 94 масторсто. «OYME» морамо-седямо кужось ульнесь вейкесь колмотнень эйсте Россиянь Масторсто.
2011 иень панжиковонь 19 чистэ  «OYME» морамо-седямо кужось морась «Идем Мента» (руз. «Дикая Мята») этно-фестивальсэ («Этномир»,  Петрово веленть вакссо Боровонь буе,  Калугань ёнкс).
2011 иень панжиковонь 25 чистэ «OYME» морасть «Мирэнь теема» (руз. «Сотворение Мира») фестивальсэ (Казань ош).
2011 иень  медьковсто «OYME» сакшнось «Иван Купала» фестивалев (Калуга ош алов).
2011 иень таштамковонь 4 чистэ «OYME» морамо-седямо кужось вадрясто ютавтызь шканть «Урожай» Омбомасторонь фестивальсэ (Коломенское таркасо).
2011 иень сундерьковонь 12 чистэ Саран ошсо «OYME» ды  «Калинов Мост» пурнавкстнэ морасть вейсэ.


== Фотокувт ==

		
			
			
		
		
			
			
		
		
			
			
		


== Кунсоломат ==
OYMEexpeditions: erzya folk song «Darya-babine» Syulgamo (кунсолома)(эрз.)


== Лисьмапрят ==",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=5012,204,
20325.0,Синдхи культурань чи,"Синдхи культурань чи (англ. Sindhi Cultural Day, ЛопаПарцун:Lang-sd, урду سندھی ثقافتی دن‎, содами кода «Aekta jo ddihaarro») — покшчи, кона алтазь покш ды ламо пингень Синдхэнь культурантень, кона канды мазычинь ломантненень. Сон ютавтови кода Синдсэ, истя омбомасторсо косо эрить синдхтнэ. Кой-кить арсить те покшчись Индусонь лашмонть эрицятнэнь (Indus Valley Civilization) тёшкс.


== References ==
ЛопаПарцун:Reflist


== External Links ==
Sindhi Cultural Day 2018
Sindhi Cultural Day 2019",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=20325,67,
9243.0,Песняры,"стильсэ. 1998 иестэ морамо кужось тапавсь, ды 2003иестэ кулось Владимир Мулявингак. Неень шкасто улить 5 пурнавкст, конат морыть моротнень васенце «Песняры» кужонть, ды конататьнень лемест эйсэ ули «Песняры» валось. == Морамо кужонть историясь == 1969 иень таштамковонь 1 чистэ ушодовсь «Песняры» кужонть хронологиясь, сестэ «Лявоны» кужось ульнесь лемдясь гайтнема-седямокедьёнксонь кужос. С таким названием группа просуществовала около года, до IV Всесоюзного конкурса артистов эстрады, проходившего в октябре 1970 года, когда группе посоветовали сменить название. ВИА (теперь уже выступающий под названием «Песняры») разделил на конкурсе II место с певцом Львом Лещенко и грузинским ансамблем «Диэло». В 1970 году «Песняры» побеждают также и на Всесоюзном конкурсе политической песни, проходившем в Москве. В конце 1970 года в коллектив вливается бывший солист группы «Золотые яблоки» Леонид Борткевич, а весной 1971 года выходит первый виниловый диск-гигант группы (записан в конце 1970 — начале 1971 годов). В 1971 году начинаются первые зарубежные поездки ансамбля — в августе «Песняры» выступают на Международном фестивале песни в Сопоте (Польша) в конкурсе фирм грамзаписи. В 1973 году продолжающий набирать популярность ансамбль побеждает на проходившем в Минске Всесоюзном конкурсе советской песни. В 1976 году Песняры становятся первым советским ВИА, который проводит гастроли по США. В этом же году ансамбль выступает на международном конкурсе грамзаписей MIDEM в Каннах, к участию в котором допускаются только коллективы, выпустившие за год максимальное количество пластинок в своей стране. В 1976 году «Песняры» представляют рок-оперу на стихи Янки Купалы — «Песня о доле». Премьера состоялась в концертном зале «Россия». В 1978 году концептуальная серия продолжается оперой «Гусляр». Этот альбом по музыке отличается в сторону более серьёзного арт-рока по сравнению с радио-хитами, по которым больше известны «Песняры». В 1977 году ВИА «Песняры» был удостоен премии Ленинского комсомола — за концертные программы 1975—1976 годов, активную пропаганду патриотической песни среди молодёжи. В 1979 году весь классический состав «Песняров» получил звания заслуженных артистов: Александр Демешко (ударные), Леонид Тышко (бас-гитара), Анатолий Кашепаров (вокал), Леонид Борткевич (вокал) и Владислав Мисевич (духовые); а руководитель коллектива Владимир Мулявин — звание народного артиста. В 1980-е годы многое поменялось: из коллектива ушёл харизматичный фронтмен Борткевич. Его сменил Игорь Пеня. Следом группу покинул басист Тышко, а в 1989 году — второй вокалист Кашепаров. К моменту распада СССР, из той шестёрки в «Песнярах» оставались только Мулявин и Мисевич. В 1989 году звания заслуженных артистов получили вокалисты Игорь Пеня и Валерий Дайнеко. == Тапамось ды сонзэ меленть кандыцятне == ЛопаПарцун:Врезка Первый серьёзный раскол группы случился в 1998 году, когда на должность директора «Песняров» был назначен Владислав Мисевич. По официальной версии, причиной была болезнь Мулявина, а по словам самого Мисевича — пристрастие лидера «Песняров» к алкоголю в последние годы жизни. В коллектив вернулся Валерий Дайнеко. Пришёл ещё один гитарист Александр Соловьёв. Так «Песняры» проработали почти год. Но затем Мулявин обратился к президенту Беларуси А. Г. Лукашенко, после чего под его руководством был сформирован новый состав «Песняров» из молодых музыкантов. Старый состав написал заявления об уходе и стал гастролировать как «Белорусские песняры». После смерти Владимира Мулявина в 2003 году стали появляться другие группы, исполняющие песни легендарного коллектива. В 2009 году несколько различных музыкальных коллективов имели в своём названии слово «Песняры» и использовали старый репертуар легендарного ансамбля. Министерство культуры Республики Беларусь дало такой комментарий ситуации: ЛопаПарцун:Цитата В настоящее время товарный знак «Песняры», принадлежащий Беларускому государственному ансамблю «Песняры», признан общеизвестным товарным знаком в Российской Федерации, Украине и Республике Беларусь и охраняется бессрочно. Группы, имеющие отношение к «Песнярам»: «Беларуские песняры», основаны в 1998 году. Его костяк: Заслуженный артист БССР Мисевич В. Л., Заслуженный артист БССР В. Дайнеко, Заслуженный артист БССР И. Пеня, О. Г. Аверин, Александр Катиков, Александр Соловьёв, Александр Попроцкий. Беларуссский Государственный ансамбль «Песняры» под руководством В. В. Шарапова. Управляется министерством культуры и считается официальным правопреемником старых «Песняров», однако состоит из молодых музыкантов, в «старых» Песнярах не участвовавших. «Песняры» Леонида Борткевича. Откололись от БГА в 2003 году по причине несогласия с кандидатурой нового директора. Работает по настоящее время. Существует второй состав ПЕСНЯРЫ Архивировазь 12 Таштамковонь 2017 иестэ. под управлением Игоря Свечкина в котором работают: Виктор Молчанов, Владимир Марусич, Павел Заяц, Владимир Стамати, Александр Виславский и звукорежиссёр Олег Воронов (создан в феврале 2004 года), который официально считается частью группы Борткевича. Группа «Лявоны-песняры» под управлением ударника классического состава Александра Демешко. Распалась в 2006 году с его смертью. В группе участвовал также клавишник старого состава В. Николаев. Группа «Лявоны», отколовшаяся от «Песняров» Борткевича в 2008 году, исполняющая песни «Песняров» и состоящая из молодых музыкантов, никто из которых не участвовал в «Песнярах» до 1998 года. Подробную хронологию составов можно посмотреть на сайте. == Морамо-седямо кужосонть улицятне == В алфавитном порядке (кто участвовал до 1998 года): == Моротнень валтнэнь сёрмадыцяст == В репертуаре ансамбля были песни на стихи М. Шушкевича, Р. И. Бородулина, Г. Н. Буравкина, Янки Сипакова, Петруся Макаля, Л. И. Прончака, Максима Богдановича, М. Л. Матусовского, А. И. Фатьянова, Л. П. Дербенева, В.Э. Крайчинского Кроме того, «Песняры» часто исполняли песни на стихи известных поэтов, таких как Янка Купала, Р. Бёрнс, В. В. Маяковский, Якуб Колас. == Казнеть == Лауреат IV Всесоюзного конкурса артистов эстрады (II премия, 1970) Лауреат Всесоюзного конкурса советской песни (I премия, Минск, 1973) Лауреат Фестиваля советской песни в Зелёной Гуре (Польша) Лауреат X Всемирного фестиваля молодежи и студентов (Берлин, ГДР, 1973), Лауреат Международного фестиваля песни «Золотой лев» (Лейпциг, ГДР, 1973) Лауреат Международного конкурса артистов эстрады «Золотой Орфей» в Болгарии (1974) Лауреат 2-го Международного фестиваля политической песни (Хельсинки, 1978) Лауреат Премии Ленинского комсомола Белоруссии (1976) Лауреат Премии Ленинского комсомола — за концертные программы 1975—1976 годов, активную пропаганду патриотической песни среди молодёжи (1977) Главный приз фирмы «Мелодия» «Золотой диск» (1982) == Содавиксэв морот «Песняры» В. Мулявинэнь ало == «30 000 дней» (О. Иванов — А. Жигарев, С. Алиханов) «Аве Мария» (В. Иванов — М. Танк) «Александрына» (В. Мулявин — П. Бровка) — поёт Владимир Мулявин «Баллада о фотокарточке» (В. Мулявин — В. Тарас) «Белая Русь ты моя» (В. Мулявин — В. Скарынкин) «Беловежская пуща» (А. Пахмутова — Н. Добронравов) «Белорусочка» (Ю. Семеняко — А. Ставер) «Белоруссия» (А. Пахмутова — Н. Добронравов) «Берёзовый сок» (В. Баснер — М. Матусовский) «Будочник» (В. Мулявин — С. Крылов) «Вероника» (И. Лученок — М. Богданович) «Возвращение» (В. Мулявин — В. Тарас) «Вологда»",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=9243,1000,
