pageid,title,text,language,category,type,url,token_count,page_id
8602.0,Култура,"о природи против одгоја оспоравају да је та способност за симболичко размишљање и социјално учење производ људске еволуције. Људи који живе одвојени један од другога развијају јединствене културе, али елементи различитих култура могу се лако ширити из једне групе људи на другу. Култура је динамична и може бити научена, стварајући је потенцијално брзим обликом адаптације на промену физичких услова. Антрополози гледају културу не само као производ биолошке еволуције него као њен додатак, као главна средства људске прилагодбе на свет. То гледање културе као система симбола с прилагођеним функцијама који је различит од места до места, водило је антропологе да схватају различите културе као дефинисане различитим обрасцима. Те обрасце чине дуготрајан, произвољан и договорен скуп значења који су узели конкретан облик у митовима и ритуалима, оруђу, дизајнирању стамбеног простора и планирању насеља. Антрополози стога разликују материјалну културу од симболичке (нематеријалне, духовне) културе, не само јер свака одражава различите врсте људске делатности, него такође јер сачињавају различите врсте података који траже различите методологије. Такво гледиште културе постало је доминантним између Првог и Другог светског рата, а укључивало је да је свака култура везана и мора бити схваћена као целина, на својим властитим терминима. Резултат тога било је стварање културног релативизма, тј. посматрања неке културе са стајалишта те културе. Такав приступ култури не пита је ли нека одлика морална или не, него какву улогу има у животу тога друштва. Упркос томе, схватање да је култура кодирана симболима и стога може бити научена с једне особе на другу одређује да се култура, иако ограничена, мења. Културна промена може бити резултат открића и изума, али такође може бити резултат додира између двеју култура. Под мирољубивим условима додир између двеју култура може водити људе да „посуде“ (заправо, науче) једни од других (дифузија (антропологија) или транскултурација). Под условима насиља и политичке неједнакости, људи једнога друштва ипак могу „украсти“ културне творевине од других, или наметнути културне творевине другима (акултурација). Теорија дифузије иновација представља истраживачки утемељен модел за одређивање како, када и зашто људи прихваћају нове идеје. Сва људска друштва била су уплетена у процесе дифузије, транскултурације и акултурације, те мало антрополога данас виде културу као ограничену. Ти антрополози показују да уместо разумевања културних творевина у терминима њене властите културе, мора бити схваћено у терминима шире историје укључујући и додире и односе с другим културама. Поред горе споменутих процеса још од Колумба свет је био на широкој основи обележен миграцијама, укључујући колонијалну експанзију и присилну миграцију кроз ропство. Резултат тога су многа културно хетерогена друштва. Неки антрополози су доказивали да су хетерогена друштва ипак ограничена некаквим јединственим културним системом и да хетерогени елементи се боље схватају посматрајући их као поткултуре. Други су доказивали да не постоји јединствени или координирајући културни систем и да се хетерогени елементи морају схватити заједно у облику мултикултуралног друштва. Мултикултурализам се подударао с препородом политичког идентитета који укључује захтеве за препознавањем културних јединствености социјалних подгрупа. Социобиолози доказивали су да се многи аспекти културе могу најбоље схватити кроз концепцију мема које је први увео Ричард Докинс у својој књизи The Selfish Gene из 1976. године. Идеја говори о постојању јединица културе или мемима који су јако сличили генима у биологији еволуције. Иако је то стајалиште задобило неку популарну вредност, антрополози га одбацују. == Компоненте културе == Други уобичајен начин разумевања културе је посматрање културе коју чине њене компоненте: симболи, језик, вредности, норме, и ритуали. Вредности су апстрактне идеје о томе што је добро, исправно и пожељно. Оне су основа за друштвене норме. Норме су, дакле, друштвена правила или упуте што одређују прикладно понашање у одређеним ситуацијама. Деле се према оштрини санкција које изазива њихово кршење, а проводи их друштво. Тако најблаже санкције изазива кршење народних норми (неруковање приликом поздрављања, непокривање уста приликом зевања итд.), док кршење обичаја норми и закона изазива највеће санкције. Правило је да се археолози фокусирају на материјалну културу, а културни антрополози на симболичку културу, иако на крају обе групе задржавају занимање за односе између тих двеју димензија. Надаље, антрополози схватају „културу“ за означавање не само потрошња добара, него на опште процесе који производе таква добра и даје им значење, на социјалне односе и поступак у којима такви објекти и процеси постају уграђени. == Култура као образац производа и делатности == У раним годинама 20. века антрополози су схватали културу не за означавање скупа посебних производа и делатности (било материјалних било симболичких) него радије за подцртавање образаца истих. Надаље, они су претпоставили да су такви обрасци имали јасне границе (стога неки људи мешају „културу“ с друштвом које има посебну културу). У случају мањих друштава у којима се људи једва разврставају у категорије доби, пола, кућанства и етничког порекла, антрополози су веровали да људи више-мање деле исти скуп вредности и конвенција. У случају већих друштава у којима људи пролазе даље категоризације по регији, раси, етницитету и класи, антрополози су почели веровати да су чланови истог друштва често имали високо контрастне вредности и конвенције. Они су зато користили термин поткултуре за означавање културних делова већих друштава. Док поткултуре одражавају положај сегмента друштва насупрот другим сегментима и друштва у целини, они често откривају процесе доминације и отпора. == Културна промена == Културе су једнако предодређене за промену као и за отпор према њој. Отпор може доћи из навике, религије, те интеграције и међунезависности о културним одликама. На примјер, мушкарци и жене имају комплементарне улоге у многим културама. Један пол може желети промену која ће утицати на други, као што се догодило у западним културама у другој половини 20. века. Културолошка промена може бити узрокована околином, иновацијама и другим унутрашњим утицајима, те додиривањем с другим културама. На пример, крај задњег леденог доба довео је до открића пољопривреде. Нека открића која су утицала на западну културу у 20. веку укључивали су пилулу за контролу рађања, телевизију и интернет. Пилула је помогла породицама да имају много новаца и женама да имају већу слободу. Телевизија није само донела сличне визуелне програме у многе домове, него је такође утицала како и када ће чланови породице бити у међусобној интеракцији. Додир између култура може резултовати дифузијом, или на широј основи, акултурацијом. Дифузија је процес у којем се нове идеје, понашања, технологије и",sr,Култура,ordonné,https://sr.wikipedia.org/?curid=8602,1000,
3936767.0,Култура памћења,"је развила теорију колективног памћења Мориса Халбвакса. Јан Асман и каснији научници као што је Андреас Хуесен почели су да се интересују за памћење, илустровано тако разноликим феноменима као што су меморијална места и ретро култура, и мнемотехника из раних 1980-их. Пошто сећање није искључиво индивидуално, лично искуство, већ и део колективног искуства, културно памћење је постало тема проучавања како у историографији (Пјер Нора, Ричард Тердиман), тако и у културолошким студијама (Сузан Стјуарт). Ови правци разликују процес памћења (историографија) и његов подтекст и објекте (културологија). Појавиле су се две школе мишљења: једна сматра да садашњост одређује наше разумевање прошлости; други је да прошлост утиче на наше понашање у садашњости. == Историографски приступ == Да би се разумео феномен културног памћења, кључно је направити разлику између сећања и историје. Ову разлику је изнео Пјер Нора, који је указао на разлику између историје и сећања. Научници се не слажу око тога када се таква идеја проширила. Нора тврди да се то догодило током формирања европских националних држава. За Ричарда Турдимана, полазна тачка је Француска револуција: промена политичког система, као и почетак индустријализације и урбанизације, које су закомпликовале живот. Као резултат тога, не само да је људима постало теже да разумеју ново друштво, већ су због тога што су промене биле тако драстичне, имали и проблеме који се односе на прошлост пре револуције. У таквој ситуацији више није било заједничког схватања прошлости. Разумевање прошлости постало је могуће само кроз историју. Како су људи схватили да је историја само једна верзија прошлости, постали су све више забринути за сопствено културно наслеђе, што је помогло у обликовању њиховог колективног и националног идентитета. У покушају да пронађу идентитет који би могао да уједини државу или народ, владе су конструисале колективна сећања у виду сећања на мртве, која је требало да уједине мањинске групе и појединце који су се противили нечему. Постаје очигледно да се опсесија памћењем поклапа са страхом од заборава и жељом за аутентификацијом (потврдом сопственог идентитета). Међутим, касније се постављају питања да ли је постојало време у коме је постојало „чисто” непосредовано памћење, како Нора конкретно тврди. Неки научници, као што је социолог Тони Бенет, с правом истичу да је индиректно представљање нечега кључни услов за људску перцепцију уопште: немогуће је посматрати чиста и објективна сећања. Концепт културне историје се често погрешно схвата. То је углавном због чињенице да се памћење схвата сувише уско: као привремена појава. Нора је била прва која је повезала сећање са физичким, опипљивим местима сада познатим као места сећања. У својим списима он доказује да су места сећања; објекти који симболизују сложеније тренутке историје. Иако се фокусира на просторни приступ процесу памћења, већ у својим раним историографским теоријама, Нора примећује да сећање превазилази опипљиве и визуелне аспекте, постајући тако флексибилно и нестабилно. Ово је прилично проблематично својство, које Тердимен такође карактерише као „свеприсутност“ сећања. Једна од главних потешкоћа у перпетуирању прошлости је неизбежна чињеница да она не постоји. Свако сећање, када покушате да га репродукујете, постаје, како тврди Тердиман, „садашња прошлост“. Управо та ирационална жеља да се сети оно што је заувек нестало изазива осећај носталгије, што није тешко приметити у многим аспектима свакодневног живота, а посебно у културним објектима. == Културолошки приступ == Недавно је интересовање научника привукло „утелотворено памћење”. Пол Конертон тврди да се тело може посматрати као контејнер, носилац сећања, две различите врсте друштвених пракси; отисак и ангажман. Први укључује све активности које помажу у чувању и проналажењу информација: фотографисање, писање, видео снимање, итд. Други укључује извођење научених радњи кроз физичке радње, као што су изговорена реч или стисак руке. Такве радње изводи сваки појединац посебно у несвесном стању и може се тврдити да је такво памћење, преношено гестовима и навикама, аутентичније од „посредованог” сећања преношеног утискивањем. Прве идеје о отелотвореном сећању, у коме прошлост „налази“ у телу појединца, датирају из дела таквих еволуциониста крајем 19. века. као Жан Батист Ламарк и Ернст Хекел. Ламарков закон о наслеђивању стечених особина и Хекелов биогенетички закон изнели су идеју да је индивидуа збир све претходне историје (међутим, оба ова концепта модерна наука одбацује). На пример, меморија се може ускладиштити у објектима. Сувенири и фотографије заузимају значајно место у дискурсу културног памћења. Неколико аутора наглашава да се однос памћења и предмета променио од 19. века. Стјуарт, на пример, тврди да је наша култура престала да буде култура производње, већ је постала култура потрошње. Роба, према Тердиману, током масовне производње и комодификације. људи су изгубили „сећање на сопствено постојање“. Истовремено, каже он, однос сећања и предмета се институционализује и експлоатише у виду трговине сувенирима. Ови необични предмети могу се односити или на далеку прошлост (антиквитети) или на удаљено (егзотично) место. Стјуарт објашњава како сувенири постају потврда нашег искуства и знак догађаја који постоје само због настанка наратива. Овај приказ се лако може применити на другу активност која има посебан однос са памћењем: фотографије. Кетрин Кинан објашњава како процес фотографисања може да истакне важност сећања, како индивидуалног тако и колективног. Она такође тврди да фотографије не само да могу стимулисати или помоћи при памћењу, већ и замаглити само памћење када су фотографије основа сећања, или могу да служе као подсетник на склоност забораву. Други истраживачи тврде да фотографија може постати део сећања и на тај начин га подржавати. Едвард Чејни је сковао термин „културни споменик“ да би описао како опште типове, као што су обелисци и сфинге, тако и специфичне објекте, као што су обелиск Дометијана, Абу Симбела или „младог Мемнона“, који су развили значења која им се приписују. Читања древних египатских рукописа од стране Херодота, Плинија, колекционара грофа Арундела, путника из 18. века, Наполеона, Шелија, Вилијама Бенкса, Харијет Мартино, Флоренс Најтингел, Сигмунда или Лусијана Фројда показују широк спектар тумачења ових аутора, сваки од којих је у различитом степену фасциниран реконструкцијом сопствених намера. == Између културе и памћења == За разлику од раније поменуте колективне природе студија културног памћења, постоји још једна „школа“ која води порекло из постколонијалних и родних студија. Она истиче важност индивидуалног и индивидуалног сећања оних чији се глас обично не чује у друштву: жена, мањина, хомосексуалаца и других. Искуство, проживљено или замишљено, припада и култури и памћењу.",sr,Култура,ordonné,https://sr.wikipedia.org/?curid=3936767,1000,
264979.0,Културолошка асимилација,"Културолошка асимилација или друштвена асимилација (термин асимилација често употребљава и у значењу акултурација) односи се на процесе који су усмерени ка утапању мањинских и других маргинализованих група у преовлађујући културни модел. Асимилација подразумева губљење великог степена аутономије док акултурација већи нагласак даје на прихватање културних вредности и модела понашања већинске групе. Ауторитарна друштва и један и други процес често спроводе насилно условљавајући опстанак мањинских група степеном њихове асимилације односно акултурације. Отпор асимилацији и акултурацији мањинске групе најчешће пружају организовањем карактеристичних национално обојених активности као што су учење школа на матерњем језику, фолклорне активности, верске обреде и слично.


== Референце ==",sr,Култура,aléatoire,https://sr.wikipedia.org/?curid=264979,100,
5582.0,Рукописна књига,"представља орнаментално поље на почетку текста, поглавља или важније целине. Заставицама се украшавају нарочито ћириличке богослужбене књиге (старослов. заставити: украсити). Минијатура (лат. minium: црвена боја) обухвата све оне елементе сликане или цртане на маргинама, у оквиру ступца или ређе на целој страни. У јеванђељима минијатуре често укључују и портрете јеванђелиста. Ретко илуструју текст уз који стоје. Један од изузетака представља Призренско јеванђеље у коме минијатуре непосредно илуструју текст. Иницијал је истакнуто и украшено слово на почетку текста, поглавља или целине. === Повез === Повезивање рукописне књиге била је посебна врста уметничког рада. Средњовековни кодекси по правилу су повезивани у дрвене корице пресвучене кожом и на угловима окиване металом. За скупоцене повезе коришћено је злато и позлаћени орнаменти на корицама и леђима књиге. Поред позлате коришћено је и сребро, драго камење, седеф, емајл, слоновача и др. == Писари и радионице == Развој хришћанства пред књигу поставља нове захтеве. Уређивање црквеног живота темељи се на богослужбеним књигама. Зато се у средњем веку производња чување књига организују у манастирским библиотекама, док се умножавање врши у преписивачким радионицама — скрипторијумима. Преписивало се по диктату или „тихо“. Писарске радионице биле су биле опремљене за истовремени рад више писара, а често су писари радили и сами, у својим ћелијама. Постојале су две врсте писара: искусни калиграфи, антиквари (antiquarii) и скриптори (scriptores) који су преписивали једноставне текстове. Писари су могли да буду само они монаси који су имали довољно знања, велику писарску вештину и посвећеност том духовном послу. Уживали су велики углед, неретко и привилегије, а у неким земљама су имали и правну заштиту. Најпознатије писарске радионице основане су у првим манастирима у јужној Италији — Виваријум и Монте Касино. Манастир Виваријум основао је римски сенатор Касиодор у 5. веку на свом имању, како би надокнадио духовну академију коју није успео да оснује у Риму. Прописао је правила монашког живота, која су обухватала и обавезу да преписују књиге хришћанских, као и најважнија дела античких писаца. Скрипториум у манастиру Монте Касино основан је тек два века након оснивања самог манастира, да би у 11. веку постао најзначајније хришћанско културно средиште. Ирски манастири имали су од 7. века велику улогу у преписивању рукописних књига. Међу ретким сачуваним рукописима из тог раног периода је и богато илустровано и фантастично илуминирано Јеванђеље с краја 8. века, познато као Book of Kells. === Византијски скрипторијуми === После пропасти Западног римског царства и Велике сеобе народа римска и хришћанска култура селе се на исток. Византија гради нову културу али, за разлику од запада, чува и античку традицију. Убрзо по оснивању Константинопоља почиње да ради и скрипторијум са великим бројем преписивача. Радио је у саставу царске библиотеке Академије коју је 365. године основао цар Константин Порфирогенит. Осим у скрипторијуму књиге су преписиване и у Библиотеци цариградског патријарха и у манастиру Студиону, првом манастиру основаном на територији Византије 462. године. Неколико деценија по оснивању игуман Теодор увео је обавезу преписивања књига прописану манастирским типиком. Манастир Студион извршио је велики утицај на остале хришћанске манастире, а посебно на манастире на Светој Гори. Светогорски писари имају велику улогу у преписивању античких рукописа. Рукописна књига је дуго надживела почетак штампања књига. To је забележено у целој Европи. На Балкану је још у XIX веку „рукописна књига успешно конкурисала штампању“. Осим ретких изузетака, скоро сва ирска литература из VII-XVII века „постоји само у рукописном облику“. До 1500. год. 77% свих штампаних књига су биле на латинском језику, пошто је латинско писмо било лако направити. Писма других језика увођена су у штампарску праксу крајње споро: била компликована технологија израде дијакритичких знакова, који су обележавали акценте, самогласнике и томе слично. Зато су још стотинама година после почетка штампе књига „преписивачи грчких, арапских и јеврејских рукописа остали ван конкуренције..."". == Рукописне књиге код Срба == Преписивачка активност српских манастира у средњем веку одвија се под утицајем Византије. Од првих писара у 12. веку све више се води рачуна о писму, ликовном изразу и језику. Српски писари ширили су ову вештину и вршили утицај на друге средине у којима су радили. У српској традицији нема пуно свитака, али су познати неки, као повеље, грамате и сл. Оснивачка повеља манастира Дечани исписана је на свитку дугом 5 м. У хиландарској библиотеци чувају се свици на пергаменту који датирају из 14. века. Када је реч о рукописним кодексима, ситуација је сасвим другачија. До данас је сачуван велики број ових књига, најстарији сачувани рукописи из 12. века су: Маријинско јеванђеље, глагољички рукопис на старословенском језику са видљивим траговима српске редакције. Мирослављево јеванђеље, нешто млађи, али за српску културу најважнији писани споменик, ћирилски рукопис српске редакције. Вуканово јеванђеље === Српска књижевност у средњем веку === Са формирањем јединствене државе Немањића настаје и нова епоха у историји старе српске књижевности. Јављају се нови, даровити писци, а књижевност се осамостаљује. Утврђује се и нормира рашка редакција старословенског језика, интензивира се рад преводилаца са грчког језика, али се састављају и оригинална дела. Са делом Светог Саве српска књижевност постаје део књижевности православног словенског света. До краја 13. века формирају се књижевни центри немањићке Србије у Хиландару, Студеници, Жичи, Милешеви, Пећи. Свети сава је зачетник самосталне српске књижевности. Прво његово дело је Карејски типик (правила понашања) написан 1199. године за Карејску ћелију. Свети Сава је написао и друга црквеноправна дела, међу којима је најважнија Крмчија, зборник црквених правила и државних закона који је постао основни извор права у средњовековној српској држави. Права књижевна природа Светог Саве открива се тек у његовим житијним и песничким саставима. Једно од најзначајнијих дела међу њима је Житије Светог Симеона од Светог Саве. У остала значајнија дела старе српске књижевности спадају житија, похвале и преведена књижевност. Најзначајнија су: Житије Светог Симеона од Стефана Првовенчаног Житије Светог Симеона од Доментијана Житије Светог Саве од Доментијана Житије Светог Саве од Теодосија Јефимијина Похвала кнезу Лазару Надгробно слово деспоту Ђурђу Бранковићу — песма у прози Слово љубве деспота Стефана Лазаревића == Упутства (типици) за израду мастила и боја за рукописе == Ова упутства, сачувана кроз историју, су заједно са књижевношћу у писменошћу преузели Словени од Византинаца. Код Руса се та упутства називају Уставима и Указима, а код Срба Типицима,",sr,Култура,aléatoire,https://sr.wikipedia.org/?curid=5582,1000,
4381576.0,Култура глувих,"Конектикат. Америчка школа је прва званична школа за глуве. Још један добро познат догађај је Други међународни конгрес о образовању глувих одржан 1880. године у Милану, Италија, где су наставници за слух гласали за прихватање усменог образовања и уклањање знаковног језика из учионице. Овај напор је резултовао притиском широм света да се напусти знаковни језик у корист искључиво усмени приступ. Намера оралистичке методе је била да научи глуву децу да говоре и читају са усана уз ограничену или никакву употребу знаковног језика у учионици како би се ова деца лакше интегрисала у заједнице које чују. Међутим предности учења у таквој окружење су спорне. Препоруке са Миланске конференције су одбачене у Хамбургу 100 година касније, а знаковни језици су се вратили у образовање након објављивања Стокоеових лингвистичких анализа АСЛ-а. Култура глувих се врти око институција као што су: резиденцијалне школе за глуве студенте, универзитети за глуве студенте, клубови глувих, атлетске лиге глувих, заједничких домова (као што је Дом за старе и немоћне глуве). - Мутес, које је основала Џејн Мидлтон, у Њујорку), друштвене организације глувих, верске групе глувих, позоришта глувих и конференције и фестивали глувих, као што је Фестивала и конференција Светске федерације глувих. Клубови глувих, који су били популарни 1940-их и 1950-их, били су важан део културе глувих. У то време било је врло мало места која су глуви људи могли да назову својимцили местима која воде глуви људи за глуве особе. С краја прве половине 20. века снимљени су филмови у Клубу глувих у Лос Анђелесу који су укључивали разне стилове извођења као што су шоу водвиљ и кратке комедијске вештине. Ови филмови су преживели до 1940-их. У том периоду Волф Браг, популарни извођач из клуба глувих до 1930. године, био је познат по тумачењу знаковног језика. Клубови глувих у овом историјском периоду били су решење за ову потребу. Новац се зарађивао продајом алкохола и хостовањем карташких игара. Понекад су ови подухвати били толико успешни да је зграда коју је користио клуб могла да се купи. Међутим, главна атракција ових клубова била је то што су обезбеђивали место где су глуви људи могли да оду да буду у близини других глувих особа, понекад деле своје приче, организујући забаве, и представе. Многе данашње приче глувих особа су први пут виђене у клубовима глувих. Клубови су постојали у свим већим градовима, а у Њујорк је било најмање 12. Ови клубови су представљали важан вид релаксације за глуве особе од њиховог обично изолованог дана проведеног на радним местима у фабрици. Крајем Другог светског рата када је дошло до промена на тржишту рада, опада интересовање за клубове глувих. Током Другог светског рата постојала је велика потражња за фабричким радницима уз обећање високих плате. Многи глуви Американци напустили су своје домове да би се преселили у веће градове у нади да ће добити посао у фабрици. Овај огроман прилив радника у нове градове створио је потребу за клубовима глувих. Када се завршио Други светски рат и када је покрет за грађанска права напредовао, савезна влада је почела да нуди више послова глувим мушкарцима и женама. Људи су почели да се пребацују са производних послова на услужне послове, удаљавајући се од усамљеног рада у одређеним сатима. Шездесетих година 20. века клубови глувих су почели свој брз и драстичан пад. Данас постоји само неколико клубова глувих који се налазе у Сједињеним Америчким Државама и њихово присуство је обично мало са тенденцијом да њих посећују старије особе. Овај нагли пад се често приписује успону технологије као што је телефон (TTY) за слање текста преко телефонске линије и титлови за индивидуалне телевизоре. Са другим доступним опцијама за забаву и комуникацију, потреба за клубовима глувих је постала мања. То више није била једина опција за ступање у контакт са другим члановима заједнице глувих. Данас су клубови глувих ретки, јер су се уместо њих развили центри за заступање глувих и друге организације глувих као што су државние, покрајински и градских савези глувих, који су временом постали широко распрострањени и популарни. == Основне информације == Као и други заговорници културе на глобалном нивоу тако и глуве и наглуве особе прихватају одређен начин међусобних комуникације између себе, те са оним члановима који не припадају њима, као и са заједницом људи који чују. Ово језгро може се назвати и група за узајамност културе глувих. Ова група може се назвати и група за узајамност културе глувих. Глуви су, као и свака мањина, образовали посебну културу. Имају свој: језик – знаковни језик, начин комуникације, сленг, КУД, позоришта, спортске организације, телевизијске емисије, свој дан – Међународни дан - недељу глувих. == Организације и наступи == Целокупна културно-уметничка делатност глувих одвијала се највише у оквиру културно уметничких друштава које се оснивају у оквиру, разних државних, покрајински и градских савеза глувих и наглувих особа, као главним координаторима и организаторима активности и манифестација. Усавршавајући се у оквиру организација глувих и наглувих, Културно-уметничка друштва глувих су све више учесници на смотрама и фестивалима у локалној средини у конкуренцији ,,чујућих” аматерских друштава, на којима за своје наступе добијају награде од стране жирија и доживљавају овације од стране публике. Док глуви сликари у склопу својих удружења оснивају ликовне радионице и организују низ изложби на локалном и ширем нивоу. == Манифестације == Кроз разноврсне манифестације у области културе глуве и наглуве особе исказаују своје креативне могућности и на тај начин уклањају предрасуде о неспособности и инфериорности. Најмасовнија културно-уметничка манифестација глувих је фолклор, кроз којих глуве особе исказују онај скривени ритам који су стекли преношењем знања и таленат на младе генерације. Кроз игру и дружење, на овим манифестација глуве особе развијају и негујући културу и традицију свога народа и тиме себе изражавају као личности. Паралелно са фолклором негују се и други облици уметности: балет, ритмика, а посебно пантомима. Постоји велики број манифестација на којим глуви академски сликари и вајари, сликари наиваца, који успевају да се афирмишу, да искажу на специфичан начин своја размишљања и осећања, карактеристична за глувог човека. Глуви сликари на глобалном ниво имали су низ изложби за које су добили пуно признања. == Значај == Култура има значај у томе што, глувим особама пружа шансу да се покажу као посебна културна групација,",sr,Култура,aléatoire,https://sr.wikipedia.org/?curid=4381576,1000,
