pageid,title,text,language,category,type,url,token_count,page_id
8758.0,Sonderaktion 1005,"Операций 1005 (немычла Sonderaktion 1005), тыгак ""эксгумаций операций"" —  Кокымшо тӱнямбал сар годым нацист Германийын Рейнхард операций годым миллион наре еҥым пуштмо кышам петырашлан эртен. 


== Тӱҥ увераҥар ==

Операций 1942 гыч 1944 ий марте шолып, концентрационный лагерьыште шинчыше-влак дене эртен. Нуно тушкан тойымо шугарлам почеден колышо капым йулалтеныт. Тыгай пашаче группо-влакым официально ""Колышо команде"" лумденыт. Нуно зондеркоманде 1005-ын ужашыже лийыныт. Куржын ынышт керт манын, пашам чеп дене йолыштен ыштыктеныт. Операций почеш СД команде да порядкым эскерыше полиций эскерен.


== Эртымгорно ==

1942 ий уярня тылзын СС обергруппенфюрер Рейнхард Гейдрих операций 1005 тӱҥалаш СС штандартенфюрер Пауль Блобельлан куштымашым пуен. Но тудым тӱҥалаш пеледыш тылзын 1942 ийыште Гейдрихым пуштмо событий мешаен. ""Антропоид"" операций годым тудым УСО чехийысе агент-влак пуштыныт. Сурем тылзе мучаште Гестапо вуйлатыше СС группенфюрер Генрих Мюллер Блобельлан операцийым тӱҥалаш эше ик куштымашым пуен. Тудо жапыште тӱҥ шонымашлан еврей-влакым пуштедыме да тойымо кышам шылтыме лийын, операций тыгак моло нацист-влакын айнзатцтӱшка-влакын пуштедымашым шылташ эртаралтын.
Блобель тиде операцийым Хелмно воктене тӱҥалын. Но эксгумироватлыме колышо кап-влакым пытараш чукталтше бомба-влакым кучылтмо йӧн нимо сайым конден огыл. Тул воктенсе чодырашке куснен. Пайдале сай йӧнлан кӱртньӧ решоткашке але кӱртньыгорно рельсыш колышо капым да пум почела оптен нуным йӱлалтымаш шотлалтын. Йӱлымо деч вара кодшо лу фрагмент-влакым лӱмынак тыгыдемдыше машина гочын колтеныт да лакыште тоеныт.
Операций официал Собибор концлагерьыште тӱҥалын. Колышо команде тӱшкан тойымо шӱгарла гычын колышо кап-влакым луктеден йӱлалтен. Тиде пашам пытарымеке пашазе-влакым пуштыныт. 1942 ий теле тылзын операций Белжец концлагерьыш куснен, вара Треблинкыш. Ну а теве Аушвиц, Берген-Бельзен лдагерьлаште тиде операций эртаралтын огыл. Тушто шке крематорий лийын. Заключенный-влакым вигак йӱлалтеныт.  
Операций 1005 тыгак 30-шо ийлаште нацист-влакын еврей-влакым тӱшкан пуштмо верлаште эртен. Тиде Бабий Яр ден 9 форт лагерьлаште. 1944 ийыште Йошкар Армийын наступленийлан кора, СС обергруппенфюрер Вильгельм Коппе Генерал-губернаторство кумдыкысо 5 областьыште посна 1005 группо-влакым чумыраш шуден. Но нине группо-влакын пашашт мучаш марте каен шуктен огыл. Совет Армий концлагерь верлашке толын шуктен.",mhr,Эртымгорно,ordonné,https://mhr.wikipedia.org/?curid=8758,306,
13418.0,Йӱдвел полушарий,"Йӱдвел полушарий (рушла Северное полушарие) — Мландын экватор деч йӱдвел могыр ужашыже. Кеҥеж Йӱдвел полушарийыште пеледыш тылзе гыч сорла тылзе марте, а теле — теле тылзе гыч пургыж тылзе марте. Изи южтемдыш зонысо Кориолисын вийжылан верчын Йӱдвел полушарийыште тӱтан-влакат эре шола велыш, шагат умдо ваштареш,  пӧрдыт. Йӱдвел полушарийыште Кечывалвел полушарий деч шукырак мланде лийын шога (67% да 33%).


== Йӱдвел полушарийыште лийн шогышо континент да эл-влак ==
Континент-влак:

Азий (кокла шотан игече) (Индонезий да Эрвел Тимор утларак Кечывалвел полушарийыште лийын шогат)
Европа
Йӱдвел Америка
Кечывалвел Америкын пырчык ужашыже, Экватор деч йӱдвелнырак
Пеле наре Африка, Конго деч йӱдвелнырак
Йӱдвел полушарийыште лийн шогышо Африка элла:

Алжир
Бенин
Буркина-Фасо
Гамбий
Гана
Гвинея-Бисау
Джибути
Египет
Касвел Сахара
Кабо-Верде
Камерун
Кений
Кот-д'Ивуар
Либерий
Ливий
Мавританий
Мали
Марокко
Нигер
Нигерий
Сенегал
Сомали
Судан
Сьерра-Леоне
Того
Тунис
Уганда
Рӱдӧ Африкан Республик
Чад
Экваторысо Гвиней
Эритрей
Эфиопий
Кечывалвел Судан
Йӱдвел полушарийыште верланыше йӱдвел Океанийысе элла:

Маршалл отро-влак
Микронезий
Палау
Йӱдвел полушарийыште лийн шогышо Кечывалвел Америка элла:

Венесуэла
Гайана
Колумбий
Суринам
Француз Гвиана


== Тыгак ончо ==
Кечывалвел полушарий",mhr,Географий,ordonné,https://mhr.wikipedia.org/?curid=13418,170,
13419.0,Кечывалвел полушарий,"Йӱдвел полушарий — Мландын экватор деч кечывалвел могыр ужашыже.


== Ойыртемже-влак ==
Кеҥеж Кечывалвел полушарийыште теле тылзе гыч пургыж тылзе марте, а теле — пеледыш тылзе гыч сорла тылзе марте.  Кечывалвел полушарийыште тӱтан-влак шагат умдо ыҥгай пӧрдыт, а антициклон-влак — шагат умдо ваштареш. Астрономический кечывалым Кече Кечывалвел полушарийыте лач йӱдвелыште лиеш, тыгодымак Йӱдвел полушарийыште —  лач кечывалвелне. 
Кавапомышшто Кечын кечысе коймо корныжо пурла гыч шолашке лиеш (кечывалым Кече ваштареш шогалаш гын), йӱдвелысе шола гыч пурлашке гай огыл. Кечывалвел полушарийыште илыше-влак Тылзым унчыли ужыт. Лекташат шола гыч тӱҥалеш, а пыта пурла могырно, тыгодым Йӱдвел полушарийыште чыла мӧҥгешла. Кечывалвел полушарийын шӱджыр каваже йӱдвел полушарийысе кава  деч тӱшкашӱдыржӧ-влак дене чоткыдын ойыртемалтеш. 
Тулеч посна, йӱдвелыш ончыктышо Шордышӱдыр гай тӱшкашӱдырат уке, кудыжо тыште кечывалвелым ончыктышо лиеш ыле. Но, туге гынат, Кечывалвел полушарийыште Коркашӱдыр гай тӱшкашӱдыр уло, тудо дене Йӱдвел полюсын велжым муаш лиеш. Тиде — кечывалвел полушарийын эн кумдан палыме да эн изи кумдыкан тӱшкашӱдыр, Кечывалвел Ырест. Тудын кок шогышо шӱдыржӧ гоч кӱшкыла вияшым колтымо гай ышташ гын, ӱлыл шӱдыр мучаш гыч визымше ужаш мучашште Кечывалвел полюс лиеш. Тиде тӱшкашӱдыр тунар палыме, даже вич Кечывалвел полушарий эллаште кугыжаныш тиштылаште кугемдыме сӱретше лийын шога: Австралий, Бразилий, У Зеландий, Папуа-У Гвиней да Самоа, тугак У Зеландийын виктарыме Токелау кундемыште.
Кечывалвел полушарийыште ныл континент лийын шога (Антарктида, Австралий, Кечывалвел Америкын кугу ужашыже (9/10), Африкын ужашыже), Азийын ужашыже (Малайский Архипелагын икмыняр островшо), Океанийын шуко островлаже да тугак ныл таптеҥыз (Атлантик, Индий, Тыныс таптеҥызлан кечывалвел ужашышт да Кечывалвел пӱтынек). 


== Кечывалвел полушарийыште элла ==


=== Азий ===
Пӱтынек
Восточный Тимор
Кугу ужаш
Индонезий


=== Африка ===
Пӱтынек
Ангола
Ботсвана
Бурунди
Замбий
Зимбабве
Комор Отрола
Лесото
Мадагаскар
Маврикий
Малави
Мозамбик
Намибий
Руанда
Свазиленд
Сейшел отрола
Танзаний
ЮАР

Кугу ужаш
Габон
Демократический Республика Конго
Конго Республик
Изиш
Кений
Сан-Томе да Принсипи
Сомали
Уганда
Экваториальный Гвиней


=== Океаний ===
Пӱтынек
Австралий
Вануату
Науру
У Зеландий
Папуа-У Гвиней
Самоа
Соломон Отро-влак
Тонга
Тувалу
Фиджи
Кугу ужаш
Кирибати


=== Кечывалвел Америка ===
Пӱтынек
Аргентина
Боливий
Парагвай
Перу
Уругвай
Чили
Кугу ужаш
Бразилий
Эквадор
Изиш
Колумбий


== Тугак ончо ==
Йӱдвел полушарий
Кечывалвел Ырес


== Важ-влак ==",mhr,Географий,ordonné,https://mhr.wikipedia.org/?curid=13419,341,
29399.0,Сепаратизм,"Сепаратизм — могай-гынат территорийым ойырымаш верч кучедалше да у вуйвода кугыжанышым чоҥымо тарванымаш. Шуко йылмыште «сепаратизм» мут уда коннотацийым дене кылдалтын, сандене нейтральный контекстыште вес мутым — «сецессионизм» кучылташ лиеш.


== Российыште ==
Россий Федерацийын Уголовный кодексше почеш сепаратизм да тудым пропаганде — штраф але тюрьмаш шындымаш дене наказатлыме тӧртыкым пудыртымаш. Тыге гынат Российыште сепаратист тарванымаш-влак улыт, но кызыт иктыштын кумда популярность уке. Индешлымше ийлаште сепаратизм кугурак проблеме ыле, тудын верч Чечняште кок сар лийын.


== Важ-влак ==",mhr,Политике,ordonné,https://mhr.wikipedia.org/?curid=29399,78,
33439.0,"Вудард, Дэвид","Дэвид Джеймс Вудард (англичанла David James Woodard, [ˈwʊdɑːrd] ; 1964 вӱдшор 6, Санта-Барбара, Калифорний) — америкысе дирижер, семлызе да серызе.


== Литератур ==
Kracht, C., & D. Woodard, Five Years (Hannover: Wehrhahn, 2011) (нем.)
Tenaglia, F., Momus—A Walking Interview (Milano: Noch, 2015) (англ.)
Allen, B., Pelican (London: Reaktion, 2019) (англ.)
Chandarlapaty, R., Seeing the Beat Generation (Jefferson, NC: McFarland & Company, 2019) (англ.)
Horzon, R., The White Book (Berlin: Suhrkamp, 2021) (англ.)


== Важ-влак ==


== Кылвер-влак ==

 Викицитатник: Дэвид Вудард (англ.)
Библиотека Конгресса (англ.)
 Официальный сайт",mhr,Еҥ-влак,ordonné,https://mhr.wikipedia.org/?curid=33439,87,
29736.0,Мария Охисало,"Мария Охисало (стр. 8. ӱярня 1985 Хельсинки) — финн шымлызе да политик. 2019 ий гыч тудо кӧргӧ паша министр постым айлен финляндий, председатель ""Ужар"" 2019 ий гыч самырык да студент ден сопредседательже Федерацийын ""Ужар"" 2013-2014 ийлаште. Тудым 2017 ийыште хельсинки ола гыч советын членжылан шотлалтын. 2019 ийыште хельсинки парламент член-влак деч ойырен лийын парламент сайлыше округлаште сайлыше.


== Биографий-влак ==
Охисать Весало 1985 ийыште шочын, Хельсинки, ешыште ача ден ава колен. Кӱчызылык илыш хельсинки йоча-влак дене мечым охисать. Шкеже тудо приютыш ияш юбилейжым эртара. Ача-ава южгунам тудым пашадыме лийын, нуно южгунам паша жапыште ышта. Мучашлан алкоголь ача дене йӧсылыкыш кондышо лектыш, молан манаш гын, ачам ден авам ойырленыт. Авам, вес могырым, умбакыже тунемаш, пашам ышташ да каныш кечын кас мучко. Марий самырык жапыште футбол да куштылго атлетике дене шогылтына.


== Карьере ==
Кыдалаш школым тунем пытарымеке, спорт да политик шанче степеньым налше охисать 2004 ийыште хельсинкисе университетыште магистр мякелянринн 2011 ийыште ""специальность дене Социальный политике"". 2017 ий социологий университетын докторжо шанче степеньым налше шотышто социальный эрвел финляндийыш охисать факультет. Социал сферыште 2014-2017 ийлаште совет ушем кӱшыл тунемме заведенийын студентышт пагыт охисать членже лийын.
Сокк вияҥда да кочкыш сату охисать бездомность полыш тунемыт, хельсинки компетенций рӱдер районын социал сектор королев, эрвел да финляндийыште университетын кочкыш сату пӧлем, фонд тыгак шымлызе пашам ышта Y.


=== Политик паша ===

Ушныза тудо ""ужар"" 2008 ий. алмаштышыжлан сайлалтын 2012 ийыште хельсинки да муниципал сайлыше-влакын йӱкыштым налше охисать 612 советникше. тудо 2013 ийыште самырык советын членже лийын, совет член лиеш 2014-2017 ийлан да уусимаа а тудо больничный округышто кодымо ужашым жапыштыже хельсинки. 2017 ийыште хельсинки олаште 4400 охисать советын сайлымаш йӱк муниципал сайлалтын.
Ужар федераций калык-влак кокласе паша шотышто студент да самырык пашаче группым вуйлатыше охисать (ViNO) 2011 ий вашешта да тудым тӱнямбал организаций гыч директор пашам 2012 ийыште советын членже лийын. 2013 ий председатель лийын vino дене пырля тудлан вӱдышо-Матти Партаненый, а 2014 ийыште-Аарон дене Хаккинен.
Медицине да социальный политика шотышто пашаче группын членже шот дене программым ужар охисать 2011 лийын лиге 2010 ий. тудо партий член шот дене 2015 ий ужар 2013 делегаций лийын. ойыро июнь 2015 ийыште вице - президент партийын.
2014 ийыште депутат-влак лийыныт парламентыш сайлымаш кандидат семын европысо охисать йӱкым налын да 3089. кандидат сайлымаш иктешлымашым тыгак тудо 2015 ий лийше-влак, йӱкшӧ торашке 109 да йук деч налме вер кодын 4087.
2010 ий приходской советын членже-влак сайлалтыныт охисать приходской каллио толын сайлыме, тудо ты должность гыч каен гынат, районышто тиде ийын октябрь 2011 годым чеверласа. черкын приходской советшын 2015-2018 ийлаште хельсинки да кӱварлан тудын ушышо приходым тургым советын членжылан шотлалтын.
Ончыклык вуйлатыше шотышто йодыш йот эл-влак паша шотышто министерствын 2012 ий самырык пашаче группын пырля охисать йӱдвел элыштем. правленийын членже лийын Похьол тудо тыгак Самырык лиге-Норден 2012 ийыште.
Охисать вуйлатыше постым кандидат улам ""ужар"" конференций партий членыш да 2017 ий марте тампере йӱклена ушымо деч вара налыда, президентшылан сайлымашыш кандидат семын палыме шотышто моткоч лишыл вер шот кокымшо дене куд деке миен кандидат. 2018 ий 18 сентябрь председательын алмаштышыжлан шогалтат охисать кугыжаныш ""ужар"" ала деч вара, отпускым шотыш налде кодшо арнян мэй аалто семынак черлана.


==== Министр ден депутат-влакым 2019 ====
Парламент депутатыш сайлыме кандидат семын охисать 2019 ийыште хельсинки да парламентын членже сайлымаш округ деч сайлалтынам. 11 налеш да утла йӱк дене кандидат лийын охисать шымше 897-ӱдырамаш эл. правительствыште 2019 ийыште кӧргӧ паша министр постыш темлена антти ринн охисать июнь ужар решатлаш.
Июнь председательжылан сайлалтын охисать 2019 ийыште ""ужар"" партий съездлаште Пори.


== Личный илыш ==
Охисать верч футбол дене модаш ФК ""Конна"" ФК да ""Викинг"", хельсинки многоборьеште а. лаштыкыш охисать трек ийготыш призан верым налын. Nintendo кӱлешан улмаш тудо хобби.
2019 ийыште декабрьыште миика охисать йоханссон ӱдырым налын.


== Каҥаш ==


== Ссылка для умбакыже лудаш ==

Марий Сайт-влак Охисать",mhr,Еҥ-влак,ordonné,https://mhr.wikipedia.org/?curid=29736,611,
2509.0,Шанче,"Шанче (лат. scientia - палымаш) — айдемын ойыртемалтше пашаже, пӱртӱс тӱняж дене тӧртыкшӧ дене палдарымаш да радамлен иктешлен чумырымаш.
Кажне 15-20 ий тӱняште-айдемын илышын турло ужашыж дене палымаш 2 пачаш шукем толеш. Кажне у айдеме тукым тыняр у шинчымашым пога, мыняр тудын деч ончыч лийын.


== Шанчын ужаш-влак ==


=== Пӱртӱс шанче-влак ===
Биологий
Географий (физический)
Химий
Физике
Астрономий
Анатомий
Физиологий
Генетике


=== Формал шанче-влак ===
Математике
Информатике
Радамлык теорий рушла - теория систем.


=== Мер шанче-влак ===
Антропологий
Экономике
Психологий
Географий (экономик)
Эртымгорно
Философий
Социологий
Юриспруденций


=== Прикладной шанче-влак ===
Агрономий
Архитектур
Когнитив шанче
Туныктыш
Медицин
Инжнеринг (тӱрлӧ технический шанче-влак)
Вуйлатымаш
Сар шанче",mhr,Шанче,ordonné,https://mhr.wikipedia.org/?curid=2509,104,
2455.0,Спорт,"Спорт – мер илышын да капкультурын ужашыже, таҥасымаш да таҥасымаш-влаклан ямдылалтмаш гыч чоҥалтеш. Чӱчкыдын таҥасымаш модмаш сыным налеш, но спорт радамыш эжо пурышо модмаш-влакым кап тазалыкым саемдышылан шотлаш ок лий мутлан: покер, шахмат, шашке. Нуно ушакылым пойдарат.


== Спорт тӱрлык-влак ==
ончалаш


== Спорт лӱм-влак ==
Лионель Месси
Валерий Харламов


== Тӱнямбал чемпионат-влак ==
Вӱд спорт тӱрлык дене тӱнямбал чемпионат
Футбол дене тӱнямбал чемпионат
Шайбан хоккей дене тӱнямбал чемпионат


== Ушем-влак ==
ФИФА
УЕФА
Калык-влак кокласе Ий хоккей федераций",mhr,Спорт,ordonné,https://mhr.wikipedia.org/?curid=2455,79,
5158.0,BMX,"bmx [бэ-эм-икс] - велосипед спортын ик тӱрлыкшӧ. Велосипедше тыглай, проста огыл, кӱкшыт денже изирак, рульжо вияш, ӧртнӧржӧ (сиденьыже) моткоч ӱлнӧ, кудалыштше тушко огешат шич. Тыгай велосипед писын кудалышташлан огыл, тудын дене оҥай да сӧрал трюкым ыштат. Трамплиныште тӧрштыме годым, южышто сальтом ыштат, шке йыр савырнен шуктат. Тиде экстремал спортын тӱрлыкшӧ ВМХ маналтеш. 


== Эртымгорно ==
bmx - англичан йылмысе мут кӱчыкемдымаш. ""Вело-мото кросс"" семын кусаралтеш. Тиде мут 1972 ийыште шочын. Велоспортсмен-влаклан велосипед дене тыглай кудалыштмаш шерым темен, да нуно шкаланышт экстримым кычалаш пижыныт. XX-шо курымын 70-ше ийлаштыже Америкыште у велосипедым ыштеныт. Колесаж тудын изи, рамыже моло велосипед деч кок-кум пачаш чоткыдырак. Велосипедлан «Харо спорт» лӱмым пуэныт. У технологий дене пайдаланен мастер-влак руль шотышто кугу пашам ыштеныт. Ынде руль шке йырже пӧрдын кертын. А вет рульыштак эше кид тормоз верланен. 
Тудо жапыште велоспортсмен-влак писылык шотышто гына таҥасеныт. Но тыгай велосипедым ыштымеке шукын у спортыш ушненыт, кудылан лӱмжӧ - ВМХ. 


== ВМХ-ын туравелыкше (направленийже-влак): ==


=== Дӧрт (Dirt) ===
Таҥасымашлан кок-кум трамплиным чоҥат. Нунын кӱкшытышт кок метр наре лийшаш. Спортсменлан таҥасымаш нерген иктаж могай пале кодшо манын, вашла шогалтыме трамплин коклаште южгунам лавырам оптат. Спортсмен писылыкым поген, трамплиныште тӧршта, да чоҥештымыж годым 360 градуслан шке йырже пӧрдеш. Вес трюк денат ойыртемалт кертеш, вет шукорак трюкым ышта – судья шукорак очком тудлан пуа.


=== Фристайл (Freestyle) ===
Эрыкан койышланымаш, тыге англичан йылме гыч тиде мут кусаралтеш. Бэ-эм-икс спортсмен уремыште шке мастарлыкшым велосипед дене ончыкта. Трюкым ыштыме годым спортсмен шкаланже йол дене полшышаш огыл. Кушто кертеш – тушто кудалыштеш. Кеч кырлеч перилаште, кеч тошкалтышыште, теҥгылыште, кушто лиеш да кушто огеш лий – чыла вере фристайл туравелыкын спортсменже-влак шке вийыштым тергат. Молан манаш гын, таҥасымаш деч ончыч нигӧат нунылан нимогай темлымашым ок пу. Судьям да ончышо-влакым ӧрыктарашлан спортсменын вич минут наре уло. 


=== Флэтлэнд (Flatland) ===
Тиде стиль изиш фристайл дене келшен толеш. Таҥасымаш тыгак, уремыште эрта, но ты гана яклака асфальтыште. Ешарен каласена, ВМХ-лан келшыше велосипедыште шеҥгел колесаште педальым вераҥдыме. Нуныжо пэг маналтыт. Тыге ВМХ-ер ончыл колесам кӱш нӧлталын, шеҥгел колеса валне шоген шуко у да оҥай трюкым ыштен кертеш. Ойырымо жапыште эн шуко да эн неле трюкым ышташ кӱлеш.


=== Кросс ===
Кӧ мотоцикл дене спорт таҥасымашым ужын гын, тудо пала, мо тыгае мотокросс. Спортсмен-влак, тӱрлӧ препятствийым эртат, лавырам, пырдыжым, трамплиным, ты годым тыйым эре ончылташ тыршат. Сусыргашат лиеш, но тыш лӱддыме-влак гына толыт, вет тиде экстремал спорт. ВМХ-кроссышто мотоцикл олмеш велосипед дене таҥасат. Но тидын дене нелылыкше огеш изем. ВМХ туравелык-шамыч коклаште кроссым калык эн чот ончаш йӧрата. 


=== Хэлф пайп ===
Эн чӱчкыдын вашлиялтше велоспортын туравелыкше (направленийже). Кӧ англичан йылмым сайын пала – тудо пала, хэлф пайп мут «пучын пелыже» семын кусаралтеш. Пучым кужут гочынжо Пеле гыч пӱчкаш гын, велосипедлан пеш сай кудалыштме вер кодеш. Тудым «рампы» лӱмдат. Велосипедист рампышке кудал пура да тушто трюкым ышташ тӱҥалеш. Шке йырже пӧрдеш, сальтом ышта, ончыл колеса валне гына кудалыштеш, чыла тидым каласен шукташ огеш лий. Тидым умшам почын гына ончыман. 


=== Рэйс ===
Эн куштылго таҥасымаш. Ондакак корным ямдылат, тушто 12 препятствий да 6 савырнымаш марте лийын кертеш. Аканаште корныш 8 спортсмен наре лектеш. Кӧ эн писын мучаш марте кудал шуэш – тудо сеҥа. Рэйс таҥасымаште спортсменын ийготшо 6 гыч витле ий марте лийын кертеш. Тидым официалkt правилыште пеҥгыдемдыме.


== Ойкаҥаш ==
BMX-лан тунемаш шонеда гын, шуко вийым пыштыман. Тиде спортышто вигак шагал мом ыштен кертат. Кече гыч кечыш, арня гыч арняш, тылзе гыч тылзыш, ий гыч ийыш эре ямдылалтман. Йолташ-влак дене пырля тӱҥалыда гын – каньылрак лиеш. Уремыштыда баскетбол пасу уло гын тушто тренировкым эртарен кертыда. Кузе ВМХ-мастар-влак ойлат, тӱжем гана камвозат гын –тунемын шуат. Вургемым велоспортлан посна ойырыман. Эн тӱҥжӧ - йолаш ден йолчием. Йолаш кумда лийшаш огыл, уке гын, шинчырыш пӱтыралт кертеш. А таҥасымаш годым тиде сайыш ок кондо. Южо –влак шорто манме вургемым чият, но пулвуйдам чаманеда гын, йолашым чийза але кевытыште аралтышым налза. 
Йолда педальыште да пегыште кучалтын кертеш мо – тиде йолчием деч шога. ВМХлан келшыше йолчиемым поснак ойырыман. Эн сай – кеде, но пундашыже вӱчкыж лийшаш огыл – тыгай кеде ик кечыште шӱтлен кертеш. Эн сай – резине гыч ыштыме пундашан йолчием – тудо кӱртньышто сайын кучалтеш.
Кедым налме деч ончыч ончалза, кузе пундашыжым ургеныт, йолым тӱкет гын йолпарнят аралалтеш мо.
Пундашыже утыждене пушкыдо лийшаш огыл, кугу кӱкшыт гыч тӧрштет гын – йолетым сусыртен кертат. Кедым тугал ончалза – тугалтеш гын весым кычалза.",mhr,Спорт,ordonné,https://mhr.wikipedia.org/?curid=5158,707,
3390.0,Парашют спорт,"Парашют спорт — авиаций спортын тӱрлык.
Парашют (французла parachute, грекла para да французла chute) — шӱдырнашлан устройстве. Юж торешланеш тудлан кӧра айдеме але ӱзгар шӱдырналеш.
Марий Элыште икымше гана 22 Пеледыш 1935 ийыште Обком комсомолын секретарьже Георгий Микин дене Йошкар-Ола комсмомол ушемын вуйлатышыже Николай Пирогов парашют дене тӧрштеныт. Лачак тиде кече дечын вара элыште парашют спорт виянаш тӱҥалын манын каласен кертына.
1951 ийыште икымше парашют спорт дене тӱнямбал чемпионатым эртара. 60 наре элыште парашют комиссий тӱнямбал 1982 ийлаште лийын. Таче парашют спорт дене таҥасымаш эртаралтын категорий: ару шичме; система индивидуал (яблоневый комплекс шуктен фигур гыч); система тӱшка; система купольный.
Официальный спортын тыгай дисциплиныже-влак шотышто российыште эртаралтше таҥасымаште парашют спорт:

Тӱрыс шичме (тӱшка, личный)
Двоеборье (шичме ару, системым, командысе таҥасымашлаште)
Тӱшка системым (2, 4, 8, 10 але 6, кугу формаций, кугу формаций-перестроение)
Вертикальысе акробатике
Олмавече купольный (2-перестроение, 4-юмынӱдыр, 4-перестроение, 8-храмым чоҥымо, кугу формаций)
Пилотирований купольный (многоборьеште, кужыт, писылык, ару)
Патыр многоборье
Параски (двоеборьеште, ару, двоеборье - команде дене таҥасыме)
Скайсерфинг
Фристайл
Фрифлайинг
Чоҥештен вингсьют
Пуч пырдыж чоҥештен аэродинамический
Парашют спорт тӱрлык российыште правилым тыгай чулымлык огеш официальный регламентировать
Бейсджампинг


== Важ-влак ==",mhr,Спорт,aléatoire,https://mhr.wikipedia.org/?curid=3390,181,
