pageid,title,text,language,category,type,url,token_count,page_id
21571.0,Agent blå,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям
Agent blå — шведэнь инди-поп сёдямо-морамо кужо.


== «Agent blå»-с совицянзо ==
Эмели Алатало — морыца
Феликс Скёрвальд — гитарасо
Лукас Густавссон — гитарасо
Жозефина Так — бас-гитарасо ды морыца
Арвид Кристенсен — налкси перкуссияссо
Тобиас Бауэр — синт


== Дискографиязо ==


=== Синглат ===
2015 — «Strand »
2017 — «Don't Talk to Strangers»
2017 — «Rote Learning»
2018 — «Another Reason To Cut Off An Ear»
2019 — «Child's Play»


=== EP ===
2018 — «Medium Rare»


=== Альбомт ===
2017 — «Agent blå»
2019 — «Morning Thoughts»


== Лисьм.: ==


== Невтевкст ==
Кулятне Discogs-со
Agent blå эсьлемпелень вальмась  Facebook потсо",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=21571,108,
31628.0,Ef (морамо-седямо кужо),"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям
Ef  — шведэнь пост-рок сёдямо-морамо кужо 2003 иестэ.


== Дискографиязо ==
2006 — «Give Me Beauty... Or Give Me Death!»
2008 — «I Am Responsible»
2010 — «Mourning Golden Morning»
2012 — «Delusions of grandeur»
2013 — «Ceremonies»


== Лисьм.: ==


== Невтевкст ==
Кулятне Discogs-со
Ef (морамо-седямо кужо) эсьлемпелень вальмась  Facebook потсо",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=31628,57,
23896.0,Isolated Youth,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям
Isolated Youth — шведэнь пост-панк сёдямо-морамо кужо.


== «Isolated Youth»-с совицянзо ==
Аксель Мордберг — морыця
Уильям Мордберг — гитарасо
Эгон Вестберг Ларссон — бас-гитарасо
Андреас Гейдемарк — налкси перкуссияссо


== Дискографиязо ==


=== Альбомт ===
2017 — «Isolated Youth»
2019 — «Warfare»
2020 — «Iris»
2025 — «Miserere Mei»


== Видео ==
 «Safety» 


== Лисьм.: ==


== Невтевкст ==
Кулятне Discogs-со
Isolated Youth эсьлемпелень вальмась  Facebook потсо",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=23896,72,
20539.0,Silent Woo Goore,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям
Silent Woo Goore — удмуртонь фолк-роконь сёдямо-морамо кужо.


== «Silent Woo Goore»-с совицянзо ==
Свети Ручкина — морыца
Владимир Жуйков — гитарасо
Артем Сутягин — бас-гитарасо
Григорий Степанов — налкси перкуссияссо


== Дискографиязо ==


=== Синглат ===
2011 — «Тӧл» синглат


=== Альбомт ===
2012 — «Толэзе»


== Видео ==
 «Питырес» 


== Лисьм.: ==


== Невтевкст ==
Кулятне Контактсо.
Кулятне Facebook-со",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=20539,65,
5821.0,«Гайги Вайгель» морамо кужо,"ЛопаПарцун:Музыка:Общие проверкиЛопаПарцун:Сортировка: по изображениям

«Гайги Вайгель» (руз. «Звонкий голос») — эрзянь авань раськень морамо кужо, Од Пурнясто. 
Кочкурбуень Од Пурня велесэ ули «Гайги вайгель» морамо кужо, сонтемензэ Мордовиясо а юты вейкеяк покшчи. Коллективесь морси кода эсензэ буесэ, истя жо республикань покш сцена лангсо, ардтни лия регионовгак. Те ансамблясонть эрьва кодамо профессиянь ломанть, иесткак, видьстэ меремс, аволь аламо. Ансяк весень сынст вейсэнди вейкесь – эрзянь моронтень певтеме вечкемась. «Гайги вайгелесь» – Мордовия Республикань Государственной премиянь лауреат, раськеютконь, весероссиянь, республикань, буень эрьва кодамо пелькстамонь ды фестивалень лауреат ды дипломант.
Те коллективесь пурназель 1953 иестэ. Васенце составонть эйстэ тосо морсить ансяк кавто ломанть. Сынь ледстнить, кода 1970 иестэ ардтнесть Московов «Мелодия» звукозаписывающей студияв, косо грампластинкас сёрмадозельть сынст морост. Ансамблясонть моронь ушодыцякс ульнесь  Прасковья Кузьминична Крамойкина. Коллективсэнть а ёвтавишка путовксост Дарья Леонтьевна Антошкинань, Фёкла Ефимовна Мокейкинань. Сынсь стасть эрзянь оршамопельть, кочкасть репертуар, ледстнесть-вельмевтсть стувтозь седикелень койтнень. Весе юткошкаст алтасть вечкевикс тевентень. Ансамблясь курок теевсь райононь визитной карточкакс.
70-це иетнестэ ансамблянь ветицякс ульнесь Р.С.Зорькина. Сон парсте содасынзе эрзянь моротнень, койтнень-кирдатнень. Мельспаросо морсесь аватнень марто велень эрицятнень икеле. (Ней Раиса Сергеевна морси «Ламзурь» ансамблясо). 1983 иестэ саезь Од Пурнянь авань коллективенть кармась ветямо Мария Дмитриевна Бояркина(2009 иестэ казязь (руз. Почетной грамотой Республики Мордовия). Самай сестэ кочказель ансамблянть туртов виев лемеськак – «Гайги вайгель». Сон кармась эрсеме республикань культурань весе мероприятиятнесэ. Ды аволь стяко шкань ютазь ансамблянть туртов максозель раськень коллективень покш лемесь.
Пек парсте содасызь морост аволь ансяк Мордовиясо, томбалеяк - Чувашиясо, Самарань ёнксо, Петербургсояк.  «Гайги вайгеленть» репертуарсо эрзянь кезэрень морот, рузонь раськень морот, частушкат, содавикс сказительницанть Серафима Люлякинань моронзо. Морыцятнень валост коряс, кезэрень моротнень сынь тонавтнесть бабаст-сырькаест пельде. Раськень моротне ютасть вейкеде-вейкес. Сынст свал морсесть весе кенярксчитнесэ, косо весе велесь пурнавиль вейс.
Ансамблясь вельмевтизе «Эрзянь свадьба» коенть. Тосо улить башка морот, конатнень морсильть ансяк урьвакстомсто, кодат валт эряви ёвтамс, кона шкане авардемс, лисемс киштеме ды седе тов. Ламо вийть путыть раськеть койтнень ды озкснэнь ютавтома туртов. Ванстызь ды невтить ломантненень Покров покшчинть, Роштувань моротнень. Коллективень аватне кедьчелькевть. Сынь аволь ансяк эстест стасть костюмт, истя жо райононь лия ансамблятнень туртовгак.
2007 иестэ «Гайги вайгель» ансамблясь тердезель Санкт-Петербургов «Рождество Христово» Россиянь православной фольклорной фестивалентень. Тосо минек морыцятне невтизь «Эрзянь свадьбанть», Роштовань калядамотнень. Теде мейле ульнесть Казанень «Крутушка» Раськеютконь фестивальсэ.  2008 иестэ морамо кужонтень максозь  (руз. «Лауреат Государственной премии Республики Мордовия») лем.
Башка валт эряви ёвтамс, кода аватне вастневсть минек ды омбо масторонь покш ломантнень марто. 2007 иестэ Саранскойсэ ютась «Шумбрат, Финно-Угрия!» суоминь-угрань раськень Масторлангонь I фестивалесь. Те кенярксчинтень сакшность РФ-нь Президентэсь В.В.Путин, Финляндиянь Президентэсь Т.Халонен ды Венгриянь Премьер-министрась Ф.Дьюрчань. Омбоцеде минек аватне В.В.Путинэнь вастызь 2012 иестэ, зярдо келейстэ тешкставсть эрзянь ды мокшонь раськенть Россиянь государствань лия раськетнень марто вейсэндявомань тёжа етне. Россиянь Президентэсь кадсь коллективенть туртов автограф. Неть вастовоматнестэ кадовсть ламо фотокувт.
Теде мейле «Гайги вайгелесь» Оперань ды балетэнь театрасо вастсь Франциянь содавикс киноактёронть Жерар Депардьень. Эрзянь аватне тусть васолдонь инженть мельс. А кода эно?! Вайгелест оно кодат виевть, паляст лангсто сельметькак а саевить. Сынсь чаразь чарыть Жераронь перька, казсть тензэ эрзянь панар ды эрзя-мокшонь пачпорт.
2012 иестэ Од Пурня велев сакшность Московонь инжеть. «МИР» телеканалось «Гайги вайгель» ансамблядонть снимась документальной фильма. Эрьва морыцянть аволь шожда эрямодо ёвтнесть башка, якасть тенст кудос, невтизь, кода эрить. Истя жо невтизь репетицияст, конат ютыть велень клубсо. Вейке-вейкенень лездазь, бабинетне састыне кузить сцена лангс ды ушодыть моро. Сынст валост коряс, зярдо морыть – стувтовить весе мелявкстнэ, апаротне ды орматне. Малав весе эрить ськамост, мирдетне кулость, эйкакштне сралесть масторонь келес. Печтямс ризксэв ськамочинть лездыть моротне, концерттнэ. Фильмась лиссь пек мельстуиця! Сон ули Интернетсэяк, косо ванызь 14 тёжадо ламо ломанть!
2013 иестэ якасть Чебоксары ошов  «Весе минь – Россия» Весероссиянь народной творчествань фестивалев. Тосо сынь лиссть I степенень лауреатокс.
2014 иестэ максозь морамокужонтень раськень лем  — (руз. «Заслуженный коллектив народного творчества») (кемекстазь Россиянь Минкультурась  ацамковонь 16 чистэ 2014 иестэ).


== «Гайги Вайгель»-с совицянзо ==

Агеева Роза Степановна
Адмайкина Евдокия Герасимовна
Адмайкина Мария Никитишна
Адмайкина Нина Фёдоровна
Бояркина Мария Дмитриевна
Ведяйкина Мария Петровна
Кромойкина Прасковья Кузьминична
Мокейкина Фекла  Ефимовна
Потанина Валентина Фёдоровна
Лазуткина Вера Николаевна
Устинова Раиса Алексеевна
Фролкина Просковья Николаевна
2003 иестэ саезь ансамблянь аккомпаниаторокс кармась Иван Ильич Фролкин, вейке морсицянть мирдезэ.


== Морост ==
Кой-кона морост:«Маштыть, авакай» (руз. «Сумела, матушка»), «Ох, авакай, чиямак» (руз. «Ох, матушка, засватай меня»), «Дованть колмо церанзо» (руз. «У вдовы трое сыновей»), Вирьга юты Машура (руз. «По лесу проходит Машура»), «Бути саемс, Ваня леляй, саемак» (руз. «Если женишься на мне, дядя Ваня, то женись»), «Пиже садсо» (руз. «Во зеленом саду»), «Вирь чиресэ эрзянь цёрась» (руз. «На опушке леса эрзянский парень»). 


== Ванмот ==
: «Гайги вайгель» - «Вай, доля» морось (эрз.)
: - «Гайги вайгель» «Колмо кинеть» (эрз.)
: МТРК Мир ЗВОНКИЕ ГОЛОСА (эрз.), (руз.)


== Сёрм.: ==",myv,Культура,ordonné,https://myv.wikipedia.org/?curid=5821,760,
19998.0,"Пальтин, Юрий Михайлович","Пальтин Юрий Михайлович (1968 иень таштамковонь 20 чистэ Мордовиянь Дубинькань буень Поводелесэ) — эрзянь кельсэ эйкакшонь книгань сёрмадыця.
Прядызе Н.П.Огарёв лемсэ филологиянь факультетэнь эрзянь куронть. Сёрмадеенть лиссть эрзянь кельсэ истят книганзо: «Содакай» (1997) валморосо азбука, «Чипай» (2012) ды «Сиянь кснав» (2014) эйкакшонь туртов валморосо ёвкст, рузонь кельсэ: «Путешествие Пуговки и Муравья Тимофея» (соавторось Руженкова М.) (2011), «На дороге Бабка-Ёжка» (соавторось Пирогова М.) (2014). Теде башка сон сёрмады ёвтнемат ды миниатюрат. 2016 иестэ «Литературная Мордовия» Республиканской конкурссо «Чипай» книгась лововсь сехте паро эйкакшонь книгакс чачома кельсэ. 2016 иестэ «Чипай» ды «Сиянь кснав» ёвксонь книгатне казезь Эстониянь Малавикс раськетнень программань Литературной премиясо. Пальтин Юра – Мордовия Республикань Главанть литературной премиянь Лауреат, сови Россиянь Сёрмадыцянь вейсэндявксс.


== Лисьмапрят ==",myv,Культура,aléatoire,https://myv.wikipedia.org/?curid=19998,116,
6756.0,Васенце шкань ломантнень эрямост,"Сехте васенце шкань ломантнень эрямост  —  
Моданть лангсо ломантне появасть ламо сядот тёжат иеде теде икеле. Сехте васенце шкань ломантне ульнесть идем ломанекс ды, ракшань ладсо, эрясть стадасо. Покш пурнавкссо сынь якасть моданть ланга эстест кодамояк ярсамопелень вешнезь, вейсэ тейнесть казямо кедь ёнкст ды нолдасть эйсэст тевс. 
Сехте васенце шкань ломантнень пек ламо важодсть, истя сынь таргильть эстест ярсамопель, сынь эзть сода скотинань трямо раштамо, сокамо-видема, ды кудоютконь анокстама. Сынест савкшнось вешнемс ды свал пурнамс весе сень, мезесь маштовсь ярсамс. 
Эсест эрямонь те васенце шкастонть ломантнень арасельть эрямонь таркат, сынь эзть тонале сынст тееме, секс сынь эрясть вирьга, кекшнесть куронь потмова, эцнесть домка мода потмова. Важодемань кедьёнкст сынь тейнесть кевстэ ды ловажасто, недть ульнесть педе-пес апак тее. Кевстэ теезь кедьёнкстнэ, конатнень тонадсть теемаст ломантне, мерить «кезэрькевень пингень» (палеолитэнь) кедьёнкст. Сынст вельде ломантне оциняст идем ракшатнень лангс, таргсесть ярсамопелекс молиця ундокстнэнь.
Неть ломантненень свал савкшнось пелемс сывельс-ярсыця ракшатнеде  ды вачочиденть. Эрямонть кисэ бороцямосонть ломантненень савкшнось якамс вейсэ покш ордасо, вейсэ вешнемс ярсамопель, кочксемс нурька шкас эрямо-аштема тарка. Истямо ульнесь эрямозо Сехте васенце шкань орданть. 


== Сёрм: ==
Древней мирэнь историясь: тонавтнема книга средней школань 5-6 класстнэнень. Редакциясь проф. А. В. Мишулинэнь. Эрзякс сёрмадызь Н. Иркаев ды А. Лукьянов. Эрзянь кельсэ сёрмадозенть кемккстызе Мордовской АССР-нь Просвещениянь Министерствась. Саранск: Мордовской государственной издательствась, 1949 ие",myv,История,ordonné,https://myv.wikipedia.org/?curid=6756,211,
6762.0,Модавтомо Ива,"Модавтомо Ива (руз. Иоанн Безземе́льный, англ. John Lackland) (ацамковонь 24 чи 1166 — ожоковонь 19 чи 1216) — ульнесь Англиянь инязорокс 1199 иестэ саезь, Плантагенетэнь канонь Аквитаниянь ушмоветиця, II-це Генрихень  ды Аквитанской Алиенорань веженсь цёраст. 
Инязорочизэ ушодовсь лондадовксто: васня Нормандиянть нельгизе французонь инязорось II-це Филипп, ды прядовсь кирвазезь ошэрицянь торпингесэ (не эсинзэ маштоматнень коряс сонензэ путтсть «Чевте Торо» (Softsword) лемпедявксь. 
1215 иестэ пряст кепедизт олязортнэ, ды карматызь Модавтомо Ивань тешкстамонзо Ине Юртконёвонть. Теде мейле, пингеде-пингес вейкеяк англань инязортнэстэ “Ивакс” пакшаст эзть лемдя. 


== Лисьмапрят ==


== Литературась ==
Дмитричев Ф. М. Великая хартия вольностей: Дис. … канд. юрид. наук. — М., 1948.
Есаян Э. С. Великая хартия вольностей и её место в истории английского права: Дис. … канд. юрид. наук. — ЛопаПарцун:Ер., 1986.
Иоанн Безземельный // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.). — СПб., 1890—1907.
Калмыкова Е. В. Иоанн Безземельный // Большая энциклопедия Кирилла и Мефодия, 2004.
Петрушевский Д. М. Очерки из истории английского государства и общества в средние века. — 4-е изд. — М., 1937.
Пти-Дютайи Ш. Феодальная монархия во Франции и в Англии X—XIII веков / Пер. с фр. С. П. Моравского. — М., 1938.
Эплби Джон Т. Иоанн, король Англии. Самый коварный монарх средневековой Европы / Пер. с англ. Л. А. Игоревского. — М.: Центрополиграф, 2018. — 319 с. — ISBN 978-5-9524-5288-6.
Duncan, A. A. M. John King of England and the King of the Scots. — Church, 2007.
Lionheart and Lackland: King Richard, King John and the Wars of Conquest. — London: Vintage Books, 2007. — ISBN 978-0-7126-9417-9.
Stubbs W. Select Charters and Other Illustrations of English Constitutional History. — Oxford, 1890.
Turner, Ralph V. King John: England's Evil King?. — Stroud, UK: History Press, 2009. — ISBN 978-0-7524-4850-3.
Warren, W. Lewis. King John. — London: Methuen, 1991. — ISBN 0-413-45520-3.


== Невтевкст ==
ЛопаПарцун:Навигация

ЛопаПарцун:FGM",myv,История,ordonné,https://myv.wikipedia.org/?curid=6762,308,
24106.0,Обран Ош,"Обран Ош — кемекстазь эрзя раськень прявт ош, Алоош, ошонь юровтома таркасонть,  Эрзянь Масторонь кирдиенть форпост ды  лия масторонь микшницятнень  пельде каявксонь пурнамо тарка.  Паряк  ульнесь стявтозь тосо, косо ней  Нижегородской кремлясь; Ока леенть ёнов ваномга ды ванстомга, башка  кемекстазь утомкардотне ульнесть стявтозь Дятловы пандотнесэ.


== Этимологиясь ==
Ош эрзякс пирязь, кемекстазь «эрямо тарка», Обран — прявтонть лемезэ, кона вастневи летописьтнесэ.


== Историясь ==

Нижноень кремлянть территориясонть, ды лия таркатнесэ, течинь археологтнэнь сявлематне исковоматне невтить: Ока ды  Рав лейтнень сэрейть чиретнева пек ламо кевень шкань.эрямо таркат ды калмазэрть. Улить знярыя эсь койсэ арсемат Нижной ошонь юровтомадонть. Вейкесь эйстэст ёвтни эйстэнзэ кода рузонь центрадо, кона ульнесь стявтозь эрзя ошонть тарказонзо. XII пингенть ушодомазонзо, Ока леенть Рав лейс прамо таркасо модатне ульнесть эрзятнень, конат эрясть биляртнэнь - булгартнэнь «протекторатонть» ало. 
Хроник XVII пингень хроникатне видьстэ ёвтнить Обран оштонть Ока леень Рав лейс прамо тарскасонть.
1171  -це иестэнть Андрей Боголюбский кучизе  Мстислав цёранзо булгартнэнь лангс. Мартонзо арсесть вейсэндявомо  муромонь ды рязанень князьтнень цёратне.  Мстислав сась Обран ош алов ды ушодсь кармавтомо эрзятнень  совамо суздалень князенть кедензэ алов. Мстислав князесь ушодызе тюреманть ды ошось ульнесь изнязь. Таркасонзо князесь стявтызе эсь кемекстазь кардоутомзо, ансяк эрзятненень кенерсть само лия таркасто эрзянь ушманвийтне ды изнизь Мстиславон дружинатнень Щербинки веленть вакссо.
Обран Оштонть кортыть эрзянь хроникатнесэ ванстазь эрзя раськень маралядонть Пургаз инязордонть лецтнематне. Сон кадызе, тусь Обран Ошсто ды теде мейле се таркасонть, 1221 –це иестэнть Юрий Всеволодович володимирэнь князесь, стявтсь кемекстазь кардоутом, кона ульнесь лемдязь «Новый город Нижней земли». 
Советской учёнойтнень важодемасонть эрзянь Обран Ошто содамочитне ульнесть кекшезь, сын ульнесть, ды нейгак а эцевить официальной версияс Нижньой Новгородонь эрямопингеденть. Тевень кувалт ташто Нижноень явомась зярыя пингеть ванстась умонь эрямо таркатнень: Ильинка буесь – купецт ды сюпавт ошонь эрицят; Балчуг –микшнема тарка ды венчсэдявкс; Покровкадонть чилисема ёнов, паряк  Эрзянь Мастор чирязтнэнь модатнесэ, стясть дворянтнэнь ды посадонь мастерломатнень кудост. Кезэрень шкань Обран Ош лемесь, паряк ванставсь «Ошарская» пенть лемсэ. Нижноень таркасо эрзянь оштонть ёвтнесть содавикс историктне  В. Татищев, Н. Карамзин, М. Покровський.


== Легендатне ==
Нижнойсэ ули ошонь ёвтнема седе, кода Нижноень кремлянть Коромысловской палманькудонть (башнянть) юровтомсто, алонзо ульнесь калмазь сюпав содавикс буень од тейтерь, истя, кода тейнесть умонь эрзятне, зярдо юровтсть одт кемекстазь кардоутомт. 


== Лисьмапрятне ==",myv,История,ordonné,https://myv.wikipedia.org/?curid=24106,359,
743.0,Эрзянь Мастор,"Эрзянь Мастор — кезерень пингенть эрзянь раськенть масторт Обранонь ёнкссо, озавтомат конат ульнесть Арзамассонь ды Обран ошонь ёнкссо, конат ульнесть «Прявт ошокс», конат совильть Пургазонь Русеньте.
Эрзянь Масторось кирьсь эсинзэ ало седе покш пельксенть кинть молема микшнема-рамсема пельтнень, кона мольсть лембе ёнксто, чилисемасто ды пелеве-чивалгома ёнкснестэ Рав, Йока, Цна, Сура лейтнева, конат чудесть сонзе масторга. Лембе-чивалгома ёнксто Эрзянь Масторонть сюлмиль Доннось. Парт ульнесть коськестэмодань китьне як. Эрзянь Мастороськедсензэ кирьсь сюпав вирьть, лейтть ды чачтыця модат.


== Сёрмадовксо ==
ловнодо Тагановонь Дмитриень валморонзо - «Эрзянь масторонть...»",myv,История,aléatoire,https://myv.wikipedia.org/?curid=743,85,
