pageid,title,text,language,category,type,url,token_count,page_id
13934.0,Мыс сиктса библиотека (Кулӧмдін район),"Мыс сиктса библиотека — Кулӧмдін районса Мыс сиктын восьтӧм библиотека.


== История ==
1904 воын Мыс сиктын воссис библиотека. Жырсӧ торйӧдісны церковно-приходскӧй школаын, уджаліс вичкоын Федор Александрович Клепиков. Библиотека восьтӧм вылӧ вӧлі урчитӧма 77 шайт.
Во мысти библиотекаын вӧлі литературалӧн 293 экземляр, воліс 34 лыддьысьысь, кодъяслы вӧлі сетӧма 214 небӧг.
1911 воын библиотекаӧ воліс 108 лыддьысьысь, налы сетӧма 508 небӧг, фондын артавсис литературалӧн 596 экземпляр.
Медводдза Ыджыд тышлӧн воясӧ лыддьысьысьяслӧн лыд ёна чиніс.
1925 воын библиотекалысь нимсӧ вежисны изба-читальня вылӧ.  
Война кадӧ библиотекарӧн уджаліс Роза Горская, юрнуӧдіс изба-читальняӧн Михаил Никифорович Ермолин. 
Изба-читальня бердын уджаліс драмкружок. 1949 воын Михаил Ермолинлӧн вӧзйӧм серти олысьяслы петкӧдлісны ""Домна Каликова"" да ""В чужом пиру похмелье"" пьесаяс.
Изба-читальняӧ быд рыт чукӧртчывлісны олысьяс, сёрнитісны мытшӧдъяс йылысь, петкӧдлісны концертъяс, нуӧдісны рытпукъяс, гораа лыддьысьӧмъяс. Библиотекаын лыддьыссис 100-ысь унджык морт.
1949 воын бур уджысь изба-читальняӧс наградитісны РСФСР-са Министръяслӧн Сӧветса Почёт грамотаӧн.
1952 воын изба-читальня лои сиктса библиотекаӧн.
1963 воын библиотекаын уджаліс Опарина Елизавета Васильевна. Сылӧн 30 вося удж дырйи библиотека вӧлі районын медбуръяс лыдын. Артавсис 300 гӧгӧр лыддьысьысь.
1981 воын библиотека лои Кулӧмдінса шӧр библиотечнӧй системалӧн 13 филиалӧн.
1993 восянь библиотекаын уджалӧ Трофимова Валентина Андреевна. Библиотека топыда уджалӧ сиктса администрациякӧд, школакӧд, культура керкакӧд.


== Веськӧдлысьяс ==
1913 - Надеев Иван (тайӧ жӧ воӧ сійӧс вуджӧдӧны Мылдінӧ да Туголукова (велӧдысь) корӧ сы пыдди пуктыны поп Федор Клепиковӧс).
1914 - Игнатов Степан (вӧлӧстнӧй писар).
1915, ӧшым тӧлыссянь - Клепиков Федор Александрович (поп), (КР ШКА 116 ф., 1 опись, 169 делӧ).
1945, ода-кора тӧлысьсянь (уджаліс нёль тӧлысьысь эз унджык) - Ермолин Александр Кузьмич (чурка Кузьма Ӧлексан).
1946-1949 -  изба-читальняӧн юрнуӧдіс Михаил Никифорович Ермолин (Митипер Микайлӧ), библиотекар - Роза Горская.
1963 - 1993 вояс - Опарина Елизавета Васильевна.
1993 восянь ӧнія кадӧдз - Трофимова Валентина Андреевна.


== Ӧшмӧсъяс ==


== Ыстӧдъяс ==",kv,Культура,ordonné,https://kv.wikipedia.org/?curid=13934,288.0,
13912.0,Джейн Кобден,"Шаблон:Infobox politician

Эмма Джейн Кэтрин Кобден Анвин  (1851, косму, 28-ӧд – 1947, сора, 7-ӧд), нимтӧмась нӧшта Джейн Кобден. Вӧл1с британияса либеральнӧй политикӧн (Liberal) код1 уна петкӧдчис быдсяма радикал акцияын 19-ӧд нэм помын да 20-ӧд нэм заводитчигас. Сылӧн батьыс (Richard Cobden) вӧлӧма викторианскӧй руа реформаторӧн да чина мортӧн. Джейн томуловсянь тышкасин нывбаба праваяс понда, да 1889-ӧд воын с1йӧ лоӧма кык нывбабасьыс ӧтиӧн кодӧс бӧрйӧмаӧсь инаугурациӧннӧй Лондон графство советӧ (London County Council). Сэкъя оланпас проблемасьыс, коллизияяссыс, сылӧн статус эз вӧв чорыда пуктӧма, сы могысь лоны совет членӧн эз артми.",kv,Важвылӧм,ordonné,https://kv.wikipedia.org/?curid=13912,87.0,
11803.0,Кулӧмдінса бунт,"Кулӧмдінса бунт — Кулӧмдін вӧлӧсьтса коми кресьтяналӧн 1842—1843 воясӧ кыпӧдчӧм. Вӧлі лёка пӧдтӧма.


== История ==
Кулӧмдінса бунт йылысь юӧръяс тӧдсаӧсь гижысь да чужан му туялысь Василий Кунгинсянь. 1911 вося очеркын сійӧ гижис, кыдзи артмис тайӧ кыпӧдчӧмыс, видліс тӧдмавны, кутшӧм помкаяс вӧсна кулӧмдінсаяс босьтчисны тышкасьны нартитысьяскӧд.
1835 восянь вот перъян кулӧмдінса мӧд участокысь кресьтянин Григорий Анисимович Кипрушев служитіс бӧрйӧм сиктса старостаӧн (сэки, кор губерняясын эз на восьтны канму эмбуръяс кузя веськӧдланінъяс, йӧз костын вӧлі шуӧны целовальникӧн на).
Ас должносьт серти Кипрушев (озыр кресьтянинлӧн пи) вӧлі вот чукӧртӧ. Целовальникӧн на сійӧ ӧктіс Кулӧмдінса обшествоысь 3 сюрс шайт да видзис найӧс. Усть-Сысольск кытшӧн веськӧдлысьяс кӧть и тӧдісны сьӧм таргайтӧм йылысь, эз шыӧдчыны ёрдӧ. Квайт во мысти, 1841 воын, кор Кулӧмдін сиктса веськӧдланін лои вӧлӧсьтӧн, вӧлӧсьтса писарӧн босьтчис уджавны Кипрушевлӧн зятьыс — вӧвлӧм салдат Дмитрий Тимофеев Русинов, а сылӧн отсасьысьӧн — кресьтянин Иван Елисеев Попов. Тайӧ кык морт отсӧгӧн Кипрушев ас водзас пуктіс план, мый серти 1842 во вылӧ рӧскӧд сметаӧ сюйис водзынджык видзӧм 3 сюрс шайт, кодъясӧс быттьӧкӧ кулӧмдінса кресьтяна эз мынтывлыны. Та кындзи вӧліны и мукӧд выль вот. Ставнас Кулӧмдінса обшестволы колӧ вӧлі чукӧртны 17641 шайт: быд 754 ревизскӧй душасянь — 23 шайт 40 урӧн.
1836 воын кулӧмдінса 39 морт, кодъяс тӧдмалісны налӧн вот сьӧм видзӧм йылысь, шыӧдчисны ёрдӧ. Туясьӧм нуӧдӧм пыдди Ёрд кутіс корсьны элясьысьясӧс. Мукӧд кресьтянаыс, кодъяс пуктісны элясьӧм улас кырымпассӧ, повзьӧдлӧм бӧрын ассьыныс кырымпассӧ бӧр киритісны. Бӧрынджык элясьӧмсӧ шуисны фальшивӧйӧн. Тайӧ делӧыс кыссис 1841 воӧдз, кор Кипрушевлӧн уджысь эз аддзыны некутшӧм мыж.
1840 воын тайӧ должносьтӧ пуксис Прокопий Мамонтов, код дырйи вотыс нӧшта на содіс. П. Мамонтов вӧлі зэв скӧрӧн: ачыс вӧлі нӧйтӧ кресьтянаӧс, кодъяс эз мынтыны став вотсӧ, а коді эз вермы мынтыны — сійӧс дорисны пу колодаӧн.
1841 вося гожӧмын 140 кулӧмдінса кресьтяна пуктісны кырымпасъяссӧ элясьӧм улӧ. Тайӧ элясьӧмсӧ Вӧлӧгдаӧ нуис Носимса кресьтянин Герасим Сладкоштиев. Письмӧсӧ вылысянь вӧлі мӧдӧдӧма Усть-Сысольскӧ, кӧні сійӧс эз и видлавны. Та бӧрын кресьтяна гижисны чина войтырлӧн лёкасьӧм вылӧ мӧд письмӧ. Сійӧс сідзжӧ нуис Г. Сладкоштиев канму эмбур кузя министерствоӧ. Мамонтовлӧн лёкалӧм улын унаӧн претензиа лыдсӧ чинтісны.
Та кадӧ вӧвлӧм старшина Кипрушев, писар да староста Мамонтов сёрнитчисны да кресьтяналы 1842 во вылӧ вотъяс кыпӧдісны 19 шайсянь 23-ӧдз. Кор кресьтяна котыр кутісны юасьны, мыйла сиктса власьтъяс содтісны вот, тӧдмалісны, мый 3 сюрс шайт перйӧны торъя реестр серти (сьӧм, кодӧс гусяліс Кипрушев), а нӧшта 700 шайт — вылынджык пукалысь чина войтырлы козинъяс вылӧ. Кресьтяна эз кӧсйысьны мынтыны тайӧ пӧльтӧм сьӧмсӧ, корисны бергӧдны вот, мый мынтылісны 1835 восянь. Та кындзи найӧ эз кӧсйыны кывзысьны сиктса веськӧдлысьӧс да чукӧртісны кырымпасъяс, медым вӧтлыны Кипрушевсӧ старостаысь.
Та кадсянь кресьтяна восьсӧн кутісны водзсасьны сиктса власьтъяслы паныд. Кулӧмдінсаяс пӧвстын лои водзмӧстчысь морт — велӧдчӧм кресьтянин Гавриил Попов. Аслас чукӧртчӧмъяс вылын кресьтяна эз кӧсйысьны кывзысьны Усть-Сысольскса чиновникъяслысь. Письмӧяс гижӧм могысь найӧ корисны Коми муын нималана мортӧс, йӧзӧс дорйысьӧс — Шожым сиктса Дмитрий Балинӧс, кодӧс ёна пыди пуктісны йӧзыс.
Восьсӧн сиктса власьтъяслы водзсасьӧм кыссис 13 тӧлысь. Гаврил Попов гӧгӧр артмис 8 морта котыр. На дор жӧ вӧліны 200 гӧгӧр кресьтяна, тшӧтш и орчча грездъясысь — Носимысь, Донысь, Керчомъяысь да Нэмдінысь. Кыпӧдчысьяслӧн шӧринӧн лои Гаврил Поповлӧн керкаыс, кодлӧн гӧбӧчас вӧчисны «кутузка». Сэтчӧ йӧртісны  Г. Поповӧс кыйны кӧсйысьясӧс. Гӧбӧч-тюрма бӧрся видзӧдіс кӧзяинлӧн гӧтырыс — Даръя Васильевна.
Быд вежон Кулӧмдінӧ волывлісны уездса чина войтыр (А. Попов). Но найӧ кӧсйисны эз кресьтянаӧс кывзыны, а кыйны бунтаръяслысь веськӧдлысьсӧ. Усть-Сысольскса чинаяс бӧрын сиктӧ кыкысь воліс канму эмбур кузя Вӧлӧгда губерняса палатаӧн управляюшӧй Нагель. Сылӧн могыс — бунтарӧс кыйны. Нагельӧс асьсӧ неуна эз пуксьӧдны Поповъяслӧн гӧбӧчӧ. Но губерняса чиновник кужис дзебсясьны пывсянын, а сэсся пышйыны сиктсьыс.
Кулӧмдінысь ковмис пышйыны сідзжӧ и ӧти натшальниклӧн отсасьысь Троицкийлы. Сійӧ вӧлі мунӧ нин бӧр дереваннӧй туйті, но сылысь кибиткасӧ суӧдісны Осип Конанович Липин веськӧдлӧм улын кресьтяна. Найӧ мырддисны сылысь тулуп, юрлӧсъяс, вӧвъяссӧ да тшӧктісны Троицкийлы подӧн мунны Деревяннӧйӧдз. Та дырйи сылы шуисны, мый мырддьӧмторъясыс мунасны вот мынтӧм вылӧ.
Некутшӧм вежсьӧм эз ло и Вӧлӧгдаса губернатор Волховскийлӧн волӧм бӧрын. Сэк кадӧ жӧ сиктын водзӧ сӧвмис асвеськӧдлӧм. Кулӧмдінсаяс бӧрйисны сиктса старшинаӧс, сетісны сылы печать да штемпель, медым мӧдӧдны сар да жандармъяслӧн шеф граф А.Х. Бенкендорф ним вылӧ письмӧяс. Ставнас кулӧмдінсаяс мӧдӧдісны 25 элясьӧм. 
1843 вося тӧвшӧр тӧлысьӧ кулӧмдінса кыпӧдчӧм йылысь юӧртісны Николай Первӧйлы. Та кадӧ жӧ Вӧлӧгдаса губернатор Волховский шыӧдчис канму эмбур министерствоӧ, медым мӧдӧдісны сиктас 300 салдат. Но сар вӧзйис мӧдӧдны мелі сёрнитысьӧс. Регыдъя кадӧ сэтчӧ ыстісны жандармса полковник Витковскийӧс, коді эз сяммы ӧти кывйӧ воны кресьтянакӧд.
Кулӧмдінӧ воӧм бӧрын Витковский корис, медым кресьтяна кывзысисны водзынджык бӧрйӧм власьтъяслы. Татшӧм тшӧктӧмыс эз кажитчы йӧзыслы. Ассяньыс коми йӧз корисны кыйны да пуксьӧдны сиктса чинаясӧс, кодъяс нем подулавтӧг кыпӧдісны вотъяс. Та бӧрын Витковский лэччис карӧ да юӧртіс Москваӧ Бенкендорфлы, мый кыпӧдчӧмсӧ колӧ пӧдтыны армиа отсӧгӧн.
1843 вося рака тӧлысь 7-ӧд лунӧ Вӧлӧгдаысь петіс 200 морта отряд, налӧн вӧлі 4 пушка. Рака тӧлысь 29-ӧд лунӧ найӧ воисны Дереваннӧйӧдз. Водзсасьысь сиктӧ локтісны нёль поп, кодъяс корисны сетны водзмӧстчысьяссӧ да сетчыны власьтъяслы. Мӧд лунас нин олысьясыс лэччисны Эжва берегӧ паныдавны отрядсӧ. Накӧд воысь губернатор Волховский мӧд лун кежас ставнысӧ корис Петыр-Павел вичкоӧ кевмысьны.
Та бӧрын 110 кулӧмдінса кресьтянаӧс, кодъяс отсасисны кыпӧдчӧм дасьтысьяслы, нӧйтісны ньӧръясӧн (вачкӧм лыд эз артавны). Та могысь вӧлі вайӧма 4 додь тыр ньӧр.
Бунтӧн кӧкъямыс веськӧдлысь пышйисны лызьӧн вӧр керкаясӧ. Сы бӧрын, кыдзи налысь рӧдвужсӧ кутісны дзескӧдны, пышйысьяслы ковмис петны вӧрсьыс да сетчыны власьтъяслы. Меддыр дзебсясис Гавриил Попов. Йӧзыс шуӧны, мый сылысь дзебсясянінсӧ индіс винаысь Марк Нехорошев. Гаврил Поповсӧ кыйисны Вуктылъюысь (сиктсянь 19 км сайын).
Сёысь унджык салдат олісны Кулӧмдінын 11 тӧлысь чӧж. Кресьтяналы ковмис вердны найӧс — унаӧн гӧльмисны, вузалісны керкаяссӧ да эновтісны сиктсӧ. Кулӧмдінсаяслы эз позь чукӧртчыны рытпукъяс вылӧ, ветлӧдлыны рыт-войӧ. Салдатъяс жӧ олісны вӧльнӧя да уна лёктор вӧчисны.
Восстание юрнуӧдысьясӧс судитісны Усть-Сысольскын 1843 вося моз тӧлысь 24-ӧд лунӧ. Ставнысӧ шуисны мӧдӧдны Сибырӧ ссылкаӧ, а таӧдзыс ньӧръявны. Уездса ёрд вӧзйис ньӧрйӧн нӧйтны карса полициа дорын, но Сенат тшӧктіс тайӧс нуӧдны сэні, кӧні кресьтяна кыпӧдчисны — Кулӧмдінын.
Вӧльгым тӧлысь 30-ӧд лунӧ найӧ бӧръяысь волісны чужанінас. Гавриил да Михаил Поповъяслы да Сидор Морохинлы вичмис 50 вачкӧм, мукӧд вит мортыслы — Родион да Тихон Поповъяслы, Герасим Сладкоштиевлы, Василий Кипрушевлы, Фёдор Турьевлы — 30 вачкӧм. Та бӧрын найӧс дорисны кандалыӧ да мӧдӧдісны Сибырӧ.


== Кывкӧртӧдъяс ==
Кулӧмдінса кресьтяналӧн кыпӧдчӧм вӧлі Коми муын медся уна йӧза. Та йылысь весиг кывсис  Россия империяаса министръясӧдз да Николай I государӧдз. 
Сиктса власьтъяслысь вывтіасьӧмсӧ торъя комиссиа аддзис, но некодӧс эз мыждыны. Кулӧмдінса старшинаяс Кипрушев да Мамонтов колины гортаныс. Налысь натшальникъяссӧ — А. Поповӧс да Троицкийӧс — сӧмын вештісны должносьтсьыс.


== Кулӧмдінса бунт искусствоын да литератураын ==
1927 воын, кор Кулӧмдінса бунт пӧдтӧмсянь тырис 85 во, нималана коми гижысь да драматург Нёбдінса Виттор гижис «Кулӧмдінса бунт» историческӧй пьеса. Пьесасӧ вӧлі пуктӧма республикаса драма театрын. Виктор Савин воліс Кулӧмдінӧ да йӧз висьталӧм вылӧ мыджсьӧмӧн мыйсюрӧ стӧчмӧдіс — бунтӧн юрнуӧдысьясӧс вӧлі ньӧръялӧма абу вичко водзын, а дяклӧн градъяс вылын.


== Ӧшмӧсъяс ==
Сивкова А. «Дух народный возмущен...» / 170 лет назад был подавлен Усть-Куломский бунт — крупнейшее крестьянское выступление в Коми крае // «Республика» газет, 2013 во, косму тӧлысь 27-ӧд лун


== Ыстӧдъяс ==",kv,Важвылӧм,ordonné,https://kv.wikipedia.org/?curid=11803,1137.0,
1378.0,География,"
== Европа ==
Европа - му юкӧн войвыв шарджынйын, Евразиялӧн рытыввыв кӧдж. 


== Азиа ==

Китай
Япония
Монголия
Индия
Южная Корея
Северная Корея
Пакистан
Таиланд


== Матыс Асыввыв ==
Ирак
Иран
Афганистан
Египет
Израиль
Саудувса Аравия
Сирия


== Америка ==
Америкаса Ӧтувтчӧм Штатъяс
Канада
Мексика
Бразилия
Перу
Куба


== Австралия да Океания ==
Австралия - му юкӧн лунвыв шарджынйын.

Австралияса Ӧтувъябур
Выль Зеланді",kv,География,ordonné,https://kv.wikipedia.org/?curid=1378,63.0,
,Канпас,"Канпас тайӧ канмуса, карса али ордса символ. 


== История ==
Гербъяс тыдовтчисны XII нэмын Англияын да Францияын, регыдӧн паськалісны Рытыввыв да Шӧр Европа пасьтала. Налӧн сӧвмӧмыс йитчӧма крестовӧй походъяскӧд, кор рыцарьяслы колӧма ассьыныс асьнысӧ тӧдмалӧм да союзникъясӧс врагъясысь торйӧдӧм средство. Медводз гербъяс служитісны личнӧй знакъясӧн, но XIII нэм помын наӧн кутісны вӧдитчыны канму корпорацияяс, а сідзжӧ семьяяс да политическӧй субъектъяс.
Гербъяс артмӧны щитысь, шлемысь, щитысь да вермасны пырны коронкаясысь, шлемъясысь да щит нуысьясысь. Щит вылын налӧн югыд серпасъясыс отсалісны тӧдмавны воинъясӧс. Аланъяслöн да тюрк войтырлöн вöлiны семья пасъяс тамга формаын.
Гербъяс позьӧ торйӧдны принадлежность, чин, образъяс да стильяс серти.


== Канмуса канпасъяс ==


== Карса канпасъяс ==


== Ордса канпасъяс ==",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=5327,,5327.0
,Дӧрапас,"Дӧрапас тайӧ канмуса либӧ карса символ. 
Флагъяс эмӧсь: 
Найӧс вӧлі используйтӧны, медым петкӧдлыны быдсямапӧлӧс кӧлуй, международнӧй организацияяс, странаяс, региональнӧй флагъяс, карса флагъяс да мукӧдтор. Унджыкыс на пиысь лыддьыссьӧны. 
Флаглысь идеясӧ вӧлі лӧсьӧдӧма средневековьеын, армиялӧн баннеръясысь ылыстчӧмӧн, кодъясӧс вӧлі используйтӧны сӧмын координируйтӧм могысь. 
Ӧнія концепцияыс заводитчис Французскӧй революция дырйи, сэсянь мукӧд странаяс бӧрйисны ассьыныс канмуяссӧ петкӧдлӧм вылӧ флагъяс. 


== Канмуса дӧрапасъяс ==


== Карса дӧрапасъяс ==",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=5328,,5328.0
,Moonsorrow,"Moonsorrow (англ. Тӧлыся жугыльлун) — Суоми Муса метал группа. Пансьӧма 1995 воӧ Хельсинкиын.


== Пырысьяс ==
Хенри Сорвали – ритм, гитара, клавишаяс, вокал
Вилле Сорвали – бас-гитара, нуӧдӧм вокал
Митъя Харвилахти – нуӧдӧм, ритм-гитара, бэк-вокал
Маркус Эурен – клавишаяс, бэк-вокал
Марко Тарвонен – барабанъяс, перкуссия, бэк-вокал


== Дискография ==
Thorns of Ice (1996, лэдзавтӧм)
Promo (1997, лэдзавтӧм)
Metsä (Вӧр) (1997)
Tämä ikuinen talvi (Тайӧ помасьлытӧм тӧв) (1999)
Suden uni (Кӧинлӧн вӧт) (2001)
Voimasta ja kunniasta (Каналӧм да нималӧм йылысь) (2001)
Kivenkantaja (Из нуысь) (2003)
Verisäkeet (Вир сагаяс) (2005)
Viides luku – Hävitetty (Витӧд юкӧн — Киссьӧм) (2007)
Tulimyrsky (Биа сьыв) (2008)
Varjoina kuljemme kuolleiden maassa (Вуджӧръяс кодь ми ветлам кулӧм мортлӧн муӧд) (2011)
Heritage: 1995-2008 — The Collected Works (2014, Boxed set)
Jumalten aika (Енъяслӧн кад) (2016)


== Ыстӧгъяс ==
Группа йылысь рочӧн
Официал сайт",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=12178,,12178.0
,Июль (сьылысь котыр),"ИЮЛЬ — Кулӧмдін сиктса томуловлӧн сьылан котыр, артмӧдӧма 2009 вося сора тӧлысьын.


== История ==
«Июль» котырӧн веськӧдлӧ Людмила Яснецова. Медводддзаысь сійӧ петкӧдчис 2009 вося сора тӧлысь 17 лунӧ, кор Кулӧмдін сиктын пасйисны Кулӧмдін район артмӧмсянь 80 во тырӧм.
Налӧн репертуарын вӧлі «попса». Сёрӧнджык, Людмила Яснецова водзмӧстчӧмӧн, репертуарас лоисны коми авторъяслӧн да йӧзкостса сьыланкывъяс. Медводдзаӧн вӧлі Василий Лодыгинлӧн «Кыдзсӧ кусыньті» кывбур вылӧ сьыланкыв.
Водзсяньыс котырын вӧлі 6 сьылысь, но бӧрынджык чиніс нёльӧдз. Людмила Яснецова кындзи «Июльын» сьылӧны: Наталья Казминова, Иван Нестеров,
«Июль» котырлӧн репертуарын эм татшӧм коми сьыланкывъяс: «Сьӧлӧмӧй» (кывъясыс Михаил Шаховлӧн), «Коми рок-н-ролл», «Абу на тулыс», «Сьӧлӧмӧй дай сьӧлӧмӧй», «Кулӧмдін», «Кыдзсӧ кусыньті» (кывъясыс Василий Лодыгинлӧн) да мукӧд.
Котыр зільӧ петкӧдчыны республикаса да районса праздникъясын да конкурсъясын, нуӧдӧ торъя концертъяс, на лыдын — благотворительнӧй сьылӧмъяс. Сідз, 2012 вося ода-кора тӧлысь 28 лунӧ «Июль» котыр нуӧдіс Кулӧмдін районса Культура керкаын концерт, а билетысь вузалӧм сьӧмсӧ (24 700 шайт) вуджӧдісны Кулӧмдін сиктса Кристос ловзян вичко дзоньталӧм вылӧ . Быд во том йӧзлӧн котыр петкӧдчӧ Василей гажын.


== Вермӧмъяс ==
2009, вӧльгым тӧлысь — Сьылысь котыр петкӧдчис «Этнококтейль» том войтырлӧн республикаса I фестивальын.
2010, ӧшым тӧлысь — сьылысь котыр босьтіс I тшупӧда диплом патриотическӧй сьыланкывъяслӧн «Живи, Родник Отечества» республикаса фестиваль-конкурсын.
2011, вӧльгым тӧлысь — «Июль» шедӧдіс призӧвӧй места фин-йӧгра войтырлӧн эстраднӧй сьыланкывъяс сьылысьяс костын «Ший Памаш» (Эзысь ӧшмӧс) II регионъяскостса фестиваль-конкурсын.


== Ӧшмӧсъяс ==
26 мая в Усть-Куломском районном Доме культуры состоялся благотворительный концерт молодежной вокальной группы «Июль» (рочӧн)
«Июль» отметит четырехлетие (рочӧн)


== Ыстӧдъяс ==",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=10375,,10375.0
,Эжваса дзоридзьяс (ансамбль),"Эжваса дзоридзьяс — Кулӧмдін районса Кулӧмдін сиктысь йӧзкостса хор.


== История ==
Йӧзкостса хор вӧлі лӧсьӧдӧма 1956 воын. 1966 воын сылы сетӧма «Народнӧй» почётнӧй ним, кодӧс век вӧлі вынсьӧдӧма. 1992 восянь хор новлӧ Тима Веньлысь нимсӧ.
«Эжваса дзоридзьяс» хорлӧн репертураын эм коми йӧзкостса сьыланкывъяс, асшӧр коми шылад тэчысьялӧн сьыланъяс. Хор пуктӧ ыджыд пай йӧзкостса творчество да коми культура сӧвмӧдӧмӧ. Хор вермывліс йӧзкостса хорӧвӧй шыладлӧн Ставроссияса да Ставсоюзса фестивальясын, вӧлі В.А. Савин нима канму премиа босьтысьӧн, Сочиын да Финляндияын войтыркостса фестивальясӧ пырӧдчысьӧн.
Кулӧмдінса хорӧн 1966 восянь веськӧдлӧ да концертмейстералӧ Василий Гущин — Коми Республикаса культураын нимӧдана уджалысь, Коми Республикаса канму премиа босьтысь, сьылысь да шылад тэчысь. Хор петкӧдчӧ районса, республикаса да ставроссияса уна конкурс-фестивальын, на лыдын «Шондібан» и «Василей».
1982—1988 воясӧ «Эжваса дзоридзьяс» хорын сьыліс Лидия Логинова, коді 1994 воын лои Коми Республикаса нимйӧза артисткаӧн. 


== Ӧшмӧсъяс ==
https://web.archive.org/web/20160305025919/http://www.culturerk.narod.ru/kollektivs/zorizyas.html


== Ыстӧдъяс ==",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=10632,,10632.0
,Finntroll,"Finntroll — Суоми Муса швед кывйӧн сьылан метал группа. Пансьӧма 1997 воӧ Хельсинкиын.


== Пырысьяс ==
Самули ""Skrymer"" Понсимаа — гитара (1998–)
Хенри ""Trollhorn"" Сорвали — клавишаяс, гитараяс (1998–; сӧмын студияын 2004 восянь)
Сами ""Tundra"" Ууситало — бас-гитара (1998–)
Микаэль ""Routa"" Карлбом — гитара (2003–)
Алекси ""Virta"" Вирта — клавишаяс (2005–)
Матиас ""Vreth"" Лиллмонс — вокал, кывбуръяс (2006–)
Хэйкки ""Mörkö"" Саари — барабанъяс (2014–)


=== Кольӧм пырысьяс ===
Тээму ""Somnium"" Райморанта — гитара (1997-2003; кувсис 2003 воӧ)
Ян ""Katla"" Йэмсен — vocals (1997–2002), клавишаяс (1997–1998), кывбуръяс (1997–2002, 2006–; ӧні гижӧ кывбуръяс группалы)
Микаэль ""Ancient Lord"" Харъю — бас-гитара (1997-1998)
Томи ""Grönt Helvetes Kungen"" Улльгрен — гитара (1997-1998)
Рауно ""Nattvind"" Райморанта — барабанъяс, клавишаяс (1997)
Тапио Вильска — вокал, кывбуръяс (2003-2006)
Саму ""Beast Dominator"" Руотсалайнэн — барабанъяс (1998–2014)


== Дискография ==
Midnattens widunder (1999)
Jaktens tid (2001)
Visor om slutet (2003)
Nattfödd (2004)
Trollhammaren (2004)
Ur jordens djup (2007)
Nifelvind (2010)
Blodsvept (2013)
Vredesvävd (2020)


== Ыстӧгъяс ==
Official Web Page
Official MySpace Page",kv,Культура (Sous-catégorie),,https://kv.wikipedia.org/?curid=12184,,12184.0
